datetime,open,high,low,close,volume,previous_close,mom,rsi,mfi
2023-07-31,3000.00,3017.61,2965.44,2970.80,368500,3012.25,-10.81,64.76,71.12
2023-07-28,2988.01,3016.23,2981.25,3012.25,189100,2955.90,62.59,70.89,79.70
2023-07-27,2974.42,2992.37,2952.19,2955.90,223500,2958.16,88.98,66.94,80.55
2023-07-26,2942.43,2966.21,2923.29,2958.16,166900,2942.43,123.63,67.28,80.63
2023-07-25,2885.51,2960.62,2885.51,2942.43,245700,2893.76,153.96,66.17,74.65
2023-07-24,2906.38,2919.68,2871.01,2893.76,255100,2923.24,110.36,62.51,68.80
2023-07-21,2939.11,2973.00,2923.13,2923.24,698800,2917.50,194.41,66.56,74.14
2023-07-20,2920.20,2972.87,2916.14,2917.50,257200,2927.88,280.59,66.16,71.29
2023-07-19,2980.46,2998.00,2926.77,2927.88,299900,2981.61,295.19,67.50,72.33
2023-07-18,2936.62,2984.57,2920.00,2981.61,308000,2949.66,307.61,74.81,73.91
2023-07-17,2857.23,2954.99,2857.23,2949.66,251600,2866.92,228.87,73.21,74.23
2023-07-14,2844.79,2867.76,2828.06,2866.92,238600,2834.53,166.59,68.38,68.37
2023-07-13,2825.00,2853.02,2823.95,2834.53,311100,2788.47,178.62,66.16,61.04
2023-07-12,2804.20,2821.46,2781.11,2788.47,306900,2783.40,122.00,62.70,60.01
2023-07-11,2739.92,2789.18,2733.62,2783.40,278100,2728.83,83.04,62.31,59.20
2023-07-10,2637.00,2733.48,2637.00,2728.83,401100,2636.91,113.07,57.87,51.80
2023-07-07,2628.00,2661.84,2628.00,2636.91,268900,2632.69,12.98,48.36,56.48
2023-07-06,2651.18,2660.00,2624.50,2632.69,309200,2674.00,-45.21,47.86,57.73
2023-07-05,2715.39,2723.13,2667.68,2674.00,276800,2720.79,30.20,52.50,58.75
2023-07-03,2693.70,2743.07,2683.32,2720.79,179300,2700.33,84.14,58.46,64.98
2023-06-30,2685.62,2720.00,2676.91,2700.33,306600,2655.91,59.34,56.45,59.07
2023-06-29,2671.42,2675.91,2633.00,2655.91,224000,2666.47,-15.79,51.75,52.12
2023-06-28,2697.99,2722.68,2663.05,2666.47,242200,2700.36,56.68,53.02,51.97
2023-06-27,2647.54,2722.89,2647.54,2700.36,388200,2615.76,86.31,57.17,51.16
2023-06-26,2613.98,2651.57,2605.00,2615.76,226000,2623.93,10.42,47.66,50.38
2023-06-23,2638.05,2658.10,2619.24,2623.93,324600,2677.90,17.80,48.63,56.18
2023-06-22,2642.27,2682.18,2641.00,2677.90,225100,2643.80,30.44,55.55,63.16
2023-06-21,2636.65,2665.20,2620.00,2643.80,244900,2636.65,-0.38,51.50,63.78
2023-06-20,2620.00,2669.97,2613.97,2636.65,292500,2640.99,-71.45,50.63,52.64
2023-06-16,2702.21,2702.21,2632.16,2640.99,828900,2671.70,-29.77,51.15,50.92
2023-06-15,2595.54,2678.36,2587.18,2671.70,398400,2609.79,46.05,54.85,47.30
2023-06-14,2595.37,2623.50,2579.36,2609.79,234300,2614.05,59.79,47.77,39.59
2023-06-13,2629.92,2629.92,2584.82,2614.05,267100,2605.34,105.28,48.25,39.30
2023-06-12,2626.23,2627.26,2580.10,2605.34,317500,2606.13,76.57,47.24,33.92
2023-06-09,2647.46,2672.74,2604.00,2606.13,318400,2647.46,15.00,47.31,34.06
2023-06-08,2617.00,2679.24,2617.00,2647.46,237800,2644.18,50.09,51.45,40.81
2023-06-07,2710.32,2725.88,2636.57,2644.18,314300,2708.10,18.35,51.13,46.65
2023-06-06,2688.65,2729.27,2684.51,2708.10,314700,2670.76,70.61,57.93,52.58
2023-06-05,2617.38,2674.62,2617.38,2670.76,312800,2625.65,-24.86,54.66,51.70
2023-06-02,2577.31,2634.48,2568.48,2625.65,327400,2550.00,-139.61,50.33,46.61
2023-06-01,2503.12,2568.20,2500.35,2550.00,319100,2508.77,-230.98,41.66,40.99
2023-05-31,2516.77,2523.04,2456.93,2508.77,823200,2528.77,-187.93,36.00,39.84
2023-05-30,2595.22,2606.24,2520.13,2528.77,485700,2591.13,-117.55,37.65,52.39
2023-05-26,2614.98,2664.30,2588.37,2591.13,465300,2597.37,-54.94,43.38,61.84
2023-05-25,2637.46,2637.64,2571.13,2597.37,380300,2625.83,-33.45,44.00,60.76
2023-05-24,2622.25,2643.16,2595.38,2625.83,270100,2637.49,-30.75,46.85,55.52
2023-05-23,2676.25,2680.08,2623.11,2637.49,289700,2695.62,-8.43,48.04,53.03
2023-05-22,2764.33,2786.19,2693.02,2695.62,282800,2765.26,60.71,54.40,51.81
2023-05-19,2780.97,2780.97,2753.52,2765.26,343600,2780.98,125.79,63.79,57.81
2023-05-18,2698.71,2786.85,2694.34,2780.98,337600,2696.70,211.68,66.19,56.91
2023-05-17,2661.89,2699.74,2640.63,2696.70,297600,2646.32,93.13,58.41,56.42
2023-05-16,2660.00,2692.29,2646.31,2646.32,225200,2646.07,0.11,52.32,57.07
2023-05-15,2626.99,2653.09,2620.95,2646.07,198700,2630.82,-69.98,52.29,51.04
2023-05-12,2679.73,2679.73,2625.00,2630.82,220300,2656.58,-60.27,50.40,50.17
2023-05-11,2636.87,2668.40,2635.39,2656.58,212300,2645.92,-29.73,53.75,54.78
2023-05-10,2634.91,2663.98,2598.63,2645.92,411800,2634.91,6.48,52.53,50.59
2023-05-09,2625.44,2664.59,2608.58,2634.91,339500,2639.47,37.54,51.31,43.88
2023-05-08,2573.12,2648.15,2573.12,2639.47,344900,2569.30,-5.55,51.82,38.05
