datetime,open,high,low,close,volume,previous_close,mom,rsi,mfi
2023-07-31,137.44,138.05,135.84,136.35,2246800,137.85,-2.52,55.99,54.61
2023-07-28,138.35,138.59,137.52,137.85,1508700,137.51,-0.40,61.66,65.60
2023-07-27,139.56,140.18,137.03,137.51,2311500,138.83,0.17,60.82,70.51
2023-07-26,139.04,139.26,137.95,138.83,1602400,139.57,2.12,66.00,71.89
2023-07-25,137.70,139.78,137.53,139.57,1507900,137.76,4.10,69.05,76.87
2023-07-24,137.66,137.94,136.78,137.76,1319800,137.06,0.43,65.41,71.85
2023-07-21,137.53,138.24,136.89,137.06,4562700,137.13,6.52,63.89,71.44
2023-07-20,136.39,138.24,136.39,137.13,1829300,136.84,7.93,64.15,68.61
2023-07-19,138.77,139.61,136.69,136.84,2290300,138.87,6.14,63.57,69.43
2023-07-18,138.55,138.95,137.33,138.87,1641900,138.25,8.98,70.99,77.33
2023-07-17,138.29,140.30,137.67,138.25,2882700,137.34,7.38,70.00,83.50
2023-07-14,136.78,137.87,136.05,137.34,1369500,136.71,7.64,68.53,82.61
2023-07-13,136.83,137.50,136.49,136.71,1700200,135.47,6.26,67.51,82.93
2023-07-12,137.93,138.15,135.15,135.47,2848300,137.33,4.81,65.46,82.70
2023-07-11,130.54,139.38,130.50,137.33,5288400,130.54,5.95,71.77,73.66
2023-07-10,129.72,131.42,129.72,130.54,1900400,129.20,3.87,58.08,62.02
2023-07-07,130.49,131.26,128.54,129.20,1793100,130.70,3.95,53.99,63.70
2023-07-06,128.80,130.81,128.67,130.70,1682600,129.89,5.25,60.08,70.27
2023-07-05,130.18,130.55,129.13,129.89,1756400,130.87,5.32,57.68,70.07
2023-07-03,129.10,131.01,129.01,130.87,896900,129.70,4.46,61.85,76.75
2023-06-30,131.02,131.54,129.56,129.70,1779100,130.45,1.04,58.53,69.79
2023-06-29,130.72,130.97,128.79,130.45,1567400,130.66,1.46,61.73,63.53
2023-06-28,131.16,132.87,130.27,130.66,2282000,131.38,2.76,62.62,69.43
2023-06-27,127.48,131.57,127.23,131.38,2462000,126.67,4.06,65.63,61.68
2023-06-26,124.94,127.34,124.69,126.67,1537000,125.25,0.91,51.45,60.22
2023-06-23,124.91,125.78,124.58,125.25,2074400,125.45,-0.69,45.10,53.64
2023-06-22,124.20,125.94,124.08,125.45,1445700,124.57,-1.66,45.89,46.93
2023-06-21,125.47,126.47,124.41,124.57,2657700,126.41,-1.67,41.75,47.14
2023-06-20,127.94,128.42,126.23,126.41,2130500,128.66,-0.73,49.03,56.71
2023-06-16,129.98,130.00,128.22,128.66,3123400,128.99,1.64,61.12,64.39
2023-06-15,128.58,129.05,127.69,128.99,1723000,127.90,1.32,63.24,62.68
2023-06-14,127.05,128.50,126.61,127.90,1536000,127.32,0.21,58.86,56.21
2023-06-13,125.76,127.61,125.68,127.32,1892300,125.76,-0.68,56.28,55.86
2023-06-12,125.91,126.16,125.27,125.76,2349500,125.94,-0.72,48.17,49.29
2023-06-09,126.97,127.26,125.82,125.94,1791700,127.11,-0.86,49.15,51.01
2023-06-08,126.65,128.59,126.50,127.11,1882700,126.24,1.71,56.00,58.65
2023-06-07,127.14,128.67,125.44,126.24,2180300,127.14,0.84,51.31,59.42
2023-06-06,127.32,128.16,126.96,127.14,1461000,127.02,1.85,57.16,57.96
2023-06-05,126.70,128.19,126.70,127.02,2074546,127.67,1.90,56.55,59.66
2023-06-02,127.83,128.01,126.46,127.67,1727670,127.69,2.01,60.94,60.31
2023-06-01,128.00,128.55,127.31,127.69,1523870,128.00,1.48,61.07,67.36
2023-05-31,126.48,128.31,126.22,128.00,2768794,126.48,3.08,63.09,58.79
2023-05-30,127.03,127.39,126.10,126.48,2244883,126.80,1.36,56.55,61.31
2023-05-26,125.14,126.86,124.48,126.80,1884257,125.40,1.96,58.58,62.07
2023-05-25,124.82,125.80,123.95,125.40,1782306,125.40,-0.07,51.52,62.00
2023-05-24,125.46,126.12,124.39,125.40,1350964,125.29,0.08,51.52,68.26
2023-05-23,124.50,125.60,124.02,125.29,1663513,125.12,0.55,50.95,62.26
2023-05-22,126.31,126.70,124.72,125.12,1445727,125.66,-0.29,50.12,62.06
2023-05-19,126.50,127.29,125.11,125.66,2240999,126.21,-0.10,52.77,61.34
2023-05-18,125.40,126.30,124.43,126.21,2406339,124.92,0.79,55.56,60.47
2023-05-17,124.28,125.68,123.54,124.92,2899790,125.12,0.91,49.79,59.84
2023-05-16,124.28,125.54,123.94,125.12,2664261,124.84,0.05,50.74,67.68
2023-05-15,124.92,125.51,123.88,124.84,1804356,125.47,-1.32,49.49,57.33
2023-05-12,125.88,126.75,124.74,125.47,2533152,125.32,-1.95,52.26,61.96
2023-05-11,125.37,126.74,124.36,125.32,3183855,124.74,-1.96,51.66,56.91
2023-05-10,129.32,129.50,122.93,124.74,4824258,125.41,-1.77,49.38,64.67
2023-05-09,125.51,126.55,124.83,125.41,2916915,125.76,0.29,52.01,60.91
2023-05-08,125.25,126.18,124.28,125.76,1831445,125.42,-3.74,53.39,54.14
2023-05-05,123.78,125.66,123.27,125.42,2806544,124.01,-4.06,52.25,53.95
2023-05-04,125.93,125.98,123.86,124.01,2524362,125.07,-5.10,47.27,46.00
2023-05-03,126.31,126.85,124.82,125.07,1768928,126.16,-3.73,50.98,53.44
2023-05-02,126.89,127.42,124.74,126.16,1862088,127.42,-2.02,55.10,60.18
2023-05-01,127.14,127.67,126.34,127.42,1438188,127.28,-1.62,60.35,66.87
2023-04-28,126.44,127.70,126.28,127.28,1828737,126.51,-0.80,59.95,67.02
2023-04-27,124.05,126.73,124.05,126.51,2426364,125.12,-1.36,57.82,60.72
2023-04-26,126.21,127.04,124.09,125.12,4249262,129.50,-3.16,53.68,51.83
2023-04-25,128.99,129.87,128.87,129.50,1422079,129.48,3.37,75.32,67.01
2023-04-24,128.61,129.61,128.22,129.48,1215145,129.11,3.80,75.27,69.42
2023-04-21,129.05,130.12,128.70,129.11,1679677,128.80,3.49,74.52,75.17
2023-04-20,128.28,129.58,128.15,128.80,1621153,128.18,3.64,73.91,75.67
2023-04-19,128.58,128.90,128.06,128.18,1221392,129.04,2.03,72.68,75.87
2023-04-18,128.81,129.38,127.82,129.04,1668643,128.08,3.80,77.36,80.87
2023-04-17,127.37,128.42,127.12,128.08,1534573,127.87,6.73,75.74,75.14
2023-04-14,127.98,128.53,127.44,127.87,1377184,128.28,7.42,75.39,81.61
2023-04-13,126.58,128.72,126.58,128.28,1637111,126.13,9.18,77.46,82.28
2023-04-12,126.28,127.18,125.82,126.13,1377084,125.68,6.94,73.98,82.64
2023-04-11,125.13,126.25,124.74,125.68,1569513,125.62,7.66,73.17,75.82
2023-04-10,124.79,125.80,123.74,125.62,1421145,125.16,6.98,73.07,76.29
2023-04-06,125.80,126.05,124.75,125.16,1990976,126.15,6.13,72.31,81.27
2023-04-05,125.24,126.27,124.84,126.15,2562400,125.24,10.11,76.62,88.41
2023-04-04,121.43,125.47,121.23,125.24,3285567,121.35,12.08,75.37,88.15
2023-04-03,120.14,121.65,119.60,121.35,1946259,120.45,6.41,68.72,87.83
