datetime,open,high,low,close,volume,previous_close,mom,rsi,mfi
2023-07-31,154.25,156.67,150.35,151.83,5486300,154.33,-32.22,33.72,39.99
2023-07-28,150.00,154.91,145.67,154.33,15657500,166.80,-35.34,35.05,38.29
2023-07-27,175.15,175.59,166.25,166.80,8267000,173.36,-11.14,42.86,50.91
2023-07-26,170.00,176.00,168.33,173.36,5607500,179.47,-9.28,48.09,61.01
2023-07-25,178.47,182.26,178.01,179.47,2901000,177.81,-3.33,53.77,64.15
2023-07-24,178.98,179.87,175.03,177.81,2658500,177.48,4.03,52.35,58.58
2023-07-21,178.00,179.71,174.83,177.48,4533000,175.92,2.01,52.08,58.37
2023-07-20,178.62,180.54,175.65,175.92,4808900,185.49,9.75,50.85,67.30
2023-07-19,186.00,189.50,184.29,185.49,2985600,184.05,24.11,59.56,69.60
2023-07-18,189.67,192.22,183.03,184.05,4484800,189.67,18.71,58.57,75.60
2023-07-17,178.11,191.31,175.50,189.67,4687300,177.94,20.12,64.28,68.90
2023-07-14,183.29,183.57,176.90,177.94,3391900,182.64,10.46,55.96,67.26
2023-07-13,186.00,186.36,181.03,182.64,3124100,182.80,23.87,61.27,66.44
2023-07-12,178.00,183.87,177.81,182.80,5125800,173.78,21.38,61.45,56.69
2023-07-11,175.48,177.02,172.71,173.78,2812800,175.47,12.75,54.24,47.81
2023-07-10,166.13,176.24,163.44,175.47,4021800,166.17,16.26,56.07,39.69
2023-07-07,162.53,169.50,162.29,166.17,3288900,161.38,7.48,46.95,40.71
2023-07-06,163.00,164.33,160.06,161.38,3040600,165.34,-1.15,41.10,41.34
2023-07-05,169.32,169.98,164.15,165.34,3059700,169.55,-2.65,44.90,41.16
2023-07-03,169.59,173.72,168.23,169.55,2499200,167.48,-2.44,49.41,47.18
2023-06-30,162.34,168.77,159.70,167.48,5156500,158.77,-14.33,46.98,41.87
2023-06-29,162.31,165.10,157.43,158.77,3414000,161.42,-21.74,34.72,33.96
2023-06-28,160.00,164.70,158.65,161.42,2919200,161.03,-17.78,37.14,34.84
2023-06-27,160.00,161.42,157.16,161.03,3014200,159.21,-18.63,36.54,34.74
2023-06-26,159.18,162.56,158.23,159.21,2770500,158.69,-17.68,33.77,35.14
2023-06-23,159.72,162.17,155.87,158.69,4459500,162.53,-15.89,33.00,35.60
2023-06-22,164.84,165.30,156.01,162.53,5989400,167.99,-18.87,35.88,42.99
2023-06-21,171.80,174.17,167.28,167.99,3376700,171.99,-14.10,40.55,52.28
2023-06-20,181.90,182.00,168.30,171.99,5351600,181.81,-10.62,44.48,59.87
2023-06-16,183.29,184.92,176.58,181.81,4626800,180.51,-0.92,57.14,70.76
2023-06-15,177.35,182.06,175.46,180.51,3574900,179.20,-1.35,55.59,69.18
2023-06-14,179.00,180.93,174.65,179.20,2985700,179.66,-2.27,54.03,68.22
2023-06-13,179.99,184.20,175.80,179.66,3123100,176.89,5.78,54.65,69.52
2023-06-12,172.83,177.11,169.63,176.89,3129900,174.58,2.77,51.51,62.57
2023-06-09,182.77,182.80,174.48,174.58,2594800,181.40,9.38,48.77,70.08
