datetime,open,high,low,close,volume,previous_close,mom,rsi,mfi
2023-07-31,65.24,66.26,64.69,65.13,7391800,64.91,-0.63,61.83,73.16
2023-07-28,65.40,65.41,64.25,64.91,7097900,63.89,0.35,61.21,73.82
2023-07-27,65.35,66.24,63.30,63.89,10780200,63.71,0.44,58.29,74.21
2023-07-26,63.12,64.14,62.28,63.71,9094000,63.90,-1.66,57.77,73.86
2023-07-25,63.34,64.70,63.23,63.90,6994900,63.11,1.02,58.48,73.73
2023-07-24,63.69,63.78,62.46,63.11,5605300,63.41,0.96,56.39,69.10
2023-07-21,64.13,64.67,63.19,63.41,19044400,63.22,3.12,57.41,72.83
2023-07-20,64.66,65.03,62.80,63.22,12700300,65.63,4.07,56.96,70.75
2023-07-19,66.00,66.81,64.86,65.63,10606800,65.76,6.81,65.21,70.43
2023-07-18,65.40,66.05,64.20,65.76,9881000,64.56,5.95,65.68,70.12
2023-07-17,63.56,64.94,63.00,64.56,8586100,63.45,3.21,63.39,70.41
2023-07-14,64.50,65.12,63.18,63.45,11405900,65.37,3.67,61.16,70.35
2023-07-13,63.85,65.49,63.06,65.37,12938400,62.88,7.00,67.79,65.34
2023-07-12,63.12,63.69,61.94,62.88,11089183,62.15,2.81,62.95,58.40
2023-07-11,61.73,62.21,60.44,62.15,11578228,60.29,1.56,61.37,51.22
2023-07-10,58.87,60.50,58.83,60.29,10119486,59.15,2.54,57.04,43.66
2023-07-07,59.91,60.26,58.98,59.15,9505876,58.82,1.33,54.11,35.12
2023-07-06,58.61,58.97,57.43,58.82,10151161,59.81,-0.30,53.26,28.71
2023-07-05,60.76,61.20,59.78,59.81,7187096,61.35,0.96,56.18,28.02
2023-07-03,60.84,61.35,60.32,61.35,5699820,59.78,0.52,61.01,34.71
2023-06-30,59.30,60.10,59.16,59.78,9065947,58.37,-1.34,57.55,38.53
2023-06-29,60.43,60.43,58.12,58.37,14376490,60.07,-3.66,54.16,40.35
2023-06-28,58.57,61.46,58.57,60.07,10099478,60.59,-2.89,59.48,40.81
2023-06-27,57.91,60.77,57.77,60.59,12231187,57.75,-2.46,61.19,44.99
2023-06-26,58.08,59.14,57.68,57.75,9155131,57.82,-4.30,54.58,46.10
2023-06-23,57.81,58.26,56.59,57.82,24355928,59.12,-2.19,54.79,40.39
2023-06-22,58.18,59.75,58.03,59.12,8954502,58.85,-0.60,58.76,41.42
2023-06-21,60.62,60.93,58.72,58.85,10386312,60.83,-0.48,58.17,49.73
2023-06-20,60.71,62.00,60.34,60.83,10624606,61.12,1.69,64.38,44.21
2023-06-16,62.81,63.07,60.81,61.12,17328718,62.03,3.09,65.33,56.17
2023-06-15,62.18,62.82,61.55,62.03,11420454,62.96,1.85,68.26,70.61
2023-06-14,62.78,63.03,60.89,62.96,13337716,63.05,1.86,71.29,74.90
2023-06-13,63.32,63.43,61.81,63.05,12405539,62.05,4.56,71.57,75.76
2023-06-12,60.88,62.29,60.86,62.05,15892892,60.01,-1.35,70.35,75.56
2023-06-09,60.86,62.03,59.57,60.01,14411335,59.72,-5.50,67.71,74.95
2023-06-08,59.21,60.36,58.36,59.72,12180955,59.33,10.25,67.33,74.52
2023-06-07,62.26,63.64,59.10,59.33,23824508,59.14,13.35,66.83,77.83
2023-06-06,58.10,60.31,58.04,59.14,16452722,58.03,12.55,66.61,76.87
2023-06-05,59.58,59.60,57.26,58.03,15861786,60.18,11.59,65.31,76.27
2023-06-02,62.22,62.48,59.13,60.18,18030092,61.10,14.72,70.20,80.26
2023-06-01,59.39,62.10,58.61,61.10,24673074,58.49,16.36,72.34,83.42
2023-05-31,61.80,63.10,58.33,58.49,37701112,63.40,14.90,69.92,79.75
