datetime,open,high,low,close,volume,previous_close,mom,rsi,mfi
2023-07-31,126.30,126.44,124.30,125.47,1508400,126.52,3.28,69.16,88.84
2023-07-28,128.01,128.34,125.54,126.52,1909700,127.05,5.49,74.21,93.95
2023-07-27,128.05,129.70,126.37,127.05,2217100,127.75,6.19,76.83,100.00
2023-07-26,124.93,129.03,124.93,127.75,2452300,125.02,7.22,80.32,100.00
2023-07-25,124.98,125.30,124.37,125.02,1329500,125.25,6.46,76.45,100.00
2023-07-24,123.61,125.31,123.41,125.25,1646100,123.41,7.11,77.65,100.00
2023-07-21,124.66,124.89,123.41,123.41,5885800,123.85,6.93,74.71,97.02
2023-07-20,123.11,124.12,122.35,123.85,1599200,123.31,10.41,76.95,96.70
2023-07-19,122.35,123.55,122.22,123.31,1479000,122.19,9.59,76.14,96.81
2023-07-18,120.93,122.73,120.70,122.19,1675800,121.03,9.31,74.39,90.62
2023-07-17,120.19,122.05,120.00,121.03,1839000,120.86,9.56,72.44,90.60
2023-07-14,120.13,121.27,119.73,120.86,2406000,120.53,8.99,72.15,90.57
2023-07-13,118.56,120.70,118.31,120.53,2545900,118.56,11.20,71.62,82.95
2023-07-12,119.47,119.55,117.28,118.56,2837900,118.14,7.85,68.25,78.21
2023-07-11,116.62,118.63,116.62,118.14,2799800,116.48,7.07,67.48,77.58
2023-07-10,113.84,117.06,113.79,116.48,3161100,113.44,5.83,64.32,71.84
2023-07-07,112.92,115.25,112.56,113.44,2165000,113.72,5.06,57.27,72.38
2023-07-06,111.60,113.94,111.07,113.72,3527300,112.88,2.45,58.26,71.67
2023-07-05,111.13,113.52,110.58,112.88,2576700,111.47,0.02,56.16,64.44
2023-07-03,111.43,111.82,110.53,111.47,1132000,111.87,-0.77,52.42,62.98
2023-06-30,111.16,113.39,110.22,111.87,2943600,109.33,-1.72,53.63,67.62
2023-06-29,114.32,114.77,108.84,109.33,2886700,110.71,-3.98,46.37,66.00
2023-06-28,111.20,111.48,109.63,110.71,2266900,111.07,-0.83,50.35,58.65
2023-06-27,111.04,111.83,110.65,111.07,1769200,110.65,-2.44,51.41,66.54
2023-06-26,108.11,110.84,108.06,110.65,1924200,108.38,-2.44,50.27,60.29
2023-06-23,110.50,110.51,108.05,108.38,2821200,111.27,-3.31,43.63,61.25
2023-06-22,112.64,113.00,110.70,111.27,1417700,112.86,0.31,51.81,71.58
2023-06-21,112.03,113.79,111.12,112.86,2018200,112.24,0.95,57.31,78.05
