datetime,open,high,low,close,volume,previous_close,mom,rsi,mfi
2023-07-31,178.51,180.40,178.33,180.00,4065200,178.37,-3.68,51.65,67.29
2023-07-28,178.50,179.53,176.93,178.37,7540400,177.72,-5.03,49.25,66.80
2023-07-27,178.31,181.14,176.24,177.72,8300400,176.00,-3.13,48.30,74.50
2023-07-26,176.89,177.70,174.21,176.00,11905065,186.08,-7.12,45.82,73.37
2023-07-25,185.00,188.12,184.80,186.08,6267820,183.89,3.71,62.08,80.22
2023-07-24,184.58,185.75,183.30,183.89,4318227,184.32,5.07,59.15,74.63
2023-07-21,182.00,185.57,181.35,184.32,17251740,179.92,4.88,60.00,71.00
2023-07-20,180.65,182.17,179.28,179.92,7154611,183.67,6.22,53.72,65.43
2023-07-19,183.59,184.68,183.03,183.67,3679378,183.68,8.85,61.33,75.88
2023-07-18,182.44,184.20,181.00,183.68,3028955,183.40,7.15,61.35,75.70
2023-07-17,179.29,184.26,178.72,183.40,3876123,180.85,3.64,61.00,76.83
2023-07-14,181.61,183.03,180.32,180.85,3701290,183.12,0.83,57.71,77.08
2023-07-13,183.50,184.01,181.75,183.12,4430329,182.37,6.33,62.04,71.96
2023-07-12,181.01,182.90,180.01,182.37,5623462,178.82,7.41,61.14,71.47
2023-07-11,179.83,179.97,176.85,178.82,2708794,179.44,2.51,56.65,64.34
2023-07-10,174.58,179.73,174.56,179.44,5562183,173.70,10.70,57.73,59.28
2023-07-07,174.11,177.07,173.58,173.70,4585392,174.82,6.02,49.44,46.82
2023-07-06,173.70,175.48,173.08,174.82,4548781,176.53,2.19,51.26,46.57
2023-07-05,178.80,178.85,176.45,176.53,3644793,179.76,6.05,54.09,53.39
2023-07-03,180.21,181.19,177.62,179.76,2007584,180.02,5.40,59.88,59.81
2023-06-30,178.88,180.54,178.33,180.02,6004384,176.79,3.26,60.37,64.07
2023-06-29,175.93,177.04,174.41,176.79,3700784,174.96,-1.30,56.30,57.24
2023-06-28,174.65,176.38,174.28,174.96,3425224,176.31,-2.16,53.80,56.98
2023-06-27,169.83,176.57,169.49,176.31,6028873,168.74,-1.10,55.99,57.53
2023-06-26,168.49,170.98,168.02,168.74,4858555,167.68,-5.29,44.16,50.61
2023-06-23,169.91,170.28,167.20,167.68,8541837,172.63,-2.91,42.13,43.38
2023-06-22,170.00,172.66,169.81,172.63,3573373,170.48,0.40,49.99,52.83
2023-06-21,172.50,173.60,170.38,170.48,4034292,174.36,-1.52,45.92,53.12
2023-06-20,174.94,177.03,173.43,174.36,3478049,176.76,4.00,53.16,49.75
2023-06-16,179.45,179.83,176.26,176.76,10374681,178.09,6.50,58.46,56.00
2023-06-15,176.24,179.40,175.89,178.09,4197681,177.12,2.86,61.62,69.38
2023-06-14,175.82,178.27,174.79,177.12,4743860,177.41,1.31,60.16,70.65
2023-06-13,176.56,178.31,174.32,177.41,5393673,174.04,3.53,60.80,62.31
2023-06-12,171.53,174.27,171.38,174.04,4709125,170.59,-2.51,55.71,55.23
2023-06-09,173.43,173.82,169.48,170.59,4179209,172.23,-5.70,49.46,54.39
2023-06-08,173.07,173.84,171.41,172.23,3344038,172.00,2.61,52.75,60.12
2023-06-07,171.17,173.79,170.45,172.00,4422680,170.36,4.93,52.34,60.86
2023-06-06,169.40,171.54,168.90,170.36,4013296,170.26,0.62,49.42,60.99
2023-06-05,175.19,175.19,169.77,170.26,5489288,175.23,-0.60,49.24,66.07
2023-06-02,176.50,176.62,174.10,175.23,4788025,175.81,5.12,58.66,72.35
2023-06-01,175.87,176.45,172.90,175.81,3909538,173.88,6.00,59.90,71.37
2023-05-31,174.78,175.80,173.16,173.88,8518319,176.55,8.54,57.10,66.82
2023-05-30,177.83,178.19,175.03,176.55,5668293,176.29,13.17,62.74,77.15
2023-05-26,171.32,177.05,170.67,176.29,8323156,169.62,11.03,62.40,69.14
2023-05-25,165.00,170.51,163.60,169.62,7666727,167.07,7.74,52.12,66.84
