date,open,high,low,close,adjusted_close,volume
2023-06-02,12.65,13.07,12.42,13.07,13.07,489002
2023-06-01,12.04,12.78,11.72,12.48,12.48,467195
2023-05-31,11.72,12.09,11.44,12.04,12.04,736617
2023-05-30,11.67,11.98,11.6401,11.77,11.77,561206
2023-05-26,11.21,11.575,11.05,11.52,11.52,531228
2023-05-25,12.02,12.13,10.96,11.21,11.21,577669
2023-05-24,11.89,12.1335,11.465,11.91,11.91,996509
2023-05-23,10.97,11.31,10.885,11.08,11.08,530207
2023-05-22,10.76,11.08,10.725,11.05,11.05,560472
2023-05-19,10.76,10.865,10.64,10.82,10.82,447856
2023-05-18,10.79,10.98,10.492,10.61,10.61,815769
2023-05-17,10.57,10.86,10.38,10.8,10.8,416024
2023-05-16,10.62,10.7525,10.44,10.52,10.52,401173
2023-05-15,10.64,10.88,10.48,10.88,10.88,379560
2023-05-12,10.75,10.8557,10.445,10.62,10.62,372464
2023-05-11,10.94,10.9585,10.7,10.75,10.75,429010
2023-05-10,11.29,11.41,10.75,10.93,10.93,759976
2023-05-09,11.69,11.76,10.455,11.02,11.02,1339401
2023-05-08,12.01,12.34,11.52,11.625,11.625,592636
2023-05-05,11.87,12.0,11.48,12.0,12.0,852981
2023-05-04,11.75,11.96,11.6,11.7,11.7,563662
2023-05-03,12.2,12.3,11.71,11.82,11.82,787961
2023-05-02,13.02,13.29,12.04,12.17,12.17,1097886
2023-05-01,13.56,13.56,12.39,13.02,13.02,1356145
2023-04-28,14.26,14.4,12.69,13.53,13.53,2666690
2023-04-27,16.3,17.005,16.0,16.06,16.06,1156328
2023-04-26,16.13,16.41,15.72,16.0,16.0,765500
2023-04-25,15.85,16.6,15.66,15.97,15.97,586999
2023-04-24,16.04,16.2,15.71,15.95,15.95,655879
2023-04-21,15.46,16.12,15.27,16.03,16.03,629328
2023-04-20,14.86,15.44,14.835,15.3,15.3,474168
2023-04-19,14.59,15.01,14.5,15.01,15.01,409945
2023-04-18,14.73,14.92,14.43,14.75,14.75,380238
2023-04-17,14.19,14.66,14.07,14.6,14.6,309573
2023-04-14,14.64,15.1,14.29,14.31,14.31,383897
2023-04-13,14.43,14.95,14.39,14.85,14.85,505349
2023-04-12,14.86,15.45,14.175,14.25,14.25,476356
2023-04-11,13.57,14.38,13.57,14.11,14.11,443538
2023-04-10,13.37,13.66,13.17,13.51,13.51,319463
2023-04-06,13.41,13.79,13.11,13.58,13.58,407375
2023-04-05,13.78,13.78,13.12,13.47,13.47,543228
2023-04-04,13.9,13.97,13.55,13.78,13.78,380630
2023-04-03,14.25,14.54,13.73,13.8,13.8,383634
2023-03-31,13.88,14.69,13.69,14.38,14.38,911177
2023-03-30,13.59,13.7,13.37,13.57,13.57,380913
2023-03-29,13.24,13.62,13.03,13.37,13.37,558980
2023-03-28,13.25,13.55,12.95,13.06,13.06,551175
2023-03-27,13.7,13.8364,13.3,13.3,13.3,513948
2023-03-24,13.15,13.8768,13.09,13.61,13.61,738045
2023-03-23,13.1,13.675,12.71,13.25,13.25,1033686
2023-03-22,12.66,12.8,11.96,11.96,11.96,429332
2023-03-21,12.12,12.908,11.91,12.68,12.68,478280
2023-03-20,11.92,12.27,11.795,11.95,11.95,421966
2023-03-17,12.17,12.41,11.76,11.96,11.96,685315
2023-03-16,11.88,12.45,11.67,12.27,12.27,574272
2023-03-15,11.6,12.47,11.555,12.02,12.02,576561
2023-03-14,12.35,12.57,11.895,12.01,12.01,415227
2023-03-13,11.21,12.32,11.08,11.85,11.85,500011
2023-03-10,11.97,12.11,10.99,11.53,11.53,905485
2023-03-09,12.81,12.93,11.82,12.08,12.08,530839
2023-03-08,12.78,13.08,12.54,12.83,12.83,434265
2023-03-07,12.79,13.115,12.5,12.71,12.71,449757
2023-03-06,13.31,13.56,12.75,12.83,12.83,621936
2023-03-03,12.5,13.46,12.3,13.3,13.3,664157
2023-03-02,12.11,12.37,11.835,12.37,12.37,644107
2023-03-01,11.4,12.59,11.22,12.39,12.39,1207925
2023-02-28,11.09,11.3,11.04,11.11,11.11,394834
2023-02-27,11.3,11.404,10.98,11.09,11.09,501686
2023-02-24,11.17,11.35,10.92,11.12,11.12,470098
2023-02-23,11.09,11.585,10.89,11.51,11.51,581366
2023-02-22,11.1,11.58,10.93,11.43,11.43,657492
2023-02-21,11.52,11.78,11.05,11.08,11.08,555537
2023-02-17,11.89,12.0904,11.61,11.82,11.82,731463
2023-02-16,12.27,12.3841,11.58,11.88,11.88,835687
2023-02-15,12.18,12.5124,12.02,12.49,12.49,652071
2023-02-14,11.02,12.08,10.97,12.01,12.01,425625
2023-02-13,11.45,11.7,11.06,11.15,11.15,688352
2023-02-10,11.49,11.845,11.36,11.5,11.5,684555
2023-02-09,12.16,12.82,11.495,11.57,11.57,751300
2023-02-08,12.47,12.7,12.33,12.58,12.58,628285
2023-02-07,12.35,12.87,12.24,12.535,12.535,618282
2023-02-06,12.6,12.7,12.245,12.41,12.41,949113
2023-02-03,12.28,13.18,12.155,12.61,12.61,581190
2023-02-02,12.18,13.62,12.18,12.83,12.83,1483150
2023-02-01,11.78,11.98,11.37,11.84,11.84,585348
2023-01-31,11.06,11.72,11.06,11.67,11.67,681882
2023-01-30,11.23,11.5,10.9805,11.08,11.08,724663
2023-01-27,10.62,11.32,10.295,11.28,11.28,561765
2023-01-26,10.46,10.88,10.26,10.61,10.61,752646
2023-01-25,9.46,10.28,9.0,10.26,10.26,806333
2023-01-24,9.6,9.93,9.58,9.72,9.72,429548
2023-01-23,9.23,9.71,9.09,9.66,9.66,510215
2023-01-20,9.06,9.19,8.84,9.17,9.17,430009
2023-01-19,8.89,9.06,8.74,8.9,8.9,540612
2023-01-18,9.9,10.2,9.03,9.04,9.04,616774
2023-01-17,9.3,9.72,8.97,9.7,9.7,823867
2023-01-13,9.21,9.43,9.07,9.32,9.32,710076
2023-01-12,9.12,9.33,8.795,9.29,9.29,945373
2023-01-11,9.56,9.62,8.61,9.0,9.0,1696753
2023-01-10,8.26,10.01,8.23,9.55,9.55,3185602
2023-01-09,7.6,7.81,7.4543,7.74,7.74,949565
2023-01-06,7.35,7.47,6.83,7.43,7.43,545863
2023-01-05,7.67,7.67,7.1,7.37,7.37,489979
2023-01-04,7.43,7.83,7.25,7.8,7.8,697195
2023-01-03,8.08,8.11,7.225,7.32,7.32,692925
2022-12-30,7.57,7.82,7.36,7.79,7.79,750050
2022-12-29,7.53,7.86,7.26,7.7,7.7,463546
2022-12-28,7.11,7.48,7.0,7.35,7.35,435200
2022-12-27,8.26,8.26,7.18,7.19,7.19,755930
2022-12-23,7.92,8.605,7.92,8.35,8.35,1344688
2022-12-22,8.21,8.21,7.61,7.97,7.97,495186
2022-12-21,8.41,8.81,8.24,8.34,8.34,462477
2022-12-20,8.26,8.46,8.01,8.34,8.34,620289
2022-12-19,8.44,8.445,8.125,8.33,8.33,618398
2022-12-16,8.05,8.46,7.95,8.46,8.46,727091
2022-12-15,8.92,8.99,8.28,8.38,8.38,442116
2022-12-14,9.08,9.34,8.91,9.27,9.27,674675
2022-12-13,9.62,9.98,8.9579,9.13,9.13,619071
2022-12-12,9.0,9.265,8.81,9.0,9.0,542428
2022-12-09,8.7,9.02,8.51,8.99,8.99,587930
2022-12-08,8.2,8.83,7.89,8.77,8.77,963274
2022-12-07,7.67,8.14,7.6219,8.12,8.12,496627
2022-12-06,8.18,8.31,7.65,7.77,7.77,527031
2022-12-05,8.81,8.87,8.12,8.34,8.34,827648
2022-12-02,8.82,8.89,8.38,8.89,8.89,526155
2022-12-01,8.9,9.13,8.75,8.97,8.97,374679
2022-11-30,8.25,8.89,8.07,8.83,8.83,1198647
2022-11-29,7.94,8.49,7.94,8.2,8.2,721443
2022-11-28,8.27,8.53,7.79,7.89,7.89,487707
2022-11-25,8.54,8.7,8.34,8.44,8.44,166885
2022-11-23,8.22,8.64,8.14,8.61,8.61,363498
2022-11-22,8.36,8.36,7.91,8.19,8.19,426825
2022-11-21,8.3,8.39,8.0,8.36,8.36,499179
2022-11-18,8.65,8.65,8.21,8.32,8.32,477133
2022-11-17,8.71,8.73,8.25,8.35,8.35,555951
2022-11-16,9.4,9.4,8.77,8.96,8.96,522577
2022-11-15,9.95,10.13,9.48,9.55,9.55,445473
2022-11-14,9.64,9.83,9.35,9.56,9.56,818975
2022-11-11,9.37,10.25,9.37,9.71,9.71,631041
2022-11-10,8.73,9.37,8.73,9.32,9.32,733805
2022-11-09,8.99,8.99,8.16,8.17,8.17,719807
2022-11-08,9.16,9.235,8.85,9.07,9.07,495988
2022-11-07,9.41,9.49,8.58,9.06,9.06,568319
2022-11-04,9.97,10.055,9.145,9.3,9.3,480556
2022-11-03,9.84,10.09,9.66,9.77,9.77,649608
2022-11-02,10.75,10.95,10.0,10.05,10.05,727236
2022-11-01,11.06,11.34,10.81,10.91,10.91,414670
2022-10-31,11.0,11.24,10.62,10.78,10.78,586092
2022-10-28,10.81,11.085,10.435,11.01,11.01,540659
2022-10-27,11.01,11.25,10.68,10.77,10.77,521451
2022-10-26,11.08,11.32,10.5301,10.89,10.89,710600
2022-10-25,11.07,11.54,10.91,11.05,11.05,578697
2022-10-24,10.97,10.97,10.43,10.84,10.84,517422
2022-10-21,10.5,11.015,10.09,10.97,10.97,608979
2022-10-20,10.2,10.93,10.1101,10.41,10.41,538801
2022-10-19,11.12,11.35,10.22,10.28,10.28,625496
2022-10-18,11.64,11.99,11.12,11.38,11.38,494900
2022-10-17,10.8,11.25,10.682,11.12,11.12,502898
2022-10-14,11.11,11.23,10.31,10.45,10.45,587865
2022-10-13,11.03,11.27,10.6,10.93,10.93,594637
2022-10-12,12.31,12.31,11.45,11.56,11.56,489692
2022-10-11,11.58,12.54,11.09,12.27,12.27,1180566
2022-10-10,11.42,11.43,10.76,11.4,11.4,693039
2022-10-07,12.29,13.4,11.2269,11.48,11.48,1188445
2022-10-06,12.52,13.2885,12.32,12.39,12.39,987584
2022-10-05,12.88,13.22,12.19,12.48,12.48,792933
2022-10-04,12.4,13.315,12.365,13.16,13.16,1312740
2022-10-03,11.65,12.14,11.3,11.82,11.82,885511
2022-09-30,12.51,12.69,11.255,11.42,11.42,1233598
2022-09-29,12.43,12.6796,11.93,12.52,12.52,595252
2022-09-28,11.97,12.91,11.97,12.8,12.8,1020663
2022-09-27,11.92,12.34,11.76,11.88,11.88,406764
2022-09-26,11.78,12.53,11.44,11.54,11.54,482470
2022-09-23,11.54,11.8257,11.36,11.77,11.77,371552
2022-09-22,11.91,12.19,11.265,11.88,11.88,691783
2022-09-21,12.36,12.9,11.94,12.28,12.28,424061
2022-09-20,11.71,12.56,11.71,12.23,12.23,619648
2022-09-19,12.24,12.33,11.65,11.93,11.93,507314
2022-09-16,12.24,12.78,11.586,12.51,12.51,1939693
2022-09-15,12.56,13.175,12.43,12.7,12.7,787738
2022-09-14,12.11,12.78,12.04,12.76,12.76,792138
2022-09-13,11.53,12.36,11.42,12.11,12.11,821492
2022-09-12,11.58,12.3,11.51,12.29,12.29,703559
2022-09-09,11.5,11.78,11.35,11.44,11.44,453752
2022-09-08,10.35,11.22,10.33,11.21,11.21,387666
2022-09-07,9.88,10.69,9.79,10.53,10.53,605560
2022-09-06,10.15,10.18,9.67,9.7,9.7,468542
2022-09-02,10.5,10.72,9.825,10.04,10.04,591920
2022-09-01,10.03,10.49,9.65,10.45,10.45,555190
2022-08-31,10.57,10.57,9.96,10.18,10.18,525250
2022-08-30,10.89,11.04,10.03,10.11,10.11,460502
2022-08-29,10.59,10.98,10.45,10.65,10.65,377826
2022-08-26,11.85,12.07,10.7,10.81,10.81,559427
2022-08-25,11.86,12.32,11.69,11.87,11.87,517976
2022-08-24,11.37,11.75,11.18,11.59,11.59,361004
2022-08-23,11.67,11.86,11.28,11.35,11.35,324428
2022-08-22,11.3,11.7,11.14,11.64,11.64,461636
2022-08-19,11.49,11.73,11.3,11.59,11.59,554439
