date,open,high,low,close,adjusted_close,volume
2023-06-02,20.82,20.94,20.8,20.92,20.5359,26816
2023-06-01,20.4,20.881,20.385,20.74,20.3592,38775
2023-05-31,19.88,20.58,19.83,20.44,20.0647,143727
2023-05-30,19.92,20.13,19.89,19.94,19.5739,27451
2023-05-26,19.82,20.08,19.76,19.89,19.5248,24716
2023-05-25,20.06,20.08,19.7,19.82,19.4561,35245
2023-05-24,20.2,20.34,20.17,20.17,19.7997,67725
2023-05-23,20.23,20.42,20.23,20.29,19.9175,42868
2023-05-22,20.15,20.3399,20.02,20.27,19.8978,28732
2023-05-19,20.11,20.195,20.01,20.175,19.8046,36748
2023-05-18,19.94,20.15,19.91,20.04,19.6721,37738
2023-05-17,19.83,19.97,19.7501,19.91,19.5444,71393
2023-05-16,19.98,19.98,19.65,19.72,19.3579,28096
2023-05-15,19.9,20.01,19.87,19.98,19.6132,24818
2023-05-12,19.782,19.93,19.75,19.905,19.5395,36430
2023-05-11,19.88,19.89,19.65,19.73,19.3678,22898
2023-05-10,19.85,20.0,19.68,19.82,19.4561,44883
2023-05-09,19.85,19.85,19.3635,19.7,19.3383,70581
2023-05-08,19.715,19.79,19.61,19.72,19.3579,34794
2023-05-05,19.58,19.8,19.58,19.79,19.4267,25088
2023-05-04,19.49,19.69,19.15,19.51,19.1518,65006
2023-05-03,19.65,20.06,19.51,19.51,19.1518,52772
2023-05-02,20.12,20.31,19.66,19.72,19.3579,79861
2023-05-01,20.4,20.43,20.11,20.16,19.7899,60430
2023-04-28,20.29,20.64,20.22,20.43,20.0549,93071
2023-04-27,19.94,20.3,19.76,20.28,19.9077,46403
2023-04-26,19.8,20.0,19.705,19.8377,19.4735,36035
2023-04-25,19.85,20.02,19.6402,19.87,19.5052,812627
2023-04-24,19.82,20.05,19.67,19.94,19.5739,110001
2023-04-21,20.01,20.01,19.78,19.8,19.4365,89776
2023-04-20,19.85,20.15,19.85,19.97,19.6033,160118
2023-04-19,19.78,20.0,19.67,20.0,19.6328,32825
2023-04-18,20.0,20.07,19.6701,19.73,19.3678,25675
2023-04-17,19.82,20.18,19.82,19.96,19.5935,24919
2023-04-14,19.78,20.1,19.57,20.1,19.731,40701
2023-04-13,19.53,19.79,19.4174,19.75,19.3874,31523
2023-04-12,19.37,19.6483,19.175,19.51,19.1518,66842
2023-04-11,19.19,19.38,19.1,19.3,18.9456,63252
2023-04-10,19.07,19.25,19.03,19.2,18.8475,28888
2023-04-06,19.2,19.225,19.0101,19.05,18.7002,42148
2023-04-05,19.23,19.38,19.11,19.12,18.769,78598
2023-04-04,19.55,19.55,19.34,19.34,18.9849,34609
2023-04-03,19.69,19.69,19.37,19.57,19.2107,41066
2023-03-31,19.74,19.92,19.47,19.51,19.1518,153347
2023-03-30,19.53,19.75,19.36,19.58,19.2205,52654
2023-03-29,19.1,19.88,19.09,19.72,18.9822,99268
2023-03-28,19.03,19.27,18.91,19.09,18.3757,31614
2023-03-27,18.85,19.09,18.85,19.04,18.3276,68132
2023-03-24,18.86,19.04,18.31,18.8,18.0966,235011
