date,open,high,low,close,adjusted_close,volume
2023-06-02,30.99,31.49,30.75,31.41,31.41,56200
2023-06-01,30.61,31.06,30.38,30.75,30.75,49800
2023-05-31,30.58,30.87,30.36,30.62,30.62,37100
2023-05-30,31.24,31.41,30.61,30.71,30.71,53500
2023-05-26,30.49,31.2,30.46,31.15,31.15,41300
2023-05-25,30.99,31.25,30.4,30.57,30.57,44900
2023-05-24,30.72,30.98,30.47,30.97,30.97,87700
2023-05-23,30.76,30.93,30.5,30.81,30.81,96400
2023-05-22,31.05,31.33,30.68,30.97,30.97,92800
2023-05-19,31.13,31.65,30.89,31.07,31.07,99100
2023-05-18,29.89,30.84,29.74,30.68,30.68,87100
2023-05-17,29.64,30.08,29.38,30.05,30.05,81700
2023-05-16,30.05,30.38,29.53,29.53,29.53,63100
2023-05-15,30.07,30.5,30.0,30.23,30.23,111000
2023-05-12,29.6,29.92,29.39,29.82,29.82,64000
2023-05-11,29.91,29.91,29.05,29.58,29.58,70500
2023-05-10,29.66,30.14,29.32,30.02,30.02,113000
2023-05-09,27.29,29.69,27.02,29.23,29.23,118700
2023-05-08,28.07,28.08,27.0,27.15,27.15,123500
2023-05-05,28.99,29.11,28.0,28.03,28.03,114800
2023-05-04,22.74,30.25,21.15,28.57,28.57,435300
2023-05-03,32.5,32.78,31.85,31.9,31.9,90600
2023-05-02,33.2,33.2,32.19,32.44,32.44,58300
2023-05-01,33.0,33.88,32.81,33.51,33.51,86800
2023-04-28,32.04,32.91,32.0,32.81,32.81,57200
2023-04-27,32.0,32.29,31.64,32.22,32.22,85100
2023-04-26,31.75,31.85,31.33,31.78,31.78,43000
2023-04-25,31.94,32.24,31.3,31.77,31.77,57400
2023-04-24,32.39,32.57,31.92,32.09,32.09,35600
2023-04-21,32.1,32.59,31.81,32.51,32.51,76100
2023-04-20,32.36,32.64,31.74,32.13,32.13,95400
2023-04-19,32.5,32.79,32.25,32.71,32.71,49337
2023-04-18,32.99,33.294,32.34,32.83,32.83,68610
2023-04-17,33.93,33.93,32.57,32.93,32.93,92184
2023-04-14,34.19,34.5063,33.42,34.02,34.02,104916
2023-04-13,34.13,34.33,34.0,34.21,34.21,36678
2023-04-12,34.26,34.38,33.78,34.03,34.03,41777
