date,open,high,low,close,adjusted_close,volume
2023-06-02,53.59,55.525,52.77,55.26,55.26,874500
2023-06-01,52.0,53.26,51.15,52.81,52.81,737000
2023-05-31,49.87,52.27,49.8,52.07,52.07,1463100
2023-05-30,52.15,52.43,49.931,50.04,50.04,504700
2023-05-26,49.81,51.315,49.57,51.22,51.22,1055900
2023-05-25,51.02,51.46,49.47,49.51,49.51,746400
2023-05-24,51.23,51.58,50.81,50.87,50.87,689600
2023-05-23,53.41,54.31,51.7,51.87,51.87,961000
2023-05-22,53.28,54.41,52.91,54.12,54.12,780100
2023-05-19,55.02,55.29,53.35,53.59,53.59,369400
2023-05-18,53.74,54.96,53.73,54.84,54.84,604500
2023-05-17,52.07,54.08,51.91,54.01,54.01,549200
2023-05-16,52.51,52.86,51.8,51.88,51.88,464500
2023-05-15,52.1,53.37,51.83,53.15,53.15,812600
2023-05-12,53.48,53.67,52.005,52.2,52.2,716200
2023-05-11,54.21,54.46,53.18,53.53,53.53,355000
2023-05-10,54.58,55.42,53.58,54.62,54.62,610400
2023-05-09,52.36,53.725,52.36,53.53,53.53,582400
2023-05-08,54.56,55.23,52.06,52.76,52.76,865700
2023-05-05,56.0,56.73,53.2,53.82,53.82,1634700
2023-05-04,51.85,52.48,50.66,51.04,51.04,1065000
2023-05-03,52.58,53.12,51.38,51.76,51.76,788700
2023-05-02,55.32,55.55,52.36,52.57,52.57,855500
2023-05-01,55.42,56.235,54.9,55.6,55.6,598600
2023-04-28,54.5,56.0,53.53,55.71,55.71,726400
2023-04-27,55.61,55.82,54.638,54.99,54.99,370000
2023-04-26,56.13,56.9,54.71,55.04,55.04,662200
2023-04-25,59.22,59.22,55.23,55.46,55.46,1321400
2023-04-24,61.5,62.06,59.63,60.03,60.03,405200
2023-04-21,62.54,62.95,61.62,61.78,61.78,259200
2023-04-20,61.16,62.985,60.05,62.65,62.65,496900
2023-04-19,62.27,62.95,62.04,62.07,62.07,164500
2023-04-18,63.71,63.91,62.51,62.95,62.95,263100
2023-04-17,62.68,63.335,62.338,63.28,63.28,157600
2023-04-14,63.73,63.73,61.69,62.75,62.75,238200
2023-04-13,61.33,63.79,61.185,63.67,63.67,676300
2023-04-12,62.5,62.95,60.38,60.72,60.72,264600
2023-04-11,60.6,61.67,59.77,61.64,61.64,485300
2023-04-10,60.25,60.85,58.945,60.83,60.83,629800
2023-04-06,61.9,61.9,60.78,61.05,61.05,458700
2023-04-05,63.06,63.4,61.29,61.75,61.75,594100
2023-04-04,64.55,64.79,62.99,63.33,63.33,555200
2023-04-03,66.54,66.54,64.06,64.48,64.48,435000
2023-03-31,65.35,67.45,65.35,67.15,67.15,547900
2023-03-30,66.0,66.58,64.645,64.71,64.71,372100
2023-03-29,64.59,65.89,64.25,65.36,65.36,363400
2023-03-28,63.52,64.28,63.09,63.59,63.59,302600
2023-03-27,63.7,64.53,62.82,63.81,63.81,250100
2023-03-24,63.24,63.56,62.13,62.83,62.83,320200
2023-03-23,63.25,65.28,63.25,63.67,63.67,269300
2023-03-22,65.25,65.25,62.41,62.62,62.62,528400
2023-03-21,64.34,66.07,63.83,65.5,65.5,352800
2023-03-20,66.6,66.6,63.23,63.76,63.76,768300
2023-03-17,66.29,66.97,65.46,66.75,66.75,731900
2023-03-16,63.54,66.31,63.35,66.15,66.15,572000
2023-03-15,61.46,63.97,60.86,63.96,63.96,721300
2023-03-14,63.99,65.17,61.06,62.77,62.77,653100
2023-03-13,60.13,63.175,59.6,61.99,61.99,879400
2023-03-10,63.85,63.85,60.36,60.51,60.51,896300
2023-03-09,67.1,67.75,64.08,64.17,64.17,534500
2023-03-08,67.13,67.6,66.305,67.17,67.17,259400
2023-03-07,67.94,69.29,66.99,67.17,67.17,459200
2023-03-06,70.91,70.91,67.69,68.05,68.05,809100
2023-03-03,70.48,71.34,69.76,70.51,70.51,409900
2023-03-02,68.61,70.21,68.06,69.55,69.55,233700
2023-03-01,68.31,69.76,67.54,69.22,69.22,364500
2023-02-28,68.5,69.67,68.29,68.36,68.36,528400
2023-02-27,72.09,72.09,68.41,68.87,68.87,361600
2023-02-24,69.23,71.185,69.0,71.07,71.07,417200
2023-02-23,71.92,72.5,69.96,70.83,70.83,232700
2023-02-22,71.39,72.41,70.63,71.48,71.48,402300
2023-02-21,69.77,71.839,69.25,71.42,71.42,750600
2023-02-17,72.22,72.48,70.74,71.72,71.72,505400
2023-02-16,72.12,73.429,71.253,72.31,72.31,811400
2023-02-15,70.9,77.0,70.24,74.0,74.0,1322600
2023-02-14,72.56,75.31,71.565,72.57,72.57,894500
2023-02-13,73.35,74.0,71.71,73.05,73.05,537200
2023-02-10,73.07,73.65,72.33,72.55,72.55,516300
2023-02-09,75.5,75.855,74.11,74.32,74.32,438800
2023-02-08,74.99,75.05,73.47,74.3,74.3,353100
2023-02-07,73.62,75.06,72.487,74.99,74.99,479300
2023-02-06,75.0,75.68,73.485,73.62,73.62,361300
2023-02-03,74.59,76.89,74.55,76.0,76.0,502300
2023-02-02,75.31,77.9,75.19,77.6,77.6,685300
2023-02-01,71.8,74.65,71.7,73.83,73.83,589600
2023-01-31,70.75,72.145,70.73,71.8,71.8,325600
2023-01-30,70.75,71.65,70.05,70.5,70.5,230700
2023-01-27,69.25,71.99,69.25,71.73,71.73,414400
2023-01-26,68.64,70.06,67.89,69.74,69.74,536700
2023-01-25,67.33,67.67,64.64,67.2,67.2,642200
2023-01-24,70.83,72.0,69.345,69.42,69.42,418500
2023-01-23,69.1,70.89,68.61,70.79,70.79,422600
2023-01-20,66.51,68.96,65.605,68.88,68.88,570500
2023-01-19,67.19,68.38,65.835,65.9,65.9,611100
2023-01-18,68.7,71.48,67.52,67.7,67.7,581700
2023-01-17,70.19,71.114,67.995,70.16,70.16,496700
2023-01-13,71.77,72.981,70.45,70.64,70.64,420600
2023-01-12,71.64,72.94,69.5,72.82,72.82,300700
2023-01-11,71.0,72.193,70.621,71.33,71.33,274400
2023-01-10,68.48,71.12,68.21,70.81,70.81,254600
2023-01-09,67.66,70.735,67.66,68.88,68.88,370700
2023-01-06,67.15,69.4,65.27,69.02,69.02,384500
2023-01-05,67.97,68.81,66.34,66.44,66.44,406800
2023-01-04,69.11,69.15,67.72,68.66,68.66,377900
2023-01-03,68.5,69.9,66.82,67.84,67.84,257200
2022-12-30,66.24,67.77,65.57,67.27,67.27,238900
2022-12-29,65.26,68.08,65.028,67.47,67.47,245800
2022-12-28,64.56,64.85,63.87,64.35,64.35,275300
2022-12-27,65.36,65.49,64.0,64.7,64.7,223400
2022-12-23,65.68,66.28,64.69,65.81,65.81,224300
2022-12-22,65.02,66.3,64.77,66.03,66.03,257700
2022-12-21,66.27,66.95,65.21,66.08,66.08,298000
2022-12-20,64.9,66.69,64.69,65.82,65.82,276300
2022-12-19,68.59,68.59,65.22,65.55,65.55,356400
2022-12-16,67.14,69.13,66.22,68.63,68.63,625400
2022-12-15,69.58,70.49,67.6,68.23,68.23,463600
2022-12-14,70.94,73.205,70.16,70.99,70.99,392100
2022-12-13,72.96,73.64,69.795,71.13,71.13,412400
2022-12-12,66.79,70.96,65.47,69.27,69.27,805300
2022-12-09,67.53,68.6,66.02,66.19,66.19,330100
2022-12-08,64.29,68.88,64.14,67.84,67.84,580800
2022-12-07,62.17,63.96,61.45,63.85,63.85,411100
2022-12-06,64.71,64.75,62.28,62.41,62.41,442200
2022-12-05,66.69,66.995,64.25,65.17,65.17,397200
2022-12-02,67.28,68.405,66.43,67.29,67.29,379700
2022-12-01,67.46,69.88,66.995,69.22,69.22,429200
2022-11-30,63.71,67.775,63.62,67.69,67.69,578000
2022-11-29,62.72,64.06,62.4,63.86,63.86,255200
2022-11-28,62.49,63.48,61.88,62.56,62.56,317100
2022-11-25,62.94,63.84,61.97,63.08,63.08,102500
2022-11-23,60.57,63.67,59.73,63.14,63.14,481900
2022-11-22,60.19,60.7,58.03,60.57,60.57,253900
2022-11-21,59.75,60.71,58.36,60.48,60.48,343900
2022-11-18,63.72,63.91,59.99,60.52,60.52,278100
2022-11-17,62.0,63.535,61.09,61.78,61.78,457700
2022-11-16,65.05,66.305,63.55,64.2,64.2,309800
2022-11-15,64.12,67.52,64.1,65.84,65.84,688700
2022-11-14,65.04,65.06,63.4,63.49,63.49,379200
2022-11-11,61.98,66.51,61.51,65.68,65.68,422500
2022-11-10,58.52,62.32,58.51,62.12,62.12,813800
2022-11-09,54.75,55.51,53.61,54.47,54.47,458400
2022-11-08,57.9,57.9,54.96,55.24,55.24,710300
2022-11-07,57.82,58.18,54.84,57.49,57.49,911300
2022-11-04,55.0,58.56,52.94,57.86,57.86,1522800
2022-11-03,50.66,51.91,48.73,49.02,49.02,993200
2022-11-02,54.65,54.82,51.205,51.5,51.5,1329400
2022-11-01,57.12,57.44,54.33,54.5,54.5,488800
2022-10-31,56.98,57.39,55.78,56.0,56.0,475000
2022-10-28,57.01,58.155,55.363,57.1,57.1,482900
2022-10-27,56.85,58.22,56.19,56.91,56.91,278300
2022-10-26,55.97,58.02,54.18,56.15,56.15,307800
2022-10-25,53.13,56.85,52.42,56.63,56.63,759000
2022-10-24,53.19,53.478,51.18,52.4,52.4,436700
2022-10-21,55.545,55.66,51.83,53.18,53.18,946200
2022-10-20,55.27,58.415,54.81,56.63,56.63,459100
2022-10-19,58.36,59.68,55.355,55.48,55.48,551600
2022-10-18,62.34,62.93,59.94,60.99,60.99,462400
2022-10-17,60.27,62.15,60.27,60.73,60.73,336300
2022-10-14,61.14,61.73,57.8,57.93,57.93,282700
2022-10-13,57.54,62.37,56.41,60.49,60.49,563000
2022-10-12,58.31,59.48,56.97,59.41,59.41,407900
2022-10-11,59.89,59.95,57.56,58.36,58.36,431500
2022-10-10,62.54,62.72,59.215,60.14,60.14,428600
2022-10-07,64.74,64.74,61.32,62.52,62.52,341800
2022-10-06,64.91,66.33,64.8,66.1,66.1,300300
2022-10-05,64.06,65.89,63.435,65.19,65.19,354700
2022-10-04,63.26,65.45,63.2,65.4,65.4,535000
2022-10-03,60.68,62.135,59.96,61.51,61.51,337600
2022-09-30,60.12,61.96,59.8,59.9,59.9,489200
2022-09-29,59.21,60.5,58.19,60.27,60.27,638700
2022-09-28,56.31,60.73,55.69,60.43,60.43,1190400
2022-09-27,57.73,57.82,55.48,55.83,55.83,579800
2022-09-26,58.0,59.43,56.17,56.77,56.77,909200
2022-09-23,58.9,59.27,57.05,58.15,58.15,751800
2022-09-22,62.25,62.435,59.9,60.44,60.44,450100
2022-09-21,64.59,65.29,62.57,62.83,62.83,425200
2022-09-20,65.84,66.06,63.55,64.29,64.29,268200
2022-09-19,65.52,66.525,64.38,66.45,66.45,377900
2022-09-16,68.36,68.74,66.05,66.63,66.63,601100
2022-09-15,70.12,72.51,69.24,69.86,69.86,259700
2022-09-14,71.02,71.47,69.24,71.0,71.0,290000
2022-09-13,70.81,72.17,69.165,70.82,70.82,397400
2022-09-12,73.49,74.64,72.79,74.22,74.22,369100
2022-09-09,71.53,74.0,71.52,73.21,73.21,479900
2022-09-08,68.1,70.905,67.548,70.81,70.81,528400
2022-09-07,66.2,68.69,65.9,68.56,68.56,399800
2022-09-06,65.92,66.755,64.785,66.08,66.08,373100
2022-09-02,65.71,66.59,64.625,65.67,65.67,525400
2022-09-01,66.32,67.62,61.41,65.04,65.04,1345000
2022-08-31,69.18,69.72,67.76,67.94,67.94,430100
2022-08-30,67.47,68.64,67.175,67.56,67.56,444200
2022-08-29,67.25,68.66,67.25,67.27,67.27,241800
2022-08-26,71.35,71.37,67.43,68.44,68.44,461700
2022-08-25,71.58,71.77,70.22,71.35,71.35,483100
2022-08-24,68.87,71.04,68.71,70.69,70.69,355400
2022-08-23,70.22,70.97,68.29,68.85,68.85,612000
2022-08-22,69.91,70.49,68.86,70.29,70.29,464600
2022-08-19,72.91,73.27,70.67,71.39,71.39,474600
2022-08-18,74.35,74.41,71.71,73.8,73.8,787900
2022-08-17,67.85,76.08,67.51,74.35,74.35,1625400
2022-08-16,69.75,69.93,67.855,69.11,69.11,338100
2022-08-15,69.39,70.49,68.64,70.17,70.17,305300
2022-08-12,68.81,69.913,68.02,69.76,69.76,287300
2022-08-11,71.04,71.04,67.34,67.92,67.92,449300
2022-08-10,68.1,70.63,67.51,69.87,69.87,604600
2022-08-09,65.65,65.65,63.56,65.39,65.39,583500
2022-08-08,68.0,68.915,65.65,66.5,66.5,493100
2022-08-05,65.59,68.945,64.7,67.27,67.27,668900
2022-08-04,67.24,67.99,65.77,67.62,67.62,604200
2022-08-03,64.99,67.45,64.7,66.93,66.93,448600
2022-08-02,62.84,65.08,62.66,64.34,64.34,556000
2022-08-01,62.42,64.38,60.41,63.33,63.33,464600
2022-07-29,63.71,63.97,62.21,63.22,63.22,472000
2022-07-28,63.41,64.47,61.745,63.41,63.41,295900
2022-07-27,62.61,64.01,61.72,63.46,63.46,473800
2022-07-26,63.63,63.63,61.065,61.62,61.62,516600
2022-07-25,65.61,65.61,63.03,64.06,64.06,531500
2022-07-22,67.71,68.5,64.03,65.35,65.35,530300
2022-07-21,64.6,67.71,63.94,67.71,67.71,655700
2022-07-20,62.14,65.5,62.14,65.03,65.03,723100
2022-07-19,61.85,62.24,60.567,61.83,61.83,857300
2022-07-18,66.47,67.87,61.08,61.38,61.38,1496200
2022-07-15,67.01,69.15,66.145,68.5,68.5,1130100
2022-07-14,69.79,71.18,65.34,65.93,65.93,810800
2022-07-13,68.2,70.47,67.05,69.89,69.89,597300
2022-07-12,73.41,75.25,68.79,69.72,69.72,617500
2022-07-11,74.86,75.61,72.1,73.7,73.7,559300
2022-07-08,73.7,76.28,73.56,75.75,75.75,512400
2022-07-07,70.42,74.83,70.42,74.65,74.65,531000
2022-07-06,73.04,73.76,70.61,70.65,70.65,312900
2022-07-05,67.33,72.51,66.66,72.485,72.485,549900
2022-07-01,67.0,68.26,65.79,68.01,68.01,345500
2022-06-30,68.06,68.09,65.53,66.6,66.6,597600
2022-06-29,69.77,70.175,68.21,68.95,68.95,526200
2022-06-28,72.95,74.09,69.78,70.0,70.0,742400
2022-06-27,75.23,75.93,72.61,73.05,73.05,462400
2022-06-24,70.85,75.34,70.63,75.19,75.19,736900
2022-06-23,68.21,70.4,67.26,69.81,69.81,672900
2022-06-22,67.19,69.7,66.965,67.5,67.5,729800
2022-06-21,68.13,70.04,68.03,68.14,68.14,351700
2022-06-17,67.12,68.65,66.45,67.73,67.73,877700
2022-06-16,66.88,67.43,64.33,66.13,66.13,1098800
2022-06-15,69.17,71.18,67.86,68.93,68.93,888000
2022-06-14,67.69,69.34,66.53,68.06,68.06,763300
2022-06-13,69.77,71.38,66.555,67.82,67.82,1126900
2022-06-10,73.03,73.68,71.22,72.77,72.77,715600
2022-06-09,75.99,76.7,73.82,74.52,74.52,760900
2022-06-08,78.0,79.23,76.431,76.8,76.8,345600
2022-06-07,74.85,78.4,74.59,78.32,78.32,714500
2022-06-06,76.72,77.66,75.2,76.09,76.09,742800
2022-06-03,76.07,76.52,74.57,75.81,75.81,697000
2022-06-02,73.11,77.45,71.37,77.29,77.29,640800
2022-06-01,73.7,74.615,70.82,72.73,72.73,663100
2022-05-31,72.22,73.89,71.33,73.22,73.22,820700
