date,open,high,low,close,adjusted_close,volume
2023-06-02,35.16,35.79,34.72,35.61,35.61,295400
2023-06-01,34.35,35.13,33.86,34.89,34.89,284300
2023-05-31,34.71,35.2,34.23,34.35,34.35,387300
2023-05-30,34.83,35.19,34.32,34.68,34.68,204500
2023-05-26,33.95,34.99,33.83,34.86,34.86,291800
2023-05-25,34.4,34.53,33.77,34.0,34.0,152800
2023-05-24,35.1,35.26,34.42,34.52,34.52,151900
2023-05-23,35.07,35.45,34.95,35.09,35.09,458700
2023-05-22,35.39,35.85,34.91,35.15,35.15,263100
2023-05-19,36.07,36.07,35.35,35.38,35.38,330100
2023-05-18,35.5,35.93,35.1,35.63,35.63,170300
2023-05-17,35.0,35.73,34.61,35.7,35.7,218600
2023-05-16,35.2,35.64,34.93,34.93,34.93,137600
2023-05-15,35.52,35.93,35.19,35.35,35.35,164400
2023-05-12,36.13,36.2,35.16,35.3,35.3,226900
2023-05-11,35.61,36.32,35.61,36.2,36.2,103600
2023-05-10,36.14,36.15,35.4,35.88,35.88,133300
2023-05-09,36.32,36.46,35.42,35.66,35.66,180700
2023-05-08,37.47,37.65,35.83,36.31,36.31,152000
2023-05-05,37.36,37.9,34.35,37.26,37.26,157800
2023-05-04,35.37,37.34,34.7,37.2,37.2,259100
2023-05-03,34.85,35.39,34.67,34.84,34.84,229800
2023-05-02,35.0,35.38,34.26,34.9,34.9,174200
2023-05-01,35.4,35.83,35.1,35.22,35.22,78900
2023-04-28,35.06,35.66,35.06,35.33,35.33,111000
2023-04-27,34.87,35.07,34.36,35.01,35.01,109400
2023-04-26,35.06,35.4,34.54,34.66,34.66,148400
2023-04-25,35.67,35.86,35.25,35.26,35.26,93800
2023-04-24,35.38,36.1,35.11,35.99,35.99,115500
2023-04-21,35.87,36.62,35.2,35.38,35.38,156700
2023-04-20,35.31,36.25,35.11,35.86,35.86,175200
2023-04-19,37.47,37.63,34.32,35.35,35.35,359300
2023-04-18,38.53,38.8,37.94,38.06,38.06,65200
2023-04-17,37.9,38.5,37.84,38.49,38.49,61600
2023-04-14,38.16,38.53,37.2,37.78,37.78,96300
2023-04-13,38.1,38.48,37.77,38.19,38.19,76900
2023-04-12,39.03,39.03,38.0,38.09,38.09,99100
2023-04-11,38.68,39.26,38.68,38.78,38.78,84800
2023-04-10,38.23,38.9,37.21,38.61,38.61,181100
2023-04-06,38.64,38.65,37.5,38.39,38.39,62200
2023-04-05,38.61,38.95,38.16,38.47,38.47,76200
2023-04-04,39.66,39.77,38.36,38.82,38.82,101300
2023-04-03,39.07,39.58,38.87,39.52,39.52,158200
2023-03-31,38.64,39.35,38.4,39.07,39.07,181300
2023-03-30,38.61,38.76,38.29,38.37,38.37,71000
2023-03-29,38.34,38.88,37.85,38.37,38.37,104200
2023-03-28,37.88,38.42,37.81,38.16,38.16,117400
2023-03-27,37.89,38.28,37.8,38.06,38.06,120400
2023-03-24,37.0,37.7,36.66,37.67,37.67,133500
2023-03-23,37.69,38.09,36.98,37.13,37.13,176700
2023-03-22,37.96,38.76,37.47,37.59,37.59,177100
2023-03-21,38.1,39.06,37.81,38.05,38.05,155600
2023-03-20,37.46,38.43,37.24,37.75,37.75,178800
2023-03-17,38.13,38.15,37.12,37.18,37.18,614800
2023-03-16,37.24,38.53,36.85,38.32,38.32,139800
2023-03-15,36.63,37.66,36.54,37.56,37.56,156400
2023-03-14,37.9,38.18,36.76,37.33,37.33,142500
2023-03-13,36.89,37.64,36.76,36.95,36.95,157300
2023-03-10,37.57,37.57,37.09,37.29,37.29,147100
2023-03-09,37.85,37.98,37.52,37.74,37.74,173800
2023-03-08,37.57,37.88,36.67,37.65,37.65,116000
2023-03-07,37.51,37.65,37.2,37.45,37.45,142700
2023-03-06,38.57,38.57,37.1,37.54,37.54,239500
2023-03-03,38.71,38.71,38.03,38.45,38.45,88800
2023-03-02,37.97,38.53,37.97,38.49,38.49,79700
2023-03-01,38.4,38.54,37.68,38.14,38.14,92100
2023-02-28,38.18,38.53,37.76,38.43,38.43,199400
2023-02-27,38.8,38.95,38.11,38.11,38.11,114000
2023-02-24,38.51,38.63,37.81,38.48,38.48,126300
2023-02-23,39.54,39.82,38.38,38.81,38.81,166000
2023-02-22,39.66,40.37,39.26,39.46,39.46,197000
2023-02-21,40.4,40.94,39.6,39.6,39.6,161400
2023-02-17,40.24,41.06,39.84,40.85,40.85,147300
2023-02-16,39.89,40.32,39.27,40.04,40.04,283900
2023-02-15,39.87,40.58,39.59,40.36,40.36,126000
2023-02-14,40.91,41.25,39.95,40.18,40.18,134400
2023-02-13,40.71,41.04,40.46,41.04,41.04,93700
2023-02-10,40.79,41.02,39.93,40.65,40.65,125300
2023-02-09,41.44,41.79,40.39,40.75,40.75,126900
2023-02-08,40.51,41.51,40.49,41.44,41.44,172300
2023-02-07,40.5,40.97,37.38,40.82,40.82,300800
2023-02-06,41.04,41.16,40.0,40.65,40.65,194700
2023-02-03,40.33,41.74,40.33,41.33,41.33,230800
2023-02-02,40.01,40.96,39.78,40.6,40.6,312000
2023-02-01,38.88,41.11,38.83,39.93,39.93,294900
2023-01-31,38.81,39.86,38.68,39.63,39.63,241700
2023-01-30,38.84,39.48,38.36,38.48,38.48,140500
2023-01-27,38.67,39.03,38.35,38.92,38.92,75000
2023-01-26,39.12,39.12,38.44,38.61,38.61,92700
2023-01-25,38.61,38.92,37.81,38.87,38.87,76700
2023-01-24,39.21,39.43,38.66,38.75,38.75,69400
2023-01-23,38.67,39.86,38.49,39.25,39.25,235000
2023-01-20,38.34,38.73,37.8,38.73,38.73,117800
2023-01-19,37.76,38.39,37.53,38.0,38.0,106600
2023-01-18,38.29,38.83,37.76,38.0,38.0,135800
2023-01-17,38.23,38.96,37.98,38.25,38.25,131300
2023-01-13,37.29,38.43,37.17,38.34,38.34,133300
2023-01-12,37.47,38.22,37.29,37.54,37.54,305200
2023-01-11,36.63,37.31,36.58,37.3,37.3,257900
2023-01-10,35.7,36.47,35.4,36.47,36.47,260300
2023-01-09,35.7,36.27,34.73,35.7,35.7,171500
2023-01-06,34.94,36.23,34.8,35.77,35.77,221300
2023-01-05,34.64,35.04,34.21,34.63,34.63,131000
2023-01-04,35.28,35.59,34.79,34.9,34.9,169900
2023-01-03,36.09,36.31,34.56,35.22,35.22,322200
2022-12-30,35.91,36.17,35.71,35.8,35.8,117800
2022-12-29,35.65,36.28,34.88,36.13,36.13,103500
2022-12-28,36.14,36.65,35.29,35.36,35.36,108000
2022-12-27,36.17,36.3,35.85,36.22,36.22,95600
2022-12-23,36.08,36.28,35.8,36.17,36.17,110500
2022-12-22,35.97,36.12,35.3,36.1,36.1,105500
2022-12-21,35.87,36.44,35.82,36.2,36.2,144200
2022-12-20,35.75,35.96,35.24,35.57,35.57,150000
2022-12-19,34.73,36.0,34.53,35.71,35.71,222400
2022-12-16,34.73,35.21,34.01,34.83,34.83,1025800
2022-12-15,35.71,35.75,34.93,34.98,34.98,189000
2022-12-14,36.72,36.87,35.82,36.05,36.05,177600
2022-12-13,38.13,38.42,36.61,36.66,36.66,148500
2022-12-12,37.3,37.44,36.51,37.44,37.44,145700
2022-12-09,37.15,37.74,37.15,37.26,37.26,117000
2022-12-08,37.05,37.57,36.51,37.39,37.39,137200
2022-12-07,38.11,38.49,37.03,37.05,37.05,136900
2022-12-06,38.69,38.69,37.72,38.09,38.09,120300
2022-12-05,39.04,39.04,38.28,38.76,38.76,172100
2022-12-02,38.0,39.45,38.0,39.44,39.44,124100
2022-12-01,39.07,39.39,38.23,38.27,38.27,116300
2022-11-30,38.14,39.2,37.55,39.07,39.07,147700
2022-11-29,38.24,38.74,38.0,38.42,38.42,137800
2022-11-28,37.68,38.65,37.61,38.23,38.23,149800
2022-11-25,37.87,38.5,37.6,38.04,38.04,81900
