date,open,high,low,close,adjusted_close,volume
2023-06-02,0.431,0.431,0.42,0.428,0.428,367300
2023-06-01,0.436,0.45,0.401,0.431,0.431,245700
2023-05-31,0.439,0.456,0.414,0.45,0.45,740200
2023-05-30,0.414,0.445,0.4,0.439,0.439,690400
2023-05-26,0.375,0.415,0.375,0.415,0.415,778000
2023-05-25,0.38,0.44,0.371,0.394,0.394,1657400
2023-05-24,0.389,0.393,0.363,0.384,0.384,480700
2023-05-23,0.355,0.387,0.352,0.387,0.387,439400
2023-05-22,0.37,0.371,0.35,0.355,0.355,448500
2023-05-19,0.387,0.387,0.361,0.373,0.373,328200
2023-05-18,0.392,0.397,0.37,0.387,0.387,188000
2023-05-17,0.38,0.4,0.38,0.39,0.39,145900
2023-05-16,0.4,0.41,0.375,0.381,0.381,143700
2023-05-15,0.404,0.41,0.392,0.398,0.398,118200
2023-05-12,0.398,0.42,0.374,0.395,0.395,219300
2023-05-11,0.42,0.44,0.392,0.41,0.41,277000
2023-05-10,0.416,0.44,0.385,0.438,0.438,515100
2023-05-09,0.41,0.41,0.361,0.406,0.406,872000
2023-05-08,0.365,0.409,0.355,0.404,0.404,451900
2023-05-05,0.37,0.37,0.358,0.365,0.365,319300
2023-05-04,0.376,0.38,0.354,0.365,0.365,219900
2023-05-03,0.365,0.38,0.34,0.376,0.376,205200
2023-05-02,0.381,0.388,0.33,0.365,0.365,382400
2023-05-01,0.39,0.391,0.371,0.381,0.381,279400
2023-04-28,0.355,0.392,0.34,0.373,0.373,630300
2023-04-27,0.357,0.36,0.32,0.346,0.346,854200
2023-04-26,0.436,0.488,0.33,0.356,0.356,5340800
2023-04-25,0.4,0.41,0.392,0.393,0.393,143900
2023-04-24,0.421,0.421,0.4,0.404,0.404,137300
2023-04-21,0.4,0.43,0.4,0.416,0.416,309300
2023-04-20,0.408,0.432,0.404,0.409,0.409,230500
2023-04-19,0.418,0.42,0.4,0.41,0.41,247200
2023-04-18,0.408,0.419,0.4,0.407,0.407,191200
2023-04-17,0.4,0.418,0.385,0.409,0.409,387600
2023-04-14,0.385,0.41,0.385,0.4,0.4,454100
2023-04-13,0.395,0.395,0.375,0.388,0.388,456400
2023-04-12,0.422,0.43,0.39,0.39,0.39,897100
2023-04-11,0.43,0.44,0.42,0.422,0.422,237600
2023-04-10,0.451,0.46,0.418,0.435,0.435,509900
2023-04-06,0.45,0.46,0.45,0.453,0.453,120900
2023-04-05,0.46,0.465,0.45,0.453,0.453,90000
2023-04-04,0.463,0.47,0.45,0.46,0.46,164200
2023-04-03,0.488,0.49,0.46,0.468,0.468,209100
2023-03-31,0.463,0.48,0.46,0.464,0.464,239000
2023-03-30,0.466,0.477,0.46,0.467,0.467,159100
2023-03-29,0.5,0.5,0.46,0.465,0.465,187100
2023-03-28,0.49,0.5,0.48,0.487,0.487,235300
2023-03-27,0.479,0.51,0.47,0.493,0.493,519000
2023-03-24,0.49,0.495,0.451,0.472,0.472,417100
2023-03-23,0.44,0.505,0.44,0.501,0.501,654200
2023-03-22,0.472,0.473,0.43,0.431,0.431,531200
2023-03-21,0.47,0.495,0.454,0.479,0.479,487900
2023-03-20,0.52,0.521,0.452,0.464,0.464,740100
2023-03-17,0.52,0.54,0.495,0.536,0.536,1570200
2023-03-16,0.577,0.58,0.5,0.524,0.524,1281800
2023-03-15,0.6,0.62,0.526,0.54,0.54,1066900
2023-03-14,0.55,0.625,0.52,0.601,0.601,2134800
2023-03-13,0.46,0.631,0.44,0.511,0.511,7026000
2023-03-10,0.761,0.765,0.403,0.418,0.418,4573700
2023-03-09,0.77,0.786,0.75,0.77,0.77,1055900
2023-03-08,0.831,0.831,0.751,0.765,0.765,1515800
2023-03-07,0.86,0.86,0.809,0.837,0.837,785800
2023-03-06,0.951,0.951,0.856,0.86,0.86,494100
2023-03-03,0.942,0.972,0.94,0.952,0.952,869800
2023-03-02,0.97,0.986,0.862,0.949,0.949,1374100
2023-03-01,1.05,1.05,0.94,0.964,0.964,715300
2023-02-28,1.07,1.09,1.03,1.04,1.04,195300
2023-02-27,1.1,1.11,1.05,1.05,1.05,236700
2023-02-24,1.14,1.14,1.1,1.1,1.1,213100
2023-02-23,1.15,1.17,1.13,1.14,1.14,204900
2023-02-22,1.17,1.2,1.14,1.15,1.15,264600
