date,open,high,low,close,adjusted_close,volume
2023-06-02,11.27,11.82,11.227,11.78,11.78,217100
2023-06-01,11.73,11.735,11.035,11.32,11.32,237300
2023-05-31,11.93,12.01,11.603,11.88,11.88,833000
2023-05-30,12.18,12.26,11.91,11.96,11.96,181100
2023-05-26,11.81,12.14,11.74,12.08,12.08,112100
2023-05-25,12.11,12.11,11.66,11.78,11.78,141900
2023-05-24,12.42,12.55,12.07,12.11,12.11,251700
2023-05-23,12.09,12.62,12.09,12.56,12.56,184800
2023-05-22,11.86,12.26,11.651,12.17,12.17,99600
2023-05-19,11.86,11.88,11.53,11.84,11.84,121000
2023-05-18,11.6,11.78,11.36,11.68,11.68,89700
2023-05-17,11.43,11.62,11.255,11.55,11.55,96200
2023-05-16,11.6,11.6,11.35,11.35,11.35,85800
2023-05-15,11.52,11.695,11.44,11.68,11.68,124000
2023-05-12,12.2,12.2,11.49,11.53,11.53,160500
2023-05-11,12.67,12.67,12.03,12.23,12.23,113100
2023-05-10,12.9,13.47,12.14,12.71,12.71,323800
2023-05-09,12.32,12.43,12.09,12.24,12.24,144100
2023-05-08,12.21,12.41,12.105,12.31,12.31,99100
2023-05-05,12.13,12.35,12.07,12.22,12.22,128000
2023-05-04,12.0,12.26,11.89,12.07,12.07,156200
2023-05-03,12.01,12.27,11.8,12.05,12.05,200900
2023-05-02,11.95,12.09,11.805,12.01,12.01,126900
2023-05-01,11.95,12.09,11.86,12.01,12.01,122000
2023-04-28,12.0,12.185,11.8,12.07,12.07,147800
2023-04-27,12.32,12.53,11.85,12.04,12.04,198900
2023-04-26,12.53,12.56,12.22,12.25,12.25,209900
2023-04-25,12.59,12.86,12.26,12.5,12.5,199500
2023-04-24,12.95,13.12,12.65,12.77,12.77,289500
2023-04-21,11.24,13.27,11.24,13.01,13.01,1020600
2023-04-20,11.21,11.51,11.21,11.27,11.27,256400
2023-04-19,11.23,11.6,11.23,11.35,11.35,230800
2023-04-18,11.49,11.6,11.265,11.29,11.29,329500
2023-04-17,11.4,11.63,11.28,11.44,11.44,122900
2023-04-14,11.37,11.6,11.28,11.4,11.4,166400
2023-04-13,11.21,11.54,11.09,11.43,11.43,162900
2023-04-12,11.1,11.485,10.92,11.08,11.08,182100
2023-04-11,10.71,11.07,10.65,11.0,11.0,172200
2023-04-10,10.28,10.74,9.52,10.71,10.71,244000
2023-04-06,10.28,10.45,10.13,10.31,10.31,225100
2023-04-05,10.94,11.03,10.0,10.34,10.34,326600
2023-04-04,10.98,11.29,10.95,11.0,11.0,212900
2023-04-03,10.41,10.98,10.41,10.94,10.94,282800
2023-03-31,10.01,10.63,10.0,10.58,10.58,320300
2023-03-30,10.19,10.32,10.01,10.05,10.05,178300
2023-03-29,10.06,10.25,10.0,10.07,10.07,161700
2023-03-28,9.96,10.21,9.844,9.95,9.95,190700
2023-03-27,9.82,10.13,9.815,10.02,10.02,227300
2023-03-24,9.81,9.97,9.72,9.75,9.75,214900
2023-03-23,10.0,10.39,9.88,9.95,9.95,253100
2023-03-22,10.07,10.335,9.88,9.91,9.91,278800
2023-03-21,10.05,10.62,10.01,10.07,10.07,437700
2023-03-20,10.33,10.86,9.95,9.96,9.96,293100
2023-03-17,10.5,11.31,10.22,10.25,10.25,639300
2023-03-16,11.41,11.55,9.844,10.75,10.75,1092000
2023-03-15,8.86,9.155,8.74,8.96,8.96,245000
2023-03-14,8.98,9.15,8.18,8.98,8.98,178400
2023-03-13,8.4,8.95,8.315,8.75,8.75,232200
2023-03-10,9.32,9.33,8.5,8.55,8.55,270900
2023-03-09,9.67,9.85,9.36,9.38,9.38,163200
2023-03-08,9.86,9.87,9.6,9.64,9.64,143300
2023-03-07,10.0,10.24,9.76,9.8,9.8,169900
2023-03-06,9.92,10.01,9.12,9.96,9.96,182600
2023-03-03,9.65,10.06,9.65,9.91,9.91,177300
2023-03-02,9.83,9.85,9.37,9.68,9.68,349700
2023-03-01,10.01,10.56,9.82,9.85,9.85,166300
2023-02-28,9.87,10.11,9.87,10.0,10.0,203900
2023-02-27,10.0,10.205,9.9,9.98,9.98,141700
2023-02-24,9.79,10.01,9.75,9.96,9.96,149400
2023-02-23,10.17,10.195,9.94,10.0,10.0,198900
2023-02-22,10.02,10.22,9.89,9.97,9.97,174500
2023-02-21,10.07,10.25,9.99,9.99,9.99,160200
2023-02-17,10.32,10.42,10.17,10.27,10.27,135700
2023-02-16,10.48,10.495,10.1,10.32,10.32,130400
2023-02-15,10.21,10.54,10.21,10.37,10.37,138500
2023-02-14,10.21,10.644,10.18,10.37,10.37,166000
2023-02-13,10.12,10.4,10.01,10.24,10.24,159000
2023-02-10,10.11,10.38,9.935,10.15,10.15,168000
2023-02-09,10.5,10.66,10.19,10.22,10.22,177700
2023-02-08,10.09,10.859,9.99,10.39,10.39,240500
2023-02-07,10.25,10.25,9.94,10.1,10.1,303700
2023-02-06,10.6,10.79,10.2,10.26,10.26,220600
2023-02-03,10.85,11.22,10.58,10.71,10.71,270700
2023-02-02,10.78,11.34,10.78,11.03,11.03,273200
2023-02-01,10.25,10.93,10.25,10.85,10.85,155000
2023-01-31,10.2,10.46,10.08,10.33,10.33,180100
2023-01-30,10.38,10.505,10.1,10.17,10.17,194000
2023-01-27,9.94,10.58,9.94,10.49,10.49,189300
2023-01-26,10.3,10.415,9.96,10.06,10.06,309100
2023-01-25,9.64,10.14,9.58,10.12,10.12,166100
2023-01-24,9.45,10.06,9.45,9.83,9.83,240800
2023-01-23,9.34,9.61,9.2,9.6,9.6,189400
2023-01-20,9.08,9.51,8.935,9.35,9.35,211400
2023-01-19,8.59,8.995,8.59,8.97,8.97,204900
2023-01-18,8.65,8.84,8.61,8.69,8.69,213500
2023-01-17,8.69,8.91,8.56,8.6,8.6,323000
2023-01-13,8.47,8.795,8.47,8.74,8.74,147900
2023-01-12,8.53,8.71,8.35,8.6,8.6,200700
2023-01-11,8.34,8.58,8.34,8.57,8.57,151900
2023-01-10,7.98,8.47,7.965,8.33,8.33,239400
2023-01-09,7.9,8.15,7.67,8.04,8.04,218500
2023-01-06,7.55,7.95,7.5,7.7,7.7,234700
2023-01-05,7.62,7.77,7.34,7.53,7.53,209300
2023-01-04,7.43,7.785,7.35,7.73,7.73,212100
2023-01-03,7.59,7.69,7.34,7.51,7.51,240500
2022-12-30,7.16,7.47,7.12,7.44,7.44,213800
2022-12-29,6.72,7.285,6.72,7.19,7.19,247100
2022-12-28,6.5,6.86,6.48,6.66,6.66,194400
2022-12-27,6.66,6.73,6.3,6.51,6.51,189700
2022-12-23,6.61,6.73,6.21,6.68,6.68,260400
2022-12-22,6.68,6.82,6.55,6.67,6.67,251700
2022-12-21,6.54,6.99,6.54,6.83,6.83,223100
2022-12-20,6.54,6.84,6.52,6.61,6.61,272400
2022-12-19,6.59,6.7,6.47,6.61,6.61,197400
2022-12-16,6.81,6.89,6.43,6.59,6.59,437800
2022-12-15,6.46,6.885,6.46,6.74,6.74,275400
2022-12-14,6.76,6.91,6.58,6.63,6.63,242000
2022-12-13,6.66,6.85,6.61,6.76,6.76,500800
2022-12-12,6.32,6.6,6.3,6.44,6.44,252800
2022-12-09,6.14,6.5,6.05,6.32,6.32,202300
2022-12-08,5.9,6.3,5.87,6.15,6.15,263900
2022-12-07,6.01,6.25,5.87,5.94,5.94,263700
2022-12-06,6.09,6.21,5.99,6.07,6.07,522200
2022-12-05,6.18,6.55,5.97,6.12,6.12,305000
2022-12-02,6.3,6.5,6.13,6.2,6.2,344400
2022-12-01,6.61,6.775,6.39,6.4,6.4,423300
2022-11-30,6.37,6.72,6.24,6.67,6.67,270300
2022-11-29,6.46,6.59,6.305,6.33,6.33,206600
2022-11-28,6.82,7.07,6.36,6.49,6.49,291900
2022-11-25,6.49,7.05,6.49,6.91,6.91,96100
2022-11-23,6.77,6.819,6.47,6.62,6.62,187300
2022-11-22,6.27,6.86,6.16,6.71,6.71,322600
2022-11-21,6.37,6.445,5.93,6.23,6.23,501500
2022-11-18,6.88,6.99,6.51,6.6,6.6,223400
2022-11-17,6.95,7.24,6.74,6.85,6.85,295500
2022-11-16,6.76,7.045,6.67,6.87,6.87,329400
2022-11-15,7.2,7.45,6.82,6.85,6.85,345500
2022-11-14,7.0,7.39,6.865,7.2,7.2,465300
2022-11-11,7.97,8.15,6.01,6.95,6.95,1029500
2022-11-10,8.32,8.725,8.23,8.3,8.3,348100
2022-11-09,8.06,8.07,7.81,7.86,7.86,130100
2022-11-08,7.93,8.265,7.785,8.07,8.07,160300
2022-11-07,8.22,8.31,7.79,7.86,7.86,203700
2022-11-04,8.1,8.22,7.875,8.11,8.11,178000
2022-11-03,8.04,8.25,7.96,7.98,7.98,158100
2022-11-02,8.57,8.62,8.18,8.2,8.2,161400
2022-11-01,8.87,8.92,8.56,8.6,8.6,196500
2022-10-31,8.66,8.96,8.52,8.71,8.71,272100
2022-10-28,8.55,8.91,8.54,8.8,8.8,164100
2022-10-27,8.34,8.67,8.31,8.58,8.58,171500
2022-10-26,8.32,8.62,8.24,8.29,8.29,159600
2022-10-25,7.91,8.45,7.91,8.4,8.4,212200
2022-10-24,7.7,7.915,7.31,7.84,7.84,198800
2022-10-21,7.96,8.12,7.64,7.68,7.68,161000
2022-10-20,7.86,8.14,7.84,7.96,7.96,245400
2022-10-19,9.05,9.06,7.54,7.83,7.83,363800
2022-10-18,9.5,9.78,9.34,9.49,9.49,137700
2022-10-17,9.0,9.37,8.97,9.23,9.23,156400
2022-10-14,9.35,9.44,8.86,8.89,8.89,145500
2022-10-13,8.76,9.37,8.64,9.24,9.24,190600
2022-10-12,9.03,9.05,8.75,9.0,9.0,149900
2022-10-11,9.14,9.178,8.78,8.98,8.98,172900
2022-10-10,9.73,9.81,9.21,9.22,9.22,142100
2022-10-07,10.73,10.73,9.67,9.72,9.72,188800
2022-10-06,10.73,10.99,10.66,10.75,10.75,202800
2022-10-05,11.14,11.445,10.63,10.68,10.68,304900
2022-10-04,11.17,11.57,11.16,11.25,11.25,202000
2022-10-03,11.08,11.255,10.95,11.12,11.12,106300
2022-09-30,11.15,11.386,10.9,10.93,10.93,105400
2022-09-29,11.13,11.18,10.97,11.14,11.14,131400
2022-09-28,10.83,11.415,10.83,11.31,11.31,155000
2022-09-27,10.63,11.005,10.63,10.82,10.82,161100
2022-09-26,10.56,10.92,10.51,10.58,10.58,144300
2022-09-23,10.61,10.68,10.43,10.63,10.63,167100
2022-09-22,10.98,11.03,10.64,10.69,10.69,167500
2022-09-21,11.19,11.3,10.99,11.0,11.0,149200
2022-09-20,11.47,11.48,11.15,11.18,11.18,128000
2022-09-19,11.38,11.65,11.38,11.57,11.57,122300
2022-09-16,11.6,11.605,11.34,11.47,11.47,666600
2022-09-15,11.84,12.15,11.63,11.71,11.71,142000
2022-09-14,11.8,12.065,11.62,11.93,11.93,225300
2022-09-13,11.99,12.12,11.73,11.8,11.8,157400
2022-09-12,12.52,12.53,12.27,12.3,12.3,100700
2022-09-09,12.21,12.4,12.17,12.31,12.31,104000
2022-09-08,11.8,12.14,11.68,12.04,12.04,138700
2022-09-07,11.8,11.89,11.68,11.8,11.8,173200
2022-09-06,11.52,12.07,11.52,11.82,11.82,159700
2022-09-02,11.5,11.84,11.39,11.53,11.53,107200
2022-09-01,11.53,11.53,11.18,11.44,11.44,88900
2022-08-31,11.69,11.9,11.54,11.64,11.64,125600
2022-08-30,11.9,12.02,11.61,11.63,11.63,105700
2022-08-29,11.74,12.03,11.56,11.69,11.69,94700
2022-08-26,12.48,12.86,11.85,11.89,11.89,96000
2022-08-25,12.37,12.52,12.22,12.45,12.45,79200
2022-08-24,12.18,12.39,12.06,12.22,12.22,95100
2022-08-23,12.36,12.835,12.19,12.2,12.2,125600
2022-08-22,12.61,12.61,12.17,12.46,12.46,115100
2022-08-19,12.83,12.853,12.611,12.68,12.68,83700
2022-08-18,12.75,13.18,12.63,12.93,12.93,89100
2022-08-17,12.62,13.032,12.62,12.86,12.86,121000
2022-08-16,12.67,13.2,12.515,12.95,12.95,242837
2022-08-15,12.6,12.89,12.59,12.66,12.66,149289
2022-08-12,12.62,12.82,12.41,12.66,12.66,138100
2022-08-11,12.66,12.82,12.5,12.64,12.64,97000
2022-08-10,12.78,13.05,12.22,12.48,12.48,158900
2022-08-09,11.9,12.71,11.88,12.52,12.52,151100
2022-08-08,12.53,13.13,12.53,12.63,12.63,207400
2022-08-05,12.02,12.58,12.02,12.48,12.48,92100
2022-08-04,11.95,12.31,11.95,12.29,12.29,83200
2022-08-03,11.7,12.17,11.7,12.07,12.07,107800
2022-08-02,11.09,11.75,11.09,11.67,11.67,109600
2022-08-01,11.31,11.43,10.9,11.24,11.24,147100
2022-07-29,11.32,11.7,11.23,11.48,11.48,149700
2022-07-28,11.22,11.45,10.99,11.33,11.33,144400
2022-07-27,10.98,11.41,10.835,11.32,11.32,118000
2022-07-26,10.92,10.99,10.69,10.79,10.79,163900
2022-07-25,10.87,11.07,10.75,10.97,10.97,127200
2022-07-22,11.13,11.2,10.77,10.9,10.9,185300
2022-07-21,10.69,11.14,10.5,11.08,11.08,237100
2022-07-20,9.79,10.69,9.79,10.47,10.47,520300
2022-07-19,9.92,9.95,9.68,9.71,9.71,232700
2022-07-18,9.87,9.93,9.73,9.76,9.76,162900
2022-07-15,9.53,9.83,9.43,9.72,9.72,228000
2022-07-14,9.3,9.5,9.02,9.32,9.32,272700
2022-07-13,9.34,9.53,9.19,9.28,9.28,213500
2022-07-12,9.82,9.95,9.52,9.55,9.55,201200
2022-07-11,9.67,9.97,9.52,9.75,9.75,181300
2022-07-08,9.58,9.93,9.51,9.7,9.7,159100
