date,open,high,low,close,adjusted_close,volume
2023-06-02,7.8,8.06,7.78,7.96,7.96,13900
2023-06-01,7.71,7.99,7.67,7.96,7.96,6000
2023-05-31,7.874,7.949,7.83,7.83,7.83,1000
2023-05-30,8.04,8.04,7.81,7.81,7.81,3200
2023-05-26,7.81,8.09,7.81,7.84,7.84,2000
2023-05-25,7.84,7.97,7.81,7.81,7.81,1000
2023-05-24,7.94,8.14,7.8,7.8,7.8,7400
2023-05-23,7.915,8.09,7.75,8.076,8.076,3900
2023-05-22,7.7,7.915,7.7,7.77,7.77,1300
2023-05-19,7.99,8.154,7.62,7.88,7.88,13800
2023-05-18,7.81,8.0,7.81,7.81,7.81,9600
2023-05-17,8.19,8.19,7.8,7.9,7.9,219200
2023-05-16,8.08,8.27,7.9,7.95,7.95,3800
2023-05-15,8.04,8.24,7.79,8.24,8.24,6800
2023-05-12,7.8,7.97,7.8,7.97,7.97,4000
2023-05-11,7.81,7.831,7.61,7.831,7.831,5500
2023-05-10,8.09,8.1,7.76,7.78,7.78,31600
2023-05-09,8.2,8.2,7.74,8.06,8.06,2100
2023-05-08,8.0,8.337,7.96,8.26,8.26,7800
2023-05-05,8.32,8.32,7.84,7.89,7.89,44100
2023-05-04,8.0,8.277,8.0,8.13,8.13,7600
2023-05-03,8.4,8.507,8.0,8.0,8.0,9600
2023-05-02,8.665,8.665,8.0,8.0,8.0,13800
2023-05-01,8.88,8.88,8.26,8.26,8.26,11200
2023-04-28,8.75,8.75,8.45,8.45,8.45,29200
2023-04-27,8.61,9.0,8.51,8.64,8.64,8200
2023-04-26,8.647,8.809,8.647,8.806,8.806,1000
2023-04-25,8.75,8.86,8.71,8.71,8.71,1400
2023-04-24,8.97,8.97,8.97,8.97,8.97,221
2023-04-21,8.63,8.97,8.57,8.97,8.97,3000
2023-04-20,8.96,9.0,8.644,8.75,8.75,600
2023-04-19,8.67,8.87,8.61,8.87,8.87,2000
2023-04-18,8.87,8.9326,8.5388,8.625,8.625,6026
2023-04-17,8.7737,8.98,8.7601,8.98,8.98,2464
2023-04-14,8.77,8.98,8.18,8.85,8.85,8700
2023-04-13,8.8,8.8,8.8,8.8,8.8,400
2023-04-12,8.94,8.97,8.76,8.97,8.97,1600
2023-04-11,9.026,9.026,9.026,9.026,9.026,200
2023-04-10,8.81,9.151,8.81,9.08,9.08,2500
2023-04-06,8.95,9.23,8.77,8.8,8.8,3700
2023-04-05,8.894,9.29,8.77,9.01,9.01,7100
2023-04-04,9.29,9.29,8.83,8.83,8.83,3300
2023-04-03,8.919,9.241,8.76,8.94,8.94,5800
2023-03-31,8.93,9.263,8.75,8.81,8.81,7400
2023-03-30,9.09,9.22,8.85,8.9,8.9,1500
2023-03-29,9.22,9.34,9.06,9.06,9.06,3600
2023-03-28,9.2,9.5,9.07,9.32,9.32,35800
2023-03-27,9.446,9.446,9.07,9.25,9.25,2500
2023-03-24,9.45,9.48,9.13,9.34,9.34,20800
2023-03-23,9.23,9.462,8.94,9.38,9.38,22100
2023-03-22,9.183,9.183,8.9,9.1,9.1,8000
2023-03-21,8.99,9.23,8.98,9.1,9.1,28400
2023-03-20,9.03,9.351,8.82,8.89,8.89,10700
2023-03-17,9.1,9.1,8.86,9.0,9.0,33800
2023-03-16,9.35,9.35,8.89,9.19,9.19,30100
2023-03-15,8.69,9.0,8.69,8.98,8.98,9000
2023-03-14,8.739,9.395,8.739,9.22,9.22,20300
2023-03-13,8.21,8.87,8.065,8.87,8.87,29000
2023-03-10,9.3,9.3,8.81,8.88,8.88,21800
2023-03-09,8.85,9.398,8.85,8.99,8.99,11200
2023-03-08,9.0,9.14,8.91,8.91,8.91,10129
2023-03-07,9.72,9.72,9.025,9.15,9.15,7400
2023-03-06,9.23,9.447,8.95,8.95,8.95,13500
2023-03-03,9.35,9.35,9.11,9.11,9.11,8700
2023-03-02,9.31,9.678,9.2,9.2,9.2,6200
2023-03-01,9.47,9.471,9.26,9.28,9.28,13400
2023-02-28,9.58,9.72,9.39,9.58,9.58,7400
2023-02-27,9.66,9.75,9.465,9.55,9.55,2300
2023-02-24,9.75,9.75,9.3,9.33,9.33,7000
2023-02-23,9.37,9.74,9.37,9.5,9.5,44000
2023-02-22,9.42,9.45,9.375,9.375,9.375,1900
2023-02-21,9.44,9.45,9.28,9.45,9.45,8600
2023-02-17,9.443,9.45,9.443,9.45,9.45,800
2023-02-16,9.42,9.45,9.375,9.45,9.45,1500
2023-02-15,9.29,9.36,9.27,9.33,9.33,1500
2023-02-14,9.46,9.46,9.46,9.46,9.46,128
2023-02-13,9.31,9.47,9.16,9.46,9.46,6400
2023-02-10,9.37,9.455,9.161,9.36,9.36,16600
2023-02-09,9.118,9.525,9.092,9.2,9.2,9800
2023-02-08,9.07,9.2,9.0,9.165,9.165,11100
2023-02-07,9.17,9.181,9.0,9.086,9.086,6800
2023-02-06,8.935,9.2,8.85,9.17,9.17,7100
2023-02-03,9.05,9.177,8.81,8.95,8.95,6100
2023-02-02,8.86,9.18,8.82,9.18,9.18,26700
2023-02-01,8.8,9.095,8.66,8.71,8.71,22500
2023-01-31,8.97,9.26,8.69,8.69,8.69,73700
2023-01-30,8.9,9.12,8.504,8.94,8.94,17700
2023-01-27,8.92,9.0,8.92,8.98,8.98,4900
2023-01-26,9.1,9.1,8.84,9.0,9.0,3700
2023-01-25,8.91,9.0,8.87,9.0,9.0,13400
2023-01-24,8.73,8.98,8.66,8.79,8.79,12600
2023-01-23,8.91,8.98,8.845,8.98,8.98,4700
2023-01-20,8.93,8.99,8.82,8.94,8.94,6800
2023-01-19,8.905,8.99,8.905,8.99,8.99,1800
2023-01-18,8.84,8.99,8.83,8.95,8.95,6100
2023-01-17,9.0,9.228,8.84,9.07,9.07,11700
2023-01-13,8.95,9.0,8.91,8.99,8.99,16500
2023-01-12,8.91,9.09,8.81,9.09,9.09,10200
2023-01-11,8.941,9.16,8.94,9.0,9.0,6600
2023-01-10,9.07,9.237,8.935,9.03,9.03,8200
2023-01-09,9.06,9.182,8.855,9.07,9.07,5100
2023-01-06,9.13,9.22,8.95,8.95,8.95,9700
2023-01-05,9.03,9.18,8.96,8.97,8.97,3100
2023-01-04,9.1,9.1,8.95,8.95,8.95,6600
2023-01-03,9.42,9.42,9.0,9.0,9.0,4900
2022-12-30,9.46,9.46,9.06,9.26,9.26,47700
2022-12-29,9.1,9.54,9.1,9.24,9.24,4200
2022-12-28,9.48,9.5,8.995,9.13,9.13,6600
