date,open,high,low,close,adjusted_close,volume
2023-06-02,31.7,31.7,30.71,31.32,31.32,1124900
2023-06-01,29.82,30.89,29.578,30.655,30.655,1244100
2023-05-31,29.49,30.15,29.13,30.04,30.04,2113400
2023-05-30,29.97,30.405,29.16,29.54,29.54,766800
2023-05-26,29.85,30.18,29.26,29.51,29.51,1182200
2023-05-25,30.63,30.63,28.935,29.72,29.72,1283200
2023-05-24,29.97,30.5,28.29,30.36,30.36,1952100
2023-05-23,31.07,32.01,30.58,30.75,30.75,1099000
2023-05-22,30.59,31.555,30.36,31.29,31.29,995200
2023-05-19,31.32,31.35,30.81,30.99,30.99,1253400
2023-05-18,29.71,31.22,29.555,31.19,31.19,1139100
2023-05-17,29.65,29.97,28.55,29.69,29.69,854900
2023-05-16,30.87,31.041,29.261,29.45,29.45,1701100
2023-05-15,29.51,31.23,29.22,31.2,31.2,2106400
2023-05-12,29.55,29.99,29.11,29.58,29.58,1598400
2023-05-11,29.0,29.86,28.622,29.51,29.51,1067600
2023-05-10,30.5,30.96,27.69,29.36,29.36,1760000
2023-05-09,29.22,29.5,27.92,28.86,28.86,1530700
2023-05-08,28.85,29.85,28.45,29.62,29.62,1852000
2023-05-05,28.66,29.24,28.63,28.76,28.76,775700
2023-05-04,28.57,29.58,28.18,28.23,28.23,683100
2023-05-03,27.65,29.07,27.19,28.49,28.49,403400
2023-05-02,28.21,28.21,27.38,27.57,27.57,480000
2023-05-01,28.95,29.27,28.0,28.4,28.4,553100
2023-04-28,28.32,29.24,28.103,29.17,29.17,668200
2023-04-27,28.56,28.695,27.81,28.53,28.53,496200
2023-04-26,27.88,28.77,27.86,28.27,28.27,699900
2023-04-25,29.2,29.2,28.0,28.04,28.04,479600
2023-04-24,29.67,30.17,29.2,29.36,29.36,574900
2023-04-21,29.29,29.95,28.962,29.77,29.77,619700
2023-04-20,28.81,29.8,28.6,29.39,29.39,547100
2023-04-19,28.69,29.57,28.57,29.23,29.23,628300
2023-04-18,29.54,29.71,28.82,29.02,29.02,331700
2023-04-17,28.72,29.379,28.72,29.14,29.14,356300
2023-04-14,29.5,29.84,28.72,28.95,28.95,561800
2023-04-13,29.48,30.18,29.175,30.03,30.03,1065900
2023-04-12,29.5,29.57,28.69,28.86,28.86,485100
