date,open,high,low,close,adjusted_close,volume
2023-06-02,11.9,12.11,11.82,12.05,11.8386,457133
2023-06-01,11.69,11.98,11.52,11.88,11.6716,749196
2023-05-31,12.0,12.1,11.55,11.66,11.4554,2318718
2023-05-30,13.04,13.45,12.82,13.27,13.0372,285841
2023-05-26,13.0,13.09,12.7201,13.03,12.8014,186942
2023-05-25,12.79,13.03,12.7,12.98,12.7523,206833
2023-05-24,12.94,12.94,12.7401,12.85,12.6246,121342
2023-05-23,12.78,12.98,12.582,12.94,12.713,200061
2023-05-22,12.75,12.9,12.61,12.8,12.5754,156520
2023-05-19,12.9,12.985,12.745,12.8,12.5754,266414
2023-05-18,12.89,12.9,12.46,12.77,12.546,315488
2023-05-17,12.51,12.9,12.5,12.9,12.6737,365020
2023-05-16,12.49,12.72,12.4,12.62,12.2905,426583
2023-05-15,12.19,12.65,12.13,12.59,12.2613,605947
2023-05-12,11.979,12.15,11.9,12.02,11.7062,317270
2023-05-11,11.5,11.84,11.5,11.82,11.5114,170195
2023-05-10,11.6,11.63,11.5,11.63,11.3264,225845
2023-05-09,11.7,11.72,11.51,11.55,11.2485,148178
2023-05-08,11.72,11.77,11.66,11.72,11.414,138540
2023-05-05,11.7,11.79,11.5167,11.62,11.3166,123788
2023-05-04,11.6,11.68,11.42,11.49,11.19,184440
2023-05-03,11.55,11.93,11.4,11.79,11.4822,309509
2023-05-02,11.75,11.77,10.96,11.34,11.0439,664987
2023-05-01,11.85,11.9825,11.73,11.75,11.4432,150656
2023-04-28,12.02,12.2,11.83,11.87,11.5601,169879
2023-04-27,11.88,12.05,11.88,12.03,11.7159,102761
2023-04-26,11.95,12.0838,11.8375,11.91,11.5991,121878
2023-04-25,12.0,12.04,11.8301,11.93,11.6185,116626
2023-04-24,11.8,12.09,11.79,12.08,11.7646,170097
2023-04-21,11.77,11.815,11.69,11.77,11.4627,132682
2023-04-20,11.69,11.8399,11.65,11.67,11.3653,117574
2023-04-19,11.5,11.85,11.46,11.74,11.4335,142322
2023-04-18,11.75,11.75,11.45,11.5,11.1998,186396
2023-04-17,11.59,11.69,11.51,11.67,11.3653,230547
2023-04-14,11.78,11.9,11.6,11.66,11.2485,434816
2023-04-13,11.51,11.75,11.51,11.7,11.2871,194218
2023-04-12,11.52,11.7,11.5,11.54,11.1327,126624
2023-04-11,11.55,11.6,11.44,11.51,11.1038,183886
2023-04-10,11.31,11.5,11.1901,11.42,11.0169,208743
2023-04-06,11.09,11.35,11.055,11.31,10.9108,144617
2023-04-05,11.14,11.2081,10.928,10.99,10.6021,241126
2023-04-04,11.17,11.3424,11.11,11.14,10.7468,145480
2023-04-03,11.28,11.39,11.11,11.17,10.7758,227214
2023-03-31,11.33,11.47,11.245,11.28,10.8819,210876
2023-03-30,11.67,11.74,11.18,11.24,10.8433,282781
2023-03-29,11.75,11.75,11.65,11.69,11.2774,126945
2023-03-28,11.69,11.7,11.59,11.61,11.2002,90199
2023-03-27,11.82,11.85,11.51,11.64,11.2292,164679
2023-03-24,11.3,11.81,11.16,11.77,11.3546,126255
2023-03-23,11.4,11.69,11.2,11.28,10.8819,185145
