date,open,high,low,close,adjusted_close,volume
2023-06-02,3.02,3.07,2.72,2.77,2.77,2684400
2023-06-01,2.73,2.965,2.635,2.94,2.94,2613300
2023-05-31,2.49,2.75,2.465,2.75,2.75,3118500
2023-05-30,2.64,2.74,2.37,2.49,2.49,2568000
2023-05-26,2.4,2.57,2.35,2.54,2.54,2353000
2023-05-25,2.53,2.56,2.33,2.38,2.38,3332000
2023-05-24,2.84,2.84,2.54,2.56,2.56,2951400
2023-05-23,2.75,3.02,2.75,2.79,2.79,3597500
2023-05-22,3.07,3.15,2.79,2.79,2.79,4105600
2023-05-19,2.86,3.29,2.81,2.97,2.97,4511200
2023-05-18,3.15,3.26,2.74,2.81,2.81,5884900
2023-05-17,3.3,3.72,3.21,3.23,3.23,7132300
2023-05-16,3.22,3.445,2.95,3.31,3.31,7607400
2023-05-15,2.345,3.25,2.25,3.22,3.22,17057600
2023-05-12,2.88,2.9,2.23,2.28,2.28,8695600
2023-05-11,2.755,3.17,2.45,2.79,2.79,20573300
2023-05-10,6.0,6.37,5.63,6.22,6.22,5820300
2023-05-09,6.34,6.93,5.74,5.92,5.92,11419200
2023-05-08,5.6,6.61,5.38,6.41,6.41,16723800
2023-05-05,4.14,6.0,4.1,5.54,5.54,20183500
2023-05-04,3.4,4.08,3.31,3.87,3.87,8296600
2023-05-03,3.07,3.493,3.07,3.35,3.35,5914900
2023-05-02,3.06,3.18,2.99,3.08,3.08,3457000
2023-05-01,2.87,3.25,2.78,3.08,3.08,5047400
2023-04-28,2.62,2.895,2.48,2.8,2.8,4004600
2023-04-27,2.3,2.635,2.295,2.62,2.62,4317400
2023-04-26,2.37,2.37,2.24,2.26,2.26,2829700
2023-04-25,2.44,2.55,2.33,2.35,2.35,3811400
2023-04-24,2.8,2.83,2.41,2.44,2.44,6297700
2023-04-21,2.31,2.69,2.26,2.68,2.68,5501100
2023-04-20,2.38,2.38,2.14,2.29,2.29,5086800
2023-04-19,2.1,2.44,2.08,2.38,2.38,4538400
2023-04-18,2.27,2.29,2.04,2.14,2.14,3335200
2023-04-17,1.94,2.3,1.91,2.21,2.21,6251700
2023-04-14,1.98,2.05,1.85,1.93,1.93,4542700
2023-04-13,1.55,2.02,1.54,1.95,1.95,10703200
2023-04-12,1.58,1.595,1.47,1.53,1.53,4126500
2023-04-11,1.58,1.67,1.53,1.54,1.54,3902500
2023-04-10,1.66,1.67,1.52,1.58,1.58,3198800
2023-04-06,1.7,1.77,1.63,1.64,1.64,3888300
2023-04-05,1.66,1.82,1.62,1.67,1.67,3388700
2023-04-04,1.81,1.81,1.63,1.68,1.68,2354000
2023-04-03,1.84,1.88,1.741,1.79,1.79,3597500
2023-03-31,1.75,1.95,1.721,1.82,1.82,3782300
2023-03-30,1.84,2.015,1.62,1.76,1.76,4836200
2023-03-29,1.7,1.845,1.65,1.8,1.8,2897800
2023-03-28,1.72,1.73,1.59,1.66,1.66,2129900
2023-03-27,1.64,1.76,1.53,1.71,1.71,3288900
2023-03-24,1.44,1.69,1.39,1.64,1.64,3970400
2023-03-23,1.67,1.82,1.36,1.46,1.46,6994200
2023-03-22,1.87,1.88,1.53,1.625,1.625,8729100
2023-03-21,1.39,1.88,1.36,1.84,1.84,9781600
2023-03-20,1.42,1.46,1.32,1.35,1.35,9268400
2023-03-17,1.37,1.48,1.33,1.41,1.41,10518100
