date,open,high,low,close,adjusted_close,volume
2023-06-02,13.14,13.23,13.0487,13.17,13.17,662837
2023-06-01,13.46,13.46,13.1,13.11,13.11,614293
2023-05-31,13.11,13.66,13.11,13.49,13.49,866737
2023-05-30,13.12,13.19,12.92,12.97,12.97,594712
2023-05-26,13.1,13.265,13.0112,13.14,13.14,367130
2023-05-25,13.14,13.17,12.915,13.13,13.13,499130
2023-05-24,13.32,13.35,13.115,13.24,13.24,522470
2023-05-23,13.61,13.685,13.5,13.54,13.54,1084567
2023-05-22,13.59,13.9,13.38,13.64,13.64,726842
2023-05-19,13.33,13.52,13.27,13.47,13.47,762145
2023-05-18,13.08,13.23,13.01,13.2,13.2,605367
2023-05-17,13.27,13.27,13.0,13.11,13.11,720266
2023-05-16,13.08,13.53,13.045,13.25,13.25,1633015
2023-05-15,12.73,12.94,12.71,12.91,12.91,764298
2023-05-12,12.48,12.71,12.47,12.67,12.67,855438
2023-05-11,12.2,12.54,12.183,12.43,12.43,1040650
2023-05-10,11.76,12.28,11.63,12.2,12.2,891950
2023-05-09,11.68,11.705,11.55,11.56,11.56,378805
2023-05-08,11.78,11.78,11.555,11.68,11.68,393143
2023-05-05,11.7,11.87,11.64,11.75,11.75,561818
2023-05-04,11.53,11.695,11.4,11.64,11.64,363148
2023-05-03,11.49,11.705,11.48,11.53,11.53,445493
2023-05-02,11.62,11.7,11.3701,11.44,11.44,536003
2023-05-01,11.67,11.76,11.6,11.69,11.69,404993
2023-04-28,11.74,11.845,11.7,11.73,11.73,364046
2023-04-27,11.85,11.94,11.65,11.88,11.88,371338
2023-04-26,11.63,11.885,11.55,11.87,11.87,500268
2023-04-25,11.82,11.965,11.73,11.73,11.73,522899
2023-04-24,12.0,12.0,11.7127,11.8,11.8,426168
2023-04-21,11.85,12.045,11.805,11.98,11.98,393387
2023-04-20,11.85,11.92,11.69,11.84,11.84,410307
2023-04-19,11.34,11.94,11.32,11.85,11.85,703302
2023-04-18,12.48,12.53,11.24,11.4,11.4,2309697
2023-04-17,12.02,12.02,12.02,12.02,12.02,2200
2023-04-14,12.15,12.22,11.91,12.02,12.02,642933
2023-04-13,11.64,12.23,11.62,12.2,12.2,694214
2023-04-12,11.84,11.84,11.7,11.7,11.7,341306
2023-04-11,11.8,11.83,11.78,11.81,11.81,347288
2023-04-10,11.75,11.7938,11.625,11.77,11.77,439942
2023-04-06,11.73,11.83,11.715,11.8,11.8,482350
2023-04-05,11.4,11.63,11.4,11.62,11.62,502669
2023-04-04,11.38,11.44,11.33,11.4,11.4,424501
2023-04-03,11.29,11.4,11.23,11.39,11.39,507977
2023-03-31,11.17,11.315,11.17,11.25,11.25,573673
2023-03-30,11.21,11.255,11.11,11.15,11.15,470680
2023-03-29,11.32,11.35,11.15,11.15,11.15,577732
2023-03-28,11.32,11.36,11.11,11.27,11.27,653430
2023-03-27,11.35,11.48,11.29,11.38,11.38,670077
2023-03-24,11.13,11.43,10.96,11.35,11.35,503329
2023-03-23,11.08,11.24,11.05,11.19,11.19,1769195
2023-03-22,11.31,11.38,11.0,11.0,11.0,571409
2023-03-21,11.26,11.36,11.21,11.33,11.33,641623
2023-03-20,11.23,11.435,11.13,11.19,11.19,724924
2023-03-17,11.45,11.5233,11.145,11.18,11.18,1828249
2023-03-16,11.32,11.575,11.24,11.46,11.46,886837
2023-03-15,11.33,11.49,11.21,11.43,11.43,956921
2023-03-14,11.13,11.31,10.99,11.24,11.24,963796
2023-03-13,10.74,11.13,10.697,10.91,10.91,876936
2023-03-10,10.68,10.92,10.64,10.79,10.79,1021831
2023-03-09,10.97,11.125,10.7,10.73,10.73,664965
2023-03-08,10.86,10.995,10.79,10.96,10.96,875609
2023-03-07,11.02,11.15,10.875,10.89,10.89,777768
2023-03-06,11.05,11.155,10.9101,11.02,11.02,1004012
2023-03-03,10.93,11.15,10.79,10.99,10.99,1147474
2023-03-02,11.36,11.48,10.895,10.93,10.93,1425794
2023-03-01,12.0,12.22,11.14,11.37,11.37,1772387
2023-02-28,11.99,12.175,11.95,12.07,12.07,622761
2023-02-27,12.02,12.25,11.985,11.99,11.99,467212
2023-02-24,12.08,12.125,11.9,12.02,12.02,642184
2023-02-23,12.32,12.38,11.9922,12.16,12.16,501501
2023-02-22,12.28,12.4225,12.23,12.32,12.32,600515
2023-02-21,12.37,12.4599,12.275,12.28,12.28,554995
2023-02-17,12.29,12.48,12.22,12.42,12.42,467453
2023-02-16,12.28,12.39,12.18,12.19,12.19,476466
2023-02-15,12.31,12.51,12.25,12.44,12.44,515295
2023-02-14,12.27,12.42,12.17,12.38,12.38,671786
2023-02-13,12.26,12.455,12.12,12.32,12.32,475453
2023-02-10,12.53,12.55,12.23,12.26,12.26,461911
2023-02-09,12.25,12.5,12.25,12.49,12.49,634669
2023-02-08,12.57,12.69,12.275,12.32,12.32,801006
2023-02-07,12.66,12.69,12.435,12.64,12.64,775041
2023-02-06,12.8,12.89,12.62,12.71,12.71,529087
2023-02-03,12.95,13.1,12.74,12.8,12.8,1436708
2023-02-02,12.79,13.02,12.735,12.96,12.96,556802
2023-02-01,12.58,12.82,12.55,12.75,12.75,439990
2023-01-31,12.51,12.655,12.51,12.65,12.65,447286
2023-01-30,12.67,12.67,12.46,12.48,12.48,587096
2023-01-27,12.67,12.81,12.59,12.69,12.69,485912
2023-01-26,12.42,12.72,12.345,12.68,12.68,862966
2023-01-25,12.35,12.555,12.32,12.42,12.42,502143
2023-01-24,12.73,12.94,12.095,12.43,12.43,1260071
2023-01-23,12.99,13.03,12.85,12.94,12.94,430917
2023-01-20,13.1,13.1353,12.945,13.02,13.02,499635
2023-01-19,13.0,13.0784,12.83,13.04,13.04,656431
2023-01-18,13.44,13.52,13.04,13.05,13.05,884239
2023-01-17,13.38,13.8,13.37,13.42,13.42,1056406
2023-01-13,13.51,13.69,13.3,13.37,13.37,577836
2023-01-12,13.4,13.74,13.3493,13.6,13.6,815670
2023-01-11,13.27,13.43,13.16,13.43,13.43,528050
