date,open,high,low,close,adjusted_close,volume
2023-06-02,6.54,6.54,6.05,6.15,6.15,2900
2023-06-01,6.0,6.67,5.99,6.2,6.2,8200
2023-05-31,7.0,7.0,5.75,5.75,5.75,5900
2023-05-30,5.79,6.2,5.75,6.08,6.08,8800
2023-05-26,5.76,5.76,5.61,5.65,5.65,3800
2023-05-25,5.75,5.776,5.11,5.6,5.6,10100
2023-05-24,6.1,6.245,6.0,6.0,6.0,700
2023-05-23,6.1,6.11,5.75,5.75,5.75,3300
2023-05-22,6.37,6.64,6.04,6.11,6.11,18500
2023-05-19,6.38,6.38,6.38,6.38,6.38,1500
2023-05-18,6.14,6.36,6.14,6.245,6.245,10700
2023-05-17,6.3,6.3,6.0,6.3,6.3,4100
2023-05-16,6.408,6.5,6.01,6.035,6.035,7200
2023-05-15,6.61,6.645,6.1,6.1,6.1,2000
2023-05-12,6.51,6.745,6.51,6.74,6.74,3000
2023-05-11,7.09,7.215,6.23,6.695,6.695,27500
2023-05-10,6.9,7.1,6.8,7.05,7.05,4000
2023-05-09,6.78,7.1,6.78,6.8,6.8,5500
2023-05-08,7.25,7.25,7.11,7.11,7.11,4100
2023-05-05,7.64,7.65,7.3,7.3,7.3,2100
2023-05-04,7.29,7.5,6.8,7.0,7.0,15600
2023-05-03,7.45,7.65,6.776,6.776,6.776,11300
2023-05-02,7.488,7.488,7.488,7.488,7.488,0
2023-05-01,7.488,7.488,7.488,7.488,7.488,0
2023-04-28,7.65,7.65,7.34,7.488,7.488,3900
2023-04-27,7.5,7.83,7.0,7.79,7.79,24200
2023-04-26,7.45,7.82,7.45,7.62,7.62,2700
2023-04-25,7.46,8.06,7.46,7.91,7.91,2500
2023-04-24,8.25,8.28,8.05,8.225,8.225,4000
2023-04-21,7.05,9.37,7.05,8.057,8.057,34900
2023-04-20,6.9,6.979,6.75,6.8,6.8,4800
2023-04-19,6.98,7.01,6.855,7.0,7.0,12100
2023-04-18,6.69,7.0,6.65,6.755,6.755,18500
2023-04-17,6.65,6.65,6.5,6.63,6.63,8200
2023-04-14,6.1,6.598,6.1,6.25,6.25,16000
2023-04-13,5.74,5.99,5.74,5.99,5.99,1900
2023-04-12,5.65,5.68,5.445,5.45,5.45,2900
2023-04-11,5.4,5.61,5.4,5.45,5.45,4100
2023-04-10,5.32,5.32,5.32,5.32,5.32,400
2023-04-06,5.4,5.4,5.32,5.32,5.32,1300
2023-04-05,5.2,5.2,5.12,5.12,5.12,2500
2023-04-04,5.2326,5.2326,5.2,5.2136,5.2136,2391
2023-04-03,5.55,5.55,4.9901,5.5,5.5,3088
2023-03-31,5.121,5.121,5.121,5.121,5.121,400
2023-03-30,5.52,5.68,5.5,5.68,5.68,2200
2023-03-29,5.0,5.5,5.0,5.4,5.4,1900
2023-03-28,5.07,5.07,4.95,4.99,4.99,1800
2023-03-27,5.06,5.07,5.0,5.06,5.06,1200
2023-03-24,4.89,4.906,4.71,4.71,4.71,2500
2023-03-23,5.05,5.08,5.03,5.03,5.03,900
2023-03-22,5.02,5.069,4.73,4.99,4.99,3400
2023-03-21,4.76,4.93,4.76,4.93,4.93,1300
2023-03-20,5.0,5.0,4.99,4.99,4.99,600
2023-03-17,4.96,5.08,4.68,4.938,4.938,2600
2023-03-16,5.0,5.0,4.62,4.81,4.81,6700
2023-03-15,5.08,5.08,4.98,5.0,5.0,7700
2023-03-14,5.209,5.36,5.209,5.25,5.25,3500
2023-03-13,5.5,5.5,5.0,5.265,5.265,7300
2023-03-10,5.561,5.57,5.5,5.5,5.5,1600
2023-03-09,5.625,5.63,5.56,5.56,5.56,2900
2023-03-08,5.8,5.8,5.6,5.774,5.774,6200
2023-03-07,5.9,5.9,5.65,5.776,5.776,1600
2023-03-06,5.99,6.1,5.9,5.9,5.9,6200
2023-03-03,6.09,6.09,5.9,5.9,5.9,1500
2023-03-02,6.49,6.49,5.805,5.805,5.805,3400
2023-03-01,5.91,6.3,5.83,6.3,6.3,6900
2023-02-28,6.27,6.27,5.89,5.97,5.97,3500
2023-02-27,5.9,6.28,5.82,6.072,6.072,4400
2023-02-24,6.051,6.17,5.843,5.843,5.843,10500
2023-02-23,6.06,6.2,6.0,6.03,6.03,10200
2023-02-22,6.15,6.15,6.02,6.02,6.02,1800
2023-02-21,6.4,6.4,6.1,6.2,6.2,4900
2023-02-17,6.33,6.6,6.1,6.6,6.6,12300
2023-02-16,6.65,6.78,6.3,6.32,6.32,18700
2023-02-15,6.4,6.55,6.3,6.503,6.503,20600
2023-02-14,6.55,6.55,6.4,6.475,6.475,10000
2023-02-13,6.65,6.7,6.54,6.55,6.55,4800
2023-02-10,6.6,6.77,6.599,6.69,6.69,4500
2023-02-09,6.7,6.8,6.6,6.625,6.625,12500
2023-02-08,7.0,7.0,6.6,6.62,6.62,10900
2023-02-07,6.52,6.99,6.361,6.6,6.6,52800
2023-02-06,6.69,8.02,6.425,6.98,6.98,66200
2023-02-03,6.2,6.35,5.77,6.35,6.35,13000
2023-02-02,6.2,6.2,5.94,6.038,6.038,5100
2023-02-01,6.25,6.47,6.2,6.275,6.275,2300
2023-01-31,6.525,6.525,6.25,6.25,6.25,1200
2023-01-30,5.99,6.1,5.99,6.1,6.1,1700
2023-01-27,6.5,6.56,6.0,6.2,6.2,4300
2023-01-26,6.35,6.45,6.25,6.25,6.25,3300
2023-01-25,6.45,6.45,6.45,6.45,6.45,900
2023-01-24,6.25,6.4,6.25,6.4,6.4,2000
2023-01-23,6.5,6.5,6.04,6.25,6.25,6500
2023-01-20,6.2,6.8,6.2,6.35,6.35,1700
2023-01-19,6.724,6.724,6.0,6.0,6.0,2400
2023-01-18,5.95,6.84,5.95,6.65,6.65,8400
2023-01-17,5.7,5.94,5.7,5.72,5.72,2100
2023-01-13,5.766,5.766,5.766,5.766,5.766,192
2023-01-12,5.792,5.792,5.766,5.766,5.766,2300
2023-01-11,5.44,5.44,5.44,5.44,5.44,800
2023-01-10,4.99,5.5,4.99,5.5,5.5,2000
2023-01-09,4.94,5.25,4.94,5.1,5.1,700
2023-01-06,4.99,5.1,4.99,5.1,5.1,1500
2023-01-05,5.0,5.0,5.0,5.0,5.0,233
2023-01-04,5.0,5.0,4.97,5.0,5.0,1100
2023-01-03,5.0,5.0,4.7,4.99,4.99,3300
2022-12-30,4.725,4.725,4.725,4.725,4.725,100
2022-12-29,4.75,4.84,4.725,4.725,4.725,2700
2022-12-28,4.8,4.831,4.45,4.65,4.65,6300
2022-12-27,5.24,5.24,4.7,4.7,4.7,2000
2022-12-23,4.65,5.05,4.65,5.05,5.05,1600
2022-12-22,4.77,4.77,4.655,4.655,4.655,2200
2022-12-21,5.0,5.13,4.8,4.8,4.8,4900
2022-12-20,5.0,5.0,4.88,4.88,4.88,1600
2022-12-19,5.09,5.09,5.09,5.09,5.09,18
2022-12-16,5.09,5.09,5.09,5.09,5.09,200
2022-12-15,5.1,5.1,5.1,5.1,5.1,200
2022-12-14,4.9,5.25,4.9,5.1,5.1,2100
2022-12-13,5.04,5.14,4.8,4.8,4.8,6550
2022-12-12,5.2999,5.2999,5.2999,5.2999,5.2999,124
2022-12-09,5.0,5.3,5.0,5.3,5.3,3100
2022-12-08,5.15,5.16,5.12,5.12,5.12,1800
