date,open,high,low,close,adjusted_close,volume
2023-06-02,454.51,458.67,445.1603,458.06,456.8168,1206791
2023-06-01,445.4,455.73,437.2,452.53,451.3018,1266551
2023-05-31,448.85,455.515,442.22,442.99,441.7877,1743854
2023-05-30,467.81,473.97,453.66,458.73,457.485,1233079
2023-05-26,435.0,465.0,434.47,461.19,459.9383,2163622
2023-05-25,418.2,436.3,418.12,434.25,433.0714,1626274
2023-05-24,406.85,410.47,404.8,408.9,407.7902,888415
2023-05-23,417.57,420.8,414.32,414.69,413.5645,753096
2023-05-22,419.81,426.15,418.86,420.81,419.6679,685816
2023-05-19,429.0,429.45,422.1,423.64,422.4902,1064619
2023-05-18,416.51,429.4,416.51,428.57,427.4068,1187928
2023-05-17,411.34,420.54,408.78,416.83,415.6987,1170643
2023-05-16,403.56,413.26,403.56,408.81,407.7004,1278229
2023-05-15,388.96,404.72,385.8,404.1,403.0032,1204936
2023-05-12,388.01,390.7107,382.88,386.97,385.9197,686736
2023-05-11,385.87,389.655,381.82,386.54,384.1944,744284
2023-05-10,381.0,388.36,380.5047,386.38,384.0354,881274
2023-05-09,379.34,381.21,374.49,375.75,373.4699,799110
2023-05-08,386.29,387.21,381.1534,383.52,381.1927,687703
2023-05-05,381.6,388.18,379.58,385.66,383.3198,893068
2023-05-04,378.17,378.71,369.66,373.23,370.9652,724468
2023-05-03,378.7,386.3,377.21,378.17,375.8752,719489
2023-05-02,385.65,386.1,376.58,378.45,376.1535,839871
2023-05-01,385.8,389.72,382.81,384.43,382.0972,691368
2023-04-28,385.92,389.51,380.14,386.54,384.1944,1326742
2023-04-27,383.75,385.81,369.0,384.64,382.3059,2129694
2023-04-26,358.0,360.46,355.88,357.36,355.1915,1274552
2023-04-25,370.19,370.87,357.23,357.75,355.5791,1292789
2023-04-24,372.86,375.11,370.741,372.32,370.0607,602817
2023-04-21,374.76,374.8,369.27,371.97,369.7128,918245
2023-04-20,362.03,379.74,361.78,375.71,373.4301,1665155
2023-04-19,366.97,367.28,360.465,361.26,359.0678,1218554
2023-04-18,375.21,376.77,367.69,371.21,368.9574,881098
2023-04-17,364.34,372.16,361.91,372.11,369.852,1027048
2023-04-14,373.4,380.155,371.02,375.04,372.7642,786788
2023-04-13,370.0,376.75,367.0341,374.39,372.1181,816930
2023-04-12,380.75,381.9699,369.36,370.14,367.8939,811760
2023-04-11,384.24,385.44,377.03,377.91,375.6168,991570
2023-04-10,369.87,383.49,368.47,382.67,380.3479,1008937
2023-04-06,374.32,378.94,367.7431,374.66,372.3865,746807
2023-04-05,388.3,388.91,376.8,381.61,379.2943,985627
2023-04-04,401.06,401.45,390.26,392.85,390.4661,851565
2023-04-03,397.22,400.39,392.61,398.99,396.5689,787868
2023-03-31,393.73,399.88,392.885,399.17,396.7478,1055518
2023-03-30,390.34,399.85,389.5501,396.03,393.6268,983737
2023-03-29,378.5,388.48,376.09,385.15,382.8129,1284036
2023-03-28,373.6,373.8228,365.425,371.01,368.7587,926472
2023-03-27,377.5,379.8168,372.32,374.02,371.7504,768818
2023-03-24,384.9,385.63,370.5,375.07,372.794,1375756
2023-03-23,388.06,396.99,381.87,388.81,386.4506,1219616
2023-03-22,382.43,397.4,381.3,381.86,379.5428,886377
2023-03-21,392.75,396.6023,380.3601,385.06,382.7234,764269
2023-03-20,389.55,391.4475,384.23,389.94,387.5738,875959
2023-03-17,389.9,391.72,382.77,387.75,385.3971,3033728
2023-03-16,367.72,390.48,365.0,389.9,387.534,1356160
2023-03-15,373.25,373.69,361.45,370.31,368.0629,1013384
2023-03-14,372.61,380.17,369.68,379.02,376.7201,1362853
2023-03-13,362.91,370.51,359.84,364.82,362.6062,1246552
2023-03-10,384.09,384.98,363.63,367.51,365.2799,1142566
2023-03-09,386.97,394.91,377.58,378.47,376.1734,959826
2023-03-08,378.67,389.18,376.33,387.41,385.0591,962430
