date,open,high,low,close,adjusted_close,volume
2023-06-02,4.32,4.34,4.1,4.23,4.23,376400
2023-06-01,4.37,4.4,4.2,4.36,4.36,478800
2023-05-31,4.6,4.7,4.19,4.43,4.43,459700
2023-05-30,4.81,5.28,4.81,5.25,5.25,465300
2023-05-26,4.46,4.82,4.46,4.8,4.8,60500
2023-05-25,4.6,4.6,4.21,4.48,4.48,94500
2023-05-24,4.55,4.66,4.26,4.6,4.6,72400
2023-05-23,4.83,4.88,4.57,4.57,4.57,75700
2023-05-22,4.87,4.93,4.81,4.88,4.88,171700
2023-05-19,4.75,4.97,4.75,4.87,4.87,135200
2023-05-18,4.71,4.88,4.6,4.81,4.81,231800
2023-05-17,4.97,4.97,4.56,4.74,4.74,128800
2023-05-16,4.72,5.02,4.7,4.93,4.93,252800
2023-05-15,4.45,4.77,4.44,4.75,4.75,224000
2023-05-12,4.14,4.54,4.1,4.44,4.44,239200
2023-05-11,3.7,4.29,3.7,4.13,4.13,272500
2023-05-10,3.81,4.0,3.78,3.89,3.89,168900
2023-05-09,3.69,3.9,3.68,3.79,3.79,113200
2023-05-08,3.66,3.7,3.59,3.65,3.65,153000
2023-05-05,3.76,3.76,3.6,3.7,3.7,212300
2023-05-04,3.67,3.78,3.56,3.7,3.7,124100
2023-05-03,3.76,3.86,3.69,3.7,3.7,70300
2023-05-02,3.77,3.87,3.71,3.76,3.76,191600
2023-05-01,3.66,3.87,3.66,3.8,3.8,78600
2023-04-28,3.61,3.75,3.61,3.68,3.68,163800
2023-04-27,3.66,3.77,3.54,3.57,3.57,375500
2023-04-26,3.59,3.81,3.56,3.69,3.69,140800
2023-04-25,3.81,3.83,3.52,3.54,3.54,121600
2023-04-24,3.91,3.92,3.81,3.83,3.83,50600
2023-04-21,3.97,4.08,3.88,3.92,3.92,93900
2023-04-20,3.99,4.1,3.93,3.99,3.99,101000
2023-04-19,4.19,4.19,4.04,4.06,4.06,50971
2023-04-18,4.33,4.36,4.1,4.16,4.16,35682
2023-04-17,4.37,4.37,4.28,4.32,4.32,27039
2023-04-14,4.52,4.54,4.35,4.37,4.37,55309
2023-04-13,4.61,4.65,4.4,4.51,4.51,171134
2023-04-12,4.61,4.65,4.54,4.59,4.59,53644
2023-04-11,4.53,4.65,4.5,4.6,4.6,57971
2023-04-10,4.34,4.59,4.32,4.52,4.52,90371
2023-04-06,4.29,4.45,4.2172,4.4,4.4,66197
2023-04-05,4.23,4.3,4.1961,4.28,4.28,70794
2023-04-04,4.29,4.32,4.18,4.21,4.21,52691
2023-04-03,4.34,4.47,4.23,4.3,4.3,78873
2023-03-31,4.23,4.45,4.23,4.34,4.34,67791
2023-03-30,4.2,4.28,4.17,4.24,4.24,44242
2023-03-29,4.16,4.28,4.064,4.2,4.2,40430
2023-03-28,4.0,4.2,4.0,4.11,4.11,42691
2023-03-27,4.1,4.24,3.96,4.0,4.0,85881
2023-03-24,4.22,4.29,4.08,4.1,4.1,108960
2023-03-23,4.44,4.51,4.28,4.28,4.28,199075
2023-03-22,4.32,4.545,4.29,4.4,4.4,192320
2023-03-21,4.18,4.37,4.151,4.24,4.24,208039
2023-03-20,4.03,4.11,3.8,4.03,4.03,912364
2023-03-17,4.01,4.07,3.88,3.92,3.92,240626
2023-03-16,4.25,4.29,4.02,4.03,4.03,191296
2023-03-15,4.47,4.5,4.2,4.23,4.23,105351
2023-03-14,4.63,4.64,4.45,4.51,4.51,107889
2023-03-13,4.51,4.59,4.44,4.5,4.5,81946
2023-03-10,5.01,5.01,4.59,4.59,4.59,298801
2023-03-09,5.11,5.21,4.975,5.0,5.0,67619
2023-03-08,5.08,5.14,4.97,5.13,5.13,54798
2023-03-07,4.99,5.1,4.91,5.06,5.06,97325
2023-03-06,5.07,5.07,4.93,4.97,4.97,122339
2023-03-03,5.1,5.12,5.04,5.05,5.05,66864
2023-03-02,5.04,5.16,5.0,5.06,5.06,93993
2023-03-01,5.13,5.15,4.92,5.09,5.09,103055
2023-02-28,5.0,5.26,4.9808,5.15,5.15,129545
2023-02-27,5.01,5.05,4.94,5.01,5.01,103821
2023-02-24,5.0,5.08,4.9,5.0,5.0,67103
2023-02-23,5.11,5.11,4.95,5.0,5.0,63347
2023-02-22,5.04,5.05,4.98,5.02,5.02,60368
2023-02-21,5.07,5.1,4.96,5.04,5.04,93826
2023-02-17,5.18,5.285,5.06,5.16,5.16,104614
2023-02-16,5.2,5.29,5.16,5.2,5.2,64550
2023-02-15,5.27,5.34,5.17,5.3,5.3,172653
2023-02-14,5.58,5.658,5.28,5.29,5.29,218159
2023-02-13,5.6,5.61,5.39,5.58,5.58,277243
2023-02-10,5.1,5.685,5.1,5.64,5.64,307156
2023-02-09,5.09,5.15,4.97,5.01,5.01,115689
2023-02-08,5.12,5.12,4.98,5.03,5.03,108782
2023-02-07,5.02,5.16,4.93,5.16,5.16,240787
2023-02-06,5.11,5.17,5.0,5.06,5.06,197303
2023-02-03,5.18,5.22,4.8901,5.19,5.19,113146
2023-02-02,5.08,5.28,5.08,5.28,5.28,209694
2023-02-01,5.1,5.18,4.83,4.95,4.95,186584
2023-01-31,4.85,5.1,4.8,5.05,5.05,348678
2023-01-30,4.69,5.07,4.661,4.84,4.84,622901
2023-01-27,4.7,4.8,4.67,4.7,4.7,207054
2023-01-26,4.58,4.7,4.41,4.66,4.66,477780
2023-01-25,4.16,4.45,4.16,4.4,4.4,891971
2023-01-24,4.25,4.4,4.22,4.25,4.25,68509
2023-01-23,4.25,4.2899,4.2,4.28,4.28,156764
