date,open,high,low,close,adjusted_close,volume
2023-06-02,9.53,9.655,9.255,9.58,9.58,15933800
2023-06-01,8.99,9.55,8.943,9.36,9.36,15488100
2023-05-31,8.82,9.09,8.73,9.02,9.02,15241500
2023-05-30,8.5,8.97,8.36,8.93,8.93,24200800
2023-05-26,8.12,8.44,8.12,8.38,8.38,13991200
2023-05-25,8.03,8.195,7.91,8.14,8.14,17311300
2023-05-24,8.06,8.15,7.85,7.99,7.99,16202300
2023-05-23,8.07,8.38,8.04,8.11,8.11,17962300
2023-05-22,8.11,8.35,7.97,8.1,8.1,25329300
2023-05-19,8.37,8.37,8.05,8.11,8.11,15309500
2023-05-18,8.37,8.45,8.18,8.34,8.34,13832200
2023-05-17,8.25,8.4,8.18,8.36,8.36,15696900
2023-05-16,8.46,8.6,8.2,8.24,8.24,14282700
2023-05-15,8.1,8.65,8.075,8.54,8.54,16363900
2023-05-12,8.44,8.57,8.06,8.19,8.19,26407200
2023-05-11,8.85,8.87,8.39,8.41,8.41,13736200
2023-05-10,8.72,8.88,8.48,8.86,8.86,18792700
2023-05-09,8.47,8.67,8.4,8.62,8.62,16335600
2023-05-08,8.59,8.625,8.36,8.54,8.54,28005600
2023-05-05,9.07,9.08,8.33,8.63,8.63,82406300
2023-05-04,10.78,10.89,10.44,10.69,10.69,29406900
2023-05-03,10.6,11.24,10.48,10.89,10.89,19683600
2023-05-02,10.71,10.895,10.26,10.64,10.64,30958100
2023-05-01,10.273,10.96,9.98,10.59,10.59,28061200
2023-04-28,10.18,10.66,10.11,10.25,10.25,15748000
2023-04-27,10.21,10.239,9.87,10.2,10.2,11684800
2023-04-26,10.07,10.36,10.01,10.05,10.05,10276400
2023-04-25,10.2,10.43,9.94,9.96,9.96,17607900
2023-04-24,10.4,10.61,10.02,10.22,10.22,15187500
2023-04-21,9.85,10.52,9.57,10.44,10.44,46630700
2023-04-20,10.09,10.21,9.75,9.84,9.84,15183700
2023-04-19,10.17,10.405,9.9,10.27,10.27,13434000
2023-04-18,10.54,10.55,10.13,10.31,10.31,12387700
2023-04-17,10.21,10.475,10.15,10.45,10.45,13894100
2023-04-14,10.03,10.255,9.75,10.17,10.17,13288200
2023-04-13,9.905,10.065,9.825,10.0,10.0,9639600
2023-04-12,10.41,10.485,9.75,9.78,9.78,15528600
2023-04-11,10.0,10.37,9.96,10.35,10.35,15286200
2023-04-10,9.31,9.99,9.19,9.91,9.91,16390500
2023-04-06,9.45,9.605,9.21,9.43,9.43,11325800
2023-04-05,9.41,9.57,9.095,9.38,9.38,15603900
2023-04-04,9.11,9.585,9.03,9.55,9.55,17606400
2023-04-03,9.19,9.41,9.05,9.07,9.07,14578200
2023-03-31,9.07,9.37,9.03,9.27,9.27,14781900
2023-03-30,9.09,9.338,9.0,9.1,9.1,20019200
2023-03-29,8.98,9.125,8.6,8.98,8.98,34720500
2023-03-28,10.12,10.37,8.85,8.87,8.87,50052500
2023-03-27,9.995,10.05,9.412,9.6,9.6,12934700
2023-03-24,9.85,10.03,9.72,9.87,9.87,13154100
2023-03-23,10.14,10.27,9.605,9.83,9.83,10429300
2023-03-22,10.5,10.53,9.95,9.96,9.96,11948200
2023-03-21,10.1,10.5,10.005,10.46,10.46,14821500
2023-03-20,9.93,10.46,9.78,9.93,9.93,25829400
2023-03-17,9.57,10.12,9.471,10.06,10.06,27334300
2023-03-16,8.89,9.655,8.84,9.6,9.6,28538100
2023-03-15,8.28,9.13,8.21,8.99,8.99,25014700
2023-03-14,9.08,9.28,8.48,8.51,8.51,27042800
2023-03-13,8.54,8.62,8.19,8.46,8.46,16899100
2023-03-10,8.88,8.9,8.46,8.71,8.71,21420300
2023-03-09,9.825,9.86,8.9,8.92,8.92,26556100
2023-03-08,9.88,9.885,9.7,9.8,9.8,13763900
2023-03-07,9.75,10.02,9.6,9.88,9.88,15170300
2023-03-06,10.16,10.22,9.72,9.75,9.75,14274900
2023-03-03,9.88,10.13,9.84,10.12,10.12,18116800
2023-03-02,9.75,9.86,9.52,9.78,9.78,14665400
2023-03-01,10.06,10.129,9.825,9.9,9.9,13376000
2023-02-28,9.96,10.19,9.92,10.0,10.0,17437700
2023-02-27,10.27,10.31,9.93,10.0,10.0,20278300
2023-02-24,10.33,10.39,10.075,10.2,10.2,18861300
2023-02-23,10.835,10.865,10.46,10.57,10.57,16384600
2023-02-22,10.68,11.1,10.655,10.75,10.75,14045800
2023-02-21,11.03,11.055,10.54,10.69,10.69,22151800
2023-02-17,10.88,11.36,10.83,11.28,11.28,21999800
