date,open,high,low,close,adjusted_close,volume
2023-06-02,7.07,7.59,6.975,7.53,7.53,93400
2023-06-01,6.91,7.07,6.805,6.89,6.89,42700
2023-05-31,6.82,7.1,6.66,6.88,6.88,64900
2023-05-30,6.58,7.205,6.57,6.82,6.82,159400
2023-05-26,6.24,6.7,6.13,6.575,6.575,128500
2023-05-25,6.79,6.82,6.021,6.3,6.3,155400
2023-05-24,7.31,7.31,6.55,6.85,6.85,161500
2023-05-23,7.15,7.58,7.1,7.42,7.42,134600
2023-05-22,7.5,7.77,7.05,7.15,7.15,114100
2023-05-19,7.77,7.79,7.13,7.56,7.56,226700
2023-05-18,7.7,8.09,7.5,7.65,7.65,158900
2023-05-17,7.09,7.76,7.06,7.7,7.7,177700
2023-05-16,6.47,7.32,6.15,7.0,7.0,310700
2023-05-15,5.81,6.312,5.78,6.15,6.15,93400
2023-05-12,5.94,5.973,5.67,5.77,5.77,52800
2023-05-11,6.18,6.19,5.72,5.83,5.83,99300
2023-05-10,6.11,6.31,5.86,6.2,6.2,94800
2023-05-09,5.83,6.07,5.7,6.03,6.03,56500
2023-05-08,6.14,6.2,5.8,5.88,5.88,74200
2023-05-05,6.37,6.37,5.97,6.15,6.15,157000
2023-05-04,5.95,6.45,5.9,6.3,6.3,129100
2023-05-03,5.86,5.95,5.441,5.84,5.84,202800
2023-05-02,5.43,5.52,5.15,5.19,5.19,60700
2023-05-01,5.31,5.55,5.255,5.46,5.46,56200
2023-04-28,5.32,5.457,5.23,5.35,5.35,41500
2023-04-27,5.39,5.47,5.25,5.31,5.31,52100
2023-04-26,5.35,5.48,5.09,5.38,5.38,90400
2023-04-25,5.4,5.44,5.19,5.29,5.29,81700
2023-04-24,5.65,5.65,5.38,5.4,5.4,55800
2023-04-21,5.41,5.75,5.35,5.67,5.67,186100
2023-04-20,5.44,5.53,5.35,5.42,5.42,68900
2023-04-19,5.55,5.635,5.38,5.47,5.47,87300
2023-04-18,5.64,5.845,5.46,5.57,5.57,138700
2023-04-17,5.36,5.63,5.3,5.58,5.58,114000
2023-04-14,5.695,5.695,5.3,5.31,5.31,83500
2023-04-13,5.47,5.8,5.42,5.63,5.63,230000
2023-04-12,5.4,5.5,5.18,5.35,5.35,171000
2023-04-11,5.33,5.43,5.245,5.36,5.36,80800
2023-04-10,5.36,5.46,5.16,5.32,5.32,111200
2023-04-06,5.39,5.49,5.06,5.35,5.35,117800
2023-04-05,5.19,5.7,5.15,5.375,5.375,239300
2023-04-04,6.0,6.0,5.07,5.21,5.21,266500
2023-04-03,5.22,6.125,5.22,6.05,6.05,367900
2023-03-31,5.2,5.4,5.13,5.17,5.17,159800
2023-03-30,5.35,5.48,5.1,5.19,5.19,134400
2023-03-29,5.14,5.38,5.06,5.26,5.26,108200
2023-03-28,5.08,5.4,4.96,5.04,5.04,99400
2023-03-27,5.18,5.35,4.96,5.12,5.12,94000
2023-03-24,5.02,5.15,4.77,5.08,5.08,190700
2023-03-23,5.27,5.32,4.96,5.08,5.08,204600
2023-03-22,5.51,5.51,5.13,5.18,5.18,115400
2023-03-21,5.57,5.6,5.41,5.5,5.5,100800
2023-03-20,5.48,5.54,5.25,5.48,5.48,157800
2023-03-17,5.9,5.9,5.34,5.41,5.41,404900
2023-03-16,5.87,5.97,5.386,5.9,5.9,213600
2023-03-15,6.04,6.33,5.88,5.93,5.93,158800
2023-03-14,6.36,6.36,5.8,6.25,6.25,312900
2023-03-13,6.23,6.489,6.12,6.14,6.14,232000
2023-03-10,6.96,7.37,5.86,6.21,6.21,273600
2023-03-09,7.52,7.57,6.96,6.98,6.98,100800
2023-03-08,7.39,7.75,7.24,7.49,7.49,119400
2023-03-07,7.64,7.7,7.36,7.37,7.37,79300
2023-03-06,8.32,8.32,7.55,7.66,7.66,111300
2023-03-03,7.71,8.27,7.68,8.13,8.13,126300
2023-03-02,7.74,7.78,7.39,7.59,7.59,98700
2023-03-01,7.75,8.055,7.749,7.76,7.76,87900
2023-02-28,7.64,7.84,7.45,7.72,7.72,624500
2023-02-27,7.35,7.72,7.29,7.66,7.66,90500
2023-02-24,7.81,7.81,7.15,7.22,7.22,113800
2023-02-23,8.04,8.07,7.605,7.72,7.72,137800
2023-02-22,8.61,8.77,8.02,8.04,8.04,198200
2023-02-21,8.37,8.72,8.135,8.6,8.6,303300
2023-02-17,7.84,8.46,7.82,8.43,8.43,231800
2023-02-16,7.79,7.9,7.567,7.75,7.75,148600
2023-02-15,7.9,8.0,7.74,7.92,7.92,107100
2023-02-14,7.91,8.05,7.78,7.93,7.93,117500
2023-02-13,7.7,8.175,7.5,7.93,7.93,250500
2023-02-10,7.56,7.56,7.235,7.36,7.36,159300
2023-02-09,7.93,8.02,7.57,7.6,7.6,115200
2023-02-08,7.8,8.16,7.56,7.74,7.74,142200
2023-02-07,8.15,8.18,7.71,7.89,7.89,79000
2023-02-06,8.14,8.172,7.92,8.16,8.16,115600
2023-02-03,8.23,8.39,8.04,8.12,8.12,107500
2023-02-02,8.48,8.668,8.27,8.35,8.35,156800
2023-02-01,8.38,8.71,8.095,8.38,8.38,185800
2023-01-31,8.41,8.62,8.155,8.36,8.36,249300
2023-01-30,7.9,8.49,7.71,8.4,8.4,202600
2023-01-27,7.32,8.05,7.32,7.95,7.95,226300
2023-01-26,7.17,7.459,7.17,7.37,7.37,139200
2023-01-25,6.78,7.2,6.58,7.17,7.17,231200
2023-01-24,6.54,6.929,6.43,6.8,6.8,226100
2023-01-23,6.4,6.61,6.26,6.46,6.46,127500
2023-01-20,6.39,6.47,6.26,6.36,6.36,111700
2023-01-19,6.57,6.57,6.27,6.32,6.32,113800
2023-01-18,6.93,7.06,6.56,6.58,6.58,82400
2023-01-17,7.1,7.1,6.72,6.91,6.91,143100
2023-01-13,6.73,7.19,6.73,6.99,6.99,226300
2023-01-12,6.51,6.78,6.445,6.78,6.78,147000
2023-01-11,6.29,6.52,6.27,6.51,6.51,74889
2023-01-10,6.35,6.455,6.21,6.31,6.31,101385
2023-01-09,6.65,6.75,6.31,6.33,6.33,168055
2023-01-06,6.57,6.71,6.38,6.6,6.6,96200
2023-01-05,6.62,6.73,6.42,6.55,6.55,82400
2023-01-04,6.5,6.765,6.5,6.66,6.66,123800
2023-01-03,6.57,6.75,6.41,6.48,6.48,109900
2022-12-30,6.37,6.555,6.295,6.52,6.52,114900
2022-12-29,6.08,6.51,6.05,6.47,6.47,180500
2022-12-28,5.94,6.07,5.91,6.03,6.03,138900
2022-12-27,5.97,6.389,5.91,5.94,5.94,176800
2022-12-23,6.06,6.069,5.84,6.01,6.01,410900
2022-12-22,5.88,6.06,5.85,6.05,6.05,183400
2022-12-21,6.05,6.13,5.845,5.89,5.89,205900
2022-12-20,5.79,6.06,5.775,6.04,6.04,222500
2022-12-19,6.1,6.11,5.73,5.82,5.82,215000
2022-12-16,6.09,6.19,5.959,6.1,6.1,274600
2022-12-15,6.03,6.12,5.95,6.1,6.1,288700
2022-12-14,6.19,6.47,6.01,6.09,6.09,326000
2022-12-13,6.25,6.707,5.84,6.105,6.105,510900
2022-12-12,5.76,6.22,5.71,6.12,6.12,282200
2022-12-09,5.9,5.98,5.78,5.8,5.8,155900
2022-12-08,5.88,6.02,5.695,5.82,5.82,180000
2022-12-07,6.1,6.16,5.71,5.8,5.8,395900
2022-12-06,6.56,6.6,6.072,6.14,6.14,157800
2022-12-05,6.37,6.77,6.305,6.485,6.485,162700
2022-12-02,6.29,6.39,6.2,6.38,6.38,144600
2022-12-01,6.13,6.45,5.92,6.31,6.31,490500
2022-11-30,6.24,6.315,6.02,6.16,6.16,179600
2022-11-29,6.34,6.38,6.175,6.19,6.19,133800
2022-11-28,6.34,6.59,6.28,6.34,6.34,219700
2022-11-25,6.37,6.59,6.3,6.38,6.38,47500
2022-11-23,6.15,6.7,6.1,6.375,6.375,474700
2022-11-22,6.12,6.22,6.0,6.09,6.09,379000
2022-11-21,6.26,6.31,5.9,6.09,6.09,182200
2022-11-18,6.01,6.5,5.91,6.26,6.26,189900
