date,open,high,low,close,adjusted_close,volume
2023-06-02,7.07,7.68,6.76,7.485,7.485,22200
2023-06-01,7.525,7.69,6.75,7.35,7.35,18900
2023-05-31,7.66,7.67,7.35,7.506,7.506,2700
2023-05-30,7.456,7.74,7.35,7.55,7.55,2200
2023-05-26,7.61,7.766,7.61,7.74,7.74,1300
2023-05-25,7.6,7.6,7.35,7.57,7.57,1200
2023-05-24,7.414,7.44,7.36,7.44,7.44,1500
2023-05-23,7.478,7.5,7.35,7.5,7.5,3100
2023-05-22,7.19,7.39,6.97,7.39,7.39,9500
2023-05-19,7.2,7.35,7.07,7.205,7.205,4700
2023-05-18,7.22,7.59,7.159,7.384,7.384,1700
2023-05-17,7.34,7.5,7.12,7.25,7.25,5500
2023-05-16,7.318,7.5,7.11,7.5,7.5,2400
2023-05-15,7.05,7.6,7.0,7.15,7.15,9900
2023-05-12,7.18,7.492,6.9,6.98,6.98,3500
2023-05-11,7.09,7.496,6.87,7.43,7.43,2800
2023-05-10,7.44,7.44,7.142,7.142,7.142,1300
2023-05-09,7.137,7.54,7.137,7.54,7.54,2500
2023-05-08,7.29,7.58,7.24,7.58,7.58,1100
2023-05-05,7.4,7.61,7.09,7.61,7.61,4600
2023-05-04,7.61,7.61,7.35,7.61,7.61,300
2023-05-03,7.425,7.425,7.425,7.425,7.425,800
2023-05-02,7.04,7.59,7.04,7.57,7.57,1800
2023-05-01,7.0,7.61,7.0,7.61,7.61,2300
2023-04-28,7.531,7.531,7.325,7.35,7.35,1900
2023-04-27,7.345,7.51,6.89,7.15,7.15,4300
2023-04-26,7.61,7.61,7.25,7.535,7.535,3800
2023-04-25,7.5743,7.7999,7.36,7.45,7.45,1974
2023-04-24,8.19,8.19,7.5,7.69,7.69,7969
2023-04-21,8.8,8.8,8.12,8.55,8.55,1700
2023-04-20,7.25,8.99,6.7,8.86,8.86,20000
2023-04-19,7.202,7.35,6.83,7.03,7.03,2000
2023-04-18,6.93,7.49,6.8,7.17,7.17,3400
2023-04-17,6.76,7.32,6.76,7.32,7.32,3600
2023-04-14,6.942,6.942,6.45,6.58,6.58,4400
2023-04-13,6.9,6.9,6.9,6.9,6.9,1000
2023-04-12,6.56,6.99,6.56,6.88,6.88,1800
2023-04-11,6.75,6.75,6.741,6.741,6.741,700
2023-04-10,6.52,6.74,6.5,6.73,6.73,2000
2023-04-06,6.98,7.0,6.72,7.0,7.0,2100
2023-04-05,6.95,7.46,6.72,7.393,7.393,5400
2023-04-04,6.56,7.0,6.51,7.0,7.0,3600
2023-04-03,6.75,7.0,6.74,7.0,7.0,2700
2023-03-31,6.54,6.99,6.51,6.88,6.88,2900
2023-03-30,6.64,6.99,6.5,6.59,6.59,2100
2023-03-29,6.464,6.994,6.39,6.79,6.79,1600
2023-03-28,6.616,7.0,6.45,7.0,7.0,600
2023-03-27,6.27,7.0,6.27,7.0,7.0,1500
2023-03-24,6.25,6.5,6.25,6.5,6.5,500
2023-03-23,6.25,6.83,6.25,6.83,6.83,8300
2023-03-22,6.2,6.52,6.2,6.5,6.5,2000
2023-03-21,6.35,6.735,6.3,6.5,6.5,5400
2023-03-20,6.8,7.4,6.8,6.835,6.835,4100
2023-03-17,6.98,6.98,6.8,6.804,6.804,1600
2023-03-16,6.99,7.25,6.89,7.2,7.2,6200
2023-03-15,7.22,7.28,7.0,7.23,7.23,1800
2023-03-14,7.2,7.712,7.1,7.355,7.355,2500
2023-03-13,7.0,7.496,7.0,7.016,7.016,4000
2023-03-10,7.575,7.87,7.159,7.519,7.519,1900
2023-03-09,7.96,8.07,7.25,7.46,7.46,2500
2023-03-08,7.72,8.39,7.6,8.39,8.39,3600
2023-03-07,7.67,7.67,7.67,7.67,7.67,200
2023-03-06,7.459,7.67,7.1,7.67,7.67,6300
2023-03-03,7.289,7.467,7.22,7.24,7.24,2000
2023-03-02,7.22,7.7,7.09,7.48,7.48,2100
2023-03-01,7.35,7.73,7.0,7.72,7.72,6900
2023-02-28,7.18,7.202,7.12,7.202,7.202,3600
2023-02-27,7.33,7.5,7.18,7.21,7.21,5400
2023-02-24,7.19,7.73,7.19,7.2,7.2,3400
2023-02-23,7.43,7.43,7.24,7.28,7.28,4200
2023-02-22,7.23,7.294,7.23,7.294,7.294,2200
2023-02-21,7.11,7.251,7.092,7.251,7.251,1000
2023-02-17,7.3,7.35,7.272,7.35,7.35,2900
2023-02-16,7.15,7.6,7.0,7.39,7.39,12500
2023-02-15,7.362,7.53,7.22,7.35,7.35,5600
2023-02-14,7.54,7.806,7.27,7.425,7.425,5900
2023-02-13,7.64,7.765,7.57,7.67,7.67,3700
2023-02-10,7.55,7.9,7.55,7.9,7.9,1500
2023-02-09,7.63,7.809,7.52,7.809,7.809,4400
2023-02-08,7.953,8.19,7.88,7.95,7.95,8500
2023-02-07,8.1,8.27,7.22,7.95,7.95,20100
2023-02-06,8.13,8.134,8.1,8.1,8.1,1100
2023-02-03,8.16,9.0,7.81,8.48,8.48,3300
2023-02-02,8.01,8.933,8.0,8.33,8.33,5900
2023-02-01,8.429,8.429,8.301,8.405,8.405,600
2023-01-31,8.2,8.93,7.9,8.31,8.31,12300
2023-01-30,7.65,9.0,7.63,9.0,9.0,17200
2023-01-27,7.26,7.57,7.26,7.5,7.5,2700
2023-01-26,7.13,7.54,7.122,7.32,7.32,6300
2023-01-25,7.15,7.6,7.11,7.58,7.58,1100
2023-01-24,7.17,7.563,7.158,7.563,7.563,1200
2023-01-23,7.44,7.587,7.0,7.5,7.5,3100
2023-01-20,7.5,7.852,7.5,7.65,7.65,4300
2023-01-19,7.73,7.9,7.21,7.55,7.55,1800
2023-01-18,7.48,8.08,7.01,7.96,7.96,9500
2023-01-17,7.8,7.964,7.689,7.964,7.964,3600
2023-01-13,7.525,7.89,7.36,7.612,7.612,2800
2023-01-12,7.09,7.742,7.03,7.684,7.684,8300
2023-01-11,6.82,6.925,6.39,6.5,6.5,6800
2023-01-10,6.842,6.842,6.79,6.79,6.79,600
2023-01-09,6.77,6.93,6.5,6.93,6.93,2200
2023-01-06,6.36,7.21,6.318,6.4,6.4,14700
2023-01-05,6.32,6.595,6.225,6.37,6.37,1600
2023-01-04,5.915,6.4,5.915,6.4,6.4,1600
2023-01-03,6.3,6.5,6.01,6.37,6.37,2800
2022-12-30,6.21,6.238,5.8,6.17,6.17,11000
2022-12-29,6.04,6.291,5.86,6.291,6.291,4700
2022-12-28,5.8,6.395,5.8,6.25,6.25,1700
2022-12-27,6.17,6.17,5.6,5.841,5.841,6600
2022-12-23,5.95,6.25,5.782,6.201,6.201,2700
2022-12-22,6.2,6.2,5.56,5.56,5.56,4800
2022-12-21,6.75,6.75,6.05,6.48,6.48,6500
2022-12-20,6.28,6.5,6.15,6.5,6.5,4000
2022-12-19,6.06,6.47,6.06,6.3,6.3,3900
2022-12-16,6.75,6.78,6.02,6.73,6.73,8700
2022-12-15,6.6,6.85,6.5,6.85,6.85,5600
2022-12-14,5.5,7.2,5.34,7.142,7.142,15200
2022-12-13,5.5,6.0,5.495,5.601,5.601,8200
2022-12-12,5.77,5.853,5.15,5.69,5.69,10900
2022-12-09,5.9,5.9,5.9,5.9,5.9,200
2022-12-08,5.76,5.924,5.76,5.9,5.9,2700
2022-12-07,5.72,5.95,5.72,5.95,5.95,2500
2022-12-06,6.25,6.25,5.47,5.684,5.684,4400
2022-12-05,5.999,6.184,5.9,6.184,6.184,1700
2022-12-02,6.22,6.331,6.22,6.331,6.331,1100
2022-12-01,6.245,6.32,5.35,6.12,6.12,7200
2022-11-30,6.24,6.24,6.15,6.15,6.15,1300
2022-11-29,6.26,6.3,6.15,6.25,6.25,9000
2022-11-28,6.36,6.505,6.24,6.3,6.3,5800
2022-11-25,6.47,6.62,6.4,6.4,6.4,2000
