date,open,high,low,close,adjusted_close,volume
2023-06-02,3.72,3.78,3.61,3.665,3.665,80800
2023-06-01,3.53,3.8,3.5,3.7,3.7,183000
2023-05-31,3.45,3.6,3.423,3.54,3.54,48500
2023-05-30,3.6,3.62,3.41,3.48,3.48,88100
2023-05-26,3.4,3.56,3.392,3.56,3.56,50400
2023-05-25,3.55,3.55,3.35,3.39,3.39,72700
2023-05-24,3.44,3.55,3.36,3.48,3.48,53200
2023-05-23,3.48,3.68,3.4,3.45,3.45,89100
2023-05-22,3.45,3.55,3.407,3.49,3.49,88000
2023-05-19,3.48,3.57,3.42,3.45,3.45,79300
2023-05-18,3.48,3.48,3.33,3.46,3.46,112300
2023-05-17,3.47,3.54,3.45,3.47,3.47,109800
2023-05-16,3.44,3.6,3.36,3.5,3.5,303700
2023-05-15,3.66,3.77,3.48,3.49,3.49,208900
2023-05-12,3.52,3.63,3.52,3.62,3.62,79700
2023-05-11,3.56,3.65,3.49,3.53,3.53,140500
2023-05-10,3.57,3.66,3.48,3.56,3.56,103900
2023-05-09,3.41,3.65,3.21,3.55,3.55,387700
2023-05-08,3.54,3.62,3.341,3.46,3.46,110700
2023-05-05,3.51,3.65,3.38,3.63,3.63,132200
2023-05-04,3.63,3.7,3.59,3.65,3.65,204600
2023-05-03,3.6,3.65,3.51,3.61,3.61,129200
2023-05-02,3.62,3.65,3.53,3.6,3.6,89600
2023-05-01,3.53,3.65,3.48,3.63,3.63,171100
2023-04-28,3.49,3.64,3.41,3.58,3.58,135800
2023-04-27,3.35,3.65,3.25,3.61,3.61,194300
2023-04-26,3.04,3.33,3.013,3.32,3.32,97900
2023-04-25,3.29,3.29,2.992,3.07,3.07,77400
2023-04-24,3.17,3.35,3.11,3.33,3.33,79600
2023-04-21,3.02,3.23,2.99,3.22,3.22,107300
2023-04-20,2.99,3.12,2.97,3.05,3.05,110200
2023-04-19,3.03,3.08,2.88,3.02,3.02,92000
2023-04-18,3.12,3.12,2.87,3.09,3.09,82900
2023-04-17,3.16,3.2,2.99,3.13,3.13,175800
2023-04-14,3.05,3.1,2.87,3.1,3.1,149600
2023-04-13,2.88,3.2,2.81,3.09,3.09,163200
2023-04-12,2.72,2.96,2.684,2.92,2.92,117100
2023-04-11,2.55,2.77,2.53,2.74,2.74,101600
2023-04-10,2.51,2.575,2.45,2.55,2.55,53300
2023-04-06,2.45,2.6,2.45,2.53,2.53,20300
2023-04-05,2.51,2.6,2.5,2.57,2.57,37800
2023-04-04,2.71,2.72,2.49,2.54,2.54,27900
2023-04-03,2.55,2.72,2.55,2.69,2.69,68100
2023-03-31,2.52,2.64,2.46,2.58,2.58,50800
2023-03-30,2.7,2.7,2.4,2.59,2.59,142200
2023-03-29,2.88,2.88,2.68,2.7,2.7,51400
2023-03-28,2.8,2.85,2.67,2.85,2.85,86500
2023-03-27,2.69,2.8,2.55,2.8,2.8,113800
2023-03-24,2.46,2.62,2.44,2.62,2.62,95700
2023-03-23,2.42,2.55,2.306,2.48,2.48,85800
2023-03-22,2.37,2.44,2.29,2.42,2.42,89600
2023-03-21,2.3,2.41,2.254,2.36,2.36,34100
2023-03-20,2.25,2.32,2.22,2.29,2.29,41300
2023-03-17,2.13,2.26,2.12,2.26,2.26,83600
2023-03-16,2.09,2.17,2.03,2.15,2.15,32800
2023-03-15,2.027,2.12,2.02,2.09,2.09,24200
2023-03-14,2.05,2.135,2.0,2.08,2.08,66000
2023-03-13,1.92,2.085,1.9,2.01,2.01,34800
2023-03-10,2.14,2.2,1.9,2.0,2.0,146600
2023-03-09,2.31,2.4,2.15,2.15,2.15,55500
