date,open,high,low,close,adjusted_close,volume
2023-06-02,7.15,7.64,7.13,7.56,7.56,1430100
2023-06-01,6.9,7.18,6.74,7.0,7.0,1385600
2023-05-31,7.09,7.14,6.49,6.89,6.89,2900800
2023-05-30,7.21,7.65,6.94,7.16,7.16,1787200
2023-05-26,7.12,7.18,6.95,7.04,7.04,1767500
2023-05-25,7.3,7.3,6.92,7.14,7.14,1719400
2023-05-24,7.16,7.22,6.94,7.15,7.15,1124400
2023-05-23,7.16,7.45,7.11,7.25,7.25,1676900
2023-05-22,6.65,7.203,6.62,7.17,7.17,1433900
2023-05-19,6.86,6.97,6.56,6.6,6.6,1305400
2023-05-18,6.83,6.97,6.6,6.85,6.85,1280100
2023-05-17,6.51,6.995,6.39,6.85,6.85,2065700
2023-05-16,6.7,6.86,6.38,6.59,6.59,2045000
2023-05-15,7.04,7.17,6.655,6.81,6.81,1659700
2023-05-12,7.64,7.73,6.905,7.04,7.04,2222500
2023-05-11,7.7,8.101,7.61,7.68,7.68,1752000
2023-05-10,7.55,7.985,7.41,7.76,7.76,2385900
2023-05-09,7.29,7.48,7.16,7.36,7.36,1735700
2023-05-08,7.45,7.87,7.31,7.42,7.42,2859800
2023-05-05,6.9,7.28,6.88,7.25,7.25,2054100
2023-05-04,6.27,6.765,6.14,6.75,6.75,1198400
2023-05-03,6.0,6.5,5.985,6.31,6.31,1223600
2023-05-02,6.13,6.19,5.77,6.035,6.035,1707000
2023-05-01,6.72,6.74,6.17,6.19,6.19,1471000
2023-04-28,6.11,6.678,5.98,6.57,6.57,1993000
2023-04-27,6.1,6.36,6.03,6.08,6.08,1614100
2023-04-26,5.65,6.43,5.57,6.0,6.0,2584900
2023-04-25,5.6,6.54,5.53,5.56,5.56,4860900
2023-04-24,5.27,5.37,5.16,5.19,5.19,1294500
2023-04-21,5.5,5.5,5.27,5.3,5.3,1190400
2023-04-20,5.45,5.75,5.295,5.57,5.57,1606300
2023-04-19,5.57,5.65,5.365,5.55,5.55,1309400
2023-04-18,6.12,6.14,5.535,5.66,5.66,1528536
2023-04-17,6.12,6.24,6.04,6.1,6.1,974184
2023-04-14,6.29,6.35,5.94,6.1,6.1,1837300
2023-04-13,6.56,6.56,6.26,6.33,6.33,687000
2023-04-12,6.64,6.675,6.31,6.45,6.45,865000
2023-04-11,6.24,6.42,6.1,6.38,6.38,801300
2023-04-10,6.06,6.19,6.0,6.18,6.18,865800
2023-04-06,6.16,6.26,6.04,6.16,6.16,770700
2023-04-05,6.59,6.6,6.145,6.24,6.24,1603700
2023-04-04,6.87,6.95,6.355,6.65,6.65,1324000
2023-04-03,6.95,7.15,6.68,6.8,6.8,1545900
2023-03-31,7.03,7.25,6.84,7.0,7.0,2455700
2023-03-30,6.76,7.19,6.76,7.02,7.02,1950500
2023-03-29,6.43,6.878,6.175,6.68,6.68,1935900
2023-03-28,6.62,6.69,6.32,6.33,6.33,1480600
2023-03-27,6.44,6.725,6.23,6.63,6.63,1405700
2023-03-24,5.86,6.41,5.86,6.37,6.37,1221000
2023-03-23,5.76,6.005,5.76,5.91,5.91,1332000
2023-03-22,6.01,6.09,5.71,5.72,5.72,1353000
2023-03-21,5.69,6.15,5.66,6.0,6.0,1881400
2023-03-20,6.205,6.25,5.56,5.62,5.62,2746500
2023-03-17,6.535,6.83,6.18,6.24,6.24,4226800
2023-03-16,5.42,7.1,5.37,6.65,6.65,18579600
2023-03-15,4.65,5.03,4.5,4.77,4.77,3946400
2023-03-14,4.82,4.9,4.56,4.615,4.615,1511100
