date,open,high,low,close,adjusted_close,volume
2023-06-02,17.42,18.33,17.42,18.33,18.33,27600
2023-06-01,18.76,18.76,16.8,17.41,17.41,7700
2023-05-31,17.25,17.41,16.71,17.22,17.03,59700
2023-05-30,17.47,17.47,17.31,17.31,17.119,2600
2023-05-26,17.77,18.6335,17.3,17.3,17.1091,11103
2023-05-25,17.5,17.89,17.5,17.6,17.4058,9058
2023-05-24,17.6,17.73,17.35,17.35,17.1586,15195
2023-05-23,17.54,18.1395,17.39,17.52,17.3267,12936
2023-05-22,19.13,19.13,16.35,17.35,17.1586,74447
2023-05-19,20.0,20.215,19.0,19.13,18.9189,9483
2023-05-18,20.23,20.64,19.875,20.06,19.8387,9587
2023-05-17,19.29,20.48,19.29,20.48,20.254,9523
2023-05-16,19.01,19.245,18.85,19.0,18.7904,15249
2023-05-15,18.7,19.0,18.25,18.7,18.4937,14388
2023-05-12,19.57,19.63,18.55,18.7,18.4937,7824
2023-05-11,19.99,20.02,19.25,19.6,19.3837,9371
2023-05-10,20.75,20.75,20.0,20.09,19.8683,11171
2023-05-09,21.15,21.27,20.72,20.9,20.6694,8162
2023-05-08,22.0,22.24,20.75,21.34,21.1045,11744
2023-05-05,21.88,22.82,21.78,22.02,21.777,5249
2023-05-04,23.9254,23.9254,21.655,22.03,21.7869,5351
2023-05-03,24.5,25.095,23.71,23.71,23.4484,7287
2023-05-02,26.25,26.68,24.55,24.65,24.378,11633
2023-05-01,27.75,27.95,26.0,26.33,26.0395,14287
2023-04-28,28.31,29.0,27.53,28.08,27.7702,19799
2023-04-27,28.83,28.83,28.14,28.69,28.3734,3162
2023-04-26,28.3,28.9999,28.24,28.33,28.0174,12115
2023-04-25,29.55,29.85,28.105,28.39,28.0768,15706
2023-04-24,29.37,30.1925,29.3,29.54,29.2141,5690
2023-04-21,30.0,30.04,29.25,29.57,29.2437,13564
2023-04-20,30.28,30.28,29.93,29.93,29.5998,2011
2023-04-19,30.36,30.445,30.22,30.33,29.9953,3644
2023-04-18,30.24,30.815,30.14,30.38,30.0448,5325
2023-04-17,30.25,30.52,30.0,30.38,30.0448,14822
2023-04-14,30.44,30.6,30.11,30.34,30.0052,13469
2023-04-13,30.61,31.04,30.35,30.48,30.1437,12178
2023-04-12,30.56,30.8,30.35,30.74,30.4008,11440
2023-04-11,30.64,31.0775,30.5,30.55,30.2129,19312
2023-04-10,30.76,31.2,30.47,30.74,30.4008,20075
2023-04-06,31.03,31.49,30.845,30.99,30.6481,15825
2023-04-05,31.17,31.73,30.9,31.23,30.8854,18831
2023-04-04,31.21,31.58,31.05,31.36,31.014,4694
2023-04-03,31.68,31.95,31.21,31.36,31.014,22110
2023-03-31,31.89,32.005,31.15,31.77,31.4195,45361
2023-03-30,31.98,31.98,31.72,31.925,31.5727,6554
2023-03-29,32.08,32.1,31.8,31.95,31.5975,17007
2023-03-28,32.07,32.1,31.77,32.07,31.7161,13294
2023-03-27,31.72,32.0,31.57,32.0,31.6469,10397
2023-03-24,31.25,31.94,31.25,31.7,31.3502,6269
2023-03-23,31.6,32.0,31.23,31.59,31.2414,20092
2023-03-22,31.81,32.0,31.66,31.7,31.3502,10092
2023-03-21,32.25,32.25,31.81,32.0,31.6469,8774
2023-03-20,32.085,32.93,31.63,31.89,31.5381,74018
2023-03-17,32.77,33.0,32.06,32.06,31.7063,14103
2023-03-16,32.0,32.9,31.6601,32.41,32.0524,9724
2023-03-15,32.22,32.98,32.0,32.18,31.8249,8289
2023-03-14,32.65,33.0,32.015,32.46,32.1018,16944
2023-03-13,33.25,33.41,32.25,32.43,32.0722,16331
2023-03-10,33.76,34.5,33.5,33.69,33.3183,18155
2023-03-09,34.88,34.88,33.78,34.15,33.7732,20361
2023-03-08,33.54,34.35,33.5,34.15,33.7732,43618
2023-03-07,33.4,33.64,33.035,33.44,33.071,4279
2023-03-06,33.64,33.64,33.0,33.24,32.8732,2308
2023-03-03,33.505,33.69,33.075,33.24,32.8732,4366
2023-03-02,33.98,33.98,33.2,33.33,32.9622,4986
2023-03-01,33.3799,34.32,33.3799,33.51,32.9524,6993
2023-02-28,33.35,33.71,33.07,33.69,33.1294,22809
2023-02-27,33.19,33.3,33.01,33.26,32.7065,1707
2023-02-24,33.04,33.37,32.74,33.12,32.5688,4762
2023-02-23,33.14,33.18,32.885,33.12,32.5688,5446
2023-02-22,32.86,33.05,32.7325,32.99,32.441,7515
2023-02-21,33.0,33.0,33.0,33.0,32.4508,1757
2023-02-17,33.02,33.43,32.71,33.14,32.5885,9229
2023-02-16,33.204,33.204,32.945,33.18,32.6278,3159
2023-02-15,33.28,33.28,33.028,33.18,32.6278,3169
2023-02-14,33.275,33.29,33.245,33.27,32.7164,2429
2023-02-13,33.1,33.2,32.9276,33.2,32.6475,2159
2023-02-10,32.865,33.0,32.71,32.92,32.3722,7625
2023-02-09,33.06,33.235,32.76,33.08,32.5295,2457
2023-02-08,32.82,33.28,32.805,33.19,32.6377,7840
2023-02-07,32.86,33.1,32.66,33.0,32.4508,8757
2023-02-06,33.104,33.28,32.825,33.13,32.5787,8165
2023-02-03,32.8133,33.3,32.8133,33.17,32.618,5614
2023-02-02,32.5,33.44,32.48,33.44,32.8835,23623
2023-02-01,33.49,33.6,33.1,33.24,32.5393,16951
