date,open,high,low,close,adjusted_close,volume
2023-06-02,12.71,12.71,11.37,11.71,11.71,34218300
2023-06-01,11.79,12.707,11.59,12.41,12.41,21175500
2023-05-31,11.58,12.04,11.37,12.0,12.0,19845600
2023-05-30,11.71,12.797,11.59,12.03,12.03,34100600
2023-05-26,11.11,11.845,10.73,10.92,10.92,18298000
2023-05-25,11.35,11.53,10.66,11.07,11.07,13904600
2023-05-24,11.06,11.47,10.56,11.27,11.27,18765600
2023-05-23,12.39,12.611,11.25,11.28,11.28,23583000
2023-05-22,11.005,12.2,10.83,12.2,12.2,21033000
2023-05-19,11.26,11.53,10.89,11.08,11.08,14085800
2023-05-18,11.29,11.827,10.68,11.07,11.07,16231600
2023-05-17,10.66,11.61,10.6,11.53,11.53,16416800
2023-05-16,10.78,11.035,10.55,10.85,10.85,12465800
2023-05-15,10.93,11.32,10.65,11.08,11.08,17750400
2023-05-12,10.6,10.84,10.344,10.61,10.61,16316100
2023-05-11,11.944,12.1,10.415,10.71,10.71,25762300
2023-05-10,11.84,12.9,11.68,12.28,12.28,31547700
2023-05-09,10.67,11.57,10.62,11.44,11.44,18784400
2023-05-08,10.84,10.86,10.2,10.49,10.49,23093900
2023-05-05,10.83,11.685,10.71,11.54,11.54,28524300
2023-05-04,10.8,11.148,10.54,10.84,10.84,23478600
2023-05-03,11.39,11.51,10.66,10.74,10.74,27764600
2023-05-02,10.65,11.97,10.32,11.78,11.78,22935320
2023-05-01,11.6,11.639,10.37,10.52,10.52,19192279
2023-04-28,11.66,12.1,11.32,11.96,11.96,22159000
2023-04-27,11.22,11.92,10.755,11.84,11.84,28867000
2023-04-26,11.99,12.08,10.87,10.91,10.91,40387000
2023-04-25,10.33,11.14,10.06,10.71,10.71,27025100
2023-04-24,10.47,10.805,10.12,10.39,10.39,18193800
2023-04-21,11.33,11.33,10.5,10.52,10.52,18701400
2023-04-20,11.73,12.09,10.85,10.9,10.9,20535700
2023-04-19,12.56,12.905,12.09,12.11,12.11,20647200
2023-04-18,13.67,14.429,13.25,13.45,13.45,26531200
2023-04-17,12.52,12.98,12.12,12.93,12.93,19850200
2023-04-14,13.83,13.89,12.75,13.48,13.48,30773000
2023-04-13,12.69,13.86,12.68,13.5,13.5,44153800
2023-04-12,12.26,13.15,11.95,12.35,12.35,48039100
2023-04-11,10.99,12.55,10.8,12.38,12.38,55029300
2023-04-10,9.17,10.62,8.94,10.58,10.58,30153900
2023-04-06,8.971,9.39,8.76,9.16,9.16,12719100
2023-04-05,9.64,9.75,9.01,9.15,9.15,15953300
2023-04-04,9.82,9.93,9.23,9.56,9.56,14720300
2023-04-03,9.81,9.95,9.24,9.67,9.67,17409600
2023-03-31,9.25,10.1,9.142,9.99,9.99,26714600
2023-03-30,9.41,9.54,9.05,9.14,9.14,18406900
2023-03-29,8.54,9.24,8.46,9.23,9.23,23697500
2023-03-28,7.92,8.305,7.66,8.11,8.11,15540800
2023-03-27,8.74,8.745,7.91,8.04,8.04,16539900
2023-03-24,9.21,9.25,8.35,8.63,8.63,26370500
2023-03-23,8.315,9.72,8.245,9.47,9.47,31925100
2023-03-22,9.1,9.39,8.04,8.1,8.1,30841500
2023-03-21,8.47,9.17,8.37,9.07,9.07,25618619
2023-03-20,8.63,8.76,8.03,8.55,8.55,29574859
2023-03-17,7.58,8.46,7.175,8.1,8.1,40481500
2023-03-16,6.75,7.13,6.619,7.05,7.05,12959400
2023-03-15,6.82,7.08,6.35,6.69,6.69,16291000
2023-03-14,6.79,7.27,6.57,6.89,6.89,30018800
2023-03-13,5.51,6.35,5.33,6.25,6.25,23685800
2023-03-10,5.46,5.63,5.16,5.3,5.3,11742700
2023-03-09,6.19,6.3,5.51,5.53,5.53,12832900
2023-03-08,6.17,6.39,6.07,6.3,6.3,8662300
2023-03-07,6.33,6.53,6.15,6.17,6.17,8767700
2023-03-06,6.37,6.88,6.17,6.37,6.37,13040500
2023-03-03,5.975,6.48,5.83,6.34,6.34,13713400
2023-03-02,5.99,6.27,5.77,6.18,6.18,10167800
2023-03-01,6.38,6.43,6.069,6.14,6.14,10997100
2023-02-28,6.02,6.52,5.93,6.25,6.25,12476450
2023-02-27,6.04,6.12,5.87,6.01,6.01,7351132
2023-02-24,6.17,6.22,5.73,5.87,5.87,12051500
2023-02-23,6.45,6.54,6.14,6.37,6.37,11009300
2023-02-22,6.19,6.45,6.0,6.35,6.35,13407700
2023-02-21,6.475,6.8,6.18,6.22,6.22,12728500
2023-02-17,6.35,6.7,6.13,6.59,6.59,18846300
2023-02-16,6.57,7.25,6.35,6.36,6.36,22825300
2023-02-15,6.04,6.79,5.955,6.66,6.66,20418700
2023-02-14,5.42,6.009,5.32,5.9,5.9,13904900
2023-02-13,5.32,5.54,5.18,5.47,5.47,7623800
2023-02-10,5.65,5.74,5.42,5.51,5.51,9852400
2023-02-09,6.605,6.65,5.63,5.65,5.65,17176000
2023-02-08,6.5,7.038,6.44,6.52,6.52,14973100
2023-02-07,6.7,6.7,6.18,6.6,6.6,18661500
2023-02-06,6.69,6.818,6.38,6.68,6.68,13765000
2023-02-03,7.1,7.77,6.8,6.84,6.84,18891700
2023-02-02,7.22,7.78,7.03,7.49,7.49,27398500
2023-02-01,6.24,6.95,6.06,6.86,6.86,18687900
2023-01-31,6.06,6.32,5.95,6.27,6.27,14011200
2023-01-30,6.27,6.84,5.92,5.94,5.94,18810700
2023-01-27,6.03,6.39,5.95,6.33,6.33,11727700
2023-01-26,6.46,6.58,6.06,6.13,6.13,11489500
2023-01-25,5.85,6.275,5.7,6.23,6.23,12213000
2023-01-24,6.32,6.62,6.11,6.14,6.14,21428800
2023-01-23,6.23,6.63,6.03,6.48,6.48,23506100
2023-01-20,5.85,6.22,5.62,6.2,6.2,19740300
2023-01-19,5.62,5.885,5.52,5.78,5.78,13255800
2023-01-18,6.45,6.63,5.64,5.71,5.71,23793100
2023-01-17,6.58,6.62,5.89,6.41,6.41,27444600
2023-01-13,5.94,6.495,5.86,6.02,6.02,28880000
2023-01-12,5.71,6.16,5.265,6.15,6.15,27692800
2023-01-11,5.52,5.885,5.21,5.37,5.37,19031800
2023-01-10,4.88,5.67,4.7,5.64,5.64,22171700
2023-01-09,4.48,5.23,4.454,4.89,4.89,20809400
2023-01-06,4.12,4.35,3.96,4.28,4.28,10373500
2023-01-05,3.86,4.277,3.7,4.22,4.22,14097000
2023-01-04,3.44,3.95,3.38,3.88,3.88,12325300
2023-01-03,3.49,3.67,3.3,3.37,3.37,7255600
2022-12-30,3.33,3.42,3.28,3.39,3.39,6505700
2022-12-29,3.36,3.51,3.29,3.42,3.42,6773800
2022-12-28,3.38,3.5,3.25,3.29,3.29,6616600
2022-12-27,3.64,3.66,3.41,3.42,3.42,6356100
2022-12-23,3.775,3.8,3.64,3.68,3.68,4778500
2022-12-22,3.77,3.82,3.65,3.78,3.78,6059600
2022-12-21,3.84,3.91,3.7,3.83,3.83,6217800
2022-12-20,3.805,4.03,3.72,3.83,3.83,7193500
2022-12-19,3.74,3.85,3.6,3.82,3.82,7043300
2022-12-16,3.92,4.01,3.67,3.8,3.8,15986700
2022-12-15,4.05,4.09,3.875,4.02,4.02,9195600
2022-12-14,4.17,4.28,4.035,4.15,4.15,10348400
2022-12-13,4.51,4.64,4.04,4.07,4.07,12270500
2022-12-12,4.17,4.262,4.07,4.17,4.17,6457800
2022-12-09,4.33,4.38,4.13,4.19,4.19,6487400
2022-12-08,4.28,4.455,4.15,4.37,4.37,8121300
2022-12-07,4.345,4.39,4.12,4.22,4.22,7975600
2022-12-06,4.67,4.69,4.27,4.38,4.38,8357900
2022-12-05,5.01,5.13,4.58,4.66,4.66,12616500
2022-12-02,4.51,4.975,4.45,4.96,4.96,8281800
2022-12-01,4.68,4.76,4.46,4.58,4.58,7730600
2022-11-30,4.37,4.67,4.19,4.65,4.65,10902500
2022-11-29,4.27,4.38,4.2,4.24,4.24,5427700
2022-11-28,4.242,4.46,4.19,4.25,4.25,10621000
2022-11-25,4.38,4.47,4.25,4.43,4.43,7243800
2022-11-23,4.055,4.435,4.01,4.42,4.42,17725300
2022-11-22,4.155,4.16,3.91,3.99,3.99,13866500
2022-11-21,4.34,4.43,3.97,3.98,3.98,18020100
2022-11-18,4.72,4.72,4.41,4.46,4.46,9641700
2022-11-17,4.69,4.75,4.52,4.63,4.63,9252100
2022-11-16,5.06,5.15,4.64,4.66,4.66,13186100
2022-11-15,5.33,5.47,5.14,5.22,5.22,10610600
2022-11-14,5.295,5.42,5.11,5.14,5.14,10754400
2022-11-11,5.095,5.4,4.94,5.34,5.34,18084100
2022-11-10,5.24,5.56,5.06,5.42,5.42,16682100
2022-11-09,4.975,5.19,4.825,4.9,4.9,22550900
2022-11-08,5.34,5.81,4.96,5.33,5.33,27140200
2022-11-07,5.835,5.87,5.571,5.75,5.75,8103700
2022-11-04,5.845,5.941,5.49,5.79,5.79,16603800
2022-11-03,5.78,5.985,5.5,5.51,5.51,11348000
2022-11-02,6.47,6.52,5.85,5.87,5.87,13266200
2022-11-01,7.11,7.15,6.45,6.45,6.45,8151200
2022-10-31,7.05,7.13,6.77,6.89,6.89,7764000
2022-10-28,6.85,7.07,6.63,7.05,7.05,10109500
2022-10-27,7.23,7.35,6.825,6.84,6.84,11737600
2022-10-26,6.85,7.675,6.82,7.06,7.06,19476300
2022-10-25,6.02,7.05,6.02,7.01,7.01,14727300
2022-10-24,5.83,6.14,5.58,6.05,6.05,9463600
2022-10-21,5.52,5.85,5.38,5.83,5.83,7513600
2022-10-20,5.615,5.93,5.57,5.58,5.58,6953300
2022-10-19,5.82,5.89,5.61,5.67,5.67,8018300
2022-10-18,6.3,6.405,5.83,5.87,5.87,8974900
2022-10-17,6.01,6.249,6.01,6.04,6.04,7718500
2022-10-14,6.49,6.61,5.73,5.76,5.76,9882500
2022-10-13,5.72,6.43,5.54,6.39,6.39,12928100
2022-10-12,6.17,6.285,5.972,6.14,6.14,8161800
2022-10-11,6.3,6.45,5.96,6.19,6.19,7776126
2022-10-10,6.57,6.61,6.2,6.39,6.39,5396333
2022-10-07,6.98,6.98,6.44,6.565,6.565,7775800
2022-10-06,7.23,7.5,7.06,7.16,7.16,9599100
2022-10-05,7.39,7.41,6.98,7.25,7.25,9076000
2022-10-04,7.54,7.775,7.315,7.59,7.59,12475400
2022-10-03,7.07,7.268,6.86,7.19,7.19,9449400
2022-09-30,6.96,7.64,6.88,7.01,7.01,12712900
2022-09-29,7.03,7.13,6.7,7.09,7.09,8883300
2022-09-28,6.72,7.405,6.681,7.34,7.34,10178400
2022-09-27,7.02,7.15,6.551,6.83,6.83,12296100
2022-09-26,6.42,6.985,6.4,6.7,6.7,10034200
2022-09-23,6.01,6.345,5.922,6.33,6.33,8939000
2022-09-22,6.37,6.44,6.085,6.34,6.34,8953300
2022-09-21,6.23,6.81,6.15,6.37,6.37,13734200
2022-09-20,6.46,6.5,6.18,6.22,6.22,8247800
2022-09-19,6.45,6.7,6.36,6.52,6.52,10978900
2022-09-16,7.2,7.2,6.63,6.645,6.645,15022800
2022-09-15,7.45,7.97,7.311,7.38,7.38,10339800
2022-09-14,7.62,7.665,7.4,7.56,7.56,9128100
2022-09-13,7.7,8.159,7.6,7.63,7.63,12389800
2022-09-12,8.51,8.67,8.15,8.47,8.47,14061400
2022-09-09,8.0,8.33,7.851,8.26,8.26,16446700
2022-09-08,6.47,7.49,6.35,7.46,7.46,19282900
2022-09-07,6.31,6.58,6.15,6.55,6.55,11032900
2022-09-06,6.66,6.87,6.28,6.4,6.4,16663700
2022-09-02,7.0,7.06,6.55,6.63,6.63,11181800
2022-09-01,6.96,7.06,6.51,6.85,6.85,10871900
2022-08-31,6.94,7.27,6.85,7.17,7.17,12051700
2022-08-30,7.03,7.22,6.605,6.89,6.89,10393300
2022-08-29,6.62,7.185,6.59,6.97,6.97,10890700
2022-08-26,7.5,7.555,6.77,6.79,6.79,13259700
2022-08-25,7.35,7.54,7.12,7.43,7.43,8564800
2022-08-24,7.21,7.59,7.13,7.29,7.29,9891700
2022-08-23,7.02,7.57,7.02,7.1,7.1,11776200
2022-08-22,6.95,7.217,6.815,7.0,7.0,12456400
2022-08-19,7.58,7.8,7.22,7.25,7.25,14346800
2022-08-18,8.65,8.65,8.21,8.28,8.28,8857400
2022-08-17,8.949,9.0,8.21,8.35,8.35,16838100
2022-08-16,9.54,9.79,8.8,9.17,9.17,19974000
2022-08-15,9.875,10.23,9.57,9.76,9.76,17073700
2022-08-12,9.56,10.05,9.17,9.93,9.93,15294800
2022-08-11,9.85,10.519,9.37,9.52,9.52,29449000
2022-08-10,8.75,9.16,8.15,9.11,9.11,23196000
2022-08-09,8.52,8.525,7.79,8.145,8.145,15041000
2022-08-08,8.77,9.11,8.58,8.71,8.71,16462200
2022-08-05,8.155,8.67,8.05,8.27,8.27,14012700
2022-08-04,8.22,8.83,8.06,8.18,8.18,20818500
2022-08-03,7.97,8.4,7.85,8.12,8.12,19769600
2022-08-02,7.19,8.096,7.12,7.75,7.75,16035900
2022-08-01,7.13,7.55,6.975,7.33,7.33,13572100
2022-07-29,7.24,7.743,7.08,7.32,7.32,14434100
2022-07-28,7.17,7.6,6.91,7.4,7.4,19581000
2022-07-27,6.54,7.33,6.261,7.15,7.15,18717900
2022-07-26,6.35,6.51,6.02,6.21,6.21,11404100
2022-07-25,6.84,7.06,6.57,6.65,6.65,13600600
2022-07-22,7.87,7.93,7.06,7.12,7.12,18216800
2022-07-21,6.78,7.639,6.7,7.62,7.62,27389100
2022-07-20,7.24,7.48,6.81,7.02,7.02,45561800
2022-07-19,6.6,7.05,6.33,6.98,6.98,35761600
2022-07-18,5.94,6.88,5.92,6.23,6.23,39477400
2022-07-15,5.47,5.695,5.35,5.57,5.57,13354400
2022-07-14,4.86,5.33,4.71,5.32,5.32,13267900
2022-07-13,4.68,5.03,4.52,4.93,4.93,10878600
2022-07-12,4.82,4.99,4.68,4.84,4.84,8420600
2022-07-11,5.04,5.23,4.822,4.87,4.87,12524800
2022-07-08,5.12,5.81,4.95,5.46,5.46,28765500
2022-07-07,4.6,5.29,4.57,5.28,5.28,18884700
2022-07-06,4.665,4.76,4.465,4.53,4.53,8250700
2022-07-05,4.13,4.75,4.02,4.73,4.73,13145700
2022-07-01,4.24,4.38,4.13,4.24,4.24,8396700
2022-06-30,4.34,4.4,4.12,4.19,4.19,10723300
2022-06-29,4.67,4.69,4.34,4.5,4.5,11364700
2022-06-28,5.02,5.11,4.69,4.76,4.76,9706600
2022-06-27,5.18,5.22,4.67,4.89,4.89,11651700
2022-06-24,5.01,5.405,4.99,5.19,5.19,16900700
2022-06-23,4.75,4.97,4.55,4.94,4.94,13064900
2022-06-22,5.0,5.07,4.55,4.6,4.6,14212400
2022-06-21,4.86,5.54,4.8,5.09,5.09,18023500
2022-06-17,4.5,4.77,4.47,4.65,4.65,9751400
2022-06-16,4.69,4.73,4.37,4.53,4.53,9652700
2022-06-15,4.82,5.0,4.59,4.86,4.86,20448200
2022-06-14,4.705,5.015,4.44,4.89,4.89,10692200
2022-06-13,4.37,4.86,4.36,4.65,4.65,16599900
2022-06-10,5.25,5.48,5.13,5.17,5.17,13120600
2022-06-09,5.89,5.9,5.44,5.47,5.47,13909300
2022-06-08,6.08,6.425,5.92,5.97,5.97,11169200
2022-06-07,6.15,6.23,5.82,6.17,6.17,17003700
2022-06-06,6.5,6.6,6.25,6.37,6.37,12234100
2022-06-03,6.56,6.62,6.11,6.21,6.21,15159900
2022-06-02,6.49,7.06,6.43,6.87,6.87,14267400
2022-06-01,7.2,7.25,6.48,6.52,6.52,15500400
2022-05-31,7.77,7.83,7.05,7.19,7.19,20431800
