date,open,high,low,close,adjusted_close,volume
2023-05-30,10.4,10.41,10.36,10.41,10.41,17498
2023-05-22,10.37,10.37,10.34,10.34,10.34,4658
2023-05-19,10.34,10.34,10.34,10.34,10.34,470
2023-05-18,10.34,10.34,10.34,10.34,10.34,554
2023-05-11,10.34,10.34,10.34,10.34,10.34,120
2023-05-08,10.34,10.3427,10.34,10.34,10.34,2593
2023-05-04,10.34,10.34,10.34,10.34,10.34,753
2023-05-03,10.37,10.37,10.37,10.37,10.37,115
2023-05-02,10.37,10.37,10.37,10.37,10.37,350
2023-05-01,10.35,10.35,10.34,10.35,10.35,3606
2023-04-28,10.34,10.34,10.34,10.34,10.34,336
2023-04-27,10.363,10.37,10.36,10.37,10.37,2176
2023-04-26,10.47,10.47,10.34,10.34,10.34,3972
2023-04-24,10.4,10.4,10.39,10.39,10.39,688
2023-04-21,10.36,10.36,10.35,10.35,10.35,1856
2023-04-20,10.35,10.35,10.35,10.35,10.35,904
2023-04-19,10.65,10.65,10.38,10.38,10.38,19621
2023-04-18,10.44,10.47,10.44,10.46,10.46,1493
2023-04-17,10.31,10.4,10.3,10.36,10.36,3709
2023-04-14,10.3,11.2372,10.3,10.37,10.37,8938
2023-04-13,10.36,10.36,10.3,10.3,10.3,16041
2023-04-12,10.3601,10.37,10.36,10.37,10.37,3659
2023-04-11,10.3931,10.4154,10.33,10.4154,10.4154,710
2023-04-10,10.3252,10.34,10.3,10.34,10.34,2162
2023-04-06,10.45,10.6589,10.35,10.35,10.35,87742
2023-04-05,10.49,10.49,10.32,10.37,10.37,306455
2023-04-04,10.46,10.608,10.31,10.35,10.35,18432
2023-04-03,10.3,10.3647,10.3,10.32,10.32,6410
2023-03-31,10.29,10.32,10.29,10.29,10.29,22423
2023-03-30,10.29,10.3,10.2591,10.2999,10.2999,355674
2023-03-29,10.27,10.29,10.26,10.29,10.29,13419
2023-03-28,10.27,10.28,10.27,10.28,10.28,26414
2023-03-27,10.265,10.27,10.26,10.27,10.27,28828
2023-03-24,10.265,10.265,10.26,10.26,10.26,91034
2023-03-23,10.26,10.27,10.26,10.27,10.27,19978
2023-03-22,10.26,10.27,10.26,10.27,10.27,53252
2023-03-21,10.26,10.26,10.26,10.26,10.26,261849
2023-03-20,10.28,10.28,10.28,10.28,10.28,5149
2023-03-17,10.28,10.28,10.28,10.28,10.28,100
2023-03-16,10.26,10.26,10.26,10.26,10.26,800
2023-03-15,10.26,10.26,10.255,10.26,10.26,14720
2023-03-13,10.25,10.25,10.25,10.25,10.25,500
2023-03-10,10.25,10.25,10.235,10.235,10.235,8512
2023-03-08,10.25,10.25,10.25,10.25,10.25,100
2023-03-06,10.25,10.25,10.23,10.23,10.23,22014
2023-03-03,10.22,10.25,10.22,10.25,10.25,7109
2023-02-23,10.2,10.21,10.2,10.21,10.21,6312
2023-02-17,10.22,10.22,10.22,10.22,10.22,1809
2023-02-16,10.2,10.2,10.2,10.2,10.2,30030
2023-02-15,10.2,10.23,10.19,10.23,10.23,302113
2023-02-14,10.2,10.22,10.19,10.2,10.2,7221
