date,open,high,low,close,adjusted_close,volume
2023-06-02,18.15,18.22,16.84,17.5,17.5,428500
2023-06-01,18.0,18.2,17.77,17.85,17.85,467700
2023-05-31,17.97,18.48,17.76,18.1,18.1,800600
2023-05-30,20.0,20.19,17.81,18.17,18.17,647300
2023-05-26,19.7,20.0,19.08,19.27,19.27,276400
2023-05-25,20.71,21.0,19.06,19.42,19.42,304200
2023-05-24,21.02,21.325,20.34,20.88,20.88,287700
2023-05-23,20.52,21.79,20.2,21.38,21.38,208400
2023-05-22,22.8,23.762,20.31,20.81,20.81,357600
2023-05-19,23.01,24.03,21.3,22.76,22.76,299300
2023-05-18,21.03,22.844,20.165,22.7,22.7,444400
2023-05-17,20.21,21.9,19.265,21.03,21.03,723300
2023-05-16,20.9,21.44,20.0,20.72,20.72,585600
2023-05-15,23.01,23.42,20.52,21.27,21.27,900100
2023-05-12,25.17,25.17,21.6,23.0,23.0,1073200
2023-05-11,25.0,25.84,24.44,25.37,25.37,3344400
2023-05-10,24.69,25.0,24.002,24.92,24.92,943800
2023-05-09,24.5,24.885,22.88,24.69,24.69,963100
2023-05-08,23.3,24.93,22.66,24.06,24.06,1796000
2023-05-05,23.0,23.34,22.0,23.15,23.15,6983900
2023-05-04,18.0,18.0,18.0,18.0,18.0,0
