date,open,high,low,close,adjusted_close,volume
2023-06-02,1.59,1.7,1.57,1.6,1.6,11200
2023-06-01,1.6,1.6,1.52,1.57,1.57,7900
2023-05-31,1.6,1.65,1.5,1.65,1.65,56100
2023-05-30,1.48,1.65,1.48,1.65,1.65,8800
2023-05-26,1.51,1.65,1.467,1.62,1.62,18800
2023-05-25,1.513,1.59,1.428,1.55,1.55,10700
2023-05-24,1.48,1.604,1.48,1.52,1.52,7100
2023-05-23,1.44,1.53,1.41,1.52,1.52,5200
2023-05-22,1.47,1.63,1.46,1.46,1.46,16100
2023-05-19,1.52,1.7,1.45,1.52,1.52,67400
2023-05-18,1.46,1.54,1.44,1.44,1.44,13400
2023-05-17,1.49,1.49,1.445,1.45,1.45,3100
2023-05-16,1.49,1.554,1.44,1.45,1.45,15900
2023-05-15,1.44,1.53,1.44,1.465,1.465,4000
2023-05-12,1.41,1.45,1.383,1.44,1.44,4700
2023-05-11,1.65,1.693,1.3,1.39,1.39,30600
2023-05-10,1.74,1.85,1.6,1.74,1.74,74900
2023-05-09,1.47,1.677,1.44,1.57,1.57,52000
2023-05-08,1.31,1.55,1.275,1.46,1.46,49000
2023-05-05,1.35,1.35,1.29,1.3,1.3,5900
2023-05-04,1.28,1.39,1.28,1.296,1.296,19300
2023-05-03,1.39,1.638,1.26,1.29,1.29,117500
2023-05-02,1.34,1.352,1.22,1.25,1.25,10800
2023-05-01,1.32,1.35,1.28,1.32,1.32,19300
2023-04-28,1.17,1.25,1.15,1.23,1.23,16100
2023-04-27,1.1,1.129,1.05,1.129,1.129,13500
2023-04-26,1.136,1.14,1.09,1.09,1.09,5200
2023-04-25,1.2,1.2,1.1,1.13,1.13,15300
2023-04-24,1.18,1.183,1.1,1.1,1.1,5200
2023-04-21,1.145,1.23,1.05,1.071,1.071,11500
2023-04-20,1.11,1.15,1.06,1.07,1.07,18700
2023-04-19,1.1,1.25,1.08,1.13,1.13,38100
2023-04-18,1.25,1.25,1.102,1.14,1.14,23300
2023-04-17,1.3,1.3,1.2,1.23,1.23,21400
2023-04-14,1.38,1.4,1.246,1.32,1.32,17400
2023-04-13,1.11,1.4,1.11,1.39,1.39,56200
2023-04-12,1.16,1.16,1.11,1.11,1.11,5400
2023-04-11,1.25,1.25,1.164,1.175,1.175,5700
2023-04-10,1.14,1.23,1.14,1.23,1.23,10400
2023-04-06,1.11,1.15,1.11,1.111,1.111,8400
2023-04-05,1.22,1.25,1.11,1.13,1.13,16800
2023-04-04,1.26,1.284,1.2,1.2,1.2,9100
2023-04-03,1.24,1.3,1.24,1.26,1.26,15900
2023-03-31,1.35,1.35,1.31,1.33,1.33,5300
2023-03-30,1.4,1.4,1.31,1.32,1.32,19400
2023-03-29,1.45,1.463,1.395,1.395,1.395,7000
2023-03-28,1.43,1.48,1.39,1.39,1.39,4600
2023-03-27,1.452,1.48,1.39,1.43,1.43,14800
2023-03-24,1.35,1.43,1.35,1.38,1.38,11100
2023-03-23,1.3,1.4,1.3,1.35,1.35,17100
2023-03-22,1.39,1.4,1.35,1.38,1.38,7300
2023-03-21,1.3,1.41,1.3,1.33,1.33,16900
2023-03-20,1.31,1.51,1.31,1.31,1.31,50100
2023-03-17,1.37,1.397,1.31,1.32,1.32,12600
2023-03-16,1.32,1.47,1.31,1.37,1.37,31900
2023-03-15,1.47,1.47,1.345,1.38,1.38,11000
2023-03-14,1.429,1.48,1.4,1.4,1.4,10900
2023-03-13,1.41,1.43,1.41,1.41,1.41,3900
2023-03-10,1.502,1.52,1.4,1.43,1.43,21400
2023-03-09,1.51,1.62,1.48,1.52,1.52,11364
2023-03-08,1.53,1.59,1.45,1.48,1.48,34200
2023-03-07,1.565,1.59,1.52,1.52,1.52,11400
2023-03-06,1.58,1.63,1.56,1.56,1.56,11000
2023-03-03,1.74,1.74,1.56,1.6,1.6,17700
2023-03-02,1.57,1.61,1.56,1.61,1.61,7300
2023-03-01,1.58,1.61,1.545,1.59,1.59,10500
2023-02-28,1.65,1.65,1.56,1.56,1.56,17700
2023-02-27,1.59,1.635,1.56,1.58,1.58,17100
2023-02-24,1.65,1.688,1.55,1.56,1.56,59600
2023-02-23,1.66,1.77,1.6,1.67,1.67,123300
2023-02-22,1.91,1.91,1.61,1.66,1.66,71800
2023-02-21,2.11,2.11,1.68,1.76,1.76,116100
2023-02-17,1.75,2.072,1.66,2.07,2.07,176700
2023-02-16,1.68,1.79,1.63,1.72,1.72,36100
2023-02-15,1.57,1.827,1.57,1.74,1.74,87000
2023-02-14,1.659,1.659,1.55,1.61,1.61,15100
2023-02-13,1.597,1.668,1.59,1.59,1.59,10500
2023-02-10,1.62,1.62,1.55,1.58,1.58,17500
2023-02-09,1.76,1.76,1.635,1.68,1.68,11800
2023-02-08,1.66,1.76,1.61,1.74,1.74,24100
2023-02-07,1.71,1.731,1.62,1.64,1.64,63900
2023-02-06,1.7,1.75,1.7,1.72,1.72,55200
2023-02-03,1.71,1.75,1.7,1.7,1.7,17500
2023-02-02,1.76,1.8,1.65,1.7,1.7,90800
