date,open,high,low,close,adjusted_close,volume
2023-06-02,9.15,9.232,9.0,9.15,9.15,6500
2023-06-01,9.01,9.14,9.0,9.02,9.02,8100
2023-05-31,9.3,9.3,8.96,9.0,9.0,11400
2023-05-30,9.29,9.3,9.29,9.3,9.05,3100
2023-05-26,9.288,9.3,9.2,9.259,9.0101,8600
2023-05-25,9.25,9.31,9.25,9.3,9.05,2500
2023-05-24,9.29,9.29,9.29,9.29,9.0403,1000
2023-05-23,9.25,9.31,9.24,9.31,9.0597,5200
2023-05-22,9.22,9.22,9.22,9.22,8.9722,0
2023-05-19,9.25,9.25,9.125,9.22,8.9722,7300
2023-05-18,8.95,9.095,8.95,9.0,8.7581,700
2023-05-17,9.24,9.24,9.24,9.24,8.9916,700
2023-05-16,8.95,8.95,8.95,8.95,8.7094,100
2023-05-15,8.9,9.05,8.9,9.05,8.8067,2400
2023-05-12,9.0,9.025,9.0,9.0,8.7581,4400
2023-05-11,9.01,9.01,8.7,9.0,8.7581,8200
2023-05-10,8.98,9.01,8.95,9.01,8.7678,1600
2023-05-09,8.982,8.982,8.982,8.982,8.7405,0
2023-05-08,8.58,9.0,8.58,8.982,8.7405,3400
2023-05-05,8.78,9.0,8.55,8.92,8.6802,4200
2023-05-04,8.16,8.16,8.16,8.16,7.9406,100
2023-05-03,8.544,8.544,8.544,8.544,8.3143,200
2023-05-02,8.73,8.78,8.7,8.78,8.544,2000
2023-05-01,8.4,8.69,8.4,8.6,8.3688,3600
2023-04-28,8.355,8.36,8.355,8.36,8.1353,400
2023-04-27,8.05,8.05,8.05,8.05,7.8336,400
2023-04-26,8.2,8.2,8.2,8.2,7.9796,0
2023-04-25,8.2,8.2,8.2,8.2,7.9796,0
2023-04-24,8.21,8.21,8.2,8.2,7.9796,300
2023-04-21,8.66,8.68,8.0,8.22,7.999,5100
2023-04-20,8.35,8.35,8.35,8.35,8.1255,0
2023-04-19,8.35,8.35,8.35,8.35,8.1255,0
2023-04-18,8.48,8.48,8.34,8.35,8.1255,600
2023-04-17,8.3,8.3,8.3,8.3,8.0769,0
2023-04-14,8.27,8.3,8.27,8.3,8.0769,400
2023-04-13,8.27,8.66,8.27,8.66,8.4272,300
2023-04-12,8.475,8.475,8.475,8.475,8.2472,300
2023-04-11,8.5,8.67,8.5,8.65,8.4175,800
2023-04-10,8.56,8.56,8.56,8.56,8.3299,300
2023-04-06,8.661,8.661,8.661,8.661,8.4282,0
2023-04-05,8.661,8.661,8.661,8.661,8.4282,0
2023-04-04,8.661,8.661,8.661,8.661,8.4282,0
2023-04-03,8.661,8.661,8.661,8.661,8.4282,0
2023-03-31,8.661,8.661,8.661,8.661,8.4282,0
2023-03-30,8.661,8.661,8.661,8.661,8.4282,0
2023-03-29,8.29,8.661,8.25,8.661,8.4282,1600
2023-03-28,8.7,8.7,8.7,8.7,8.4661,0
2023-03-27,8.7,8.7,8.7,8.7,8.4661,0
2023-03-24,8.7,8.7,8.7,8.7,8.4661,0
2023-03-23,8.7,8.7,8.7,8.7,8.4661,0
2023-03-22,8.73,8.73,8.7,8.7,8.4661,400
2023-03-21,8.3,8.3,8.3,8.3,8.0769,4000
2023-03-20,8.53,8.53,8.53,8.53,8.3007,200
2023-03-17,8.25,8.25,8.25,8.25,8.0282,300
2023-03-16,8.6,8.6,8.255,8.255,8.0331,1100
2023-03-15,8.12,8.12,8.12,8.12,7.9017,100
2023-03-14,8.12,8.12,8.12,8.12,7.9017,0
2023-03-13,8.365,47.89,8.0,8.12,7.9017,3800
2023-03-10,8.03,8.05,8.0,8.0,7.7849,1600
2023-03-09,8.017,8.73,8.017,8.73,8.4953,500
2023-03-08,8.75,8.75,8.75,8.75,8.5148,100
2023-03-07,8.459,8.459,8.459,8.459,8.2316,0
2023-03-06,8.84,8.84,8.459,8.459,8.2316,300
2023-03-03,8.7,8.7,8.017,8.017,7.8015,1300
2023-03-02,8.45,8.45,8.45,8.45,8.2228,0
2023-03-01,8.44,8.45,8.0,8.45,8.2228,2600
2023-02-28,8.9,8.9,8.9,8.9,8.6608,0
2023-02-27,8.9,8.9,8.8,8.9,8.4175,1400
2023-02-24,8.8,8.8,8.8,8.8,8.3229,0
2023-02-23,8.84,8.84,8.688,8.8,8.3229,2200
2023-02-22,8.877,8.877,8.877,8.877,8.3957,200
2023-02-21,8.82,8.82,8.82,8.82,8.3418,200
2023-02-17,8.175,8.175,8.175,8.175,7.7318,200
2023-02-16,8.175,8.175,8.175,8.175,7.7318,0
2023-02-15,8.175,8.175,8.175,8.175,7.7318,0
2023-02-14,8.329,8.329,8.175,8.175,7.7318,1000
2023-02-13,8.5,8.6,8.5,8.5,8.0392,1000
2023-02-10,8.0,8.75,7.99,8.75,8.2756,3800
2023-02-09,6.21,7.94,6.21,7.5,7.0934,10100
2023-02-08,8.82,8.82,5.6,5.75,5.4383,26900
2023-02-07,8.808,9.2,8.8,8.8,8.3229,700
2023-02-06,8.811,8.811,8.811,8.811,8.3333,0
2023-02-03,8.8,9.3,8.8,8.811,8.3333,4000
2023-02-02,9.5,9.88,8.3,8.3,7.85,5700
2023-02-01,9.575,9.575,9.575,9.575,9.0559,700
2023-01-31,9.3,9.3,9.3,9.3,8.7958,0
2023-01-30,9.3,9.3,9.3,9.3,8.7958,100
2023-01-27,9.3,9.3,9.3,9.3,8.7958,500
2023-01-26,9.3,9.3,9.3,9.3,8.7958,0
2023-01-25,9.15,9.36,9.15,9.3,8.7958,4800
2023-01-24,9.8,9.8,9.8,9.8,9.2687,200
2023-01-23,9.306,9.306,9.306,9.306,8.8015,500
2023-01-20,9.4,9.75,9.4,9.75,9.2214,2500
2023-01-19,9.3,9.3,9.3,9.3,8.7958,400
