date,open,high,low,close,adjusted_close,volume
2023-06-02,7.29,7.72,7.23,7.54,7.54,247500
2023-06-01,6.89,7.4,6.67,7.3,7.3,467600
2023-05-31,6.37,6.89,6.295,6.86,6.86,85500
2023-05-30,6.7,6.734,6.215,6.37,6.37,189900
2023-05-26,6.48,6.848,6.48,6.62,6.62,183500
2023-05-25,7.03,7.1,6.238,6.64,6.64,216400
2023-05-24,6.66,7.15,6.42,7.03,7.03,319400
2023-05-23,6.78,6.79,6.17,6.74,6.74,230800
2023-05-22,6.1,6.95,6.025,6.85,6.85,563600
2023-05-19,5.85,6.24,5.66,6.16,6.16,242000
2023-05-18,5.75,6.05,5.55,5.74,5.74,187100
2023-05-17,6.25,6.25,5.8,6.01,6.01,167400
2023-05-16,6.15,6.5,5.95,6.24,6.24,331700
2023-05-15,5.25,6.5,5.24,6.15,6.15,1147500
2023-05-12,4.9,5.45,4.8,5.1,5.1,962700
2023-05-11,4.5,4.65,4.41,4.41,4.41,593700
2023-05-10,4.35,4.63,4.35,4.6,4.6,73600
2023-05-09,4.26,4.36,4.26,4.36,4.36,27700
2023-05-08,4.25,4.35,4.24,4.27,4.27,34700
2023-05-05,4.29,4.34,4.2,4.28,4.28,42700
2023-05-04,4.3,4.34,4.27,4.33,4.33,36800
2023-05-03,4.29,4.37,4.29,4.3,4.3,16300
2023-05-02,4.34,4.34,4.235,4.32,4.32,13800
2023-05-01,4.36,4.425,4.25,4.25,4.25,39000
2023-04-28,4.393,4.46,4.29,4.3,4.3,36400
2023-04-27,4.38,4.425,4.31,4.38,4.38,34800
2023-04-26,4.289,4.525,4.23,4.35,4.35,47600
2023-04-25,4.51,4.51,4.22,4.3,4.3,43100
2023-04-24,4.68,4.755,4.52,4.53,4.53,58700
2023-04-21,4.68,4.74,4.62,4.69,4.69,32500
2023-04-20,4.71,4.76,4.64,4.75,4.75,31700
2023-04-19,4.68,4.78,4.643,4.72,4.72,6993
2023-04-18,4.61,4.755,4.57,4.68,4.68,26395
2023-04-17,4.58,4.61,4.2876,4.59,4.59,49000
2023-04-14,4.53,4.62,4.45,4.58,4.58,24314
2023-04-13,4.67,4.6773,4.54,4.58,4.58,21965
2023-04-12,4.76,4.76,4.56,4.63,4.63,55508
2023-04-11,4.75,4.84,4.73,4.79,4.79,12800
2023-04-10,5.11,5.11,4.59,4.71,4.71,89403
2023-04-06,4.97,5.02,4.81,4.95,4.95,18974
2023-04-05,5.07,5.12,4.8001,4.97,4.97,33993
2023-04-04,5.02,5.075,4.8,5.05,5.05,77925
2023-04-03,4.4,5.0,4.4,5.0,5.0,291230
2023-03-31,4.86,4.86,4.31,4.49,4.49,76021
2023-03-30,4.85,4.97,4.5,4.55,4.55,279374
2023-03-29,4.5,4.87,4.41,4.81,4.81,119056
2023-03-28,4.32,4.6,4.3,4.45,4.45,41121
2023-03-27,4.31,4.32,4.17,4.3,4.3,36451
2023-03-24,4.32,4.3602,4.11,4.28,4.28,34972
2023-03-23,4.28,4.44,4.15,4.4,4.4,49467
2023-03-22,4.08,4.3361,4.04,4.26,4.26,32813
2023-03-21,3.91,4.13,3.88,4.08,4.08,78286
2023-03-20,4.05,4.1707,3.88,3.9,3.9,99881
2023-03-17,4.14,4.3,4.045,4.05,4.05,63523
2023-03-16,4.01,4.3654,4.01,4.11,4.11,227237
2023-03-15,4.24,4.28,3.97,4.03,4.03,109686
2023-03-14,4.28,4.395,4.16,4.22,4.22,101218
2023-03-13,4.13,4.3,4.13,4.24,4.24,102592
2023-03-10,4.49,4.523,4.29,4.29,4.29,63673
2023-03-09,4.6,4.629,4.46,4.49,4.49,63163
2023-03-08,4.72,4.73,4.63,4.63,4.63,55923
2023-03-07,4.63,4.83,4.63,4.72,4.72,89649
2023-03-06,4.71,4.87,4.66,4.68,4.68,118355
2023-03-03,4.99,5.05,4.66,4.66,4.66,485267
2023-03-02,5.61,5.7264,5.0562,5.21,5.21,241921
2023-03-01,5.81,5.81,5.55,5.64,5.64,29849
2023-02-28,5.64,5.78,5.635,5.77,5.77,99433
2023-02-27,5.61,5.66,5.4801,5.61,5.61,44484
2023-02-24,5.46,5.61,5.35,5.53,5.53,53905
2023-02-23,5.517,5.65,5.475,5.57,5.57,65891
2023-02-22,5.5,5.69,5.49,5.49,5.49,52201
2023-02-21,5.66,5.76,5.46,5.46,5.46,113410
2023-02-17,5.72,5.931,5.69,5.71,5.71,83152
2023-02-16,5.64,5.83,5.58,5.69,5.69,39285
2023-02-15,5.5,5.66,5.5,5.64,5.64,34116
2023-02-14,5.5,5.7199,5.45,5.54,5.54,103093
