date,open,high,low,close,adjusted_close,volume
2023-06-02,4.01,4.01,3.81,3.93,3.93,31900
2023-06-01,3.83,4.06,3.718,3.89,3.89,36300
2023-05-31,3.73,3.85,3.51,3.84,3.84,45200
2023-05-30,3.5,3.855,3.457,3.79,3.79,59700
2023-05-26,3.06,3.37,2.84,3.32,3.32,51500
2023-05-25,2.93,3.06,2.83,3.0,3.0,42100
2023-05-24,2.58,2.97,2.56,2.91,2.91,75000
2023-05-23,2.095,2.72,2.085,2.63,2.63,55200
2023-05-22,2.09,2.16,2.01,2.04,2.04,191100
2023-05-19,2.09,2.27,1.995,2.14,2.14,94300
2023-05-18,2.11,2.16,1.96,2.08,2.08,68200
2023-05-17,2.02,2.295,1.92,2.11,2.11,99600
2023-05-16,2.05,2.16,1.94,1.99,1.99,68600
2023-05-15,1.975,2.09,1.9,1.97,1.97,111200
2023-05-12,1.84,2.101,1.84,1.96,1.96,45500
2023-05-11,1.93,1.98,1.76,1.87,1.87,126100
2023-05-10,1.89,1.982,1.62,1.94,1.94,106400
2023-05-09,1.82,1.865,1.72,1.81,1.81,118600
2023-05-08,1.88,1.9,1.78,1.85,1.85,28100
2023-05-05,1.847,1.93,1.79,1.84,1.84,48600
2023-05-04,1.84,1.92,1.78,1.82,1.82,61600
2023-05-03,1.83,1.88,1.77,1.81,1.81,64000
2023-05-02,1.81,1.91,1.76,1.8,1.8,61400
2023-05-01,1.93,2.09,1.76,1.81,1.81,37200
2023-04-28,1.95,2.05,1.805,1.89,1.89,78200
2023-04-27,1.975,1.983,1.87,1.93,1.93,16400
2023-04-26,2.02,2.1,1.92,1.98,1.98,80500
2023-04-25,2.0,2.07,1.93,1.99,1.99,46500
2023-04-24,2.06,2.15,1.952,2.02,2.02,19900
2023-04-21,2.04,2.13,2.01,2.06,2.06,77300
2023-04-20,2.03,2.2,2.01,2.06,2.06,19400
2023-04-19,2.14,2.22,2.085,2.12,2.12,42300
2023-04-18,2.19,2.26,2.08,2.12,2.12,29200
2023-04-17,2.3,2.305,2.065,2.15,2.15,25700
2023-04-14,2.26,2.77,2.21,2.26,2.26,22500
2023-04-13,2.35,2.38,2.1,2.28,2.28,806200
2023-04-12,2.53,2.57,2.3,2.32,2.32,32100
2023-04-11,2.5,2.92,2.3,2.51,2.51,81800
2023-04-10,2.44,2.47,2.35,2.41,2.41,35800
2023-04-06,2.647,2.69,2.37,2.47,2.47,74300
2023-04-05,2.71,2.96,2.68,2.71,2.71,23600
2023-04-04,2.845,2.895,2.69,2.77,2.77,61700
