date,open,high,low,close,adjusted_close,volume
2023-06-02,24.71,25.25,24.13,24.77,24.77,1420200
2023-06-01,26.01,26.4,24.42,24.56,24.56,2615500
2023-05-31,26.4,26.685,25.68,25.99,25.99,1132300
2023-05-30,26.77,27.03,26.3,26.59,26.59,915900
2023-05-26,26.29,26.88,26.16,26.57,26.57,1025200
2023-05-25,27.85,27.89,26.105,26.29,26.29,1234400
2023-05-24,29.21,29.22,28.05,28.18,28.18,654600
2023-05-23,29.79,31.037,29.02,29.4,29.4,1185200
2023-05-22,28.35,30.31,28.02,29.64,29.64,1740500
2023-05-19,29.62,29.77,28.03,28.12,28.12,1205100
2023-05-18,30.35,30.57,29.35,29.62,29.62,1111200
2023-05-17,29.94,30.545,29.2,30.41,30.41,1372500
2023-05-16,31.85,31.97,29.63,29.64,29.64,1526800
2023-05-15,33.16,33.17,31.74,32.13,32.13,1416500
2023-05-12,32.46,33.31,32.05,32.96,32.96,1213600
2023-05-11,33.16,33.53,31.9,32.26,32.26,1946400
2023-05-10,33.0,33.54,32.055,33.31,33.31,1361300
2023-05-09,33.21,33.21,32.38,32.72,32.72,1090600
2023-05-08,34.72,34.72,32.85,33.44,33.44,1261100
2023-05-05,36.3,36.49,33.43,35.06,35.06,2244400
2023-05-04,35.18,38.19,35.07,37.51,37.51,2273400
2023-05-03,38.68,40.61,38.04,39.95,39.95,1217400
2023-05-02,39.7,39.91,38.28,38.62,38.62,869100
2023-05-01,39.59,40.74,39.27,39.97,39.97,943200
2023-04-28,37.22,39.62,36.69,39.58,39.58,1149400
2023-04-27,37.81,37.85,37.18,37.5,37.5,765400
2023-04-26,36.64,37.86,36.365,37.5,37.5,848300
2023-04-25,36.85,37.17,35.88,36.33,36.33,1320000
2023-04-24,36.48,37.908,35.95,36.87,36.87,2394000
2023-04-21,39.02,39.77,36.0,37.48,37.48,3481700
2023-04-20,40.76,40.92,38.935,39.02,39.02,661300
2023-04-19,39.48,41.22,39.48,41.22,41.22,928700
2023-04-18,41.89,41.92,39.2,39.73,39.73,825600
2023-04-17,41.99,42.09,41.31,41.76,41.76,467500
2023-04-14,41.5,41.55,40.56,41.49,41.49,481600
2023-04-13,41.93,42.405,41.48,41.6,41.6,465300
2023-04-12,43.0,43.09,41.53,41.56,41.56,483700
2023-04-11,40.97,43.515,40.95,42.46,42.46,978300
2023-04-10,41.36,42.135,40.62,40.95,40.95,842900
2023-04-06,41.36,41.63,40.39,41.45,41.45,565100
2023-04-05,40.72,41.33,40.21,41.12,41.12,553500
2023-04-04,39.43,40.78,38.93,40.78,40.78,600100
2023-04-03,40.45,40.45,38.58,39.42,39.42,970700
2023-03-31,40.21,41.95,40.081,40.61,40.61,877700
2023-03-30,39.27,40.15,38.51,39.93,39.93,749700
2023-03-29,40.63,40.695,38.03,38.76,38.76,1251500
2023-03-28,40.42,40.88,39.52,40.24,40.24,648900
2023-03-27,42.32,42.4,40.21,40.42,40.42,1298400
2023-03-24,41.73,42.205,40.98,42.11,42.11,428300
2023-03-23,41.75,43.0,41.19,41.73,41.73,668500
2023-03-22,43.61,44.05,41.42,41.46,41.46,848400
2023-03-21,41.93,44.015,41.72,43.71,43.71,1451700
2023-03-20,40.87,41.95,40.37,41.61,41.61,940200
2023-03-17,41.63,42.31,40.28,41.14,41.14,13209300
2023-03-16,41.67,41.87,40.27,41.42,41.42,1009700
2023-03-15,41.48,42.48,40.46,42.14,42.14,1172900
2023-03-14,40.98,42.66,40.295,42.53,42.53,1439200
2023-03-13,37.78,40.94,37.61,39.92,39.92,1254900
2023-03-10,39.31,39.96,36.815,37.63,37.63,1282300
2023-03-09,40.88,41.588,39.225,39.41,39.41,1473400
2023-03-08,41.85,42.54,40.44,40.89,40.89,1061800
2023-03-07,42.62,43.54,41.57,41.95,41.95,1231200
2023-03-06,42.69,44.85,42.53,42.67,42.67,2390200
2023-03-03,39.45,41.89,39.1,41.61,41.61,1239300
2023-03-02,36.3,39.79,36.15,39.32,39.32,1110500
2023-03-01,35.86,36.86,35.47,36.71,36.71,906700
2023-02-28,35.73,36.09,35.27,35.86,35.86,1112200
2023-02-27,36.88,37.12,35.87,35.87,35.87,849900
2023-02-24,37.37,38.48,36.03,36.39,36.39,1464500
2023-02-23,38.65,39.88,36.96,38.17,38.17,2330500
2023-02-22,39.09,40.46,37.65,40.05,40.05,1940600
2023-02-21,41.0,41.18,38.85,39.0,39.0,1083000
2023-02-17,43.24,43.69,41.55,41.66,41.66,542200
2023-02-16,42.44,44.12,42.07,43.43,43.43,704000
2023-02-15,41.66,43.35,41.66,43.11,43.11,717900
2023-02-14,41.38,41.78,40.55,41.64,41.64,823400
2023-02-13,41.1,41.9,40.61,41.67,41.67,1256900
2023-02-10,41.11,42.04,40.64,40.95,40.95,1220900
2023-02-09,42.92,43.26,40.905,41.22,41.22,1026500
2023-02-08,44.26,44.655,42.6,42.69,42.69,479500
2023-02-07,42.95,44.69,42.65,44.06,44.06,786700
2023-02-06,44.62,45.509,43.045,43.27,43.27,557900
2023-02-03,44.36,45.95,44.18,45.04,45.04,995200
2023-02-02,42.1,45.0,42.1,44.98,44.98,1162200
2023-02-01,41.16,41.78,40.16,41.39,41.39,668600
2023-01-31,40.61,41.07,40.18,40.74,40.74,546500
2023-01-30,40.07,40.62,39.285,40.24,40.24,448000
2023-01-27,39.18,40.84,38.83,40.17,40.17,714000
2023-01-26,39.97,40.36,38.79,39.36,39.36,884000
2023-01-25,40.99,41.18,39.6,39.89,39.89,763900
2023-01-24,41.53,41.93,41.25,41.59,41.59,633500
2023-01-23,43.08,43.12,41.545,41.74,41.74,663500
2023-01-20,41.19,42.81,40.78,42.7,42.7,585700
2023-01-19,40.82,41.6,40.19,41.16,41.16,560100
2023-01-18,43.26,44.15,41.02,41.42,41.42,1071000
2023-01-17,40.93,43.31,40.64,42.91,42.91,1056300
2023-01-13,39.94,41.31,39.45,41.25,41.25,1865100
2023-01-12,41.57,41.6,37.795,40.41,40.41,2152100
2023-01-11,46.14,47.0,39.71,42.0,42.0,2655200
2023-01-10,45.17,45.79,44.155,44.42,44.42,996500
2023-01-09,46.71,46.95,44.93,45.12,45.12,773200
2023-01-06,46.49,46.95,45.1,46.1,46.1,562800
2023-01-05,46.39,47.175,44.76,46.28,46.28,890100
2023-01-04,45.32,47.13,45.25,46.5,46.5,1336200
2023-01-03,45.49,46.8,43.62,44.56,44.56,1029500
2022-12-30,42.5,45.23,41.89,44.95,44.95,950400
2022-12-29,42.12,43.72,41.36,43.04,43.04,651800
2022-12-28,42.2,42.75,40.66,41.29,41.29,679800
2022-12-27,41.98,42.24,41.32,42.13,42.13,553800
2022-12-23,42.76,43.15,41.23,41.97,41.97,845000
2022-12-22,42.19,42.91,41.09,42.81,42.81,918800
2022-12-21,41.85,42.79,41.77,42.52,42.52,893200
2022-12-20,40.26,41.7,40.26,41.54,41.54,950700
2022-12-19,41.43,41.59,40.29,40.76,40.76,1310100
2022-12-16,40.15,41.66,39.61,41.45,41.45,1835300
2022-12-15,40.095,40.79,39.13,40.42,40.42,1029000
2022-12-14,41.25,42.13,40.41,40.97,40.97,859200
2022-12-13,43.25,44.13,39.8,41.28,41.28,2226400
2022-12-12,43.98,44.245,42.72,43.64,43.64,472400
2022-12-09,44.11,44.35,43.08,43.12,43.12,767100
2022-12-08,42.89,45.09,42.68,44.27,44.27,891100
2022-12-07,40.87,42.47,40.54,42.29,42.29,557500
2022-12-06,42.34,42.63,40.86,41.02,41.02,666300
2022-12-05,42.18,42.56,41.29,42.44,42.44,744900
2022-12-02,42.29,43.525,42.04,42.75,42.75,588200
2022-12-01,42.23,42.68,41.102,42.62,42.62,1022900
2022-11-30,40.0,43.26,39.91,42.05,42.05,1530500
2022-11-29,41.15,41.86,39.794,39.94,39.94,1268900
2022-11-28,39.16,41.26,38.01,41.18,41.18,1480300
2022-11-25,39.48,39.67,38.95,39.54,39.54,222600
2022-11-23,37.76,39.97,37.03,39.55,39.55,938100
2022-11-22,38.73,38.85,37.02,37.45,37.45,1144900
2022-11-21,38.36,38.93,37.79,38.6,38.6,882700
