date,open,high,low,close,adjusted_close,volume
2023-06-02,0.82,0.87,0.815,0.87,0.87,1632100
2023-06-01,0.79,0.86,0.772,0.842,0.842,2902000
2023-05-31,0.782,0.81,0.764,0.798,0.798,1523700
2023-05-30,0.77,0.81,0.77,0.794,0.794,1106500
2023-05-26,0.775,0.794,0.76,0.785,0.785,1518400
2023-05-25,0.766,0.78,0.735,0.754,0.754,1683900
2023-05-24,0.76,0.77,0.741,0.758,0.758,908400
2023-05-23,0.77,0.809,0.76,0.762,0.762,1179600
2023-05-22,0.762,0.799,0.76,0.777,0.777,1085600
2023-05-19,0.799,0.812,0.76,0.76,0.76,920100
2023-05-18,0.785,0.81,0.785,0.799,0.799,801400
2023-05-17,0.78,0.8,0.76,0.793,0.793,1414700
2023-05-16,0.787,0.798,0.764,0.776,0.776,616800
2023-05-15,0.76,0.808,0.76,0.789,0.789,1533900
2023-05-12,0.82,0.82,0.75,0.759,0.759,2014400
2023-05-11,0.804,0.87,0.804,0.805,0.805,1084000
2023-05-10,0.8,0.86,0.775,0.837,0.837,2942800
2023-05-09,0.898,0.95,0.86,0.92,0.92,4048800
2023-05-08,0.835,0.98,0.834,0.898,0.898,4501800
2023-05-05,0.809,0.849,0.793,0.835,0.835,3431300
2023-05-04,0.777,0.81,0.734,0.748,0.748,1718100
2023-05-03,0.77,0.819,0.77,0.775,0.775,951200
2023-05-02,0.8,0.821,0.77,0.775,0.775,845000
2023-05-01,0.8,0.835,0.789,0.81,0.81,845400
2023-04-28,0.78,0.82,0.771,0.809,0.809,900500
2023-04-27,0.83,0.862,0.761,0.77,0.77,1832700
2023-04-26,0.83,0.87,0.8,0.82,0.82,785600
2023-04-25,0.83,0.89,0.801,0.802,0.802,1148500
2023-04-24,0.832,0.89,0.82,0.838,0.838,773400
2023-04-21,0.85,0.87,0.83,0.857,0.857,510700
2023-04-20,0.88,0.92,0.83,0.838,0.838,1185300
2023-04-19,0.91,0.92,0.877,0.889,0.889,711000
2023-04-18,0.93,0.96,0.915,0.925,0.925,905200
2023-04-17,0.91,0.956,0.9,0.912,0.912,707600
2023-04-14,0.91,0.947,0.89,0.919,0.919,833800
2023-04-13,0.9,0.93,0.882,0.902,0.902,692800
2023-04-12,0.94,0.979,0.9,0.911,0.911,913400
2023-04-11,0.934,0.98,0.922,0.936,0.936,1602700
2023-04-10,0.87,0.93,0.87,0.918,0.918,1020200
2023-04-06,0.858,0.91,0.84,0.898,0.898,847300
2023-04-05,0.89,0.899,0.83,0.852,0.852,885000
2023-04-04,0.88,0.91,0.862,0.91,0.91,754900
2023-04-03,0.907,0.92,0.862,0.882,0.882,803300
2023-03-31,0.896,0.95,0.89,0.899,0.899,1904200
2023-03-30,0.886,0.93,0.87,0.9,0.9,1162700
2023-03-29,0.84,0.9,0.83,0.887,0.887,1238400
2023-03-28,0.834,0.86,0.82,0.833,0.833,1044100
2023-03-27,0.85,0.874,0.82,0.84,0.84,1081400
2023-03-24,0.87,0.91,0.839,0.859,0.859,1032600
2023-03-23,0.89,0.91,0.84,0.875,0.875,1054200
2023-03-22,0.926,0.93,0.87,0.89,0.89,1647000
2023-03-21,0.88,0.91,0.87,0.903,0.903,1419300
2023-03-20,0.889,0.904,0.847,0.88,0.88,1648000
2023-03-17,0.84,0.936,0.83,0.922,0.922,5079800
2023-03-16,0.82,0.86,0.8,0.86,0.86,1746600
2023-03-15,0.82,0.84,0.78,0.826,0.826,2145100
2023-03-14,0.85,0.86,0.8,0.804,0.804,2574500
2023-03-13,0.85,0.88,0.804,0.835,0.835,2540300
2023-03-10,0.91,0.94,0.851,0.851,0.851,4181600
2023-03-09,0.939,0.955,0.9,0.907,0.907,1541000
2023-03-08,0.922,0.959,0.901,0.941,0.941,1522300
2023-03-07,0.94,0.964,0.913,0.925,0.925,1978400
2023-03-06,0.974,0.993,0.92,0.92,0.92,2584300
2023-03-03,0.976,0.99,0.965,0.97,0.97,2134500
2023-03-02,1.0,1.0,0.97,0.972,0.972,2031300
2023-03-01,1.03,1.03,0.951,1.02,1.02,4036300
2023-02-28,1.03,1.06,1.01,1.06,1.06,2622400
2023-02-27,1.02,1.05,1.0,1.03,1.03,2641700
2023-02-24,1.01,1.048,0.97,0.996,0.996,3637000
2023-02-23,1.08,1.08,1.01,1.05,1.05,2178800
2023-02-22,1.02,1.08,1.0,1.06,1.06,2715000
2023-02-21,1.09,1.1,1.01,1.01,1.01,3447100
2023-02-17,1.09,1.13,1.06,1.1,1.1,1724700
2023-02-16,1.15,1.22,1.1,1.11,1.11,3200900
2023-02-15,1.08,1.25,1.08,1.24,1.24,4309500
2023-02-14,1.06,1.14,1.04,1.11,1.11,3574000
2023-02-13,1.05,1.1,1.01,1.08,1.08,3764000
2023-02-10,1.09,1.1,1.03,1.05,1.05,3465500
2023-02-09,1.2,1.21,1.07,1.08,1.08,6490300
2023-02-08,1.22,1.29,1.13,1.18,1.18,10044900
2023-02-07,1.27,1.28,1.19,1.25,1.25,3196100
2023-02-06,1.35,1.37,1.23,1.27,1.27,4573400
2023-02-03,1.34,1.47,1.31,1.38,1.38,6361700
2023-02-02,1.42,1.54,1.31,1.41,1.41,21696100
2023-02-01,1.15,1.29,1.11,1.27,1.27,8632100
2023-01-31,1.12,1.15,1.08,1.15,1.15,3385000
2023-01-30,1.05,1.16,1.045,1.08,1.08,8566400
2023-01-27,0.957,1.09,0.95,1.06,1.06,5481600
2023-01-26,0.93,0.97,0.93,0.96,0.96,1571700
2023-01-25,0.95,0.95,0.9,0.93,0.93,2144500
2023-01-24,0.961,1.0,0.93,0.934,0.934,2123900
2023-01-23,0.941,1.02,0.941,0.972,0.972,3622800
2023-01-20,0.93,0.97,0.92,0.935,0.935,2336800
2023-01-19,0.98,0.98,0.907,0.92,0.92,2595500
2023-01-18,1.05,1.12,0.94,0.955,0.955,7205000
2023-01-17,1.07,1.08,1.02,1.04,1.04,5166100
2023-01-13,1.16,1.2,1.02,1.05,1.05,7660900
2023-01-12,1.05,1.21,1.01,1.14,1.14,8948200
2023-01-11,1.05,1.11,1.03,1.04,1.04,3723600
2023-01-10,1.02,1.075,1.02,1.04,1.04,2273200
2023-01-09,1.04,1.1,1.01,1.03,1.03,2159700
2023-01-06,1.06,1.06,1.01,1.04,1.04,1188400
2023-01-05,1.01,1.08,1.0,1.07,1.07,1244600
2023-01-04,0.96,1.08,0.96,1.07,1.07,2335500
2023-01-03,1.02,1.06,0.951,0.96,0.96,1642900
2022-12-30,0.95,1.04,0.93,1.02,1.02,3077300
2022-12-29,0.888,1.02,0.87,0.995,0.995,4424600
2022-12-28,0.87,0.93,0.87,0.894,0.894,2389200
2022-12-27,0.91,0.925,0.855,0.88,0.88,3788900
2022-12-23,0.92,0.947,0.89,0.94,0.94,1662300
2022-12-22,0.94,0.95,0.855,0.91,0.91,3291300
2022-12-21,0.95,0.992,0.92,0.968,0.968,2301800
2022-12-20,0.96,0.98,0.94,0.945,0.945,1775100
2022-12-19,1.02,1.03,0.94,0.972,0.972,4265800
2022-12-16,1.03,1.08,0.99,1.05,1.05,2693000
2022-12-15,1.06,1.09,1.02,1.03,1.03,2447900
2022-12-14,1.01,1.09,1.01,1.05,1.05,2345500
2022-12-13,1.06,1.09,1.005,1.01,1.01,3108200
2022-12-12,1.03,1.03,1.0,1.01,1.01,2482700
2022-12-09,1.02,1.08,1.0,1.03,1.03,2503800
2022-12-08,0.98,1.06,0.97,1.05,1.05,2239100
2022-12-07,1.0,1.04,0.93,0.952,0.952,6850600
2022-12-06,1.11,1.11,1.04,1.05,1.05,2612800
2022-12-05,1.16,1.18,1.04,1.11,1.11,4914300
2022-12-02,1.15,1.18,1.13,1.16,1.16,2448100
2022-12-01,1.22,1.26,1.16,1.18,1.18,3736000
2022-11-30,1.27,1.31,1.12,1.23,1.23,6612000
2022-11-29,1.26,1.34,1.243,1.28,1.28,3489700
2022-11-28,1.21,1.28,1.18,1.26,1.26,3397600
2022-11-25,1.24,1.25,1.17,1.24,1.24,1991400
2022-11-23,1.14,1.27,1.12,1.26,1.26,4321000
2022-11-22,1.18,1.2,1.11,1.155,1.155,3851500
2022-11-21,1.28,1.3,1.14,1.2,1.2,5046500
2022-11-18,1.29,1.32,1.19,1.31,1.31,4964300
2022-11-17,1.18,1.39,1.18,1.28,1.28,11282500
2022-11-16,1.11,1.305,1.04,1.24,1.24,9528900
2022-11-15,1.1,1.18,1.09,1.14,1.14,6058100
2022-11-14,1.12,1.12,1.04,1.05,1.05,2949300
2022-11-11,0.95,1.12,0.94,1.11,1.11,6542000
2022-11-10,1.03,1.03,0.92,0.953,0.953,5889000
2022-11-09,0.974,1.025,0.905,0.919,0.919,2378200
2022-11-08,0.93,1.04,0.88,0.98,0.98,5323000
2022-11-07,0.89,0.91,0.825,0.91,0.91,7746400
2022-11-04,0.98,1.0,0.84,0.88,0.88,8974300
2022-11-03,0.98,1.01,0.931,0.969,0.969,5404300
2022-11-02,1.11,1.11,0.932,0.96,0.96,8674500
2022-11-01,1.07,1.16,1.07,1.1,1.1,5509300
2022-10-31,1.04,1.09,1.03,1.04,1.04,2704700
2022-10-28,1.04,1.07,1.0,1.04,1.04,3257500
2022-10-27,1.08,1.11,1.025,1.04,1.04,3504600
2022-10-26,1.01,1.14,1.01,1.06,1.06,4060200
2022-10-25,0.997,1.09,0.99,1.05,1.05,4148700
2022-10-24,1.03,1.03,0.9,0.997,0.997,5314600
2022-10-21,1.01,1.03,0.984,1.02,1.02,3370200
2022-10-20,1.04,1.07,1.02,1.03,1.03,2840700
2022-10-19,1.03,1.09,1.01,1.03,1.03,5679800
2022-10-18,1.07,1.08,1.0,1.07,1.07,11009600
2022-10-17,1.06,1.08,1.01,1.04,1.04,8124400
2022-10-14,1.16,1.18,1.01,1.02,1.02,8447100
2022-10-13,1.1,1.16,1.08,1.12,1.12,4829600
2022-10-12,1.11,1.17,1.08,1.17,1.17,3089100
2022-10-11,1.1,1.13,1.04,1.08,1.08,4599900
2022-10-10,1.15,1.15,1.04,1.1,1.1,5012300
2022-10-07,1.17,1.185,1.1,1.13,1.13,4000400
2022-10-06,1.24,1.31,1.18,1.2,1.2,4405000
2022-10-05,1.25,1.275,1.2,1.24,1.24,2533200
2022-10-04,1.27,1.34,1.245,1.28,1.28,5548100
2022-10-03,1.18,1.265,1.11,1.23,1.23,5363700
2022-09-30,1.18,1.24,1.15,1.16,1.16,2400400
2022-09-29,1.27,1.28,1.165,1.19,1.19,7339900
2022-09-28,1.25,1.34,1.23,1.31,1.31,4166200
2022-09-27,1.25,1.305,1.22,1.27,1.27,4276300
2022-09-26,1.27,1.34,1.18,1.18,1.18,5909200
2022-09-23,1.3,1.34,1.23,1.27,1.27,5390000
2022-09-22,1.51,1.525,1.29,1.33,1.33,10201100
2022-09-21,1.52,1.6,1.47,1.52,1.52,4487100
2022-09-20,1.62,1.635,1.51,1.52,1.52,4809100
2022-09-19,1.64,1.68,1.6,1.64,1.64,3791400
2022-09-16,1.77,1.77,1.62,1.65,1.65,6281200
2022-09-15,1.72,1.84,1.72,1.8,1.8,3993800
2022-09-14,1.72,1.79,1.66,1.79,1.79,2900900
2022-09-13,1.73,1.79,1.67,1.69,1.69,4903500
2022-09-12,1.76,1.88,1.727,1.86,1.86,6784200
2022-09-09,1.77,1.84,1.76,1.78,1.78,4480100
2022-09-08,1.62,1.83,1.59,1.8,1.8,9852100
2022-09-07,1.545,1.67,1.53,1.66,1.66,3433900
2022-09-06,1.65,1.65,1.55,1.58,1.58,2948100
2022-09-02,1.68,1.69,1.57,1.61,1.61,6011400
2022-09-01,1.6,1.66,1.54,1.66,1.66,5352800
2022-08-31,1.71,1.73,1.609,1.63,1.63,5539700
2022-08-30,1.85,1.885,1.66,1.68,1.68,7730400
2022-08-29,1.79,1.915,1.79,1.81,1.81,5878400
2022-08-26,1.97,1.99,1.81,1.85,1.85,7261000
2022-08-25,1.87,1.98,1.85,1.96,1.96,9443900
2022-08-24,1.75,1.93,1.75,1.84,1.84,6252100
2022-08-23,1.77,1.82,1.675,1.78,1.78,7743600
2022-08-22,1.79,1.89,1.75,1.76,1.76,7682800
2022-08-19,2.05,2.067,1.75,1.84,1.84,12678500
2022-08-18,2.2,2.21,2.03,2.11,2.11,12582400
2022-08-17,2.36,2.36,2.07,2.18,2.18,16873700
