datetime,open,high,low,close,adjusted_close,volume,mom,rsi,mfi
2023-07-31,338.51,342.26,336.69,342.1,342.1,398100,-6.88,56.60,75.68
2023-07-28,337.97,341.62,335.78,338.23,338.23,424200,-9.60,53.27,75.42
2023-07-27,343.1,345.09,332.97,334.33,334.33,379400,-9.92,49.65,76.00
2023-07-26,341.74,342.3,336.85,338.48,338.48,354100,-8.79,53.77,81.49
2023-07-25,338.98,344.78,338.98,344.17,344.17,280300,7.32,60.11,82.04
2023-07-24,343.19,344.76,336.93,339.84,339.84,421800,6.12,56.48,75.76
2023-07-21,343.13,345.31,340.97,341.76,341.76,1426200,9.55,58.68,78.17
2023-07-20,345.76,347.89,339.6,340.5,340.5,372400,20.33,57.68,74.52
2023-07-19,350.97,351.23,345.57,348.81,348.81,327700,27.42,67.75,81.43
2023-07-18,346.07,350.23,344.02,348.98,348.98,455700,25.06,67.98,81.55
2023-07-17,342.14,348.71,342.14,347.83,347.83,347200,20.88,67.29,81.09
2023-07-14,346.52,348.38,343.41,344.25,344.25,322100,13.98,65.14,74.21
2023-07-13,340.51,347.54,340.02,347.27,347.27,361200,21.22,68.68,60.79
2023-07-12,338.8,339.19,334.42,336.85,336.85,366100,12.54,62.08,54.86
2023-07-11,332.52,334.58,330.26,333.72,333.72,341300,10.40,59.71,48.92
2023-07-10,320.91,332.97,320.91,332.21,332.21,589800,16.01,58.55,42.67
2023-07-07,320.78,324.23,319.41,320.17,320.17,245300,0.63,47.31,45.65
2023-07-06,319.55,321.95,317.25,321.39,321.39,331000,-4.29,48.54,47.10
2023-07-05,323.86,325.94,320.11,323.92,323.92,443000,-1.13,51.12,52.70
2023-07-03,327.84,328.8,320.98,326.95,326.95,238200,-4.36,54.33,59.91
2023-06-30,328.63,334.64,328.63,330.27,330.27,575700,-4.10,58.03,64.85
2023-06-29,324.59,326.38,322.3,326.05,326.05,319000,-10.76,54.36,65.24
2023-06-28,324.05,326.46,321.08,324.31,324.31,389600,-10.00,52.78,59.39
2023-06-27,317.14,324.91,317.14,323.32,323.32,357100,-9.91,51.90,51.51
2023-06-26,318.34,321.15,315.65,316.2,316.2,372600,-13.77,45.05,51.01
2023-06-23,321.79,322.9,318.95,319.54,319.54,964900,-5.99,48.03,56.68
2023-06-22,323.6,326.9,321.03,325.68,325.68,324700,9.63,54.14,67.38
2023-06-21,330.22,330.91,324.77,325.05,325.05,313700,12.20,53.57,65.97
2023-06-20,329.86,336.04,328.62,331.31,331.31,371700,5.72,60.41,59.28
2023-06-16,339.55,339.55,332.64,334.37,334.37,887100,8.35,64.13,67.10
2023-06-15,331.67,338.65,330.7,336.81,336.81,397700,11.81,67.19,66.32
2023-06-14,331.07,336.58,330.1,334.31,334.31,374700,11.07,65.63,66.53
2023-06-13,332.98,336.64,330.51,333.23,333.23,475400,9.64,64.96,61.52
2023-06-12,326.21,330.09,324.85,329.97,329.97,458200,0.81,62.94,56.72
2023-06-09,318.74,326.89,318.5,325.53,325.53,663900,6.13,60.02,51.75
2023-06-08,312.35,317.07,310.72,316.05,316.05,459100,9.74,52.64,49.37
2023-06-07,324.57,325.99,308.17,312.85,312.85,701300,14.10,49.73,54.73
2023-06-06,326.76,329.25,324.89,325.59,325.59,279200,26.79,64.35,62.57
2023-06-05,321.89,327.59,321.89,326.02,326.02,448600,19.67,64.95,62.28
2023-06-02,323.7,326.79,320.0,325.0,325.0,379600,19.44,64.21,61.54
2023-06-01,320.63,325.91,318.4,323.24,323.24,468100,16.34,62.97,60.85
2023-05-31,328.63,328.63,320.18,323.59,323.59,1076900,21.88,63.38,62.51
2023-05-30,324.45,331.71,324.15,329.16,329.16,991800,30.01,70.05,76.77
2023-05-26,308.16,319.98,308.12,319.4,319.4,751100,20.44,63.86,66.20
2023-05-25,301.28,309.26,299.35,306.31,306.31,487900,8.82,51.34,54.57
2023-05-24,296.29,299.84,296.03,298.75,298.75,444100,2.74,40.24,56.43
