datetime,open,high,low,close,adjusted_close,volume,mom,rsi,mfi
2023-07-31,176.21,178.9,176.21,178.5,178.5,259000,1.79,61.23,47.57
2023-07-28,173.8,176.77,172.33,176.16,176.16,263200,-0.96,57.31,47.21
2023-07-27,173.75,175.33,172.73,173.01,173.01,194900,-4.46,51.14,46.53
2023-07-26,170.63,174.01,170.31,173.23,173.23,189900,-4.72,51.62,46.28
2023-07-25,172.97,174.65,172.97,174.05,174.05,154900,-6.74,53.37,46.77
2023-07-24,172.33,174.35,171.6,173.21,173.21,119800,-2.02,51.82,47.52
2023-07-21,172.75,174.52,169.59,172.07,172.07,227500,-0.32,49.71,47.00
2023-07-20,179.17,179.6,175.09,175.33,175.33,230900,6.19,56.25,55.06
2023-07-19,177.11,178.7,176.81,178.64,178.64,153000,11.76,64.21,62.72
2023-07-18,177.0,177.34,175.64,176.71,176.71,195100,8.71,61.24,63.62
2023-07-17,177.47,178.11,175.79,177.12,177.12,162400,10.31,62.26,74.66
2023-07-14,178.3,178.75,176.91,177.47,177.47,227100,9.86,63.09,74.54
2023-07-13,181.01,181.4,177.73,177.95,177.95,260100,12.83,64.18,63.37
2023-07-12,178.06,181.51,176.43,180.79,180.79,209200,17.08,70.94,64.62
2023-07-11,172.45,175.77,171.95,175.23,175.23,244500,10.33,64.06,58.62
2023-07-10,169.11,174.44,169.11,172.39,172.39,231200,10.28,59.52,52.72
2023-07-07,166.91,170.21,166.66,169.14,169.14,187300,6.54,53.24,55.58
2023-07-06,166.35,167.07,165.28,166.88,166.88,166400,2.34,48.04,56.16
2023-07-05,166.28,168.4,165.74,168.0,168.0,202400,2.32,50.63,55.64
2023-07-03,167.09,168.27,165.71,166.81,166.81,95100,0.46,47.85,56.01
2023-06-30,166.2,167.77,165.39,167.61,167.61,235400,0.28,49.59,57.06
2023-06-29,163.8,165.37,163.17,165.12,165.12,190300,-1.69,43.67,52.20
2023-06-28,164.65,165.97,163.41,163.71,163.71,237900,-0.84,39.95,52.02
2023-06-27,162.58,164.92,161.32,164.9,164.9,680900,-0.90,42.13,46.58
2023-06-26,163.17,164.73,161.38,162.11,162.11,182400,-4.06,34.34,39.91
2023-06-23,163.56,164.64,161.98,162.6,162.6,859900,-1.09,35.11,39.24
2023-06-22,164.94,165.62,163.87,164.54,164.54,205000,-0.21,38.27,54.31
2023-06-21,165.11,167.05,164.87,165.68,165.68,243300,0.28,40.24,60.68
2023-06-20,166.43,167.96,164.2,166.35,166.35,211800,0.89,41.41,53.02
2023-06-16,168.21,168.3,165.08,167.33,167.33,488100,2.90,43.11,52.81
2023-06-15,163.62,167.13,163.62,166.81,166.81,245300,1.31,41.93,49.58
2023-06-14,164.99,166.65,163.27,164.55,164.55,207100,-0.41,36.67,43.20
2023-06-13,167.36,169.17,164.96,165.8,165.8,238900,1.88,38.46,43.40
2023-06-12,164.2,166.56,164.2,166.17,166.17,201200,2.81,38.99,37.33
