datetime,open,high,low,close,adjusted_close,volume,mom,rsi,mfi
2023-07-31,503.93,504.13,500.21,502.04,500.6569,442300,-1.69,54.71,61.44
2023-07-28,509.5,509.5,500.905,502.64,501.2552,442333,-1.03,55.42,67.05
2023-07-27,516.26,517.94,504.19,504.55,503.1599,533526,8.19,57.63,73.21
2023-07-26,515.01,518.71,513.05,516.52,515.097,312366,22.04,75.03,74.15
2023-07-25,509.86,517.26,508.04,516.45,515.0272,596619,23.40,74.99,69.93
2023-07-24,504.88,511.395,504.35,510.57,509.1634,467313,17.82,71.32,64.34
2023-07-21,510.98,514.305,507.08,507.42,506.022,1827239,17.93,69.06,66.02
2023-07-20,506.0,509.81,503.29,507.08,505.683,480481,26.84,68.81,58.89
2023-07-19,501.59,504.38,497.57,504.06,502.6713,572132,17.28,66.62,53.37
2023-07-18,503.49,506.195,501.27,503.73,502.3422,450597,16.97,66.38,55.75
2023-07-17,496.75,505.0,492.9,503.67,502.2824,433587,16.24,66.33,54.48
2023-07-14,494.2,498.34,492.3,496.36,494.9925,470340,-0.72,60.97,53.22
2023-07-13,489.6,498.74,485.42,494.48,493.1177,717112,4.45,59.43,44.85
2023-07-12,495.45,496.54,491.36,493.05,491.6916,450498,3.71,58.26,53.05
2023-07-11,489.84,494.46,489.84,492.75,491.3925,510458,1.56,58.02,53.16
2023-07-10,482.4,493.81,481.02,489.49,488.1414,713952,4.12,55.49,44.90
2023-07-07,485.85,486.04,479.88,480.24,478.9169,450100,-2.35,47.10,44.07
2023-07-06,482.85,487.44,480.41,486.78,485.4389,383687,-0.49,53.76,50.92
2023-07-05,485.66,488.04,480.69,486.76,485.419,413558,0.26,53.74,57.28
2023-07-03,490.96,493.535,479.99,487.43,486.0871,270364,2.99,54.42,64.60
2023-06-30,493.99,497.97,493.96,497.08,495.7105,459476,5.72,65.50,70.23
2023-06-29,489.17,490.05,486.5422,490.03,488.6799,272191,-2.35,59.97,62.98
2023-06-28,490.9,490.93,487.365,489.34,487.9918,305031,3.25,59.38,68.53
2023-06-27,486.35,491.68,486.35,491.19,489.8367,287701,7.92,61.65,66.86
2023-06-26,481.61,488.34,480.7,485.37,484.0328,279438,0.84,56.83,67.14
2023-06-23,482.49,485.17,478.28,482.59,481.2604,540246,2.16,54.28,67.00
2023-06-22,487.12,488.01,484.6,487.27,485.9275,241142,4.12,59.80,77.17
2023-06-21,482.88,490.16,480.93,486.5,485.1597,471385,9.44,59.17,77.94
2023-06-20,488.24,489.11,483.3,484.44,483.1053,398147,-0.16,57.50,64.74
2023-06-16,497.7,497.7,489.54,491.36,490.0063,625972,7.11,65.89,71.11
2023-06-15,486.0,494.29,484.96,492.38,491.0235,290083,10.82,67.23,68.88
2023-06-14,483.82,487.395,482.68,486.09,484.7508,270312,10.09,62.90,69.05
2023-06-13,485.59,485.71,481.53,483.27,481.9386,311187,11.13,60.74,63.80
2023-06-12,480.43,485.48,479.555,484.53,483.1951,316245,12.94,62.24,58.24
2023-06-09,481.14,482.7,477.54,480.43,479.1064,313454,11.71,59.19,57.93
2023-06-08,475.47,483.74,475.0,483.15,481.8189,275710,18.95,62.29,64.02
2023-06-07,484.87,486.12,475.7,477.06,475.7457,435614,14.77,57.69,64.41
2023-06-06,483.82,486.295,480.55,484.6,483.2649,334827,24.02,67.11,72.24
2023-06-05,482.76,485.63,481.16,484.25,482.9159,258076,12.63,66.88,65.95
2023-06-02,476.83,482.06,474.25,481.56,480.2333,453245,11.08,65.11,60.87
2023-06-01,473.51,477.67,469.55,476.0,474.6886,425666,3.80,61.14,59.11
2023-05-31,471.18,473.53,465.585,472.14,470.8392,820486,6.80,58.06,58.87
2023-05-30,470.33,474.165,467.31,471.59,470.2907,236709,5.63,57.61,74.65
2023-05-26,464.0,470.645,462.28,468.72,467.4287,263664,-0.34,55.32,66.33
2023-05-25,460.95,465.4399,458.32,464.2,462.9211,337036,-10.16,51.47,59.32
2023-05-24,459.12,464.71,458.0,462.29,461.0164,268408,-11.94,49.78,59.06
2023-05-23,470.26,470.26,460.28,460.58,459.3111,262027,-12.45,48.27,58.55
2023-05-22,473.1,476.27,469.56,471.62,470.3207,286870,10.08,58.82,64.56
2023-05-19,474.29,476.82,468.7841,470.48,469.1838,277199,10.24,57.94,57.10
2023-05-18,464.15,472.665,462.3209,472.2,470.8991,336703,5.83,59.73,57.36
2023-05-17,468.47,469.75,462.89,465.34,464.058,262019,7.41,54.53,56.72
2023-05-16,467.46,469.65,460.0,465.96,464.6763,286315,7.95,55.12,57.25
2023-05-15,474.34,474.34,467.7,469.06,467.7677,228132,10.18,58.08,56.46
2023-05-12,475.14,478.385,471.91,474.36,473.0531,255194,12.04,63.49,55.10
2023-05-11,473.71,475.25,470.29,474.23,471.7766,400966,18.46,63.41,48.46
2023-05-10,464.85,473.37,462.87,473.03,470.5829,388617,22.21,62.73,46.44
2023-05-09,458.84,463.62,456.57,461.54,459.1523,398556,21.91,55.37,45.13
2023-05-08,465.25,466.62,459.6,460.24,457.859,325720,13.22,54.43,46.66
2023-05-05,460.56,467.86,458.985,466.37,463.9573,307285,8.41,59.99,54.69
2023-05-04,459.35,463.42,456.58,457.93,455.561,307272,-1.94,53.97,54.74
2023-05-03,460.51,463.85,457.64,458.01,455.6406,271740,-0.88,54.05,61.76
2023-05-02,462.1,462.64,454.7,458.88,456.5061,352690,4.55,54.78,62.72
2023-05-01,454.7,462.65,454.7,462.32,459.9283,312922,2.44,57.65,70.05
2023-04-28,451.74,458.285,451.74,455.77,453.4121,279818,-6.21,53.32,70.15
2023-04-27,442.86,452.0,440.01,450.82,448.4878,335104,-7.79,49.72,63.74
2023-04-26,442.52,443.43,438.59,439.63,437.3556,381415,-20.15,39.99,57.55
2023-04-25,455.27,455.27,446.13,447.02,444.7074,385692,-6.92,45.38,58.24
2023-04-24,460.62,461.6,456.89,457.96,455.5908,364199,7.70,55.68,58.66
2023-04-21,458.2,461.11,457.52,459.87,457.4909,234584,9.86,57.81,59.07
