datetime,open,high,low,close,adjusted_close,volume,mom,rsi,mfi
2023-07-31,77.72,78.03,76.27,78.0,78.0,3916200,-4.47,42.48,49.71
2023-07-28,77.24,78.32,76.89,77.87,77.87,2910100,-3.32,41.88,55.82
2023-07-27,78.0,78.87,76.25,76.86,76.86,3224700,-4.96,37.17,55.28
2023-07-26,80.26,80.308,77.29,77.43,77.43,4148600,-3.97,38.82,55.59
2023-07-25,80.84,82.35,78.58,80.21,80.21,4729500,-1.48,48.58,57.48
2023-07-24,82.48,82.68,80.27,80.63,80.63,4335700,-0.63,50.36,60.36
2023-07-21,82.08,83.14,82.02,82.63,82.63,7697300,1.97,60.07,68.47
2023-07-20,82.25,83.145,81.8,81.85,81.85,3113900,2.23,57.07,64.26
2023-07-19,82.78,82.94,81.66,81.75,81.72,2781700,2.63,56.68,62.78
2023-07-18,81.108,82.895,80.75,82.47,82.4397,2844500,1.82,60.32,54.01
2023-07-17,81.74,82.36,81.08,81.19,81.1602,2343200,0.50,55.62,44.66
2023-07-14,81.5,82.16,81.23,81.82,81.79,1774100,0.58,58.80,44.56
2023-07-13,81.73,82.0,80.9,81.4,81.3701,1476300,2.72,57.29,32.81
2023-07-12,81.29,82.66,81.29,81.69,81.66,2124800,4.50,58.67,37.87
2023-07-11,80.5,81.445,80.21,81.26,81.2302,1793100,4.19,57.25,38.81
2023-07-10,80.13,80.78,80.0,80.66,80.6304,2263000,2.86,55.26,33.21
2023-07-07,78.98,80.108,78.3,79.62,79.5908,2892600,-0.20,51.64,37.80
2023-07-06,80.0,80.27,79.0,79.12,79.091,2595900,-1.09,49.82,44.73
2023-07-05,80.37,81.29,79.935,80.65,80.6204,2655900,1.03,55.77,51.23
2023-07-03,81.41,81.46,79.9,80.69,80.6604,1086900,1.79,55.93,49.78
2023-06-30,79.42,81.41,79.314,81.24,81.2102,3428300,2.59,58.09,54.01
2023-06-29,77.27,78.7,77.15,78.68,78.6511,1908200,-0.42,49.71,46.07
2023-06-28,77.5,77.59,76.34,77.19,77.1617,2920500,-1.34,43.62,34.17
2023-06-27,77.95,78.35,76.192,77.07,77.0417,3250400,-0.72,43.10,33.59
2023-06-26,80.02,80.3,77.74,77.8,77.7714,2500700,-0.47,45.45,53.23
2023-06-23,79.86,80.35,79.01,79.82,79.7907,7973000,2.72,52.84,53.87
2023-06-22,79.94,80.75,79.58,80.21,80.1806,2229200,2.46,54.43,60.56
2023-06-21,78.79,80.0,78.29,79.62,79.5908,2805700,-0.86,52.42,60.61
2023-06-20,78.36,79.16,77.75,78.9,78.871,3151100,-4.03,49.92,61.41
2023-06-16,79.5,80.1,78.49,78.65,78.6211,5388200,-1.84,49.06,62.44
2023-06-15,78.66,79.17,78.225,79.1,79.071,3277900,-0.87,50.51,60.94
