datetime,open,high,low,close,adjusted_close,volume,mom,rsi,mfi
2023-07-31,76.67,76.89,75.85,76.14,76.14,6059500,-2.08,43.33,64.75
2023-07-28,76.42,77.32,76.34,76.86,76.86,5026500,-0.62,46.65,70.57
2023-07-27,77.33,78.28,76.4,76.51,76.51,6258600,-0.68,44.74,76.39
2023-07-26,76.77,77.38,76.61,77.19,77.19,4049700,0.48,47.83,69.21
2023-07-25,77.02,78.15,76.86,77.23,77.23,5298400,0.85,48.01,68.49
2023-07-24,79.82,80.18,76.25,77.66,77.66,11333500,1.54,49.90,74.45
2023-07-21,80.41,81.13,80.0,80.64,80.64,14982100,4.95,66.82,81.84
2023-07-20,79.56,80.78,79.54,79.94,79.94,6046000,5.52,64.17,79.38
2023-07-19,78.1,79.6,78.1,78.96,78.96,5351600,2.72,60.02,79.07
2023-07-18,77.54,78.86,77.4,78.22,78.22,5244900,0.98,56.49,72.39
2023-07-17,76.67,77.76,76.46,77.48,77.48,4954600,0.76,52.60,64.98
2023-07-14,76.61,77.64,76.46,77.19,77.19,6071700,0.12,51.00,56.92
2023-07-13,76.7,77.29,76.3,76.71,76.71,3341700,0.70,48.33,49.12
2023-07-12,76.36,77.18,76.33,76.38,76.38,5185100,0.20,46.47,49.21
2023-07-11,75.49,76.25,75.36,76.12,76.12,3530200,0.11,45.02,41.62
2023-07-10,74.5,75.88,74.45,75.69,75.69,5554900,-0.87,42.64,35.60
2023-07-07,75.66,75.94,74.33,74.42,74.42,6549400,-3.05,34.89,42.74
2023-07-06,76.91,77.04,76.02,76.24,76.24,5020300,-1.87,42.53,50.84
2023-07-05,76.57,77.6,76.1,77.24,77.24,5308300,-0.37,47.89,50.13
2023-07-03,76.26,76.84,75.84,76.72,76.72,3437300,-0.99,44.51,49.92
2023-06-30,76.49,77.24,76.16,77.07,77.07,6017200,-1.79,46.39,48.53
2023-06-29,75.88,76.48,75.49,76.01,76.01,5295800,-2.99,39.18,48.81
2023-06-28,75.92,76.22,75.25,76.18,76.18,4486900,-1.77,39.98,50.96
2023-06-27,76.65,76.89,75.8,76.01,76.01,5111200,-2.44,38.82,49.55
2023-06-26,77.2,77.2,74.96,76.56,76.56,6106200,-1.30,41.21,49.38
2023-06-23,78.33,78.36,77.26,77.47,77.47,4815500,-0.65,45.53,55.91
2023-06-22,77.75,78.19,77.31,78.11,78.11,3408800,-0.29,48.87,61.30
2023-06-21,77.67,78.45,77.0,77.61,77.61,5342300,1.53,46.00,56.53
2023-06-20,78.64,79.175,77.71,77.71,77.71,5410061,1.51,46.48,63.43
2023-06-16,79.25,79.53,78.5,78.86,78.86,13982400,1.14,52.39,63.74
2023-06-15,78.28,79.01,77.77,79.0,79.0,6526200,1.11,53.15,59.97
2023-06-14,78.04,78.4,77.32,77.95,77.95,6069400,1.74,47.86,51.39
2023-06-13,77.0,78.5,76.9,78.45,77.7,4920500,1.51,50.38,58.41
2023-06-12,78.2,78.3,76.81,77.86,77.1156,5687100,1.53,47.34,52.86
2023-06-09,77.52,78.4,77.28,78.12,77.3732,6375501,1.03,48.56,54.19
2023-06-08,75.76,78.46,75.76,78.4,77.6505,8860670,0.75,49.84,53.85
2023-06-07,76.15,76.23,75.12,76.08,75.3527,7037539,-2.97,37.09,45.20
2023-06-06,78.29,78.43,76.015,76.2,75.4715,5408479,-2.38,37.55,45.96
2023-06-05,77.82,78.03,77.18,77.72,76.977,5744122,-0.90,43.93,53.14
2023-06-02,76.12,77.985,75.8,77.89,77.1454,4877195,-0.96,44.72,47.65
2023-06-01,77.54,77.54,75.87,76.21,75.4814,5031234,-2.00,33.80,46.73
2023-05-31,76.62,77.02,76.27,76.94,76.2044,8073195,-1.87,36.73,53.56
2023-05-30,76.52,76.87,76.01,76.33,75.6003,5038456,-1.99,32.17,44.21
2023-05-26,78.0,78.62,77.01,77.09,76.353,5439022,-1.29,35.10,44.42
2023-05-25,77.47,78.18,76.26,77.65,76.9076,8118148,-0.52,37.43,37.63
2023-05-24,79.12,79.26,78.14,79.05,78.2943,5863905,0.35,44.24,46.47
2023-05-23,78.6,79.555,78.095,78.58,77.8288,4542896,0.47,40.88,38.31
2023-05-22,79.3,79.85,78.4,78.62,77.8684,3559625,-0.18,41.08,37.97
2023-05-19,78.78,79.62,78.65,78.845,78.0912,5694350,0.26,42.13,36.70
2023-05-18,78.88,79.05,77.36,78.21,77.4623,5049855,-1.54,37.97,36.61
2023-05-17,78.145,79.02,77.05,78.81,78.0566,5507045,0.29,40.53,33.56
2023-05-16,79.77,79.77,78.155,78.32,77.5712,5765332,-1.13,37.33,31.99
2023-05-15,78.07,78.4,77.83,78.38,77.6307,2723343,-2.06,37.56,24.84
2023-05-12,78.77,79.08,77.91,78.17,77.4227,3519067,-3.25,36.29,23.84
2023-05-11,78.16,78.76,77.45,78.7,77.9476,5123741,-3.51,38.11,26.68
2023-05-10,78.77,78.84,77.16,78.11,77.3633,5614104,-5.44,34.72,29.84
2023-05-09,78.31,79.275,78.3,78.8,78.0467,4546645,-4.94,36.91,36.91
2023-05-08,79.61,79.66,78.13,78.59,77.8387,3823590,-7.00,35.77,41.33
2023-05-05,78.75,79.83,78.22,79.75,78.9876,4613704,-6.95,39.45,46.27
2023-05-04,79.61,79.68,78.41,78.52,77.7693,4564159,-8.05,32.62,46.31
2023-05-03,80.49,80.9,79.12,79.45,78.6904,5057565,-5.24,35.42,46.00
2023-05-02,81.53,82.04,80.085,80.44,79.671,5647923,-3.67,38.71,51.52
2023-05-01,82.47,82.55,81.2,81.42,80.6416,5561392,-2.36,42.32,51.77
2023-04-28,82.52,82.85,80.08,82.21,81.4241,10709410,-1.42,45.50,46.20
2023-04-27,83.74,83.86,82.415,83.55,82.7512,8658988,0.55,51.60,50.74
2023-04-26,84.235,84.415,82.9,83.74,82.9394,4439499,0.47,52.53,59.97
2023-04-25,86.95,87.08,85.5,85.59,84.7717,5378614,3.43,62.72,66.64
2023-04-24,86.62,87.37,86.485,86.7,85.8711,6630846,4.16,70.32,67.75
2023-04-21,84.87,86.88,84.75,86.57,85.7424,8039535,3.97,69.93,67.19
2023-04-20,83.75,84.875,83.7,84.69,83.8803,5927758,1.32,63.35,66.55
2023-04-19,83.46,84.31,83.39,84.11,83.3059,3112324,0.46,60.91,65.31
2023-04-18,83.74,83.93,82.97,83.78,82.979,4284058,1.66,59.48,66.51
2023-04-17,83.41,83.74,83.03,83.63,82.8305,4444671,0.39,58.84,66.23
2023-04-14,83.03,83.24,81.975,83.0,82.2065,4886601,0.03,56.16,66.07
2023-04-13,81.96,83.335,81.925,83.27,82.4739,4224736,1.82,57.65,73.66
2023-04-12,82.97,83.24,81.74,82.16,81.3745,5146730,0.87,52.87,73.88
2023-04-11,82.56,83.11,82.255,82.54,81.7509,3669443,1.57,54.84,74.81
2023-04-10,83.5,83.5003,82.32,82.6,81.8103,3465548,3.02,55.14,80.76
2023-04-06,84.07,84.83,83.26,83.37,82.573,3729061,3.37,59.00,86.37
2023-04-05,82.3,83.72,81.945,83.65,82.8503,4615196,4.89,60.43,67.86
2023-04-04,83.16,83.45,81.815,82.12,81.3349,4490721,4.31,54.88,68.52
2023-04-03,82.935,83.8,82.64,83.24,82.4442,5083675,4.10,60.67,74.30
2023-03-31,81.64,83.14,81.19,82.97,82.1768,7135830,3.51,59.72,67.66
2023-03-30,81.78,81.9,81.06,81.45,80.6713,3822725,4.14,53.89,67.45
2023-03-29,81.26,81.9693,80.93,81.29,80.5128,5469280,1.44,53.23,68.35
2023-03-28,79.96,81.11,79.7891,80.97,80.1959,4154918,1.32,51.95,60.63
2023-03-27,80.38,80.99,79.41,79.58,78.8192,4444950,-0.19,46.00,56.02
2023-03-24,78.93,80.4,78.33,80.0,79.2352,4807017,0.49,47.66,49.82
2023-03-23,77.78,78.93,77.64,78.76,78.007,5015742,-0.74,41.92,49.69
2023-03-22,79.1,79.38,77.76,77.81,77.0661,4909540,-1.14,37.00,49.71
2023-03-21,79.525,80.05,78.355,79.14,78.3834,4744836,-1.06,41.58,50.32
2023-03-20,77.71,79.68,77.63,79.46,78.7003,4672679,-0.82,42.76,44.73
2023-03-17,79.76,79.76,76.525,77.31,76.5709,16828080,-3.80,30.44,38.80
2023-03-16,79.18,79.97,78.42,79.85,79.0866,7274465,-1.22,39.84,44.65
2023-03-15,79.1,79.89,78.51,79.65,78.8885,4875419,0.03,38.45,36.17
2023-03-14,79.03,79.91,78.32,79.77,79.0074,5499121,0.18,38.95,29.50
2023-03-13,78.565,81.27,78.565,79.51,78.007,6845669,-1.02,37.31,29.58
2023-03-10,79.02,80.31,78.9,79.5,77.9972,6203914,-1.39,37.25,29.24
2023-03-09,80.57,80.6999,78.29,78.95,77.4576,7500053,-1.71,34.00,29.69
2023-03-08,80.5,80.8262,79.8214,80.2,78.684,3859680,-2.34,38.17,30.05
2023-03-07,81.3,81.3,79.94,80.28,78.7625,6112573,-3.22,38.45,29.25
2023-03-06,81.11,81.34,80.54,81.11,79.5768,4500484,-3.53,41.38,28.65
2023-03-03,79.81,81.18,79.59,81.07,79.5375,4915444,-3.69,41.18,30.22
2023-03-02,79.51,79.9,79.2148,79.62,78.115,3459569,-3.77,33.53,31.08
2023-03-01,80.34,80.34,79.39,79.59,78.0855,5269941,-5.46,33.36,38.08
2023-02-28,80.81,80.93,79.92,80.53,79.0078,5808885,-5.15,35.98,36.98
2023-02-27,81.16,81.31,80.58,80.89,79.361,4930041,-6.60,37.02,44.88
2023-02-24,82.27,82.3,80.33,80.66,79.1353,6289964,-6.04,35.92,52.10
2023-02-23,83.15,83.85,82.25,82.54,80.9798,5344979,-2.99,41.37,61.93
2023-02-22,84.63,84.75,83.04,83.5,81.9216,4986884,-2.17,44.58,58.75
2023-02-21,84.73,85.49,84.62,84.64,83.0401,6085631,-1.41,48.75,57.79
2023-02-17,83.61,85.25,83.28,84.76,83.1578,6306264,-1.60,49.20,59.16
2023-02-16,84.31,84.756,83.37,83.39,81.8137,5760563,-1.11,43.69,52.90
2023-02-15,85.27,85.27,84.44,85.05,83.4423,5614951,3.66,49.76,57.63
2023-02-14,87.59,87.61,85.02,85.68,84.0604,7206203,1.68,52.32,58.77
2023-02-13,86.7,87.82,86.39,87.49,85.8362,5801725,3.55,60.64,64.75
2023-02-10,85.56,86.96,85.28,86.7,85.0611,5522187,3.35,57.93,64.28
2023-02-09,85.83,86.605,85.13,85.53,83.9132,6656819,1.80,53.52,64.27
2023-02-08,85.4,86.03,85.29,85.67,84.0506,7376596,2.05,54.15,52.16
2023-02-07,86.6,86.69,85.38,86.05,84.4234,7298804,1.98,55.81,52.44
2023-02-06,84.5,87.18,84.5,86.36,84.7276,7611135,2.34,57.13,45.93
2023-02-03,84.655,86.97,83.6201,84.5,82.9027,12852400,1.27,50.61,39.33
2023-02-02,82.365,82.5,80.48,81.39,79.8515,10933780,-1.62,35.33,34.57
2023-02-01,84.01,84.655,82.7,84.0,82.4122,6673648,0.38,46.56,36.18
2023-01-31,83.52,84.21,83.225,83.94,82.3533,9621752,0.20,46.19,43.04
2023-01-30,83.52,83.84,82.3301,83.35,81.7744,7283048,-2.06,42.62,40.14
2023-01-27,83.33,83.97,83.11,83.73,82.1473,4108412,-2.54,44.38,40.77
2023-01-26,83.76,83.81,82.61,83.62,82.0393,3670867,-2.10,43.75,42.19
2023-01-25,84.15,84.55,83.56,84.07,82.4808,3892838,-3.12,45.71,47.63
2023-01-24,83.43,84.08,82.11,84.02,82.4318,4776447,-3.12,45.46,48.72
2023-01-23,82.76,84.38,82.42,83.23,81.6567,5673156,-1.87,41.48,42.93
2023-01-20,83.54,83.8,82.51,83.01,81.4409,16678600,-5.07,40.36,41.86
2023-01-19,84.17,84.58,83.2514,83.62,82.0393,6922528,-2.23,42.46,53.21
