index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
28,2023-06-02,USD,0.2,0.18,0.02,11.1111,33522700
29,2023-06-01,USD,0.2,0.18,0.02,11.1111,33522700
30,2023-05-31,USD,0.2,0.18,0.02,11.1111,33522700
31,2023-05-30,USD,0.2,0.18,0.02,11.1111,33522700
32,2023-05-29,USD,0.2,0.18,0.02,11.1111,33522700
33,2023-05-28,USD,0.2,0.18,0.02,11.1111,33522700
34,2023-05-27,USD,0.2,0.18,0.02,11.1111,33522700
35,2023-05-26,USD,0.2,0.18,0.02,11.1111,33522700
36,2023-05-25,USD,0.2,0.18,0.02,11.1111,33522700
37,2023-05-24,USD,0.2,0.18,0.02,11.1111,33522700
38,2023-05-23,USD,0.2,0.18,0.02,11.1111,33522700
39,2023-05-22,USD,0.2,0.18,0.02,11.1111,33522700
40,2023-05-21,USD,0.2,0.18,0.02,11.1111,33522700
41,2023-05-20,USD,0.2,0.18,0.02,11.1111,33522700
42,2023-05-19,USD,0.2,0.18,0.02,11.1111,33522700
43,2023-05-18,USD,0.2,0.18,0.02,11.1111,33522700
44,2023-05-17,USD,0.2,0.18,0.02,11.1111,33522700
45,2023-05-16,USD,0.2,0.18,0.02,11.1111,33522700
46,2023-05-15,USD,0.2,0.18,0.02,11.1111,33522700
47,2023-05-14,USD,0.2,0.18,0.02,11.1111,33522700
48,2023-05-13,USD,0.2,0.18,0.02,11.1111,33522700
49,2023-05-12,USD,0.2,0.18,0.02,11.1111,33522700
50,2023-05-11,USD,0.2,0.18,0.02,11.1111,33522700
51,2023-05-10,USD,0.2,0.18,0.02,11.1111,33522700
52,2023-05-09,USD,0.2,0.18,0.02,11.1111,33522700
53,2023-05-08,USD,0.2,0.18,0.02,11.1111,33522700
54,2023-05-07,USD,0.2,0.18,0.02,11.1111,33522700
55,2023-05-06,USD,0.2,0.18,0.02,11.1111,33522700
56,2023-05-05,USD,0.2,0.18,0.02,11.1111,33522700
57,2023-05-04,USD,0.2,0.18,0.02,11.1111,33522700
58,2023-05-03,USD,0.2,0.18,0.02,11.1111,33522700
59,2023-05-02,USD,0.2,0.18,0.02,11.1111,33522700
60,2023-05-01,USD,0.2,0.18,0.02,11.1111,33522700
61,2023-04-30,USD,0.2,0.18,0.02,11.1111,33522700
62,2023-04-29,USD,0.2,0.18,0.02,11.1111,33522700
63,2023-04-28,USD,0.2,0.18,0.02,11.1111,33522700
64,2023-04-27,USD,0.2,0.18,0.02,11.1111,33522700
65,2023-04-26,USD,0.2,0.18,0.02,11.1111,33522700
66,2023-04-25,USD,0.2,0.18,0.02,11.1111,33522700
67,2023-04-24,USD,0.2,0.18,0.02,11.1111,33522700
68,2023-04-23,USD,0.2,0.18,0.02,11.1111,33522700
69,2023-04-22,USD,0.2,0.18,0.02,11.1111,33522700
70,2023-04-21,USD,0.2,0.18,0.02,11.1111,33522700
71,2023-04-20,USD,0.2,0.18,0.02,11.1111,33522700
72,2023-04-19,USD,0.2,0.18,0.02,11.1111,33522700
73,2023-04-18,USD,0.2,0.18,0.02,11.1111,33522700
74,2023-04-17,USD,0.2,0.18,0.02,11.1111,33522700
75,2023-04-16,USD,0.2,0.18,0.02,11.1111,33522700
76,2023-04-15,USD,0.2,0.18,0.02,11.1111,33522700
77,2023-04-14,USD,0.2,0.18,0.02,11.1111,33522700
78,2023-04-13,USD,0.2,0.18,0.02,11.1111,33522700
79,2023-04-12,USD,0.2,0.18,0.02,11.1111,33522700
80,2023-04-11,USD,0.2,0.18,0.02,11.1111,33522700
81,2023-04-10,USD,0.2,0.18,0.02,11.1111,33522700
82,2023-04-09,USD,0.2,0.18,0.02,11.1111,33522700
83,2023-04-08,USD,0.2,0.18,0.02,11.1111,33522700
84,2023-04-07,USD,0.2,0.18,0.02,11.1111,33522700
85,2023-04-06,USD,0.2,0.18,0.02,11.1111,33522700
86,2023-04-05,USD,0.2,0.18,0.02,11.1111,33522700
87,2023-04-04,USD,0.2,0.18,0.02,11.1111,33522700
88,2023-04-03,USD,0.2,0.18,0.02,11.1111,33522700
89,2023-04-02,USD,0.2,0.18,0.02,11.1111,33522700
90,2023-04-01,USD,0.2,0.18,0.02,11.1111,33522700
91,2023-03-31,USD,0.2,0.18,0.02,11.1111,33522700
92,2023-03-30,USD,0.98,0.47,0.51,108.5106,34707700
93,2023-03-29,USD,0.98,0.47,0.51,108.5106,34707700
94,2023-03-28,USD,0.98,0.47,0.51,108.5106,34707700
95,2023-03-27,USD,0.98,0.47,0.51,108.5106,34707700
96,2023-03-26,USD,0.98,0.47,0.51,108.5106,34707700
97,2023-03-25,USD,0.98,0.47,0.51,108.5106,34707700
98,2023-03-24,USD,0.98,0.47,0.51,108.5106,34707700
99,2023-03-23,USD,0.98,0.47,0.51,108.5106,34707700
100,2023-03-22,USD,0.98,0.47,0.51,108.5106,34707700
101,2023-03-21,USD,0.98,0.47,0.51,108.5106,34707700
102,2023-03-20,USD,0.98,0.47,0.51,108.5106,34707700
103,2023-03-19,USD,0.98,0.47,0.51,108.5106,34707700
104,2023-03-18,USD,0.98,0.47,0.51,108.5106,34707700
105,2023-03-17,USD,0.98,0.47,0.51,108.5106,34707700
106,2023-03-16,USD,0.98,0.47,0.51,108.5106,34707700
107,2023-03-15,USD,0.98,0.47,0.51,108.5106,34707700
108,2023-03-14,USD,0.98,0.47,0.51,108.5106,34707700
109,2023-03-13,USD,0.98,0.47,0.51,108.5106,34707700
110,2023-03-12,USD,0.98,0.47,0.51,108.5106,34707700
111,2023-03-11,USD,0.98,0.47,0.51,108.5106,34707700
112,2023-03-10,USD,0.98,0.47,0.51,108.5106,34707700
113,2023-03-09,USD,0.98,0.47,0.51,108.5106,34707700
114,2023-03-08,USD,0.98,0.47,0.51,108.5106,34707700
115,2023-03-07,USD,0.98,0.47,0.51,108.5106,34707700
116,2023-03-06,USD,0.98,0.47,0.51,108.5106,34707700
117,2023-03-05,USD,0.98,0.47,0.51,108.5106,34707700
