index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
28,2023-06-02,USD,1.58,1.97,-0.39,-19.797,25057700
29,2023-06-01,USD,1.58,1.97,-0.39,-19.797,25057700
30,2023-05-31,USD,1.58,1.97,-0.39,-19.797,25057700
31,2023-05-30,USD,1.58,1.97,-0.39,-19.797,25057700
32,2023-05-29,USD,1.58,1.97,-0.39,-19.797,25057700
33,2023-05-28,USD,1.58,1.97,-0.39,-19.797,25057700
34,2023-05-27,USD,1.58,1.97,-0.39,-19.797,25057700
35,2023-05-26,USD,1.58,1.97,-0.39,-19.797,25057700
36,2023-05-25,USD,1.58,1.97,-0.39,-19.797,25057700
37,2023-05-24,USD,1.58,1.97,-0.39,-19.797,25057700
38,2023-05-23,USD,1.58,1.97,-0.39,-19.797,25057700
39,2023-05-22,USD,1.58,1.97,-0.39,-19.797,25057700
40,2023-05-21,USD,1.58,1.97,-0.39,-19.797,25057700
41,2023-05-20,USD,1.58,1.97,-0.39,-19.797,25057700
42,2023-05-19,USD,1.58,1.97,-0.39,-19.797,25057700
43,2023-05-18,USD,1.58,1.97,-0.39,-19.797,25057700
44,2023-05-17,USD,1.58,1.97,-0.39,-19.797,25057700
45,2023-05-16,USD,1.58,1.97,-0.39,-19.797,25057700
46,2023-05-15,USD,1.58,1.97,-0.39,-19.797,25057700
47,2023-05-14,USD,1.58,1.97,-0.39,-19.797,25057700
48,2023-05-13,USD,1.58,1.97,-0.39,-19.797,25057700
49,2023-05-12,USD,1.58,1.97,-0.39,-19.797,25057700
50,2023-05-11,USD,1.58,1.97,-0.39,-19.797,25057700
51,2023-05-10,USD,1.58,1.97,-0.39,-19.797,25057700
52,2023-05-09,USD,1.58,1.97,-0.39,-19.797,25057700
53,2023-05-08,USD,1.58,1.97,-0.39,-19.797,25057700
54,2023-05-07,USD,1.58,1.97,-0.39,-19.797,25057700
55,2023-05-06,USD,1.58,1.97,-0.39,-19.797,25057700
56,2023-05-05,USD,1.58,1.97,-0.39,-19.797,25057700
57,2023-05-04,USD,1.58,1.97,-0.39,-19.797,25057700
58,2023-05-03,USD,1.58,1.97,-0.39,-19.797,25057700
59,2023-05-02,USD,1.58,1.97,-0.39,-19.797,25057700
60,2023-05-01,USD,1.58,1.97,-0.39,-19.797,25057700
61,2023-04-30,USD,1.58,1.97,-0.39,-19.797,25057700
62,2023-04-29,USD,1.58,1.97,-0.39,-19.797,25057700
63,2023-04-28,USD,1.58,1.97,-0.39,-19.797,25057700
64,2023-04-27,USD,1.58,1.97,-0.39,-19.797,25057700
65,2023-04-26,USD,1.58,1.97,-0.39,-19.797,25057700
66,2023-04-25,USD,1.58,1.97,-0.39,-19.797,25057700
67,2023-04-24,USD,1.58,1.97,-0.39,-19.797,25057700
68,2023-04-23,USD,1.58,1.97,-0.39,-19.797,25057700
69,2023-04-22,USD,1.58,1.97,-0.39,-19.797,25057700
70,2023-04-21,USD,1.58,1.97,-0.39,-19.797,25057700
71,2023-04-20,USD,1.58,1.97,-0.39,-19.797,25057700
72,2023-04-19,USD,1.58,1.97,-0.39,-19.797,25057700
73,2023-04-18,USD,1.58,1.97,-0.39,-19.797,25057700
74,2023-04-17,USD,1.58,1.97,-0.39,-19.797,25057700
75,2023-04-16,USD,1.58,1.97,-0.39,-19.797,25057700
76,2023-04-15,USD,1.58,1.97,-0.39,-19.797,25057700
77,2023-04-14,USD,1.58,1.97,-0.39,-19.797,25057700
78,2023-04-13,USD,1.58,1.97,-0.39,-19.797,25057700
79,2023-04-12,USD,1.58,1.97,-0.39,-19.797,25057700
80,2023-04-11,USD,1.58,1.97,-0.39,-19.797,25057700
81,2023-04-10,USD,1.58,1.97,-0.39,-19.797,25057700
82,2023-04-09,USD,1.58,1.97,-0.39,-19.797,25057700
83,2023-04-08,USD,1.58,1.97,-0.39,-19.797,25057700
84,2023-04-07,USD,1.58,1.97,-0.39,-19.797,25057700
85,2023-04-06,USD,1.58,1.97,-0.39,-19.797,25057700
86,2023-04-05,USD,1.58,1.97,-0.39,-19.797,25057700
87,2023-04-04,USD,1.58,1.97,-0.39,-19.797,25057700
88,2023-04-03,USD,1.58,1.97,-0.39,-19.797,25057700
89,2023-04-02,USD,1.58,1.97,-0.39,-19.797,25057700
90,2023-04-01,USD,1.58,1.97,-0.39,-19.797,25057700
91,2023-03-31,USD,1.58,1.97,-0.39,-19.797,25057700
92,2023-03-30,USD,2.45,2.53,-0.08,-3.1621,25146700
93,2023-03-29,USD,2.45,2.53,-0.08,-3.1621,25146700
94,2023-03-28,USD,2.45,2.53,-0.08,-3.1621,25146700
95,2023-03-27,USD,2.45,2.53,-0.08,-3.1621,25146700
96,2023-03-26,USD,2.45,2.53,-0.08,-3.1621,25146700
97,2023-03-25,USD,2.45,2.53,-0.08,-3.1621,25146700
98,2023-03-24,USD,2.45,2.53,-0.08,-3.1621,25146700
99,2023-03-23,USD,2.45,2.53,-0.08,-3.1621,25146700
100,2023-03-22,USD,2.45,2.53,-0.08,-3.1621,25146700
101,2023-03-21,USD,2.45,2.53,-0.08,-3.1621,25146700
102,2023-03-20,USD,2.45,2.53,-0.08,-3.1621,25146700
103,2023-03-19,USD,2.45,2.53,-0.08,-3.1621,25146700
104,2023-03-18,USD,2.45,2.53,-0.08,-3.1621,25146700
105,2023-03-17,USD,2.45,2.53,-0.08,-3.1621,25146700
106,2023-03-16,USD,2.45,2.53,-0.08,-3.1621,25146700
107,2023-03-15,USD,2.45,2.53,-0.08,-3.1621,25146700
108,2023-03-14,USD,2.45,2.53,-0.08,-3.1621,25146700
109,2023-03-13,USD,2.45,2.53,-0.08,-3.1621,25146700
110,2023-03-12,USD,2.45,2.53,-0.08,-3.1621,25146700
111,2023-03-11,USD,2.45,2.53,-0.08,-3.1621,25146700
112,2023-03-10,USD,2.45,2.53,-0.08,-3.1621,25146700
113,2023-03-09,USD,2.45,2.53,-0.08,-3.1621,25146700
114,2023-03-08,USD,2.45,2.53,-0.08,-3.1621,25146700
115,2023-03-07,USD,2.45,2.53,-0.08,-3.1621,25146700
116,2023-03-06,USD,2.45,2.53,-0.08,-3.1621,25146700
117,2023-03-05,USD,2.45,2.53,-0.08,-3.1621,25146700
118,2023-03-04,USD,2.45,2.53,-0.08,-3.1621,25146700
119,2023-03-03,USD,2.45,2.53,-0.08,-3.1621,25146700
120,2023-03-02,USD,2.45,2.53,-0.08,-3.1621,25146700
121,2023-03-01,USD,2.45,2.53,-0.08,-3.1621,25146700
122,2023-02-28,USD,2.45,2.53,-0.08,-3.1621,25146700
123,2023-02-27,USD,2.45,2.53,-0.08,-3.1621,25146700
124,2023-02-26,USD,2.45,2.53,-0.08,-3.1621,25146700
125,2023-02-25,USD,2.45,2.53,-0.08,-3.1621,25146700
126,2023-02-24,USD,2.45,2.53,-0.08,-3.1621,25146700
127,2023-02-23,USD,2.45,2.53,-0.08,-3.1621,25146700
128,2023-02-22,USD,2.45,2.53,-0.08,-3.1621,25146700
129,2023-02-21,USD,2.45,2.53,-0.08,-3.1621,25146700
130,2023-02-20,USD,2.45,2.53,-0.08,-3.1621,25146700
131,2023-02-19,USD,2.45,2.53,-0.08,-3.1621,25146700
