index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
0,2023-03-31,USD,-0.43,-0.35,-0.08,-22.8571,35325600
1,2023-03-30,USD,-0.5,-0.25,-0.25,-100,31168800
2,2023-03-29,USD,-0.5,-0.25,-0.25,-100,31168800
3,2023-03-28,USD,-0.5,-0.25,-0.25,-100,31168800
4,2023-03-27,USD,-0.5,-0.25,-0.25,-100,31168800
5,2023-03-26,USD,-0.5,-0.25,-0.25,-100,31168800
6,2023-03-25,USD,-0.5,-0.25,-0.25,-100,31168800
7,2023-03-24,USD,-0.5,-0.25,-0.25,-100,31168800
8,2023-03-23,USD,-0.5,-0.25,-0.25,-100,31168800
9,2023-03-22,USD,-0.5,-0.25,-0.25,-100,31168800
10,2023-03-21,USD,-0.5,-0.25,-0.25,-100,31168800
11,2023-03-20,USD,-0.5,-0.25,-0.25,-100,31168800
12,2023-03-19,USD,-0.5,-0.25,-0.25,-100,31168800
13,2023-03-18,USD,-0.5,-0.25,-0.25,-100,31168800
14,2023-03-17,USD,-0.5,-0.25,-0.25,-100,31168800
15,2023-03-16,USD,-0.5,-0.25,-0.25,-100,31168800
16,2023-03-15,USD,-0.5,-0.25,-0.25,-100,31168800
17,2023-03-14,USD,-0.5,-0.25,-0.25,-100,31168800
18,2023-03-13,USD,-0.5,-0.25,-0.25,-100,31168800
19,2023-03-12,USD,-0.5,-0.25,-0.25,-100,31168800
20,2023-03-11,USD,-0.5,-0.25,-0.25,-100,31168800
21,2023-03-10,USD,-0.5,-0.25,-0.25,-100,31168800
22,2023-03-09,USD,-0.5,-0.25,-0.25,-100,31168800
23,2023-03-08,USD,-0.5,-0.25,-0.25,-100,31168800
24,2023-03-07,USD,-0.5,-0.25,-0.25,-100,31168800
25,2023-03-06,USD,-0.5,-0.25,-0.25,-100,31168800
26,2023-03-05,USD,-0.5,-0.25,-0.25,-100,31168800
27,2023-03-04,USD,-0.5,-0.25,-0.25,-100,31168800
28,2023-03-03,USD,-0.5,-0.25,-0.25,-100,31168800
29,2023-03-02,USD,-0.5,-0.25,-0.25,-100,31168800
30,2023-03-01,USD,-0.5,-0.25,-0.25,-100,31168800
31,2023-02-28,USD,-0.5,-0.25,-0.25,-100,31168800
32,2023-02-27,USD,-0.5,-0.25,-0.25,-100,31168800
33,2023-02-26,USD,-0.5,-0.25,-0.25,-100,31168800
34,2023-02-25,USD,-0.5,-0.25,-0.25,-100,31168800
35,2023-02-24,USD,-0.5,-0.25,-0.25,-100,31168800
36,2023-02-23,USD,-0.5,-0.25,-0.25,-100,31168800
37,2023-02-22,USD,-0.5,-0.25,-0.25,-100,31168800
38,2023-02-21,USD,-0.5,-0.25,-0.25,-100,31168800
39,2023-02-20,USD,-0.5,-0.25,-0.25,-100,31168800
40,2023-02-19,USD,-0.5,-0.25,-0.25,-100,31168800
41,2023-02-18,USD,-0.5,-0.25,-0.25,-100,31168800
42,2023-02-17,USD,-0.5,-0.25,-0.25,-100,31168800
43,2023-02-16,USD,-0.5,-0.25,-0.25,-100,31168800
44,2023-02-15,USD,-0.5,-0.25,-0.25,-100,31168800
45,2023-02-14,USD,-0.5,-0.25,-0.25,-100,31168800
46,2023-02-13,USD,-0.5,-0.25,-0.25,-100,31168800
47,2023-02-12,USD,-0.5,-0.25,-0.25,-100,31168800
48,2023-02-11,USD,-0.5,-0.25,-0.25,-100,31168800
49,2023-02-10,USD,-0.5,-0.25,-0.25,-100,31168800
50,2023-02-09,USD,-0.5,-0.25,-0.25,-100,31168800
51,2023-02-08,USD,-0.5,-0.25,-0.25,-100,31168800
52,2023-02-07,USD,-0.5,-0.25,-0.25,-100,31168800
53,2023-02-06,USD,-0.5,-0.25,-0.25,-100,31168800
54,2023-02-05,USD,-0.5,-0.25,-0.25,-100,31168800
55,2023-02-04,USD,-0.5,-0.25,-0.25,-100,31168800
56,2023-02-03,USD,-0.5,-0.25,-0.25,-100,31168800
57,2023-02-02,USD,-0.5,-0.25,-0.25,-100,31168800
58,2023-02-01,USD,-0.5,-0.25,-0.25,-100,31168800
59,2023-01-31,USD,-0.5,-0.25,-0.25,-100,31168800
60,2023-01-30,USD,-0.5,-0.25,-0.25,-100,31168800
61,2023-01-29,USD,-0.5,-0.25,-0.25,-100,31168800
62,2023-01-28,USD,-0.5,-0.25,-0.25,-100,31168800
63,2023-01-27,USD,-0.5,-0.25,-0.25,-100,31168800
64,2023-01-26,USD,-0.5,-0.25,-0.25,-100,31168800
65,2023-01-25,USD,-0.5,-0.25,-0.25,-100,31168800
66,2023-01-24,USD,-0.5,-0.25,-0.25,-100,31168800
67,2023-01-23,USD,-0.5,-0.25,-0.25,-100,31168800
68,2023-01-22,USD,-0.5,-0.25,-0.25,-100,31168800
69,2023-01-21,USD,-0.5,-0.25,-0.25,-100,31168800
70,2023-01-20,USD,-0.5,-0.25,-0.25,-100,31168800
71,2023-01-19,USD,-0.5,-0.25,-0.25,-100,31168800
72,2023-01-18,USD,-0.5,-0.25,-0.25,-100,31168800
73,2023-01-17,USD,-0.5,-0.25,-0.25,-100,31168800
74,2023-01-16,USD,-0.5,-0.25,-0.25,-100,31168800
75,2023-01-15,USD,-0.5,-0.25,-0.25,-100,31168800
76,2023-01-14,USD,-0.5,-0.25,-0.25,-100,31168800
77,2023-01-13,USD,-0.5,-0.25,-0.25,-100,31168800
78,2023-01-12,USD,-0.5,-0.25,-0.25,-100,31168800
79,2023-01-11,USD,-0.5,-0.25,-0.25,-100,31168800
80,2023-01-10,USD,-0.5,-0.25,-0.25,-100,31168800
81,2023-01-09,USD,-0.5,-0.25,-0.25,-100,31168800
82,2023-01-08,USD,-0.5,-0.25,-0.25,-100,31168800
83,2023-01-07,USD,-0.5,-0.25,-0.25,-100,31168800
84,2023-01-06,USD,-0.5,-0.25,-0.25,-100,31168800
85,2023-01-05,USD,-0.5,-0.25,-0.25,-100,31168800
86,2023-01-04,USD,-0.5,-0.25,-0.25,-100,31168800
87,2023-01-03,USD,-0.5,-0.25,-0.25,-100,31168800
88,2023-01-02,USD,-0.5,-0.25,-0.25,-100,31168800
89,2023-01-01,USD,-0.5,-0.25,-0.25,-100,31168800
90,2022-12-31,USD,-0.5,-0.25,-0.25,-100,31168800
91,2022-12-30,USD,-0.38,-0.28,-0.1,-35.7143,27212400
92,2022-12-29,USD,-0.38,-0.28,-0.1,-35.7143,27212400
93,2022-12-28,USD,-0.38,-0.28,-0.1,-35.7143,27212400
94,2022-12-27,USD,-0.38,-0.28,-0.1,-35.7143,27212400
95,2022-12-26,USD,-0.38,-0.28,-0.1,-35.7143,27212400
96,2022-12-25,USD,-0.38,-0.28,-0.1,-35.7143,27212400
97,2022-12-24,USD,-0.38,-0.28,-0.1,-35.7143,27212400
98,2022-12-23,USD,-0.38,-0.28,-0.1,-35.7143,27212400
99,2022-12-22,USD,-0.38,-0.28,-0.1,-35.7143,27212400
100,2022-12-21,USD,-0.38,-0.28,-0.1,-35.7143,27212400
101,2022-12-20,USD,-0.38,-0.28,-0.1,-35.7143,27212400
102,2022-12-19,USD,-0.38,-0.28,-0.1,-35.7143,27212400
103,2022-12-18,USD,-0.38,-0.28,-0.1,-35.7143,27212400
