index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
28,2023-06-02,USD,0.27,0.08,0.19,237.5,32322200.000000004
29,2023-06-01,USD,0.27,0.08,0.19,237.5,32322200.000000004
30,2023-05-31,USD,0.27,0.08,0.19,237.5,32322200.000000004
31,2023-05-30,USD,0.27,0.08,0.19,237.5,32322200.000000004
32,2023-05-29,USD,0.27,0.08,0.19,237.5,32322200.000000004
33,2023-05-28,USD,0.27,0.08,0.19,237.5,32322200.000000004
34,2023-05-27,USD,0.27,0.08,0.19,237.5,32322200.000000004
35,2023-05-26,USD,0.27,0.08,0.19,237.5,32322200.000000004
36,2023-05-25,USD,0.27,0.08,0.19,237.5,32322200.000000004
37,2023-05-24,USD,0.27,0.08,0.19,237.5,32322200.000000004
38,2023-05-23,USD,0.27,0.08,0.19,237.5,32322200.000000004
39,2023-05-22,USD,0.27,0.08,0.19,237.5,32322200.000000004
40,2023-05-21,USD,0.27,0.08,0.19,237.5,32322200.000000004
41,2023-05-20,USD,0.27,0.08,0.19,237.5,32322200.000000004
42,2023-05-19,USD,0.27,0.08,0.19,237.5,32322200.000000004
43,2023-05-18,USD,0.27,0.08,0.19,237.5,32322200.000000004
44,2023-05-17,USD,0.27,0.08,0.19,237.5,32322200.000000004
45,2023-05-16,USD,0.27,0.08,0.19,237.5,32322200.000000004
46,2023-05-15,USD,0.27,0.08,0.19,237.5,32322200.000000004
47,2023-05-14,USD,0.27,0.08,0.19,237.5,32322200.000000004
48,2023-05-13,USD,0.27,0.08,0.19,237.5,32322200.000000004
49,2023-05-12,USD,0.27,0.08,0.19,237.5,32322200.000000004
50,2023-05-11,USD,0.27,0.08,0.19,237.5,32322200.000000004
51,2023-05-10,USD,0.27,0.08,0.19,237.5,32322200.000000004
52,2023-05-09,USD,0.27,0.08,0.19,237.5,32322200.000000004
53,2023-05-08,USD,0.27,0.08,0.19,237.5,32322200.000000004
54,2023-05-07,USD,0.27,0.08,0.19,237.5,32322200.000000004
55,2023-05-06,USD,0.27,0.08,0.19,237.5,32322200.000000004
56,2023-05-05,USD,0.27,0.08,0.19,237.5,32322200.000000004
57,2023-05-04,USD,0.27,0.08,0.19,237.5,32322200.000000004
58,2023-05-03,USD,0.27,0.08,0.19,237.5,32322200.000000004
59,2023-05-02,USD,0.27,0.08,0.19,237.5,32322200.000000004
