index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
28,2023-06-02,USD,0.38,0.27,0.11,40.7407,28984900
29,2023-06-01,USD,0.38,0.27,0.11,40.7407,28984900
30,2023-05-31,USD,0.38,0.27,0.11,40.7407,28984900
31,2023-05-30,USD,0.38,0.27,0.11,40.7407,28984900
32,2023-05-29,USD,0.38,0.27,0.11,40.7407,28984900
33,2023-05-28,USD,0.38,0.27,0.11,40.7407,28984900
34,2023-05-27,USD,0.38,0.27,0.11,40.7407,28984900
35,2023-05-26,USD,0.38,0.27,0.11,40.7407,28984900
36,2023-05-25,USD,0.38,0.27,0.11,40.7407,28984900
37,2023-05-24,USD,0.38,0.27,0.11,40.7407,28984900
38,2023-05-23,USD,0.38,0.27,0.11,40.7407,28984900
39,2023-05-22,USD,0.38,0.27,0.11,40.7407,28984900
40,2023-05-21,USD,0.38,0.27,0.11,40.7407,28984900
41,2023-05-20,USD,0.38,0.27,0.11,40.7407,28984900
42,2023-05-19,USD,0.38,0.27,0.11,40.7407,28984900
43,2023-05-18,USD,0.38,0.27,0.11,40.7407,28984900
44,2023-05-17,USD,0.38,0.27,0.11,40.7407,28984900
45,2023-05-16,USD,0.38,0.27,0.11,40.7407,28984900
46,2023-05-15,USD,0.38,0.27,0.11,40.7407,28984900
47,2023-05-14,USD,0.38,0.27,0.11,40.7407,28984900
48,2023-05-13,USD,0.38,0.27,0.11,40.7407,28984900
49,2023-05-12,USD,0.38,0.27,0.11,40.7407,28984900
50,2023-05-11,USD,0.38,0.27,0.11,40.7407,28984900
51,2023-05-10,USD,0.38,0.27,0.11,40.7407,28984900
52,2023-05-09,USD,0.38,0.27,0.11,40.7407,28984900
53,2023-05-08,USD,0.38,0.27,0.11,40.7407,28984900
54,2023-05-07,USD,0.38,0.27,0.11,40.7407,28984900
55,2023-05-06,USD,0.38,0.27,0.11,40.7407,28984900
56,2023-05-05,USD,0.38,0.27,0.11,40.7407,28984900
57,2023-05-04,USD,0.38,0.27,0.11,40.7407,28984900
58,2023-05-03,USD,0.38,0.27,0.11,40.7407,28984900
59,2023-05-02,USD,0.38,0.27,0.11,40.7407,28984900
60,2023-05-01,USD,0.38,0.27,0.11,40.7407,28984900
61,2023-04-30,USD,0.38,0.27,0.11,40.7407,28984900
62,2023-04-29,USD,0.38,0.27,0.11,40.7407,28984900
63,2023-04-28,USD,0.38,0.27,0.11,40.7407,28984900
64,2023-04-27,USD,0.38,0.27,0.11,40.7407,28984900
65,2023-04-26,USD,0.38,0.27,0.11,40.7407,28984900
66,2023-04-25,USD,0.38,0.27,0.11,40.7407,28984900
67,2023-04-24,USD,0.38,0.27,0.11,40.7407,28984900
68,2023-04-23,USD,0.38,0.27,0.11,40.7407,28984900
69,2023-04-22,USD,0.38,0.27,0.11,40.7407,28984900
70,2023-04-21,USD,0.38,0.27,0.11,40.7407,28984900
71,2023-04-20,USD,0.38,0.27,0.11,40.7407,28984900
72,2023-04-19,USD,0.38,0.27,0.11,40.7407,28984900
73,2023-04-18,USD,0.38,0.27,0.11,40.7407,28984900
74,2023-04-17,USD,0.38,0.27,0.11,40.7407,28984900
75,2023-04-16,USD,0.38,0.27,0.11,40.7407,28984900
76,2023-04-15,USD,0.38,0.27,0.11,40.7407,28984900
77,2023-04-14,USD,0.38,0.27,0.11,40.7407,28984900
78,2023-04-13,USD,0.38,0.27,0.11,40.7407,28984900
79,2023-04-12,USD,0.38,0.27,0.11,40.7407,28984900
80,2023-04-11,USD,0.38,0.27,0.11,40.7407,28984900
81,2023-04-10,USD,0.38,0.27,0.11,40.7407,28984900
82,2023-04-09,USD,0.38,0.27,0.11,40.7407,28984900
83,2023-04-08,USD,0.38,0.27,0.11,40.7407,28984900
84,2023-04-07,USD,0.38,0.27,0.11,40.7407,28984900
85,2023-04-06,USD,0.38,0.27,0.11,40.7407,28984900
86,2023-04-05,USD,0.38,0.27,0.11,40.7407,28984900
87,2023-04-04,USD,0.38,0.27,0.11,40.7407,28984900
88,2023-04-03,USD,0.38,0.27,0.11,40.7407,28984900
89,2023-04-02,USD,0.38,0.27,0.11,40.7407,28984900
90,2023-04-01,USD,0.38,0.27,0.11,40.7407,28984900
91,2023-03-31,USD,0.38,0.27,0.11,40.7407,28984900
92,2023-03-30,USD,0.72,0.72,0,0,29046800
93,2023-03-29,USD,0.72,0.72,0,0,29046800
94,2023-03-28,USD,0.72,0.72,0,0,29046800
95,2023-03-27,USD,0.72,0.72,0,0,29046800
96,2023-03-26,USD,0.72,0.72,0,0,29046800
97,2023-03-25,USD,0.72,0.72,0,0,29046800
98,2023-03-24,USD,0.72,0.72,0,0,29046800
99,2023-03-23,USD,0.72,0.72,0,0,29046800
100,2023-03-22,USD,0.72,0.72,0,0,29046800
101,2023-03-21,USD,0.72,0.72,0,0,29046800
102,2023-03-20,USD,0.72,0.72,0,0,29046800
103,2023-03-19,USD,0.72,0.72,0,0,29046800
104,2023-03-18,USD,0.72,0.72,0,0,29046800
105,2023-03-17,USD,0.72,0.72,0,0,29046800
106,2023-03-16,USD,0.72,0.72,0,0,29046800
107,2023-03-15,USD,0.72,0.72,0,0,29046800
108,2023-03-14,USD,0.72,0.72,0,0,29046800
109,2023-03-13,USD,0.72,0.72,0,0,29046800
110,2023-03-12,USD,0.72,0.72,0,0,29046800
111,2023-03-11,USD,0.72,0.72,0,0,29046800
112,2023-03-10,USD,0.72,0.72,0,0,29046800
113,2023-03-09,USD,0.72,0.72,0,0,29046800
114,2023-03-08,USD,0.72,0.72,0,0,29046800
115,2023-03-07,USD,0.72,0.72,0,0,29046800
