index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
28,2023-06-02,USD,-0.46,-0.44,-0.02,-4.5455,57147300
29,2023-06-01,USD,-0.46,-0.44,-0.02,-4.5455,57147300
30,2023-05-31,USD,-0.46,-0.44,-0.02,-4.5455,57147300
31,2023-05-30,USD,-0.46,-0.44,-0.02,-4.5455,57147300
32,2023-05-29,USD,-0.46,-0.44,-0.02,-4.5455,57147300
33,2023-05-28,USD,-0.46,-0.44,-0.02,-4.5455,57147300
34,2023-05-27,USD,-0.46,-0.44,-0.02,-4.5455,57147300
35,2023-05-26,USD,-0.46,-0.44,-0.02,-4.5455,57147300
36,2023-05-25,USD,-0.46,-0.44,-0.02,-4.5455,57147300
37,2023-05-24,USD,-0.46,-0.44,-0.02,-4.5455,57147300
38,2023-05-23,USD,-0.46,-0.44,-0.02,-4.5455,57147300
39,2023-05-22,USD,-0.46,-0.44,-0.02,-4.5455,57147300
40,2023-05-21,USD,-0.46,-0.44,-0.02,-4.5455,57147300
41,2023-05-20,USD,-0.46,-0.44,-0.02,-4.5455,57147300
42,2023-05-19,USD,-0.46,-0.44,-0.02,-4.5455,57147300
43,2023-05-18,USD,-0.46,-0.44,-0.02,-4.5455,57147300
44,2023-05-17,USD,-0.46,-0.44,-0.02,-4.5455,57147300
45,2023-05-16,USD,-0.46,-0.44,-0.02,-4.5455,57147300
46,2023-05-15,USD,-0.46,-0.44,-0.02,-4.5455,57147300
47,2023-05-14,USD,-0.46,-0.44,-0.02,-4.5455,57147300
48,2023-05-13,USD,-0.46,-0.44,-0.02,-4.5455,57147300
49,2023-05-12,USD,-0.46,-0.44,-0.02,-4.5455,57147300
50,2023-05-11,USD,-0.46,-0.44,-0.02,-4.5455,57147300
51,2023-05-10,USD,-0.46,-0.44,-0.02,-4.5455,57147300
52,2023-05-09,USD,-0.46,-0.44,-0.02,-4.5455,57147300
53,2023-05-08,USD,-0.46,-0.44,-0.02,-4.5455,57147300
54,2023-05-07,USD,-0.46,-0.44,-0.02,-4.5455,57147300
55,2023-05-06,USD,-0.46,-0.44,-0.02,-4.5455,57147300
56,2023-05-05,USD,-0.46,-0.44,-0.02,-4.5455,57147300
57,2023-05-04,USD,-0.46,-0.44,-0.02,-4.5455,57147300
58,2023-05-03,USD,-0.46,-0.44,-0.02,-4.5455,57147300
59,2023-05-02,USD,-0.46,-0.44,-0.02,-4.5455,57147300
60,2023-05-01,USD,-0.46,-0.44,-0.02,-4.5455,57147300
61,2023-04-30,USD,-0.46,-0.44,-0.02,-4.5455,57147300
62,2023-04-29,USD,-0.46,-0.44,-0.02,-4.5455,57147300
63,2023-04-28,USD,-0.46,-0.44,-0.02,-4.5455,57147300
64,2023-04-27,USD,-0.46,-0.44,-0.02,-4.5455,57147300
65,2023-04-26,USD,-0.46,-0.44,-0.02,-4.5455,57147300
66,2023-04-25,USD,-0.46,-0.44,-0.02,-4.5455,57147300
67,2023-04-24,USD,-0.46,-0.44,-0.02,-4.5455,57147300
68,2023-04-23,USD,-0.46,-0.44,-0.02,-4.5455,57147300
69,2023-04-22,USD,-0.46,-0.44,-0.02,-4.5455,57147300
70,2023-04-21,USD,-0.46,-0.44,-0.02,-4.5455,57147300
71,2023-04-20,USD,-0.46,-0.44,-0.02,-4.5455,57147300
72,2023-04-19,USD,-0.46,-0.44,-0.02,-4.5455,57147300
73,2023-04-18,USD,-0.46,-0.44,-0.02,-4.5455,57147300
74,2023-04-17,USD,-0.46,-0.44,-0.02,-4.5455,57147300
75,2023-04-16,USD,-0.46,-0.44,-0.02,-4.5455,57147300
76,2023-04-15,USD,-0.46,-0.44,-0.02,-4.5455,57147300
77,2023-04-14,USD,-0.46,-0.44,-0.02,-4.5455,57147300
78,2023-04-13,USD,-0.46,-0.44,-0.02,-4.5455,57147300
79,2023-04-12,USD,-0.46,-0.44,-0.02,-4.5455,57147300
80,2023-04-11,USD,-0.46,-0.44,-0.02,-4.5455,57147300
81,2023-04-10,USD,-0.46,-0.44,-0.02,-4.5455,57147300
82,2023-04-09,USD,-0.46,-0.44,-0.02,-4.5455,57147300
83,2023-04-08,USD,-0.46,-0.44,-0.02,-4.5455,57147300
84,2023-04-07,USD,-0.46,-0.44,-0.02,-4.5455,57147300
85,2023-04-06,USD,-0.46,-0.44,-0.02,-4.5455,57147300
86,2023-04-05,USD,-0.46,-0.44,-0.02,-4.5455,57147300
87,2023-04-04,USD,-0.46,-0.44,-0.02,-4.5455,57147300
88,2023-04-03,USD,-0.46,-0.44,-0.02,-4.5455,57147300
89,2023-04-02,USD,-0.46,-0.44,-0.02,-4.5455,57147300
90,2023-04-01,USD,-0.46,-0.44,-0.02,-4.5455,57147300
91,2023-03-31,USD,-0.46,-0.44,-0.02,-4.5455,57147300
92,2023-03-30,USD,-0.56,-0.59,0.03,5.0847,56522800
93,2023-03-29,USD,-0.56,-0.59,0.03,5.0847,56522800
94,2023-03-28,USD,-0.56,-0.59,0.03,5.0847,56522800
95,2023-03-27,USD,-0.56,-0.59,0.03,5.0847,56522800
96,2023-03-26,USD,-0.56,-0.59,0.03,5.0847,56522800
97,2023-03-25,USD,-0.56,-0.59,0.03,5.0847,56522800
98,2023-03-24,USD,-0.56,-0.59,0.03,5.0847,56522800
99,2023-03-23,USD,-0.56,-0.59,0.03,5.0847,56522800
100,2023-03-22,USD,-0.56,-0.59,0.03,5.0847,56522800
101,2023-03-21,USD,-0.56,-0.59,0.03,5.0847,56522800
102,2023-03-20,USD,-0.56,-0.59,0.03,5.0847,56522800
103,2023-03-19,USD,-0.56,-0.59,0.03,5.0847,56522800
104,2023-03-18,USD,-0.56,-0.59,0.03,5.0847,56522800
105,2023-03-17,USD,-0.56,-0.59,0.03,5.0847,56522800
106,2023-03-16,USD,-0.56,-0.59,0.03,5.0847,56522800
107,2023-03-15,USD,-0.56,-0.59,0.03,5.0847,56522800
108,2023-03-14,USD,-0.56,-0.59,0.03,5.0847,56522800
109,2023-03-13,USD,-0.56,-0.59,0.03,5.0847,56522800
110,2023-03-12,USD,-0.56,-0.59,0.03,5.0847,56522800
111,2023-03-11,USD,-0.56,-0.59,0.03,5.0847,56522800
112,2023-03-10,USD,-0.56,-0.59,0.03,5.0847,56522800
113,2023-03-09,USD,-0.56,-0.59,0.03,5.0847,56522800
114,2023-03-08,USD,-0.56,-0.59,0.03,5.0847,56522800
115,2023-03-07,USD,-0.56,-0.59,0.03,5.0847,56522800
116,2023-03-06,USD,-0.56,-0.59,0.03,5.0847,56522800
117,2023-03-05,USD,-0.56,-0.59,0.03,5.0847,56522800
118,2023-03-04,USD,-0.56,-0.59,0.03,5.0847,56522800
119,2023-03-03,USD,-0.56,-0.59,0.03,5.0847,56522800
120,2023-03-02,USD,-0.56,-0.59,0.03,5.0847,56522800
121,2023-03-01,USD,-0.56,-0.59,0.03,5.0847,56522800
122,2023-02-28,USD,-0.56,-0.59,0.03,5.0847,56522800
123,2023-02-27,USD,-0.56,-0.59,0.03,5.0847,56522800
124,2023-02-26,USD,-0.56,-0.59,0.03,5.0847,56522800
125,2023-02-25,USD,-0.56,-0.59,0.03,5.0847,56522800
126,2023-02-24,USD,-0.56,-0.59,0.03,5.0847,56522800
