index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
28,2023-06-02,USD,-2.8,-2.76,-0.04,-1.4493,34800600
29,2023-06-01,USD,-2.8,-2.76,-0.04,-1.4493,34800600
30,2023-05-31,USD,-2.8,-2.76,-0.04,-1.4493,34800600
31,2023-05-30,USD,-2.8,-2.76,-0.04,-1.4493,34800600
32,2023-05-29,USD,-2.8,-2.76,-0.04,-1.4493,34800600
33,2023-05-28,USD,-2.8,-2.76,-0.04,-1.4493,34800600
34,2023-05-27,USD,-2.8,-2.76,-0.04,-1.4493,34800600
35,2023-05-26,USD,-2.8,-2.76,-0.04,-1.4493,34800600
36,2023-05-25,USD,-2.8,-2.76,-0.04,-1.4493,34800600
37,2023-05-24,USD,-2.8,-2.76,-0.04,-1.4493,34800600
38,2023-05-23,USD,-2.8,-2.76,-0.04,-1.4493,34800600
39,2023-05-22,USD,-2.8,-2.76,-0.04,-1.4493,34800600
40,2023-05-21,USD,-2.8,-2.76,-0.04,-1.4493,34800600
41,2023-05-20,USD,-2.8,-2.76,-0.04,-1.4493,34800600
42,2023-05-19,USD,-2.8,-2.76,-0.04,-1.4493,34800600
43,2023-05-18,USD,-2.8,-2.76,-0.04,-1.4493,34800600
44,2023-05-17,USD,-2.8,-2.76,-0.04,-1.4493,34800600
45,2023-05-16,USD,-2.8,-2.76,-0.04,-1.4493,34800600
46,2023-05-15,USD,-2.8,-2.76,-0.04,-1.4493,34800600
47,2023-05-14,USD,-2.8,-2.76,-0.04,-1.4493,34800600
48,2023-05-13,USD,-2.8,-2.76,-0.04,-1.4493,34800600
49,2023-05-12,USD,-2.8,-2.76,-0.04,-1.4493,34800600
50,2023-05-11,USD,-2.8,-2.76,-0.04,-1.4493,34800600
51,2023-05-10,USD,-2.8,-2.76,-0.04,-1.4493,34800600
52,2023-05-09,USD,-2.8,-2.76,-0.04,-1.4493,34800600
53,2023-05-08,USD,-2.8,-2.76,-0.04,-1.4493,34800600
54,2023-05-07,USD,-2.8,-2.76,-0.04,-1.4493,34800600
55,2023-05-06,USD,-2.8,-2.76,-0.04,-1.4493,34800600
56,2023-05-05,USD,-2.8,-2.76,-0.04,-1.4493,34800600
57,2023-05-04,USD,-2.8,-2.76,-0.04,-1.4493,34800600
58,2023-05-03,USD,-2.8,-2.76,-0.04,-1.4493,34800600
59,2023-05-02,USD,-2.8,-2.76,-0.04,-1.4493,34800600
60,2023-05-01,USD,-2.8,-2.76,-0.04,-1.4493,34800600
61,2023-04-30,USD,-2.8,-2.76,-0.04,-1.4493,34800600
62,2023-04-29,USD,-2.8,-2.76,-0.04,-1.4493,34800600
63,2023-04-28,USD,-2.8,-2.76,-0.04,-1.4493,34800600
64,2023-04-27,USD,-2.8,-2.76,-0.04,-1.4493,34800600
65,2023-04-26,USD,-2.8,-2.76,-0.04,-1.4493,34800600
66,2023-04-25,USD,-2.8,-2.76,-0.04,-1.4493,34800600
67,2023-04-24,USD,-2.8,-2.76,-0.04,-1.4493,34800600
68,2023-04-23,USD,-2.8,-2.76,-0.04,-1.4493,34800600
69,2023-04-22,USD,-2.8,-2.76,-0.04,-1.4493,34800600
70,2023-04-21,USD,-2.8,-2.76,-0.04,-1.4493,34800600
71,2023-04-20,USD,-2.8,-2.76,-0.04,-1.4493,34800600
72,2023-04-19,USD,-2.8,-2.76,-0.04,-1.4493,34800600
73,2023-04-18,USD,-2.8,-2.76,-0.04,-1.4493,34800600
74,2023-04-17,USD,-2.8,-2.76,-0.04,-1.4493,34800600
75,2023-04-16,USD,-2.8,-2.76,-0.04,-1.4493,34800600
76,2023-04-15,USD,-2.8,-2.76,-0.04,-1.4493,34800600
77,2023-04-14,USD,-2.8,-2.76,-0.04,-1.4493,34800600
78,2023-04-13,USD,-2.8,-2.76,-0.04,-1.4493,34800600
79,2023-04-12,USD,-2.8,-2.76,-0.04,-1.4493,34800600
80,2023-04-11,USD,-2.8,-2.76,-0.04,-1.4493,34800600
81,2023-04-10,USD,-2.8,-2.76,-0.04,-1.4493,34800600
82,2023-04-09,USD,-2.8,-2.76,-0.04,-1.4493,34800600
83,2023-04-08,USD,-2.8,-2.76,-0.04,-1.4493,34800600
84,2023-04-07,USD,-2.8,-2.76,-0.04,-1.4493,34800600
85,2023-04-06,USD,-2.8,-2.76,-0.04,-1.4493,34800600
86,2023-04-05,USD,-2.8,-2.76,-0.04,-1.4493,34800600
87,2023-04-04,USD,-2.8,-2.76,-0.04,-1.4493,34800600
88,2023-04-03,USD,-2.8,-2.76,-0.04,-1.4493,34800600
89,2023-04-02,USD,-2.8,-2.76,-0.04,-1.4493,34800600
90,2023-04-01,USD,-2.8,-2.76,-0.04,-1.4493,34800600
91,2023-03-31,USD,-2.8,-2.76,-0.04,-1.4493,34800600
92,2023-03-30,USD,-2.22,-2.25,0.03,1.3333,34406200
93,2023-03-29,USD,-2.22,-2.25,0.03,1.3333,34406200
94,2023-03-28,USD,-2.22,-2.25,0.03,1.3333,34406200
95,2023-03-27,USD,-2.22,-2.25,0.03,1.3333,34406200
96,2023-03-26,USD,-2.22,-2.25,0.03,1.3333,34406200
97,2023-03-25,USD,-2.22,-2.25,0.03,1.3333,34406200
98,2023-03-24,USD,-2.22,-2.25,0.03,1.3333,34406200
99,2023-03-23,USD,-2.22,-2.25,0.03,1.3333,34406200
100,2023-03-22,USD,-2.22,-2.25,0.03,1.3333,34406200
101,2023-03-21,USD,-2.22,-2.25,0.03,1.3333,34406200
102,2023-03-20,USD,-2.22,-2.25,0.03,1.3333,34406200
103,2023-03-19,USD,-2.22,-2.25,0.03,1.3333,34406200
104,2023-03-18,USD,-2.22,-2.25,0.03,1.3333,34406200
105,2023-03-17,USD,-2.22,-2.25,0.03,1.3333,34406200
106,2023-03-16,USD,-2.22,-2.25,0.03,1.3333,34406200
