index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
0,2022-09-30,USD,-0.94,0.005,-0.945,-18900,72462500
1,2022-09-29,USD,-0.16,-0.04,-0.12,-300,80547200
2,2022-09-28,USD,-0.16,-0.04,-0.12,-300,80547200
3,2022-09-27,USD,-0.16,-0.04,-0.12,-300,80547200
4,2022-09-26,USD,-0.16,-0.04,-0.12,-300,80547200
5,2022-09-25,USD,-0.16,-0.04,-0.12,-300,80547200
6,2022-09-24,USD,-0.16,-0.04,-0.12,-300,80547200
7,2022-09-23,USD,-0.16,-0.04,-0.12,-300,80547200
8,2022-09-22,USD,-0.16,-0.04,-0.12,-300,80547200
9,2022-09-21,USD,-0.16,-0.04,-0.12,-300,80547200
10,2022-09-20,USD,-0.16,-0.04,-0.12,-300,80547200
11,2022-09-19,USD,-0.16,-0.04,-0.12,-300,80547200
12,2022-09-18,USD,-0.16,-0.04,-0.12,-300,80547200
13,2022-09-17,USD,-0.16,-0.04,-0.12,-300,80547200
14,2022-09-16,USD,-0.16,-0.04,-0.12,-300,80547200
15,2022-09-15,USD,-0.16,-0.04,-0.12,-300,80547200
16,2022-09-14,USD,-0.16,-0.04,-0.12,-300,80547200
17,2022-09-13,USD,-0.16,-0.04,-0.12,-300,80547200
18,2022-09-12,USD,-0.16,-0.04,-0.12,-300,80547200
19,2022-09-11,USD,-0.16,-0.04,-0.12,-300,80547200
20,2022-09-10,USD,-0.16,-0.04,-0.12,-300,80547200
21,2022-09-09,USD,-0.16,-0.04,-0.12,-300,80547200
22,2022-09-08,USD,-0.16,-0.04,-0.12,-300,80547200
23,2022-09-07,USD,-0.16,-0.04,-0.12,-300,80547200
24,2022-09-06,USD,-0.16,-0.04,-0.12,-300,80547200
25,2022-09-05,USD,-0.16,-0.04,-0.12,-300,80547200
26,2022-09-04,USD,-0.16,-0.04,-0.12,-300,80547200
27,2022-09-03,USD,-0.16,-0.04,-0.12,-300,80547200
28,2022-09-02,USD,-0.16,-0.04,-0.12,-300,80547200
29,2022-09-01,USD,-0.16,-0.04,-0.12,-300,80547200
30,2022-08-31,USD,-0.16,-0.04,-0.12,-300,80547200
31,2022-08-30,USD,-0.16,-0.04,-0.12,-300,80547200
32,2022-08-29,USD,-0.16,-0.04,-0.12,-300,80547200
33,2022-08-28,USD,-0.16,-0.04,-0.12,-300,80547200
34,2022-08-27,USD,-0.16,-0.04,-0.12,-300,80547200
35,2022-08-26,USD,-0.16,-0.04,-0.12,-300,80547200
36,2022-08-25,USD,-0.16,-0.04,-0.12,-300,80547200
37,2022-08-24,USD,-0.16,-0.04,-0.12,-300,80547200
38,2022-08-23,USD,-0.16,-0.04,-0.12,-300,80547200
39,2022-08-22,USD,-0.16,-0.04,-0.12,-300,80547200
40,2022-08-21,USD,-0.16,-0.04,-0.12,-300,80547200
41,2022-08-20,USD,-0.16,-0.04,-0.12,-300,80547200
42,2022-08-19,USD,-0.16,-0.04,-0.12,-300,80547200
43,2022-08-18,USD,-0.16,-0.04,-0.12,-300,80547200
44,2022-08-17,USD,-0.16,-0.04,-0.12,-300,80547200
45,2022-08-16,USD,-0.16,-0.04,-0.12,-300,80547200
46,2022-08-15,USD,-0.16,-0.04,-0.12,-300,80547200
47,2022-08-14,USD,-0.16,-0.04,-0.12,-300,80547200
