index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
28,2023-06-02,USD,-0.33,-0.17,-0.16,-94.1176,167342500
29,2023-06-01,USD,-0.33,-0.17,-0.16,-94.1176,167342500
30,2023-05-31,USD,-0.33,-0.17,-0.16,-94.1176,167342500
31,2023-05-30,USD,-0.33,-0.17,-0.16,-94.1176,167342500
32,2023-05-29,USD,-0.33,-0.17,-0.16,-94.1176,167342500
33,2023-05-28,USD,-0.33,-0.17,-0.16,-94.1176,167342500
34,2023-05-27,USD,-0.33,-0.17,-0.16,-94.1176,167342500
35,2023-05-26,USD,-0.33,-0.17,-0.16,-94.1176,167342500
36,2023-05-25,USD,-0.33,-0.17,-0.16,-94.1176,167342500
37,2023-05-24,USD,-0.33,-0.17,-0.16,-94.1176,167342500
38,2023-05-23,USD,-0.33,-0.17,-0.16,-94.1176,167342500
39,2023-05-22,USD,-0.33,-0.17,-0.16,-94.1176,167342500
40,2023-05-21,USD,-0.33,-0.17,-0.16,-94.1176,167342500
41,2023-05-20,USD,-0.33,-0.17,-0.16,-94.1176,167342500
42,2023-05-19,USD,-0.33,-0.17,-0.16,-94.1176,167342500
43,2023-05-18,USD,-0.33,-0.17,-0.16,-94.1176,167342500
44,2023-05-17,USD,-0.33,-0.17,-0.16,-94.1176,167342500
45,2023-05-16,USD,-0.33,-0.17,-0.16,-94.1176,167342500
46,2023-05-15,USD,-0.33,-0.17,-0.16,-94.1176,167342500
47,2023-05-14,USD,-0.33,-0.17,-0.16,-94.1176,167342500
48,2023-05-13,USD,-0.33,-0.17,-0.16,-94.1176,167342500
49,2023-05-12,USD,-0.33,-0.17,-0.16,-94.1176,167342500
50,2023-05-11,USD,-0.33,-0.17,-0.16,-94.1176,167342500
51,2023-05-10,USD,-0.33,-0.17,-0.16,-94.1176,167342500
52,2023-05-09,USD,-0.33,-0.17,-0.16,-94.1176,167342500
53,2023-05-08,USD,-0.33,-0.17,-0.16,-94.1176,167342500
54,2023-05-07,USD,-0.33,-0.17,-0.16,-94.1176,167342500
55,2023-05-06,USD,-0.33,-0.17,-0.16,-94.1176,167342500
56,2023-05-05,USD,-0.33,-0.17,-0.16,-94.1176,167342500
57,2023-05-04,USD,-0.33,-0.17,-0.16,-94.1176,167342500
58,2023-05-03,USD,-0.33,-0.17,-0.16,-94.1176,167342500
59,2023-05-02,USD,-0.33,-0.17,-0.16,-94.1176,167342500
60,2023-05-01,USD,-0.33,-0.17,-0.16,-94.1176,167342500
61,2023-04-30,USD,-0.33,-0.17,-0.16,-94.1176,167342500
62,2023-04-29,USD,-0.33,-0.17,-0.16,-94.1176,167342500
63,2023-04-28,USD,-0.33,-0.17,-0.16,-94.1176,167342500
64,2023-04-27,USD,-0.33,-0.17,-0.16,-94.1176,167342500
65,2023-04-26,USD,-0.33,-0.17,-0.16,-94.1176,167342500
66,2023-04-25,USD,-0.33,-0.17,-0.16,-94.1176,167342500
67,2023-04-24,USD,-0.33,-0.17,-0.16,-94.1176,167342500
68,2023-04-23,USD,-0.33,-0.17,-0.16,-94.1176,167342500
69,2023-04-22,USD,-0.33,-0.17,-0.16,-94.1176,167342500
70,2023-04-21,USD,-0.33,-0.17,-0.16,-94.1176,167342500
71,2023-04-20,USD,-0.33,-0.17,-0.16,-94.1176,167342500
72,2023-04-19,USD,-0.33,-0.17,-0.16,-94.1176,167342500
73,2023-04-18,USD,-0.33,-0.17,-0.16,-94.1176,167342500
74,2023-04-17,USD,-0.33,-0.17,-0.16,-94.1176,167342500
75,2023-04-16,USD,-0.33,-0.17,-0.16,-94.1176,167342500
76,2023-04-15,USD,-0.33,-0.17,-0.16,-94.1176,167342500
77,2023-04-14,USD,-0.33,-0.17,-0.16,-94.1176,167342500
78,2023-04-13,USD,-0.33,-0.17,-0.16,-94.1176,167342500
79,2023-04-12,USD,-0.33,-0.17,-0.16,-94.1176,167342500
80,2023-04-11,USD,-0.33,-0.17,-0.16,-94.1176,167342500
81,2023-04-10,USD,-0.33,-0.17,-0.16,-94.1176,167342500
82,2023-04-09,USD,-0.33,-0.17,-0.16,-94.1176,167342500
83,2023-04-08,USD,-0.33,-0.17,-0.16,-94.1176,167342500
84,2023-04-07,USD,-0.33,-0.17,-0.16,-94.1176,167342500
85,2023-04-06,USD,-0.33,-0.17,-0.16,-94.1176,167342500
86,2023-04-05,USD,-0.33,-0.17,-0.16,-94.1176,167342500
87,2023-04-04,USD,-0.33,-0.17,-0.16,-94.1176,167342500
88,2023-04-03,USD,-0.33,-0.17,-0.16,-94.1176,167342500
89,2023-04-02,USD,-0.33,-0.17,-0.16,-94.1176,167342500
90,2023-04-01,USD,-0.33,-0.17,-0.16,-94.1176,167342500
91,2023-03-31,USD,-0.33,-0.17,-0.16,-94.1176,167342500
92,2023-03-30,USD,-0.9,-0.13,-0.77,-592.3077,139433900
93,2023-03-29,USD,-0.9,-0.13,-0.77,-592.3077,139433900
94,2023-03-28,USD,-0.9,-0.13,-0.77,-592.3077,139433900
95,2023-03-27,USD,-0.9,-0.13,-0.77,-592.3077,139433900
96,2023-03-26,USD,-0.9,-0.13,-0.77,-592.3077,139433900
97,2023-03-25,USD,-0.9,-0.13,-0.77,-592.3077,139433900
98,2023-03-24,USD,-0.9,-0.13,-0.77,-592.3077,139433900
99,2023-03-23,USD,-0.9,-0.13,-0.77,-592.3077,139433900
100,2023-03-22,USD,-0.9,-0.13,-0.77,-592.3077,139433900
101,2023-03-21,USD,-0.9,-0.13,-0.77,-592.3077,139433900
102,2023-03-20,USD,-0.9,-0.13,-0.77,-592.3077,139433900
103,2023-03-19,USD,-0.9,-0.13,-0.77,-592.3077,139433900
104,2023-03-18,USD,-0.9,-0.13,-0.77,-592.3077,139433900
105,2023-03-17,USD,-0.9,-0.13,-0.77,-592.3077,139433900
106,2023-03-16,USD,-0.9,-0.13,-0.77,-592.3077,139433900
107,2023-03-15,USD,-0.9,-0.13,-0.77,-592.3077,139433900
108,2023-03-14,USD,-0.9,-0.13,-0.77,-592.3077,139433900
109,2023-03-13,USD,-0.9,-0.13,-0.77,-592.3077,139433900
110,2023-03-12,USD,-0.9,-0.13,-0.77,-592.3077,139433900
111,2023-03-11,USD,-0.9,-0.13,-0.77,-592.3077,139433900
112,2023-03-10,USD,-0.9,-0.13,-0.77,-592.3077,139433900
113,2023-03-09,USD,-0.9,-0.13,-0.77,-592.3077,139433900
114,2023-03-08,USD,-0.9,-0.13,-0.77,-592.3077,139433900
115,2023-03-07,USD,-0.9,-0.13,-0.77,-592.3077,139433900
116,2023-03-06,USD,-0.9,-0.13,-0.77,-592.3077,139433900
117,2023-03-05,USD,-0.9,-0.13,-0.77,-592.3077,139433900
118,2023-03-04,USD,-0.9,-0.13,-0.77,-592.3077,139433900
119,2023-03-03,USD,-0.9,-0.13,-0.77,-592.3077,139433900
120,2023-03-02,USD,-0.9,-0.13,-0.77,-592.3077,139433900
121,2023-03-01,USD,-0.9,-0.13,-0.77,-592.3077,139433900
122,2023-02-28,USD,-0.9,-0.13,-0.77,-592.3077,139433900
123,2023-02-27,USD,-0.9,-0.13,-0.77,-592.3077,139433900
124,2023-02-26,USD,-0.9,-0.13,-0.77,-592.3077,139433900
125,2023-02-25,USD,-0.9,-0.13,-0.77,-592.3077,139433900
126,2023-02-24,USD,-0.9,-0.13,-0.77,-592.3077,139433900
127,2023-02-23,USD,-0.9,-0.13,-0.77,-592.3077,139433900
128,2023-02-22,USD,-0.9,-0.13,-0.77,-592.3077,139433900
129,2023-02-21,USD,-0.9,-0.13,-0.77,-592.3077,139433900
130,2023-02-20,USD,-0.9,-0.13,-0.77,-592.3077,139433900
131,2023-02-19,USD,-0.9,-0.13,-0.77,-592.3077,139433900
132,2023-02-18,USD,-0.9,-0.13,-0.77,-592.3077,139433900
133,2023-02-17,USD,-0.9,-0.13,-0.77,-592.3077,139433900
134,2023-02-16,USD,-0.9,-0.13,-0.77,-592.3077,139433900
135,2023-02-15,USD,-0.9,-0.13,-0.77,-592.3077,139433900
136,2023-02-14,USD,-0.9,-0.13,-0.77,-592.3077,139433900
137,2023-02-13,USD,-0.9,-0.13,-0.77,-592.3077,139433900
138,2023-02-12,USD,-0.9,-0.13,-0.77,-592.3077,139433900
139,2023-02-11,USD,-0.9,-0.13,-0.77,-592.3077,139433900
140,2023-02-10,USD,-0.9,-0.13,-0.77,-592.3077,139433900
141,2023-02-09,USD,-0.9,-0.13,-0.77,-592.3077,139433900
142,2023-02-08,USD,-0.9,-0.13,-0.77,-592.3077,139433900
143,2023-02-07,USD,-0.9,-0.13,-0.77,-592.3077,139433900
144,2023-02-06,USD,-0.9,-0.13,-0.77,-592.3077,139433900
145,2023-02-05,USD,-0.9,-0.13,-0.77,-592.3077,139433900
146,2023-02-04,USD,-0.9,-0.13,-0.77,-592.3077,139433900
147,2023-02-03,USD,-0.9,-0.13,-0.77,-592.3077,139433900
148,2023-02-02,USD,-0.9,-0.13,-0.77,-592.3077,139433900
149,2023-02-01,USD,-0.9,-0.13,-0.77,-592.3077,139433900
150,2023-01-31,USD,-0.9,-0.13,-0.77,-592.3077,139433900
151,2023-01-30,USD,-0.9,-0.13,-0.77,-592.3077,139433900
152,2023-01-29,USD,-0.9,-0.13,-0.77,-592.3077,139433900
153,2023-01-28,USD,-0.9,-0.13,-0.77,-592.3077,139433900
154,2023-01-27,USD,-0.9,-0.13,-0.77,-592.3077,139433900
155,2023-01-26,USD,-0.9,-0.13,-0.77,-592.3077,139433900
156,2023-01-25,USD,-0.9,-0.13,-0.77,-592.3077,139433900
157,2023-01-24,USD,-0.9,-0.13,-0.77,-592.3077,139433900
158,2023-01-23,USD,-0.9,-0.13,-0.77,-592.3077,139433900
159,2023-01-22,USD,-0.9,-0.13,-0.77,-592.3077,139433900
160,2023-01-21,USD,-0.9,-0.13,-0.77,-592.3077,139433900
161,2023-01-20,USD,-0.9,-0.13,-0.77,-592.3077,139433900
162,2023-01-19,USD,-0.9,-0.13,-0.77,-592.3077,139433900
163,2023-01-18,USD,-0.9,-0.13,-0.77,-592.3077,139433900
164,2023-01-17,USD,-0.9,-0.13,-0.77,-592.3077,139433900
165,2023-01-16,USD,-0.9,-0.13,-0.77,-592.3077,139433900
166,2023-01-15,USD,-0.9,-0.13,-0.77,-592.3077,139433900
167,2023-01-14,USD,-0.9,-0.13,-0.77,-592.3077,139433900
168,2023-01-13,USD,-0.9,-0.13,-0.77,-592.3077,139433900
169,2023-01-12,USD,-0.9,-0.13,-0.77,-592.3077,139433900
170,2023-01-11,USD,-0.9,-0.13,-0.77,-592.3077,139433900
171,2023-01-10,USD,-0.9,-0.13,-0.77,-592.3077,139433900
172,2023-01-09,USD,-0.9,-0.13,-0.77,-592.3077,139433900
173,2023-01-08,USD,-0.9,-0.13,-0.77,-592.3077,139433900
174,2023-01-07,USD,-0.9,-0.13,-0.77,-592.3077,139433900
175,2023-01-06,USD,-0.9,-0.13,-0.77,-592.3077,139433900
176,2023-01-05,USD,-0.9,-0.13,-0.77,-592.3077,139433900
177,2023-01-04,USD,-0.9,-0.13,-0.77,-592.3077,139433900
178,2023-01-03,USD,-0.9,-0.13,-0.77,-592.3077,139433900
179,2023-01-02,USD,-0.9,-0.13,-0.77,-592.3077,139433900
180,2023-01-01,USD,-0.9,-0.13,-0.77,-592.3077,139433900
181,2022-12-31,USD,-0.9,-0.13,-0.77,-592.3077,139433900
182,2022-12-30,USD,-0.24,-0.02,-0.22,-1100,153895100
183,2022-12-29,USD,-0.24,-0.02,-0.22,-1100,153895100
184,2022-12-28,USD,-0.24,-0.02,-0.22,-1100,153895100
185,2022-12-27,USD,-0.24,-0.02,-0.22,-1100,153895100
186,2022-12-26,USD,-0.24,-0.02,-0.22,-1100,153895100
187,2022-12-25,USD,-0.24,-0.02,-0.22,-1100,153895100
188,2022-12-24,USD,-0.24,-0.02,-0.22,-1100,153895100
189,2022-12-23,USD,-0.24,-0.02,-0.22,-1100,153895100
190,2022-12-22,USD,-0.24,-0.02,-0.22,-1100,153895100
191,2022-12-21,USD,-0.24,-0.02,-0.22,-1100,153895100
192,2022-12-20,USD,-0.24,-0.02,-0.22,-1100,153895100
193,2022-12-19,USD,-0.24,-0.02,-0.22,-1100,153895100
194,2022-12-18,USD,-0.24,-0.02,-0.22,-1100,153895100
195,2022-12-17,USD,-0.24,-0.02,-0.22,-1100,153895100
196,2022-12-16,USD,-0.24,-0.02,-0.22,-1100,153895100
197,2022-12-15,USD,-0.24,-0.02,-0.22,-1100,153895100
198,2022-12-14,USD,-0.24,-0.02,-0.22,-1100,153895100
199,2022-12-13,USD,-0.24,-0.02,-0.22,-1100,153895100
200,2022-12-12,USD,-0.24,-0.02,-0.22,-1100,153895100
201,2022-12-11,USD,-0.24,-0.02,-0.22,-1100,153895100
202,2022-12-10,USD,-0.24,-0.02,-0.22,-1100,153895100
203,2022-12-09,USD,-0.24,-0.02,-0.22,-1100,153895100
204,2022-12-08,USD,-0.24,-0.02,-0.22,-1100,153895100
205,2022-12-07,USD,-0.24,-0.02,-0.22,-1100,153895100
206,2022-12-06,USD,-0.24,-0.02,-0.22,-1100,153895100
207,2022-12-05,USD,-0.24,-0.02,-0.22,-1100,153895100
208,2022-12-04,USD,-0.24,-0.02,-0.22,-1100,153895100
209,2022-12-03,USD,-0.24,-0.02,-0.22,-1100,153895100
210,2022-12-02,USD,-0.24,-0.02,-0.22,-1100,153895100
211,2022-12-01,USD,-0.24,-0.02,-0.22,-1100,153895100
212,2022-11-30,USD,-0.24,-0.02,-0.22,-1100,153895100
213,2022-11-29,USD,-0.24,-0.02,-0.22,-1100,153895100
214,2022-11-28,USD,-0.24,-0.02,-0.22,-1100,153895100
215,2022-11-27,USD,-0.24,-0.02,-0.22,-1100,153895100
216,2022-11-26,USD,-0.24,-0.02,-0.22,-1100,153895100
217,2022-11-25,USD,-0.24,-0.02,-0.22,-1100,153895100
218,2022-11-24,USD,-0.24,-0.02,-0.22,-1100,153895100
219,2022-11-23,USD,-0.24,-0.02,-0.22,-1100,153895100
220,2022-11-22,USD,-0.24,-0.02,-0.22,-1100,153895100
221,2022-11-21,USD,-0.24,-0.02,-0.22,-1100,153895100
222,2022-11-20,USD,-0.24,-0.02,-0.22,-1100,153895100
223,2022-11-19,USD,-0.24,-0.02,-0.22,-1100,153895100
224,2022-11-18,USD,-0.24,-0.02,-0.22,-1100,153895100
225,2022-11-17,USD,-0.24,-0.02,-0.22,-1100,153895100
226,2022-11-16,USD,-0.24,-0.02,-0.22,-1100,153895100
227,2022-11-15,USD,-0.24,-0.02,-0.22,-1100,153895100
228,2022-11-14,USD,-0.24,-0.02,-0.22,-1100,153895100
229,2022-11-13,USD,-0.24,-0.02,-0.22,-1100,153895100
230,2022-11-12,USD,-0.24,-0.02,-0.22,-1100,153895100
231,2022-11-11,USD,-0.24,-0.02,-0.22,-1100,153895100
232,2022-11-10,USD,-0.24,-0.02,-0.22,-1100,153895100
233,2022-11-09,USD,-0.24,-0.02,-0.22,-1100,153895100
234,2022-11-08,USD,-0.24,-0.02,-0.22,-1100,153895100
235,2022-11-07,USD,-0.24,-0.02,-0.22,-1100,153895100
236,2022-11-06,USD,-0.24,-0.02,-0.22,-1100,153895100
237,2022-11-05,USD,-0.24,-0.02,-0.22,-1100,153895100
238,2022-11-04,USD,-0.24,-0.02,-0.22,-1100,153895100
239,2022-11-03,USD,-0.24,-0.02,-0.22,-1100,153895100
240,2022-11-02,USD,-0.24,-0.02,-0.22,-1100,153895100
241,2022-11-01,USD,-0.24,-0.02,-0.22,-1100,153895100
242,2022-10-31,USD,-0.24,-0.02,-0.22,-1100,153895100
243,2022-10-30,USD,-0.24,-0.02,-0.22,-1100,153895100
244,2022-10-29,USD,-0.24,-0.02,-0.22,-1100,153895100
