index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
28,2023-06-02,USD,1.08,,,,5375600
29,2023-06-01,USD,1.08,,,,5375600
30,2023-05-31,USD,1.08,,,,5375600
31,2023-05-30,USD,1.08,,,,5375600
32,2023-05-29,USD,1.08,,,,5375600
33,2023-05-28,USD,1.08,,,,5375600
34,2023-05-27,USD,1.08,,,,5375600
35,2023-05-26,USD,1.08,,,,5375600
36,2023-05-25,USD,1.08,,,,5375600
37,2023-05-24,USD,1.08,,,,5375600
38,2023-05-23,USD,1.08,,,,5375600
39,2023-05-22,USD,1.08,,,,5375600
40,2023-05-21,USD,1.08,,,,5375600
41,2023-05-20,USD,1.08,,,,5375600
42,2023-05-19,USD,1.08,,,,5375600
43,2023-05-18,USD,1.08,,,,5375600
44,2023-05-17,USD,1.08,,,,5375600
45,2023-05-16,USD,1.08,,,,5375600
46,2023-05-15,USD,1.08,,,,5375600
47,2023-05-14,USD,1.08,,,,5375600
48,2023-05-13,USD,1.08,,,,5375600
49,2023-05-12,USD,1.08,,,,5375600
50,2023-05-11,USD,1.08,,,,5375600
51,2023-05-10,USD,1.08,,,,5375600
52,2023-05-09,USD,1.08,,,,5375600
53,2023-05-08,USD,1.08,,,,5375600
54,2023-05-07,USD,1.08,,,,5375600
55,2023-05-06,USD,1.08,,,,5375600
56,2023-05-05,USD,1.08,,,,5375600
57,2023-05-04,USD,1.08,,,,5375600
58,2023-05-03,USD,1.08,,,,5375600
59,2023-05-02,USD,1.08,,,,5375600
60,2023-05-01,USD,1.08,,,,5375600
61,2023-04-30,USD,1.08,,,,5375600
62,2023-04-29,USD,1.08,,,,5375600
63,2023-04-28,USD,1.08,,,,5375600
64,2023-04-27,USD,1.08,,,,5375600
65,2023-04-26,USD,1.08,,,,5375600
66,2023-04-25,USD,1.08,,,,5375600
67,2023-04-24,USD,1.08,,,,5375600
68,2023-04-23,USD,1.08,,,,5375600
69,2023-04-22,USD,1.08,,,,5375600
70,2023-04-21,USD,1.08,,,,5375600
71,2023-04-20,USD,1.08,,,,5375600
72,2023-04-19,USD,1.08,,,,5375600
73,2023-04-18,USD,1.08,,,,5375600
74,2023-04-17,USD,1.08,,,,5375600
75,2023-04-16,USD,1.08,,,,5375600
76,2023-04-15,USD,1.08,,,,5375600
77,2023-04-14,USD,1.08,,,,5375600
78,2023-04-13,USD,1.08,,,,5375600
79,2023-04-12,USD,1.08,,,,5375600
80,2023-04-11,USD,1.08,,,,5375600
81,2023-04-10,USD,1.08,,,,5375600
82,2023-04-09,USD,1.08,,,,5375600
83,2023-04-08,USD,1.08,,,,5375600
84,2023-04-07,USD,1.08,,,,5375600
85,2023-04-06,USD,1.08,,,,5375600
86,2023-04-05,USD,1.08,,,,5375600
87,2023-04-04,USD,1.08,,,,5375600
88,2023-04-03,USD,1.08,,,,5375600
89,2023-04-02,USD,1.08,,,,5375600
90,2023-04-01,USD,1.08,,,,5375600
91,2023-03-31,USD,1.08,,,,5375600
92,2023-03-30,USD,1.32,,,,5362200
93,2023-03-29,USD,1.32,,,,5362200
94,2023-03-28,USD,1.32,,,,5362200
95,2023-03-27,USD,1.32,,,,5362200
96,2023-03-26,USD,1.32,,,,5362200
97,2023-03-25,USD,1.32,,,,5362200
98,2023-03-24,USD,1.32,,,,5362200
99,2023-03-23,USD,1.32,,,,5362200
100,2023-03-22,USD,1.32,,,,5362200
101,2023-03-21,USD,1.32,,,,5362200
102,2023-03-20,USD,1.32,,,,5362200
103,2023-03-19,USD,1.32,,,,5362200
104,2023-03-18,USD,1.32,,,,5362200
105,2023-03-17,USD,1.32,,,,5362200
106,2023-03-16,USD,1.32,,,,5362200
107,2023-03-15,USD,1.32,,,,5362200
108,2023-03-14,USD,1.32,,,,5362200
109,2023-03-13,USD,1.32,,,,5362200
110,2023-03-12,USD,1.32,,,,5362200
111,2023-03-11,USD,1.32,,,,5362200
112,2023-03-10,USD,1.32,,,,5362200
113,2023-03-09,USD,1.32,,,,5362200
114,2023-03-08,USD,1.32,,,,5362200
115,2023-03-07,USD,1.32,,,,5362200
116,2023-03-06,USD,1.32,,,,5362200
117,2023-03-05,USD,1.32,,,,5362200
118,2023-03-04,USD,1.32,,,,5362200
119,2023-03-03,USD,1.32,,,,5362200
120,2023-03-02,USD,1.32,,,,5362200
121,2023-03-01,USD,1.32,,,,5362200
122,2023-02-28,USD,1.32,,,,5362200
123,2023-02-27,USD,1.32,,,,5362200
124,2023-02-26,USD,1.32,,,,5362200
125,2023-02-25,USD,1.32,,,,5362200
126,2023-02-24,USD,1.32,,,,5362200
127,2023-02-23,USD,1.32,,,,5362200
128,2023-02-22,USD,1.32,,,,5362200
129,2023-02-21,USD,1.32,,,,5362200
130,2023-02-20,USD,1.32,,,,5362200
131,2023-02-19,USD,1.32,,,,5362200
132,2023-02-18,USD,1.32,,,,5362200
133,2023-02-17,USD,1.32,,,,5362200
134,2023-02-16,USD,1.32,,,,5362200
135,2023-02-15,USD,1.32,,,,5362200
136,2023-02-14,USD,1.32,,,,5362200
137,2023-02-13,USD,1.32,,,,5362200
138,2023-02-12,USD,1.32,,,,5362200
139,2023-02-11,USD,1.32,,,,5362200
140,2023-02-10,USD,1.32,,,,5362200
141,2023-02-09,USD,1.32,,,,5362200
142,2023-02-08,USD,1.32,,,,5362200
143,2023-02-07,USD,1.32,,,,5362200
144,2023-02-06,USD,1.32,,,,5362200
145,2023-02-05,USD,1.32,,,,5362200
146,2023-02-04,USD,1.32,,,,5362200
147,2023-02-03,USD,1.32,,,,5362200
148,2023-02-02,USD,1.32,,,,5362200
149,2023-02-01,USD,1.32,,,,5362200
150,2023-01-31,USD,1.32,,,,5362200
151,2023-01-30,USD,1.32,,,,5362200
152,2023-01-29,USD,1.32,,,,5362200
153,2023-01-28,USD,1.32,,,,5362200
154,2023-01-27,USD,1.32,,,,5362200
155,2023-01-26,USD,1.32,,,,5362200
156,2023-01-25,USD,1.32,,,,5362200
157,2023-01-24,USD,1.32,,,,5362200
158,2023-01-23,USD,1.32,,,,5362200
159,2023-01-22,USD,1.32,,,,5362200
160,2023-01-21,USD,1.32,,,,5362200
161,2023-01-20,USD,1.32,,,,5362200
162,2023-01-19,USD,1.32,,,,5362200
163,2023-01-18,USD,1.32,,,,5362200
164,2023-01-17,USD,1.32,,,,5362200
165,2023-01-16,USD,1.32,,,,5362200
166,2023-01-15,USD,1.32,,,,5362200
167,2023-01-14,USD,1.32,,,,5362200
168,2023-01-13,USD,1.32,,,,5362200
169,2023-01-12,USD,1.32,,,,5362200
170,2023-01-11,USD,1.32,,,,5362200
171,2023-01-10,USD,1.32,,,,5362200
172,2023-01-09,USD,1.32,,,,5362200
173,2023-01-08,USD,1.32,,,,5362200
174,2023-01-07,USD,1.32,,,,5362200
175,2023-01-06,USD,1.32,,,,5362200
