date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,22.94,23.75,22.81,23.69,23.69,737089,28,USD,-0.3,-0.2,-0.1,-50,108156000
2023-06-01,22.75,23.4,22.56,22.74,22.74,538405,29,USD,-0.3,-0.2,-0.1,-50,108156000
2023-05-31,22.43,22.9,22.14,22.81,22.81,1820925,30,USD,-0.3,-0.2,-0.1,-50,108156000
2023-05-30,23.69,23.72,22.72,22.78,22.78,614168,31,USD,-0.3,-0.2,-0.1,-50,108156000
2023-05-26,22.99,23.77,22.88,23.58,23.58,319575,35,USD,-0.3,-0.2,-0.1,-50,108156000
2023-05-25,23.23,23.53,22.8,23.015,23.015,429693,36,USD,-0.3,-0.2,-0.1,-50,108156000
2023-05-24,23.81,24.13,23.21,23.24,23.24,431462,37,USD,-0.3,-0.2,-0.1,-50,108156000
2023-05-23,23.89,24.66,23.85,23.95,23.95,462082,38,USD,-0.3,-0.2,-0.1,-50,108156000
2023-05-22,24.29,24.38,23.89,24.0,24.0,595462,39,USD,-0.3,-0.2,-0.1,-50,108156000
2023-05-19,24.75,24.75,24.28,24.33,24.33,624121,42,USD,-0.3,-0.2,-0.1,-50,108156000
2023-05-18,24.28,24.59,24.025,24.54,24.54,825026,43,USD,-0.3,-0.2,-0.1,-50,108156000
2023-05-17,24.27,24.51,23.92,24.4,24.4,614542,44,USD,-0.3,-0.2,-0.1,-50,108156000
2023-05-16,24.83,25.06,23.96,24.21,24.21,810045,45,USD,-0.3,-0.2,-0.1,-50,108156000
2023-05-15,25.14,25.31,24.94,24.99,24.99,558951,46,USD,-0.3,-0.2,-0.1,-50,108156000
2023-05-12,25.04,25.41,24.74,25.16,25.16,1016546,49,USD,-0.3,-0.2,-0.1,-50,108156000
2023-05-11,24.4,25.42,24.39,25.03,25.03,869301,50,USD,-0.3,-0.2,-0.1,-50,108156000
2023-05-10,24.35,24.92,23.87,24.49,24.49,1045087,51,USD,-0.3,-0.2,-0.1,-50,108156000
2023-05-09,24.31,24.31,23.64,23.95,23.95,547057,52,USD,-0.3,-0.2,-0.1,-50,108156000
2023-05-08,24.31,24.38,23.9,24.36,24.36,438107,53,USD,-0.3,-0.2,-0.1,-50,108156000
2023-05-05,24.35,24.52,24.09,24.34,24.34,466193,56,USD,-0.3,-0.2,-0.1,-50,108156000
