date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,48.99,50.365,48.95,50.0,50.0,59448,28,USD,0.39,0.5,-0.11,-22,9510000
2023-06-01,49.39,49.6737,48.185,48.89,48.89,47341,29,USD,0.39,0.5,-0.11,-22,9510000
2023-05-31,48.9,49.74,48.575,49.5,49.5,51294,30,USD,0.39,0.5,-0.11,-22,9510000
2023-05-30,48.91,50.07,48.91,49.05,49.05,70584,31,USD,0.39,0.5,-0.11,-22,9510000
2023-05-26,47.71,49.08,47.58,48.97,48.97,88179,35,USD,0.39,0.5,-0.11,-22,9510000
2023-05-25,49.17,49.21,47.53,47.86,47.86,58275,36,USD,0.39,0.5,-0.11,-22,9510000
2023-05-24,48.84,49.8,48.63,49.23,49.23,45750,37,USD,0.39,0.5,-0.11,-22,9510000
2023-05-23,49.97,50.22,48.86,48.86,48.86,43084,38,USD,0.39,0.5,-0.11,-22,9510000
2023-05-22,48.95,49.96,47.8104,49.81,49.81,135804,39,USD,0.39,0.5,-0.11,-22,9510000
2023-05-19,49.23,49.8,48.5,48.5,48.5,292215,42,USD,0.39,0.5,-0.11,-22,9510000
2023-05-18,55.23,55.35,54.83,55.11,55.11,19907,43,USD,0.39,0.5,-0.11,-22,9510000
2023-05-17,54.82,55.8,54.6,55.6,55.316,20684,44,USD,0.39,0.5,-0.11,-22,9510000
2023-05-16,54.57,55.23,53.76,55.05,54.7688,20939,45,USD,0.39,0.5,-0.11,-22,9510000
2023-05-15,55.08,55.98,54.64,55.03,54.7489,20607,46,USD,0.39,0.5,-0.11,-22,9510000
2023-05-12,54.78,55.52,54.62,55.32,55.0374,20495,49,USD,0.39,0.5,-0.11,-22,9510000
2023-05-11,55.39,55.39,54.49,54.79,54.5101,26120,50,USD,0.39,0.5,-0.11,-22,9510000
2023-05-10,54.72,55.85,54.48,55.84,55.5548,17284,51,USD,0.39,0.5,-0.11,-22,9510000
2023-05-09,54.98,55.435,54.37,54.88,54.5997,26461,52,USD,0.39,0.5,-0.11,-22,9510000
2023-05-08,55.4,55.4,54.2,54.98,54.6992,22127,53,USD,0.39,0.5,-0.11,-22,9510000
2023-05-05,55.11,55.72,54.71,55.4,55.117,16349,56,USD,0.39,0.5,-0.11,-22,9510000
2023-05-04,54.36,55.2,53.65,54.97,54.6892,21476,57,USD,0.39,0.5,-0.11,-22,9510000
2023-05-03,54.65,55.02,53.68,54.52,54.2415,29003,58,USD,0.39,0.5,-0.11,-22,9510000
2023-05-02,55.43,55.43,53.39,54.19,53.9132,40433,59,USD,0.39,0.5,-0.11,-22,9510000
2023-05-01,54.78,55.8109,54.78,55.03,54.7489,25898,60,USD,0.39,0.5,-0.11,-22,9510000
2023-04-28,56.02,56.02,54.56,54.78,54.5002,15614,63,USD,0.39,0.5,-0.11,-22,9510000
2023-04-27,55.65,56.25,55.2,55.9,55.6145,19015,64,USD,0.39,0.5,-0.11,-22,9510000
2023-04-26,57.08,57.38,55.14,55.62,55.3359,34934,65,USD,0.39,0.5,-0.11,-22,9510000
2023-04-25,56.28,57.69,56.18,57.47,57.1764,26154,66,USD,0.39,0.5,-0.11,-22,9510000
2023-04-24,56.59,56.9795,55.9,56.28,55.9925,16362,67,USD,0.39,0.5,-0.11,-22,9510000
2023-04-21,56.1,56.78,55.78,56.57,56.281,25714,70,USD,0.39,0.5,-0.11,-22,9510000
2023-04-20,55.4,56.37,54.95,56.19,55.903,21663,71,USD,0.39,0.5,-0.11,-22,9510000
2023-04-19,55.2,55.54,54.5,55.35,55.0673,21523,72,USD,0.39,0.5,-0.11,-22,9510000
2023-04-18,55.78,55.86,54.3,54.98,54.6992,18626,73,USD,0.39,0.5,-0.11,-22,9510000
2023-04-17,55.61,56.0,54.975,55.61,55.3259,24168,74,USD,0.39,0.5,-0.11,-22,9510000
2023-04-14,58.06,58.22,55.35,55.95,55.6642,27801,77,USD,0.39,0.5,-0.11,-22,9510000
2023-04-13,58.41,58.41,57.385,58.37,58.0719,31232,78,USD,0.39,0.5,-0.11,-22,9510000
2023-04-12,57.79,58.4,57.4,58.39,58.0917,28415,79,USD,0.39,0.5,-0.11,-22,9510000
2023-04-11,57.97,58.22,57.05,57.95,57.654,65212,80,USD,0.39,0.5,-0.11,-22,9510000
2023-04-10,56.95,58.1,56.8,58.0,57.7037,30167,81,USD,0.39,0.5,-0.11,-22,9510000
2023-04-06,56.81,57.41,56.716,57.28,56.9874,26999,85,USD,0.39,0.5,-0.11,-22,9510000
2023-04-05,55.59,56.97,55.59,56.93,56.6392,26984,86,USD,0.39,0.5,-0.11,-22,9510000
2023-04-04,55.18,55.43,54.86,55.42,55.1369,25374,87,USD,0.39,0.5,-0.11,-22,9510000
2023-04-03,55.68,55.74,55.05,55.18,54.8981,27491,88,USD,0.39,0.5,-0.11,-22,9510000
2023-03-31,54.32,55.45,54.27,55.36,55.0772,60510,91,USD,0.39,0.5,-0.11,-22,9510000
2023-03-30,54.31,54.9902,54.0,54.58,54.3012,32501,92,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-03-29,53.61,54.6041,53.61,54.34,54.0624,28528,93,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-03-28,53.5,54.35,53.35,53.82,53.5451,21373,94,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-03-27,53.29,53.97,53.29,53.6,53.3262,35971,95,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-03-24,51.31,53.69,51.31,53.58,53.3063,48045,98,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-03-23,52.0,52.27,51.4,51.52,51.2568,34094,99,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-03-22,52.34,52.92,51.3,52.01,51.7443,58964,100,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-03-21,53.55,53.55,51.6,52.37,52.1025,69445,101,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-03-20,52.73,54.28,52.4,53.41,53.1372,68558,102,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-03-17,53.22,53.44,51.69,52.14,51.8737,95413,105,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-03-16,52.93,54.03,52.18,53.4,53.1272,38551,106,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-03-15,52.16,53.68,52.16,53.49,53.2168,53691,107,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-03-14,52.26,53.61,52.26,52.87,52.5999,35309,108,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-03-13,52.23,53.6133,51.49,51.62,51.3563,52395,109,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-03-10,53.79,54.45,51.81,52.23,51.9632,63801,112,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-03-09,54.95,55.18,54.08,54.19,53.9132,62749,113,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-03-08,55.18,55.4,54.45,55.07,54.7887,43095,114,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-03-07,55.36,55.57,54.77,55.13,54.8484,31484,115,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-03-06,54.83,55.6,54.25,55.17,54.8882,49581,116,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-03-03,55.74,55.79,54.77,55.35,55.0673,37443,119,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-03-02,54.36,55.64,54.02,55.39,55.1071,38393,120,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-03-01,56.29,57.3,54.15,54.47,54.1918,63658,121,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-02-28,56.88,56.88,55.9,56.33,56.0423,87292,122,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-02-27,57.46,58.7,56.65,56.93,56.6392,45643,123,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-02-24,58.0,58.0,56.73,57.41,57.1168,31367,126,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-02-23,59.0,59.5,58.07,58.18,57.8828,48982,127,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-02-22,59.0,59.6596,58.5,58.8,58.4997,41622,128,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-02-21,59.19,59.61,58.41,58.9,58.5991,45464,129,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-02-17,58.06,59.58,58.06,59.24,58.9374,24956,133,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-02-16,57.93,58.64,57.18,58.0,57.7037,28803,134,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-02-15,57.63,58.23,56.6839,57.98,57.6838,44649,135,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-02-14,58.6,58.62,57.3,57.71,57.4152,42455,136,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-02-13,57.64,58.83,57.28,58.28,57.9823,51311,137,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-02-10,56.98,58.04,56.67,57.64,57.3456,51305,140,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-02-09,58.26,59.24,56.5,56.88,56.5895,36087,141,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-02-08,60.14,60.14,57.69,57.8,57.5048,53889,142,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-02-07,61.56,61.56,60.01,60.42,59.8344,52146,143,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-02-06,61.7,61.98,61.1,61.9,61.3001,43746,144,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-02-03,60.77,61.66,59.84,61.59,60.9931,39818,147,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-02-02,60.0672,61.6,59.8,60.89,60.2998,54193,148,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-02-01,59.16,60.55,58.34,60.22,59.6363,45078,149,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-01-31,57.58,59.29,56.95,58.9,58.3291,32786,150,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-01-30,57.43,58.41,57.08,57.28,56.7248,64122,151,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-01-27,61.13,61.13,56.68,57.01,56.4575,91551,154,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-01-26,61.86,62.51,61.12,61.3,60.7059,32258,155,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-01-25,61.5,63.0,61.19,61.86,61.2604,65935,156,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-01-24,60.79,61.97,60.175,61.96,61.3595,24045,157,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-01-23,59.68,60.88,58.94,60.75,60.1612,40030,158,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-01-20,61.64,61.64,58.89,59.79,59.2105,48979,161,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-01-19,59.31,61.95,59.2,61.17,60.5771,127502,162,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-01-18,61.35,61.35,59.09,59.57,58.9926,31098,163,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-01-17,60.0,61.51,60.0,61.03,60.4385,33027,164,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-01-13,59.39,60.435,58.8,60.25,59.666,32644,168,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-01-12,59.12,59.76,57.92,59.37,58.7946,30305,169,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-01-11,59.69,59.91,58.65,59.09,58.5173,46434,170,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-01-10,59.71,60.09,59.03,59.5,58.9233,43430,171,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-01-09,60.29,61.0,59.5,59.61,59.0323,33444,172,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-01-06,59.3,60.33,59.3,60.29,59.7057,20509,175,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-01-05,59.3,59.35,57.9,58.72,58.1509,59883,176,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-01-04,59.44,60.01,59.07,59.35,58.7748,33822,177,USD,0.24,0.27,-0.03,-11.1111,9481000
2023-01-03,59.0,59.13,58.1,58.99,58.4183,52630,178,USD,0.24,0.27,-0.03,-11.1111,9481000
2022-12-30,58.18,59.98,58.18,58.58,58.0122,58787,182,USD,0.65,0.58,0.07,12.069,9492000
2022-12-29,57.85,59.0,57.7197,58.53,57.9627,39300,183,USD,0.65,0.58,0.07,12.069,9492000
2022-12-28,58.1,58.7656,57.6,57.91,57.3487,53545,184,USD,0.65,0.58,0.07,12.069,9492000
2022-12-27,56.42,58.3,56.27,58.02,57.4577,44051,185,USD,0.65,0.58,0.07,12.069,9492000
2022-12-23,55.36,57.01,55.36,56.46,55.9128,34200,189,USD,0.65,0.58,0.07,12.069,9492000
2022-12-22,54.98,55.78,54.1,55.4,54.8631,43720,190,USD,0.65,0.58,0.07,12.069,9492000
2022-12-21,54.19,55.88,54.19,55.43,54.8928,22366,191,USD,0.65,0.58,0.07,12.069,9492000
2022-12-20,53.848,54.9331,53.848,54.52,53.9916,31491,192,USD,0.65,0.58,0.07,12.069,9492000
2022-12-19,55.32,55.32,53.33,54.74,54.2095,76062,193,USD,0.65,0.58,0.07,12.069,9492000
2022-12-16,52.82,55.8,52.07,55.79,55.2493,162112,196,USD,0.65,0.58,0.07,12.069,9492000
2022-12-15,54.85,55.0,52.81,53.13,52.6151,54408,197,USD,0.65,0.58,0.07,12.069,9492000
2022-12-14,55.42,55.95,54.44,54.8,54.2689,37352,198,USD,0.65,0.58,0.07,12.069,9492000
2022-12-13,55.3,55.91,54.85,55.1,54.566,43342,199,USD,0.65,0.58,0.07,12.069,9492000
2022-12-12,55.45,55.8,54.27,54.56,54.0312,26816,200,USD,0.65,0.58,0.07,12.069,9492000
2022-12-09,55.3,56.15,55.25,55.44,54.9027,25395,203,USD,0.65,0.58,0.07,12.069,9492000
2022-12-08,55.2,55.64,54.4,55.3,54.764,24665,204,USD,0.65,0.58,0.07,12.069,9492000
2022-12-07,55.1,55.3455,54.75,54.93,54.3976,25270,205,USD,0.65,0.58,0.07,12.069,9492000
2022-12-06,54.28,55.15,54.12,54.83,54.2986,18463,206,USD,0.65,0.58,0.07,12.069,9492000
2022-12-05,53.99,54.53,53.63,54.31,53.7836,43342,207,USD,0.65,0.58,0.07,12.069,9492000
2022-12-02,53.95,55.075,53.4179,54.52,53.9916,31833,210,USD,0.65,0.58,0.07,12.069,9492000
2022-12-01,54.71,54.955,53.91,54.24,53.7143,23540,211,USD,0.65,0.58,0.07,12.069,9492000
2022-11-30,52.87,54.63,52.57,54.56,54.0312,176215,212,USD,0.65,0.58,0.07,12.069,9492000
2022-11-29,53.85,53.9199,52.78,53.1,52.5853,27482,213,USD,0.65,0.58,0.07,12.069,9492000
2022-11-28,55.45,55.45,54.04,54.06,53.536,18793,214,USD,0.65,0.58,0.07,12.069,9492000
2022-11-25,56.01,56.485,55.73,55.77,55.2295,24100,217,USD,0.65,0.58,0.07,12.069,9492000
2022-11-23,55.88,56.39,55.17,55.82,55.279,39283,219,USD,0.65,0.58,0.07,12.069,9492000
2022-11-22,56.22,56.2635,54.81,55.88,55.3384,43500,220,USD,0.65,0.58,0.07,12.069,9492000
2022-11-21,55.77,57.22,55.77,56.21,55.6652,38522,221,USD,0.65,0.58,0.07,12.069,9492000
2022-11-18,53.85,55.63,52.7322,55.62,55.0809,55651,224,USD,0.65,0.58,0.07,12.069,9492000
2022-11-17,53.46,53.46,52.465,53.1,52.5853,35572,225,USD,0.65,0.58,0.07,12.069,9492000
2022-11-16,52.55,53.63,51.93,53.56,53.0409,32472,226,USD,0.65,0.58,0.07,12.069,9492000
2022-11-15,51.67,52.46,51.0277,52.3,51.7931,32992,227,USD,0.65,0.58,0.07,12.069,9492000
2022-11-14,51.13,51.825,51.06,51.25,50.7533,44370,228,USD,0.65,0.58,0.07,12.069,9492000
2022-11-11,53.87,53.87,51.11,51.58,51.0801,35896,231,USD,0.65,0.58,0.07,12.069,9492000
2022-11-10,52.36,53.64,51.45,53.43,52.9121,57843,232,USD,0.65,0.58,0.07,12.069,9492000
2022-11-09,51.38,52.2,51.0,51.61,50.8341,34755,233,USD,0.65,0.58,0.07,12.069,9492000
2022-11-08,51.16,52.2,50.8799,51.79,51.0114,33655,234,USD,0.65,0.58,0.07,12.069,9492000
2022-11-07,51.85,51.9786,50.29,51.38,50.6075,23987,235,USD,0.65,0.58,0.07,12.069,9492000
2022-11-04,50.75,52.36,49.81,52.27,51.4842,29373,238,USD,0.65,0.58,0.07,12.069,9492000
2022-11-03,50.65,51.28,49.96,50.27,49.5142,34434,239,USD,0.65,0.58,0.07,12.069,9492000
2022-11-02,51.05,51.91,50.94,51.17,50.4007,35087,240,USD,0.65,0.58,0.07,12.069,9492000
2022-11-01,52.45,52.5682,51.41,51.49,50.7159,19499,241,USD,0.65,0.58,0.07,12.069,9492000
2022-10-31,53.31,53.31,52.0,52.28,51.494,57212,242,USD,0.65,0.58,0.07,12.069,9492000
