date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,7.86,8.029,7.66,7.66,7.66,14200,28,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-06-01,7.94,7.95,7.75,7.75,7.75,5800,29,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-05-31,7.91,7.92,7.9,7.9,7.9,1100,30,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-05-30,8.04,8.28,7.585,8.0,8.0,12300,31,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-05-26,7.99,8.27,7.98,8.01,8.01,16000,35,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-05-25,7.81,8.26,7.81,8.0,8.0,6100,36,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-05-24,8.1,8.1,7.4,7.8,7.8,11300,37,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-05-23,7.85,7.85,7.85,7.85,7.85,24,38,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-05-22,8.0,8.0,7.85,7.85,7.85,2000,39,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-05-19,8.112,8.112,8.0,8.0,8.0,6400,42,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-05-18,8.06,8.12,8.06,8.12,8.12,1400,43,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-05-17,8.161,8.167,8.03,8.07,8.07,2500,44,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-05-16,8.04,8.125,8.01,8.088,8.088,3200,45,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-05-15,7.98,8.2,7.88,8.025,8.025,11000,46,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-05-12,8.125,8.19,8.05,8.1,8.1,4900,49,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-05-11,8.027,8.24,8.027,8.24,8.24,2600,50,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-05-10,8.11,8.28,8.11,8.11,8.11,2600,51,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-05-09,8.12,8.15,8.1,8.1,8.1,3800,52,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-05-08,8.13,8.42,8.06,8.21,8.21,7800,53,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-05-05,8.37,8.37,8.22,8.22,8.22,1600,56,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-05-04,8.41,8.41,8.38,8.38,8.38,1800,57,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-05-03,8.135,8.394,8.0,8.25,8.25,6600,58,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-05-02,8.764,9.0,8.19,8.4,8.4,7300,59,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-05-01,8.65,9.0,8.65,8.68,8.68,4900,60,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-04-28,8.75,8.75,8.75,8.75,8.75,200,63,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-04-27,8.7,9.02,8.59,8.7,8.7,9800,64,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-04-26,9.0,9.251,8.5,8.71,8.71,15000,65,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-04-25,9.04,9.04,8.52,8.52,8.52,5800,66,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-04-24,9.15,9.32,8.66,8.66,8.66,3500,67,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-04-21,8.59,9.386,8.59,8.74,8.74,6000,70,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-04-20,8.645,8.75,8.55,8.75,8.75,4700,71,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-04-19,9.4,9.43,8.79,8.8,8.8,7300,72,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-04-18,9.3,9.3,8.5501,9.0,9.0,6522,73,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-04-17,9.5,9.65,8.79,9.07,9.07,10353,74,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-04-14,9.584,9.584,9.0,9.045,9.045,4500,77,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-04-13,9.31,9.465,8.951,9.0,9.0,4000,78,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-04-12,9.81,10.174,8.74,8.98,8.98,27200,79,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-04-11,9.92,9.99,9.86,9.922,9.922,12500,80,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-04-10,9.81,9.98,9.81,9.98,9.98,27300,81,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-04-06,9.91,9.91,9.91,9.91,9.91,1100,85,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-04-05,9.87,10.01,9.86,9.86,9.86,2100,86,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-04-04,9.92,10.06,9.92,9.93,9.93,2600,87,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-04-03,10.05,10.24,9.86,10.0,10.0,33400,88,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-03-31,10.01,10.22,10.0,10.0,10.0,4600,91,USD,0.08,0.11,-0.03,-27.2727,13055500
2023-03-30,10.21,10.21,10.21,10.21,10.21,20,92,USD,0.14,0.15,-0.01,-6.6667,13330600
2023-03-29,9.984,10.23,9.984,10.21,10.21,4000,93,USD,0.14,0.15,-0.01,-6.6667,13330600
2023-03-28,10.46,10.46,10.13,10.13,10.13,2100,94,USD,0.14,0.15,-0.01,-6.6667,13330600
2023-03-27,10.301,10.301,10.12,10.12,10.12,1100,95,USD,0.14,0.15,-0.01,-6.6667,13330600
2023-03-24,9.86,10.357,9.86,10.357,10.357,2400,98,USD,0.14,0.15,-0.01,-6.6667,13330600
2023-03-23,9.83,10.34,9.83,10.1,10.1,5300,99,USD,0.14,0.15,-0.01,-6.6667,13330600
2023-03-22,10.415,10.415,10.1,10.1,10.1,4300,100,USD,0.14,0.15,-0.01,-6.6667,13330600
2023-03-21,10.435,10.435,10.35,10.4,10.4,53500,101,USD,0.14,0.15,-0.01,-6.6667,13330600
2023-03-20,10.4,10.425,10.4,10.4,10.4,4500,102,USD,0.14,0.15,-0.01,-6.6667,13330600
2023-03-17,10.57,10.57,10.39,10.47,10.47,2900,105,USD,0.14,0.15,-0.01,-6.6667,13330600
2023-03-16,10.56,11.09,10.51,10.55,10.55,7300,106,USD,0.14,0.15,-0.01,-6.6667,13330600
2023-03-15,10.82,10.865,10.53,10.65,10.65,3500,107,USD,0.14,0.15,-0.01,-6.6667,13330600
2023-03-14,10.54,11.1,10.54,10.93,10.93,11100,108,USD,0.14,0.15,-0.01,-6.6667,13330600
2023-03-13,11.35,11.35,11.35,11.35,11.35,600,109,USD,0.14,0.15,-0.01,-6.6667,13330600
2023-03-10,11.15,11.41,11.15,11.35,11.35,3200,112,USD,0.14,0.15,-0.01,-6.6667,13330600
2023-03-09,11.38,11.38,11.345,11.345,11.345,500,113,USD,0.14,0.15,-0.01,-6.6667,13330600
2023-03-08,11.398,11.4,11.398,11.4,11.4,2400,114,USD,0.14,0.15,-0.01,-6.6667,13330600
2023-03-07,11.38,11.5,11.38,11.5,11.5,1100,115,USD,0.14,0.15,-0.01,-6.6667,13330600
2023-03-06,11.6,11.6,11.6,11.6,11.6,300,116,USD,0.14,0.15,-0.01,-6.6667,13330600
2023-03-03,11.6,11.6,11.6,11.6,11.6,193,119,USD,0.14,0.15,-0.01,-6.6667,13330600
2023-03-02,11.36,11.6,11.36,11.6,11.6,500,120,USD,0.14,0.15,-0.01,-6.6667,13330600
2023-03-01,11.36,11.5,11.36,11.45,11.45,7100,121,USD,0.14,0.15,-0.01,-6.6667,13330600
