date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2022-12-30,0.567,0.6,0.53,0.6,0.6,864500,1,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-12-29,0.539,0.59,0.539,0.57,0.57,968000,2,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-12-28,0.54,0.58,0.53,0.54,0.54,581800,3,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-12-27,0.611,0.62,0.541,0.544,0.544,692100,4,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-12-23,0.651,0.654,0.588,0.61,0.61,517400,8,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-12-22,0.563,0.63,0.556,0.629,0.629,937400,9,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-12-21,0.59,0.62,0.561,0.581,0.581,714200,10,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-12-20,0.55,0.617,0.55,0.568,0.568,1237100,11,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-12-19,0.688,0.688,0.552,0.556,0.556,1329100,12,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-12-16,0.66,0.705,0.65,0.68,0.68,1815100,15,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-12-15,0.735,0.737,0.676,0.69,0.69,720700,16,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-12-14,0.74,0.775,0.735,0.75,0.75,639900,17,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-12-13,0.79,0.83,0.741,0.746,0.746,801200,18,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-12-12,0.75,0.757,0.73,0.737,0.737,573000,19,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-12-09,0.769,0.78,0.73,0.75,0.75,416000,22,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-12-08,0.731,0.77,0.731,0.755,0.755,418700,23,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-12-07,0.79,0.792,0.73,0.731,0.731,675700,24,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-12-06,0.861,0.88,0.776,0.78,0.78,1017300,25,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-12-05,0.93,0.958,0.86,0.868,0.868,895700,26,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-12-02,0.9,0.945,0.88,0.937,0.937,492000,29,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-12-01,0.93,0.958,0.91,0.93,0.93,412200,30,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-11-30,0.88,0.93,0.87,0.919,0.919,946100,31,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-11-29,0.89,0.9,0.86,0.86,0.86,558200,32,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-11-28,0.9,0.93,0.86,0.867,0.867,648100,33,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-11-25,0.921,0.94,0.89,0.909,0.909,507700,36,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-11-23,0.937,0.945,0.88,0.92,0.92,472800,38,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-11-22,0.891,0.95,0.86,0.903,0.903,1223300,39,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-11-21,0.99,1.0,0.85,0.875,0.875,2957300,40,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-11-18,1.03,1.03,1.0,1.0,1.0,917100,43,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-11-17,1.09,1.09,1.02,1.03,1.03,656400,44,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-11-16,1.18,1.18,1.07,1.11,1.11,723700,45,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-11-15,1.16,1.25,1.15,1.21,1.21,1657800,46,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-11-14,1.09,1.15,1.04,1.14,1.14,939300,47,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-11-11,1.0,1.135,0.99,1.1,1.1,3136000,50,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-11-10,1.03,1.06,1.0,1.01,1.01,1146700,51,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-11-09,1.01,1.05,0.94,0.942,0.942,1544900,52,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-11-08,1.11,1.12,1.0,1.05,1.05,1982500,53,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-11-07,1.09,1.11,1.06,1.11,1.11,315700,54,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-11-04,1.1,1.11,1.06,1.09,1.09,686800,57,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-11-03,1.03,1.07,1.023,1.06,1.06,455500,58,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-11-02,1.04,1.1,1.01,1.03,1.03,903800,59,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-11-01,1.1,1.1,1.04,1.04,1.04,654750,60,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-10-31,1.05,1.1,1.04,1.06,1.06,516592,61,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-10-28,1.05,1.09,1.03,1.07,1.07,655100,64,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-10-27,1.122,1.14,1.06,1.07,1.07,770300,65,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-10-26,1.13,1.18,1.1,1.12,1.12,1467900,66,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-10-25,1.02,1.16,1.01,1.14,1.14,2681100,67,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-10-24,1.05,1.05,0.961,1.02,1.02,821200,68,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-10-21,0.98,1.05,0.94,1.05,1.05,1120700,71,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-10-20,1.01,1.04,0.98,0.986,0.986,1345200,72,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-10-19,1.03,1.04,1.0,1.0,1.0,597200,73,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-10-18,1.08,1.09,1.01,1.04,1.04,603000,74,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-10-17,1.05,1.08,1.04,1.06,1.06,1018800,75,USD,-0.17,-0.06,-0.11,-183.3333,83330000
2022-10-14,1.09,1.11,1.01,1.03,1.03,713600,78,USD,-0.17,-0.06,-0.11,-183.3333,83330000
