date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,11.37,11.7,11.3,11.51,11.51,23700,28,USD,0.52,0.18,0.34,188.8889,25392000
2023-06-01,11.7,11.75,11.18,11.18,11.18,31100,29,USD,0.52,0.18,0.34,188.8889,25392000
2023-05-31,11.81,11.84,11.25,11.61,11.61,20100,30,USD,0.52,0.18,0.34,188.8889,25392000
2023-05-30,11.7,11.92,11.59,11.87,11.87,32600,31,USD,0.52,0.18,0.34,188.8889,25392000
2023-05-26,11.69,11.71,11.43,11.62,11.62,15900,35,USD,0.52,0.18,0.34,188.8889,25392000
2023-05-25,11.19,11.64,11.19,11.4,11.4,8900,36,USD,0.52,0.18,0.34,188.8889,25392000
2023-05-24,11.37,11.4,11.15,11.24,11.24,15500,37,USD,0.52,0.18,0.34,188.8889,25392000
2023-05-23,11.2,11.61,11.2,11.2,11.2,17600,38,USD,0.52,0.18,0.34,188.8889,25392000
2023-05-22,10.73,11.44,10.73,11.33,11.33,39700,39,USD,0.52,0.18,0.34,188.8889,25392000
2023-05-19,10.79,11.11,10.63,10.73,10.73,32300,42,USD,0.52,0.18,0.34,188.8889,25392000
2023-05-18,10.17,10.88,10.17,10.6,10.6,34700,43,USD,0.52,0.18,0.34,188.8889,25392000
2023-05-17,10.07,10.51,10.07,10.2,10.2,33200,44,USD,0.52,0.18,0.34,188.8889,25392000
2023-05-16,10.17,10.69,9.97,10.13,10.13,37600,45,USD,0.52,0.18,0.34,188.8889,25392000
2023-05-15,9.77,10.71,9.75,10.14,10.14,39800,46,USD,0.52,0.18,0.34,188.8889,25392000
2023-05-12,11.05,11.18,9.37,9.79,9.79,69200,49,USD,0.52,0.18,0.34,188.8889,25392000
2023-05-11,10.24,10.97,10.24,10.91,10.91,32800,50,USD,0.52,0.18,0.34,188.8889,25392000
2023-05-10,10.95,11.09,10.24,10.33,10.33,34200,51,USD,0.52,0.18,0.34,188.8889,25392000
2023-05-09,10.39,11.35,10.33,10.8,10.8,49200,52,USD,0.52,0.18,0.34,188.8889,25392000
2023-05-08,10.32,10.64,10.1,10.32,10.32,25500,53,USD,0.52,0.18,0.34,188.8889,25392000
2023-05-05,9.87,10.51,9.87,10.32,10.32,24900,56,USD,0.52,0.18,0.34,188.8889,25392000
2023-05-04,10.13,10.41,9.77,9.91,9.91,36200,57,USD,0.52,0.18,0.34,188.8889,25392000
2023-05-03,10.6,11.0,10.1,10.1,10.1,48500,58,USD,0.52,0.18,0.34,188.8889,25392000
2023-05-02,10.55,10.82,10.34,10.62,10.62,33700,59,USD,0.52,0.18,0.34,188.8889,25392000
2023-05-01,10.41,10.92,10.41,10.59,10.59,22700,60,USD,0.52,0.18,0.34,188.8889,25392000
2023-04-28,10.15,10.93,10.15,10.41,10.41,26800,63,USD,0.52,0.18,0.34,188.8889,25392000
2023-04-27,10.0,10.32,9.79,10.18,10.18,35700,64,USD,0.52,0.18,0.34,188.8889,25392000
2023-04-26,9.35,10.05,9.35,9.79,9.79,45500,65,USD,0.52,0.18,0.34,188.8889,25392000
2023-04-25,9.52,10.1,9.14,9.45,9.45,67400,66,USD,0.52,0.18,0.34,188.8889,25392000
2023-04-24,8.93,9.79,8.85,9.62,9.62,50400,67,USD,0.52,0.18,0.34,188.8889,25392000
2023-04-21,9.15,9.43,8.89,8.89,8.89,54700,70,USD,0.52,0.18,0.34,188.8889,25392000
2023-04-20,9.13,9.58,9.13,9.2,9.2,27900,71,USD,0.52,0.18,0.34,188.8889,25392000
2023-04-19,9.22,9.69,9.13,9.19,9.19,52503,72,USD,0.52,0.18,0.34,188.8889,25392000
2023-04-18,9.28,9.65,9.23,9.23,9.23,31773,73,USD,0.52,0.18,0.34,188.8889,25392000
2023-04-17,9.68,9.69,9.1896,9.2,9.2,34005,74,USD,0.52,0.18,0.34,188.8889,25392000
2023-04-14,9.8,10.0,9.585,9.6,9.6,34904,77,USD,0.52,0.18,0.34,188.8889,25392000
2023-04-13,9.685,10.0,9.61,9.7,9.7,28359,78,USD,0.52,0.18,0.34,188.8889,25392000
2023-04-12,10.075,10.215,9.71,9.71,9.71,12648,79,USD,0.52,0.18,0.34,188.8889,25392000
2023-04-11,10.23,10.3,10.03,10.06,10.06,14881,80,USD,0.52,0.18,0.34,188.8889,25392000
2023-04-10,9.6,10.1382,9.54,9.75,9.75,36625,81,USD,0.52,0.18,0.34,188.8889,25392000
2023-04-06,9.57,9.7,9.51,9.6,9.6,11361,85,USD,0.52,0.18,0.34,188.8889,25392000
2023-04-05,9.79,9.98,9.5101,9.85,9.85,34899,86,USD,0.52,0.18,0.34,188.8889,25392000
2023-04-04,10.11,10.4723,9.76,9.93,9.93,65808,87,USD,0.52,0.18,0.34,188.8889,25392000
