date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,8.76,8.89,8.6,8.7,8.7,10500,28,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-06-01,8.51,8.77,8.51,8.53,8.53,3700,29,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-05-31,8.56,8.67,8.51,8.51,8.51,10300,30,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-05-30,8.73,8.73,8.6,8.6,8.6,2200,31,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-05-26,8.55,8.56,8.55,8.56,8.56,400,35,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-05-25,8.54,8.62,8.49,8.49,8.49,5500,36,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-05-24,8.2,8.57,8.0,8.53,8.53,85400,37,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-05-23,8.2,8.36,8.16,8.2,8.2,9800,38,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-05-22,8.15,8.23,8.05,8.15,8.15,9900,39,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-05-19,8.2,8.37,8.08,8.17,8.17,15500,42,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-05-18,7.86,8.1,7.86,8.02,8.02,6400,43,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-05-17,8.25,8.25,7.61,7.75,7.75,20800,44,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-05-16,7.91,7.91,7.73,7.76,7.76,13000,45,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-05-15,7.89,8.25,7.89,7.94,7.94,3700,46,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-05-12,7.89,8.02,7.8,7.92,7.92,9100,49,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-05-11,8.2,8.55,7.81,7.85,7.85,6300,50,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-05-10,8.0,8.14,7.83,7.99,7.99,12400,51,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-05-09,8.48,8.5,8.0,8.02,8.02,28600,52,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-05-08,8.76,8.76,8.41,8.41,8.41,8100,53,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-05-05,8.74,8.86,8.7,8.76,8.76,11500,56,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-05-04,9.39,9.39,8.4,8.76,8.76,24100,57,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-05-03,10.14,10.15,9.65,9.65,9.65,3400,58,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-05-02,10.0,10.02,9.51,9.8,9.8,5800,59,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-05-01,10.4,10.45,10.02,10.08,10.08,5700,60,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-04-28,9.55,10.29,9.55,10.08,10.08,4100,63,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-04-27,9.75,10.0,9.75,9.97,9.97,8000,64,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-04-26,10.08,10.15,9.55,9.85,9.85,23600,65,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-04-25,10.71,10.71,10.34,10.34,10.34,2300,66,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-04-24,10.47,10.47,10.47,10.47,10.47,1500,67,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-04-21,10.68,10.68,10.44,10.48,10.48,5200,70,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-04-20,10.65,10.72,10.52,10.6,10.6,15100,71,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-04-19,11.1,11.1,10.63,10.63,10.63,20700,72,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-04-18,10.98,10.98,10.6,10.6,10.6,6700,73,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-04-17,11.2,11.2,10.71,10.71,10.71,5800,74,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-04-14,10.7,11.02,10.7,10.7,10.7,4500,77,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-04-13,10.67,10.72,10.62,10.7,10.7,3500,78,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-04-12,10.54,10.69,10.54,10.69,10.69,2600,79,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-04-11,10.6,10.72,10.56,10.56,10.56,1500,80,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-04-10,10.65,10.65,10.55,10.56,10.56,2800,81,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-04-06,10.58,10.65,10.52,10.65,10.65,8200,85,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-04-05,10.65,10.65,10.53,10.58,10.58,4200,86,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-04-04,10.65,10.8,10.5,10.56,10.56,18100,87,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-04-03,10.65,10.75,10.55,10.62,10.62,3700,88,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-03-31,10.67,11.04,10.6,10.61,10.61,18700,91,USD,0.35,0.38,-0.03,-7.8947,10477600
2023-03-30,10.87,10.87,10.66,10.66,10.66,12800,92,USD,0.45,0.41,0.04,9.7561,10460000
2023-03-29,10.91,10.91,10.86,10.87,10.87,10800,93,USD,0.45,0.41,0.04,9.7561,10460000
2023-03-28,10.95,11.3,10.86,10.86,10.86,6600,94,USD,0.45,0.41,0.04,9.7561,10460000
2023-03-27,10.91,10.97,10.83,10.86,10.86,2900,95,USD,0.45,0.41,0.04,9.7561,10460000
2023-03-24,10.82,11.09,10.82,10.82,10.82,6000,98,USD,0.45,0.41,0.04,9.7561,10460000
2023-03-23,11.93,11.93,10.78,10.93,10.93,9300,99,USD,0.45,0.41,0.04,9.7561,10460000
2023-03-22,11.08,11.2,11.0,11.02,11.02,9500,100,USD,0.45,0.41,0.04,9.7561,10460000
2023-03-21,11.44,11.97,11.07,11.08,11.08,5900,101,USD,0.45,0.41,0.04,9.7561,10460000
2023-03-20,10.97,11.35,10.8,10.9,10.9,1800,102,USD,0.45,0.41,0.04,9.7561,10460000
2023-03-17,11.0,11.12,10.75,10.75,10.75,21800,105,USD,0.45,0.41,0.04,9.7561,10460000
2023-03-16,10.78,11.21,10.78,11.09,11.09,9800,106,USD,0.45,0.41,0.04,9.7561,10460000
2023-03-15,10.8,11.2,10.75,10.8,10.8,28700,107,USD,0.45,0.41,0.04,9.7561,10460000
2023-03-14,10.9,11.14,10.87,10.87,10.87,7800,108,USD,0.45,0.41,0.04,9.7561,10460000
