date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,12.41,12.7,12.345,12.51,12.4433,6782,28,USD,0.39,0.38,0.01,2.6316,8939600
2023-06-01,11.16,12.5,11.16,12.33,12.2642,25341,29,USD,0.39,0.38,0.01,2.6316,8939600
2023-05-31,11.02,11.38,11.02,11.22,11.1601,2046,30,USD,0.39,0.38,0.01,2.6316,8939600
2023-05-30,11.18,11.49,11.15,11.19,11.1303,7930,31,USD,0.39,0.38,0.01,2.6316,8939600
2023-05-26,11.04,11.5,11.04,11.2501,11.1901,5855,35,USD,0.39,0.38,0.01,2.6316,8939600
2023-05-25,10.97,11.27,10.819,10.98,10.9214,5676,36,USD,0.39,0.38,0.01,2.6316,8939600
2023-05-24,10.55,11.379,10.55,10.99,10.9314,2987,37,USD,0.39,0.38,0.01,2.6316,8939600
2023-05-23,10.7,10.7,10.49,10.58,10.5236,3694,38,USD,0.39,0.38,0.01,2.6316,8939600
2023-05-22,10.65,10.95,10.4,10.5,10.444,30022,39,USD,0.39,0.38,0.01,2.6316,8939600
2023-05-19,10.65,10.8,10.52,10.52,10.4639,3648,42,USD,0.39,0.38,0.01,2.6316,8939600
2023-05-18,10.68,11.0,10.51,10.55,10.4937,11748,43,USD,0.39,0.38,0.01,2.6316,8939600
2023-05-17,10.32,10.6321,10.25,10.54,10.4838,8555,44,USD,0.39,0.38,0.01,2.6316,8939600
2023-05-16,10.6,10.6,10.3,10.32,10.2649,3565,45,USD,0.39,0.38,0.01,2.6316,8939600
2023-05-15,10.603,10.61,10.25,10.27,10.2152,5330,46,USD,0.39,0.38,0.01,2.6316,8939600
2023-05-12,10.39,10.67,10.0,10.25,10.1953,18316,49,USD,0.39,0.38,0.01,2.6316,8939600
2023-05-11,10.53,10.87,10.23,10.265,10.2102,5441,50,USD,0.39,0.38,0.01,2.6316,8939600
2023-05-10,11.04,11.04,10.56,10.67,10.5434,12128,51,USD,0.39,0.38,0.01,2.6316,8939600
2023-05-09,11.1,11.11,10.75,10.83,10.7015,6705,52,USD,0.39,0.38,0.01,2.6316,8939600
2023-05-08,10.93,11.2027,10.77,10.91,10.7806,9519,53,USD,0.39,0.38,0.01,2.6316,8939600
2023-05-05,10.45,10.98,10.45,10.68,10.5533,6714,56,USD,0.39,0.38,0.01,2.6316,8939600
2023-05-04,10.543,10.7,9.94,10.32,10.1976,62754,57,USD,0.39,0.38,0.01,2.6316,8939600
2023-05-03,10.465,10.8,10.35,10.63,10.5039,38584,58,USD,0.39,0.38,0.01,2.6316,8939600
2023-05-02,11.7,11.7,10.21,10.52,10.3952,33342,59,USD,0.39,0.38,0.01,2.6316,8939600
2023-05-01,12.29,12.38,11.62,11.62,11.4822,22196,60,USD,0.39,0.38,0.01,2.6316,8939600
2023-04-28,12.08,12.5198,12.08,12.34,12.1936,27865,63,USD,0.39,0.38,0.01,2.6316,8939600
2023-04-27,12.11,12.21,12.0001,12.2,12.0553,7326,64,USD,0.39,0.38,0.01,2.6316,8939600
2023-04-26,12.29,12.38,11.9,12.2,12.0553,4955,65,USD,0.39,0.38,0.01,2.6316,8939600
2023-04-25,12.25,12.4,12.12,12.27,12.1245,19665,66,USD,0.39,0.38,0.01,2.6316,8939600
2023-04-24,12.23,12.45,12.09,12.33,12.1838,27541,67,USD,0.39,0.38,0.01,2.6316,8939600
2023-04-21,12.07,12.39,12.07,12.33,12.1838,9570,70,USD,0.39,0.38,0.01,2.6316,8939600
2023-04-20,12.37,12.41,12.06,12.33,12.1838,6536,71,USD,0.39,0.38,0.01,2.6316,8939600
2023-04-19,12.4,12.7287,12.25,12.41,12.2628,6228,72,USD,0.39,0.38,0.01,2.6316,8939600
2023-04-18,12.45,12.45,12.1,12.33,12.1838,7725,73,USD,0.39,0.38,0.01,2.6316,8939600
2023-04-17,12.125,12.46,11.9,12.46,12.3122,159977,74,USD,0.39,0.38,0.01,2.6316,8939600
2023-04-14,12.17,12.45,12.0,12.06,11.917,8286,77,USD,0.39,0.38,0.01,2.6316,8939600
2023-04-13,11.95,12.19,11.83,12.19,12.0454,4682,78,USD,0.39,0.38,0.01,2.6316,8939600
2023-04-12,12.14,12.14,11.59,11.94,11.7984,13746,79,USD,0.39,0.38,0.01,2.6316,8939600
2023-04-11,12.12,12.5799,11.905,11.985,11.8428,8371,80,USD,0.39,0.38,0.01,2.6316,8939600
2023-04-10,12.16,12.22,12.05,12.06,11.917,6425,81,USD,0.39,0.38,0.01,2.6316,8939600
2023-04-06,11.85,12.59,11.5,12.17,12.0257,16206,85,USD,0.39,0.38,0.01,2.6316,8939600
2023-04-05,11.9,12.15,11.8,11.86,11.7193,8158,86,USD,0.39,0.38,0.01,2.6316,8939600
2023-04-04,12.15,12.36,11.5,11.8,11.66,66918,87,USD,0.39,0.38,0.01,2.6316,8939600
2023-04-03,11.44,12.46,11.44,12.16,12.0158,21533,88,USD,0.39,0.38,0.01,2.6316,8939600
2023-03-31,11.5,11.54,11.4401,11.5,11.3636,3760,91,USD,0.39,0.38,0.01,2.6316,8939600
2023-03-30,11.58,11.5834,11.46,11.55,11.413,5262,92,USD,0.66,0.52,0.14,26.9231,9106500
2023-03-29,11.422,11.86,11.42,11.56,11.4229,4801,93,USD,0.66,0.52,0.14,26.9231,9106500
2023-03-28,11.66,11.66,11.395,11.58,11.4427,11945,94,USD,0.66,0.52,0.14,26.9231,9106500
2023-03-27,11.83,11.868,11.52,11.52,11.3834,6275,95,USD,0.66,0.52,0.14,26.9231,9106500
2023-03-24,11.74,11.79,11.5019,11.6,11.4624,6336,98,USD,0.66,0.52,0.14,26.9231,9106500
2023-03-23,11.72,11.72,11.5,11.63,11.4921,37278,99,USD,0.66,0.52,0.14,26.9231,9106500
2023-03-22,11.64,11.74,11.5,11.74,11.6008,9493,100,USD,0.66,0.52,0.14,26.9231,9106500
2023-03-21,11.89,11.96,11.565,11.61,11.4723,7641,101,USD,0.66,0.52,0.14,26.9231,9106500
2023-03-20,11.74,11.9,11.74,11.77,11.6304,12168,102,USD,0.66,0.52,0.14,26.9231,9106500
2023-03-17,11.5,11.7684,11.45,11.64,11.5019,26783,105,USD,0.66,0.52,0.14,26.9231,9106500
2023-03-16,11.55,11.9099,10.77,11.78,11.6403,34718,106,USD,0.66,0.52,0.14,26.9231,9106500
2023-03-15,12.02,12.22,11.31,11.57,11.4328,24559,107,USD,0.66,0.52,0.14,26.9231,9106500
2023-03-14,13.15,13.4,12.225,12.25,12.1047,17210,108,USD,0.66,0.52,0.14,26.9231,9106500
2023-03-13,11.9344,12.19,11.7601,11.95,11.8083,25453,109,USD,0.66,0.52,0.14,26.9231,9106500
2023-03-10,13.535,13.535,12.72,12.72,12.5691,59759,112,USD,0.66,0.52,0.14,26.9231,9106500
2023-03-09,13.81,14.005,13.4,13.4,13.2411,48251,113,USD,0.66,0.52,0.14,26.9231,9106500
2023-03-08,14.1531,14.1531,13.8,13.8,13.6363,147893,114,USD,0.66,0.52,0.14,26.9231,9106500
2023-03-07,14.0,14.1141,13.83,13.9,13.7351,6201,115,USD,0.66,0.52,0.14,26.9231,9106500
2023-03-06,13.9,14.16,13.73,13.94,13.7747,7995,116,USD,0.66,0.52,0.14,26.9231,9106500
2023-03-03,14.02,14.28,13.9,13.94,13.7747,18804,119,USD,0.66,0.52,0.14,26.9231,9106500
2023-03-02,14.23,14.23,13.953,14.12,13.9525,8833,120,USD,0.66,0.52,0.14,26.9231,9106500
2023-03-01,14.29,14.29,14.22,14.22,14.0513,4414,121,USD,0.66,0.52,0.14,26.9231,9106500
2023-02-28,14.53,14.53,14.31,14.31,14.1403,4017,122,USD,0.66,0.52,0.14,26.9231,9106500
2023-02-27,14.32,14.37,14.3,14.35,14.1798,143234,123,USD,0.66,0.52,0.14,26.9231,9106500
2023-02-24,14.35,14.42,14.1975,14.31,14.1403,42804,126,USD,0.66,0.52,0.14,26.9231,9106500
2023-02-23,14.61,14.61,14.28,14.4,14.2292,10782,127,USD,0.66,0.52,0.14,26.9231,9106500
2023-02-22,14.82,14.86,14.445,14.55,14.3774,13034,128,USD,0.66,0.52,0.14,26.9231,9106500
2023-02-21,15.06,15.25,14.87,14.87,14.6936,3642,129,USD,0.66,0.52,0.14,26.9231,9106500
2023-02-17,15.1648,15.1648,15.07,15.15,14.9703,8159,133,USD,0.66,0.52,0.14,26.9231,9106500
