date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,9.51,9.82,9.48,9.81,9.81,363800,28,USD,0.08,0.08,0,0,74036000
2023-06-01,9.49,9.5,9.19,9.4,9.4,412600,29,USD,0.08,0.08,0,0,74036000
2023-05-31,8.99,9.7,8.99,9.6,9.6,1731500,30,USD,0.08,0.08,0,0,74036000
2023-05-30,9.08,9.3,8.94,9.05,9.05,291300,31,USD,0.08,0.08,0,0,74036000
2023-05-26,8.92,9.23,8.71,9.05,9.05,437200,35,USD,0.08,0.08,0,0,74036000
2023-05-25,8.92,9.1,8.7,8.93,8.93,1129500,36,USD,0.08,0.08,0,0,74036000
2023-05-24,8.81,8.96,8.75,8.91,8.91,251200,37,USD,0.08,0.08,0,0,74036000
2023-05-23,8.77,9.29,8.69,8.92,8.92,576000,38,USD,0.08,0.08,0,0,74036000
2023-05-22,8.42,8.95,8.4,8.81,8.81,653600,39,USD,0.08,0.08,0,0,74036000
2023-05-19,8.32,8.4,8.06,8.38,8.38,692100,42,USD,0.08,0.08,0,0,74036000
2023-05-18,8.25,8.35,8.13,8.2,8.2,446900,43,USD,0.08,0.08,0,0,74036000
2023-05-17,8.15,8.32,8.05,8.22,8.22,448300,44,USD,0.08,0.08,0,0,74036000
2023-05-16,8.28,8.42,8.07,8.09,8.09,563700,45,USD,0.08,0.08,0,0,74036000
2023-05-15,8.5,8.57,8.27,8.31,8.31,631500,46,USD,0.08,0.08,0,0,74036000
2023-05-12,8.37,8.5,8.28,8.46,8.46,380000,49,USD,0.08,0.08,0,0,74036000
2023-05-11,8.42,8.5,8.2,8.29,8.29,590300,50,USD,0.08,0.08,0,0,74036000
2023-05-10,8.71,8.77,8.25,8.48,8.48,924300,51,USD,0.08,0.08,0,0,74036000
2023-05-09,8.54,8.65,8.33,8.53,8.53,524500,52,USD,0.08,0.08,0,0,74036000
2023-05-08,9.05,9.12,8.33,8.59,8.59,1152800,53,USD,0.08,0.08,0,0,74036000
2023-05-05,8.71,9.91,8.0,9.04,9.04,2407500,56,USD,0.08,0.08,0,0,74036000
2023-05-04,11.33,11.62,11.17,11.3,11.3,267400,57,USD,0.08,0.08,0,0,74036000
2023-05-03,11.26,11.68,11.23,11.38,11.38,254000,58,USD,0.08,0.08,0,0,74036000
2023-05-02,11.44,11.45,11.13,11.22,11.22,226200,59,USD,0.08,0.08,0,0,74036000
2023-05-01,10.87,11.51,10.82,11.41,11.41,288500,60,USD,0.08,0.08,0,0,74036000
2023-04-28,10.88,11.1,10.82,10.87,10.87,258100,63,USD,0.08,0.08,0,0,74036000
2023-04-27,11.22,11.34,10.79,10.87,10.87,298700,64,USD,0.08,0.08,0,0,74036000
2023-04-26,11.22,11.47,11.13,11.14,11.14,179200,65,USD,0.08,0.08,0,0,74036000
2023-04-25,11.29,11.57,11.13,11.17,11.17,194100,66,USD,0.08,0.08,0,0,74036000
2023-04-24,11.73,11.78,11.15,11.42,11.42,211500,67,USD,0.08,0.08,0,0,74036000
2023-04-21,11.87,12.0,11.5,11.6,11.6,345400,70,USD,0.08,0.08,0,0,74036000
2023-04-20,11.5,11.97,11.43,11.88,11.88,282100,71,USD,0.08,0.08,0,0,74036000
2023-04-19,12.72,12.75,11.59,11.65,11.65,386500,72,USD,0.08,0.08,0,0,74036000
2023-04-18,12.65,13.15,12.6,12.88,12.88,386400,73,USD,0.08,0.08,0,0,74036000
2023-04-17,12.31,12.66,12.23,12.6,12.6,545600,74,USD,0.08,0.08,0,0,74036000
2023-04-14,12.11,12.45,12.07,12.41,12.41,389900,77,USD,0.08,0.08,0,0,74036000
2023-04-13,11.8,12.18,11.73,12.1,12.1,287800,78,USD,0.08,0.08,0,0,74036000
2023-04-12,11.95,12.25,11.82,11.9,11.9,546200,79,USD,0.08,0.08,0,0,74036000
2023-04-11,11.97,12.39,11.67,11.73,11.73,484400,80,USD,0.08,0.08,0,0,74036000
2023-04-10,11.34,12.04,11.34,11.88,11.88,375600,81,USD,0.08,0.08,0,0,74036000
2023-04-06,11.2,11.58,11.2,11.47,11.47,226100,85,USD,0.08,0.08,0,0,74036000
2023-04-05,11.27,11.31,11.05,11.26,11.26,253900,86,USD,0.08,0.08,0,0,74036000
2023-04-04,11.58,11.86,11.32,11.43,11.43,352000,87,USD,0.08,0.08,0,0,74036000
2023-04-03,11.35,11.61,11.23,11.56,11.56,318800,88,USD,0.08,0.08,0,0,74036000
2023-03-31,11.12,11.46,10.98,11.46,11.46,537500,91,USD,0.08,0.08,0,0,74036000
