date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-03-31,1.565,1.57,1.48,1.51,1.51,2679775,0,USD,-0.27,-0.2,-0.07,-35,119246000
2023-03-30,1.67,1.73,1.53,1.54,1.54,2166170,1,USD,-0.17,-0.28,0.11,39.2857,116876500
2023-03-29,1.62,1.7485,1.61,1.69,1.69,3171209,2,USD,-0.17,-0.28,0.11,39.2857,116876500
2023-03-28,1.76,1.79,1.6,1.61,1.61,2530732,3,USD,-0.17,-0.28,0.11,39.2857,116876500
2023-03-27,1.87,1.935,1.72,1.73,1.73,2030912,4,USD,-0.17,-0.28,0.11,39.2857,116876500
2023-03-24,2.2,2.2,1.8,1.905,1.905,4132857,7,USD,-0.17,-0.28,0.11,39.2857,116876500
2023-03-23,2.0,2.1,1.96,2.065,2.065,2801235,8,USD,-0.17,-0.28,0.11,39.2857,116876500
2023-03-22,2.18,2.18,1.96,1.97,1.97,1714949,9,USD,-0.17,-0.28,0.11,39.2857,116876500
2023-03-21,2.11,2.22,2.08,2.185,2.185,1297473,10,USD,-0.17,-0.28,0.11,39.2857,116876500
2023-03-20,2.26,2.26,2.05,2.08,2.08,1743750,11,USD,-0.17,-0.28,0.11,39.2857,116876500
2023-03-17,2.37,2.37,2.15,2.32,2.32,1984392,14,USD,-0.17,-0.28,0.11,39.2857,116876500
2023-03-16,2.33,2.44,2.295,2.39,2.39,1114454,15,USD,-0.17,-0.28,0.11,39.2857,116876500
2023-03-15,2.235,2.37,2.215,2.36,2.36,941133,16,USD,-0.17,-0.28,0.11,39.2857,116876500
2023-03-14,2.41,2.445,2.22,2.26,2.26,1389044,17,USD,-0.17,-0.28,0.11,39.2857,116876500
2023-03-13,2.19,2.42,2.12,2.4,2.4,1320155,18,USD,-0.17,-0.28,0.11,39.2857,116876500
2023-03-10,2.25,2.29,2.08,2.16,2.16,2059427,21,USD,-0.17,-0.28,0.11,39.2857,116876500
2023-03-09,2.39,2.435,2.26,2.29,2.29,2412729,22,USD,-0.17,-0.28,0.11,39.2857,116876500
2023-03-08,2.38,2.42,2.31,2.39,2.39,2917734,23,USD,-0.17,-0.28,0.11,39.2857,116876500
2023-03-07,2.34,2.41,2.28,2.38,2.38,1874946,24,USD,-0.17,-0.28,0.11,39.2857,116876500
2023-03-06,2.4,2.42,2.28,2.31,2.31,1198575,25,USD,-0.17,-0.28,0.11,39.2857,116876500
