date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,18.3537,18.63,18.3537,18.58,17.6962,8134,28,USD,0.48,,,,6768600
2023-06-01,18.2,18.38,18.08,18.08,17.22,11403,29,USD,0.48,,,,6768600
2023-05-31,18.2,18.2,18.0,18.0,17.1438,16095,30,USD,0.48,,,,6768600
2023-05-30,18.27,18.36,18.16,18.2,17.3343,12924,31,USD,0.48,,,,6768600
2023-05-26,18.25,18.4093,18.14,18.19,17.3248,18121,35,USD,0.48,,,,6768600
2023-05-25,18.59,18.6319,18.11,18.18,17.3152,10228,36,USD,0.48,,,,6768600
2023-05-24,18.65,18.87,18.4,18.55,17.6676,19256,37,USD,0.48,,,,6768600
2023-05-23,18.4,18.87,18.4,18.5,17.62,16338,38,USD,0.48,,,,6768600
2023-05-22,18.76,18.76,18.38,18.45,17.5724,20581,39,USD,0.48,,,,6768600
2023-05-19,18.5,18.66,18.5,18.55,17.6676,8608,42,USD,0.48,,,,6768600
2023-05-18,18.875,19.22,18.51,18.74,17.8486,10705,43,USD,0.48,,,,6768600
2023-05-17,18.46,18.87,18.2657,18.87,17.9724,10790,44,USD,0.48,,,,6768600
2023-05-16,18.3,18.5665,18.2,18.3,17.4295,11675,45,USD,0.48,,,,6768600
2023-05-15,18.26,18.33,18.26,18.26,17.3914,16334,46,USD,0.48,,,,6768600
2023-05-12,18.37,18.59,18.22,18.38,17.5057,32702,49,USD,0.48,,,,6768600
2023-05-11,18.5,18.5,18.1,18.25,17.3819,25061,50,USD,0.48,,,,6768600
2023-05-10,18.65,18.65,18.28,18.54,17.6581,10849,51,USD,0.48,,,,6768600
2023-05-09,18.48,18.9414,18.2,18.47,17.5914,28749,52,USD,0.48,,,,6768600
2023-05-08,18.65,18.8274,18.36,18.36,17.4867,15426,53,USD,0.48,,,,6768600
2023-05-05,19.03,19.319,18.01,18.5,17.62,20800,56,USD,0.48,,,,6768600
2023-05-04,20.8,20.8,19.0,19.14,18.2296,57311,57,USD,0.48,,,,6768600
2023-05-03,21.555,21.555,21.23,21.25,20.2392,5856,58,USD,0.48,,,,6768600
2023-05-02,21.83,22.38,21.2,21.2,20.1916,18755,59,USD,0.48,,,,6768600
2023-05-01,22.15,22.3806,21.81,21.83,20.7916,12904,60,USD,0.48,,,,6768600
2023-04-28,22.0,22.25,21.8954,22.12,21.0678,31438,63,USD,0.48,,,,6768600
2023-04-27,22.11,22.11,21.91,22.0,20.9535,21777,64,USD,0.48,,,,6768600
2023-04-26,22.515,23.407,22.09,22.18,21.125,20331,65,USD,0.48,,,,6768600
2023-04-25,22.61,22.9599,22.0,22.48,21.4107,17770,66,USD,0.48,,,,6768600
2023-04-24,23.5,23.5,22.61,22.61,21.5345,9729,67,USD,0.48,,,,6768600
