date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,6.85,7.208,6.44,6.77,6.77,44500,28,USD,-0.39,-0.47,0.08,17.0213,36257500
2023-06-01,6.54,6.982,6.31,6.67,6.67,63300,29,USD,-0.39,-0.47,0.08,17.0213,36257500
2023-05-31,5.74,6.72,5.74,6.45,6.45,33200,30,USD,-0.39,-0.47,0.08,17.0213,36257500
2023-05-30,5.85,6.14,5.72,5.8,5.8,17800,31,USD,-0.39,-0.47,0.08,17.0213,36257500
2023-05-26,6.12,6.12,5.81,5.97,5.97,35800,35,USD,-0.39,-0.47,0.08,17.0213,36257500
2023-05-25,5.98,6.38,5.83,6.19,6.19,29500,36,USD,-0.39,-0.47,0.08,17.0213,36257500
2023-05-24,5.77,6.09,5.5,6.0,6.0,38100,37,USD,-0.39,-0.47,0.08,17.0213,36257500
2023-05-23,6.0,6.275,5.81,5.81,5.81,46300,38,USD,-0.39,-0.47,0.08,17.0213,36257500
2023-05-22,6.54,6.78,6.07,6.09,6.09,39100,39,USD,-0.39,-0.47,0.08,17.0213,36257500
2023-05-19,6.085,6.45,5.97,6.35,6.35,53900,42,USD,-0.39,-0.47,0.08,17.0213,36257500
2023-05-18,6.42,6.535,6.08,6.17,6.17,64800,43,USD,-0.39,-0.47,0.08,17.0213,36257500
2023-05-17,6.19,6.615,5.86,6.48,6.48,71900,44,USD,-0.39,-0.47,0.08,17.0213,36257500
2023-05-16,6.87,7.08,6.14,6.16,6.16,61700,45,USD,-0.39,-0.47,0.08,17.0213,36257500
2023-05-15,6.85,7.32,6.55,7.0,7.0,75200,46,USD,-0.39,-0.47,0.08,17.0213,36257500
2023-05-12,6.705,7.232,6.66,7.0,7.0,73400,49,USD,-0.39,-0.47,0.08,17.0213,36257500
2023-05-11,7.3,7.43,7.05,7.24,7.24,133100,50,USD,-0.39,-0.47,0.08,17.0213,36257500
2023-05-10,7.13,7.32,7.0,7.29,7.29,75700,51,USD,-0.39,-0.47,0.08,17.0213,36257500
2023-05-09,6.97,7.33,6.75,7.0,7.0,48500,52,USD,-0.39,-0.47,0.08,17.0213,36257500
2023-05-08,7.3,7.58,6.69,7.0,7.0,122100,53,USD,-0.39,-0.47,0.08,17.0213,36257500
2023-05-05,6.38,7.64,6.376,7.31,7.31,189400,56,USD,-0.39,-0.47,0.08,17.0213,36257500
2023-05-04,5.84,6.3,5.46,6.28,6.28,135000,57,USD,-0.39,-0.47,0.08,17.0213,36257500
2023-05-03,5.76,5.908,5.649,5.82,5.82,78900,58,USD,-0.39,-0.47,0.08,17.0213,36257500
2023-05-02,5.49,5.93,5.3,5.74,5.74,126300,59,USD,-0.39,-0.47,0.08,17.0213,36257500
2023-05-01,5.53,5.54,5.175,5.47,5.47,52700,60,USD,-0.39,-0.47,0.08,17.0213,36257500
2023-04-28,5.1,5.62,5.1,5.48,5.48,62600,63,USD,-0.39,-0.47,0.08,17.0213,36257500
2023-04-27,4.98,5.26,4.95,5.17,5.17,139300,64,USD,-0.39,-0.47,0.08,17.0213,36257500
2023-04-26,4.7,4.99,4.66,4.96,4.96,49700,65,USD,-0.39,-0.47,0.08,17.0213,36257500
