date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,7.07,7.16,6.83,7.15,7.15,114800,28,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-06-01,7.2,7.23,6.92,6.95,6.95,133000,29,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-05-31,7.36,7.38,7.2,7.27,7.27,77300,30,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-05-30,7.35,7.44,7.16,7.36,7.36,69800,31,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-05-26,7.24,7.35,7.08,7.32,7.32,69700,35,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-05-25,7.26,7.4,7.11,7.24,7.24,59800,36,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-05-24,7.13,7.4,7.1,7.33,7.33,68400,37,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-05-23,7.36,7.49,7.17,7.21,7.21,74400,38,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-05-22,7.55,7.63,7.3,7.37,7.37,77100,39,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-05-19,7.6,7.62,7.22,7.54,7.54,63100,42,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-05-18,7.24,7.66,7.17,7.46,7.46,108700,43,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-05-17,7.21,7.29,6.89,7.27,7.27,87200,44,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-05-16,7.09,7.25,7.03,7.15,7.15,68300,45,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-05-15,6.76,7.16,6.76,7.11,7.11,85300,46,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-05-12,7.08,7.11,6.82,6.92,6.92,69300,49,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-05-11,6.55,7.2,6.55,7.01,7.01,123600,50,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-05-10,6.83,6.93,6.5,6.54,6.54,93400,51,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-05-09,6.43,7.05,6.43,6.76,6.76,156300,52,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-05-08,6.37,6.69,6.07,6.52,6.52,177100,53,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-05-05,5.26,6.83,5.26,6.45,6.45,290300,56,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-05-04,5.24,5.35,5.07,5.1,5.1,84000,57,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-05-03,5.24,5.44,5.24,5.35,5.35,49000,58,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-05-02,5.4,5.46,5.21,5.26,5.26,62300,59,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-05-01,5.56,5.59,5.16,5.35,5.35,124400,60,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-04-28,5.5,5.67,5.45,5.5,5.5,82500,63,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-04-27,5.52,5.59,5.46,5.54,5.54,54100,64,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-04-26,5.5,5.65,5.31,5.49,5.49,107900,65,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-04-25,5.55,5.61,5.36,5.43,5.43,112100,66,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-04-24,5.67,5.87,5.39,5.63,5.63,121800,67,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-04-21,5.77,5.87,5.6,5.7,5.7,170200,70,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-04-20,6.01,6.06,5.76,5.81,5.81,131400,71,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-04-19,6.14,6.2,6.07,6.07,6.07,47742,72,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-04-18,6.34,6.34,6.15,6.2,6.2,50838,73,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-04-17,6.19,6.43,6.1,6.24,6.24,67249,74,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-04-14,6.29,6.35,6.1,6.22,6.22,127641,77,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-04-13,6.32,6.34,6.14,6.31,6.31,108912,78,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-04-12,6.53,6.56,6.23,6.29,6.29,223187,79,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-04-11,6.41,6.595,6.265,6.5,6.5,106554,80,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-04-10,6.25,6.42,6.22,6.39,6.39,105426,81,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-04-06,6.27,6.44,6.23,6.32,6.32,71379,85,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-04-05,6.26,6.4,6.13,6.31,6.31,80374,86,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-04-04,6.22,6.38,6.08,6.3,6.3,101260,87,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-04-03,6.09,6.24,6.06,6.16,6.16,127589,88,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-03-31,6.12,6.22,6.03,6.14,6.14,132371,91,USD,-0.13,-0.06,-0.07,-116.6667,22794000
2023-03-30,6.15,6.35,6.0,6.06,6.06,92964,92,USD,0.0015,-0.01,0.0115,115,23160000
2023-03-29,5.93,6.06,5.68,6.04,6.04,97878,93,USD,0.0015,-0.01,0.0115,115,23160000
2023-03-28,5.95,6.13,5.78,5.84,5.84,105924,94,USD,0.0015,-0.01,0.0115,115,23160000
2023-03-27,5.97,6.05,5.755,6.0,6.0,93588,95,USD,0.0015,-0.01,0.0115,115,23160000
2023-03-24,6.01,6.15,5.88,5.91,5.91,87211,98,USD,0.0015,-0.01,0.0115,115,23160000
2023-03-23,6.08,6.3125,6.07,6.09,6.09,73754,99,USD,0.0015,-0.01,0.0115,115,23160000
2023-03-22,6.32,6.325,5.96,6.0,6.0,186896,100,USD,0.0015,-0.01,0.0115,115,23160000
2023-03-21,6.21,6.43,6.06,6.34,6.34,78597,101,USD,0.0015,-0.01,0.0115,115,23160000
2023-03-20,6.16,6.17,5.9,6.05,6.05,114433,102,USD,0.0015,-0.01,0.0115,115,23160000
2023-03-17,6.17,6.21,5.85,6.08,6.08,161122,105,USD,0.0015,-0.01,0.0115,115,23160000
2023-03-16,6.16,6.45,6.0,6.26,6.26,93864,106,USD,0.0015,-0.01,0.0115,115,23160000
2023-03-15,6.19,6.42,6.08,6.28,6.28,108290,107,USD,0.0015,-0.01,0.0115,115,23160000
2023-03-14,6.3,6.42,6.13,6.39,6.39,132858,108,USD,0.0015,-0.01,0.0115,115,23160000
2023-03-13,5.89,6.39,5.89,6.07,6.07,104730,109,USD,0.0015,-0.01,0.0115,115,23160000
2023-03-10,6.54,6.54,5.96,6.01,6.01,209514,112,USD,0.0015,-0.01,0.0115,115,23160000
2023-03-09,6.81,6.95,6.55,6.58,6.58,271795,113,USD,0.0015,-0.01,0.0115,115,23160000
2023-03-08,7.22,7.255,6.83,6.92,6.92,140143,114,USD,0.0015,-0.01,0.0115,115,23160000
2023-03-07,7.11,7.25,7.025,7.15,7.15,54301,115,USD,0.0015,-0.01,0.0115,115,23160000
2023-03-06,7.11,7.56,7.0501,7.09,7.09,144665,116,USD,0.0015,-0.01,0.0115,115,23160000
2023-03-03,6.61,7.17,6.52,7.08,7.08,203663,119,USD,0.0015,-0.01,0.0115,115,23160000
2023-03-02,6.99,7.23,6.8214,7.13,7.13,33303,120,USD,0.0015,-0.01,0.0115,115,23160000
2023-03-01,7.15,7.15,6.79,7.01,7.01,94883,121,USD,0.0015,-0.01,0.0115,115,23160000
2023-02-28,6.94,7.13,6.85,7.02,7.02,78404,122,USD,0.0015,-0.01,0.0115,115,23160000
2023-02-27,7.1,7.11,6.8,6.94,6.94,155789,123,USD,0.0015,-0.01,0.0115,115,23160000
2023-02-24,6.89,7.11,6.81,7.01,7.01,66736,126,USD,0.0015,-0.01,0.0115,115,23160000
2023-02-23,7.37,7.37,6.91,7.06,7.06,70648,127,USD,0.0015,-0.01,0.0115,115,23160000
2023-02-22,7.36,7.525,7.16,7.25,7.25,63076,128,USD,0.0015,-0.01,0.0115,115,23160000
2023-02-21,7.41,7.52,7.27,7.28,7.28,68587,129,USD,0.0015,-0.01,0.0115,115,23160000
