date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-03-31,6.08,6.29,5.96,6.2,6.2,570100,0,USD,-1.35,-1.33,-0.02,-1.5038,52337600
2023-03-30,6.1,6.44,5.98,6.09,6.09,666100,1,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-03-29,5.0,6.11,5.0,6.04,6.04,1670000,2,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-03-28,4.89,5.02,4.8,4.9,4.9,469000,3,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-03-27,4.9,5.1,4.8,4.93,4.93,346900,4,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-03-24,4.8,4.85,4.62,4.81,4.81,687300,7,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-03-23,5.06,5.17,4.81,4.89,4.89,660200,8,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-03-22,5.18,5.37,4.94,4.96,4.96,440400,9,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-03-21,5.15,5.38,4.97,5.24,5.24,354100,10,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-03-20,5.29,5.29,4.94,5.03,5.03,363800,11,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-03-17,5.21,5.22,4.93,5.12,5.12,756400,14,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-03-16,5.46,5.59,5.12,5.3,5.3,440200,15,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-03-15,5.85,5.9,5.4,5.55,5.55,433600,16,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-03-14,6.04,6.14,5.86,5.97,5.97,273472,17,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-03-13,5.56,6.1699,5.39,5.9,5.9,505884,18,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-03-10,5.94,5.95,5.43,5.65,5.65,462900,21,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-03-09,6.44,6.44,5.9,5.99,5.99,308500,22,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-03-08,6.4,6.47,6.31,6.4,6.4,328600,23,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-03-07,6.41,6.52,6.24,6.38,6.38,216500,24,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-03-06,6.53,6.61,6.32,6.43,6.43,162200,25,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-03-03,6.41,6.65,6.24,6.5,6.5,415400,28,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-03-02,6.35,6.45,6.03,6.39,6.39,620300,29,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-03-01,6.57,6.64,6.13,6.4,6.4,355600,30,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-02-28,6.5,6.65,6.49,6.5,6.5,460100,31,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-02-27,6.82,6.94,6.46,6.56,6.56,244300,32,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-02-24,7.16,7.17,6.55,6.75,6.75,421500,35,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-02-23,7.3,7.31,7.12,7.31,7.31,168100,36,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-02-22,7.26,7.5,7.02,7.25,7.25,233000,37,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-02-21,7.28,7.41,7.04,7.25,7.25,253500,38,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-02-17,7.21,7.44,7.08,7.42,7.42,173900,42,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-02-16,7.2,7.24,7.04,7.17,7.17,227200,43,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-02-15,7.25,7.39,7.05,7.38,7.38,161600,44,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-02-14,7.13,7.91,7.12,7.28,7.28,230800,45,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-02-13,7.2,7.3,7.01,7.22,7.22,149800,46,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-02-10,7.45,7.45,7.09,7.16,7.16,210600,49,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-02-09,7.49,7.87,7.43,7.47,7.47,150300,50,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-02-08,7.65,7.7,7.25,7.39,7.39,219800,51,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-02-07,7.96,8.08,7.52,7.71,7.71,207200,52,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-02-06,8.53,8.58,7.96,7.98,7.98,172700,53,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-02-03,8.37,8.75,8.26,8.58,8.58,182600,56,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-02-02,8.34,8.51,8.02,8.47,8.47,306200,57,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-02-01,8.11,8.34,8.0,8.23,8.23,220000,58,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-01-31,7.81,8.48,7.81,8.08,8.08,207700,59,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-01-30,7.83,7.95,7.69,7.78,7.78,136000,60,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-01-27,7.91,8.03,7.77,7.88,7.88,172200,63,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-01-26,8.15,8.24,7.81,7.91,7.91,77400,64,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-01-25,7.96,8.07,7.79,8.06,8.06,194300,65,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-01-24,8.01,8.24,7.94,8.05,8.05,87100,66,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-01-23,7.93,8.08,7.83,8.08,8.08,131400,67,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-01-20,7.79,7.92,7.71,7.9,7.9,164300,70,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-01-19,7.45,7.75,7.37,7.65,7.65,155100,71,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-01-18,8.24,8.36,7.44,7.48,7.48,201100,72,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-01-17,8.3,8.31,8.11,8.17,8.17,119700,73,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-01-13,8.12,8.35,8.03,8.28,8.28,104700,77,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-01-12,8.11,8.15,7.77,8.15,8.15,250900,78,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-01-11,8.3,8.35,7.94,8.04,8.04,167600,79,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-01-10,8.24,8.44,8.06,8.24,8.24,199200,80,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-01-09,8.95,8.95,8.21,8.23,8.23,284500,81,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-01-06,8.55,9.01,8.49,8.89,8.89,183800,84,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-01-05,8.43,8.7,8.1,8.61,8.61,247700,85,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-01-04,7.79,8.71,7.79,8.5,8.5,415500,86,USD,-1.35,-1.52,0.17,11.1842,52316500
2023-01-03,7.25,7.8,7.21,7.77,7.77,285400,87,USD,-1.35,-1.52,0.17,11.1842,52316500
2022-12-30,6.75,7.2,6.68,7.16,7.16,327900,91,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-12-29,6.62,6.93,6.56,6.87,6.87,258500,92,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-12-28,6.53,6.725,6.37,6.53,6.53,245111,93,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-12-27,7.0,7.09,6.51,6.6,6.6,311837,94,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-12-23,6.99,7.07,6.73,7.03,7.03,330900,98,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-12-22,7.07,7.11,6.83,7.07,7.07,282900,99,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-12-21,7.07,7.31,7.0,7.16,7.16,190900,100,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-12-20,6.7,7.09,6.63,6.99,6.99,490300,101,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-12-19,6.95,7.07,6.57,6.68,6.68,393600,102,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-12-16,6.9,7.04,6.83,6.92,6.92,394200,105,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-12-15,7.13,7.2,6.99,7.03,7.03,161200,106,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-12-14,7.25,7.45,7.15,7.29,7.29,179600,107,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-12-13,7.34,7.57,7.12,7.28,7.28,204700,108,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-12-12,6.85,7.08,6.32,7.06,7.06,330200,109,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-12-09,7.11,7.21,6.83,6.84,6.84,481000,112,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-12-08,7.26,7.39,7.06,7.19,7.19,157900,113,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-12-07,7.27,7.34,7.15,7.2,7.2,160700,114,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-12-06,7.25,7.29,7.14,7.28,7.28,194400,115,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-12-05,7.44,7.56,7.14,7.26,7.26,161700,116,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-12-02,7.15,7.56,7.02,7.46,7.46,220200,119,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-12-01,7.41,7.52,7.19,7.29,7.29,175500,120,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-11-30,7.21,7.49,7.04,7.38,7.38,285300,121,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-11-29,7.16,7.42,7.05,7.14,7.14,151600,122,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-11-28,7.47,7.64,7.1,7.15,7.15,212400,123,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-11-25,7.45,7.67,7.25,7.54,7.54,75300,126,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-11-23,7.55,7.67,7.32,7.39,7.39,183200,128,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-11-22,7.45,7.56,7.2,7.51,7.51,160900,129,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-11-21,7.52,7.53,6.98,7.41,7.41,286500,130,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-11-18,7.84,7.85,7.52,7.58,7.58,230900,133,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-11-17,7.52,7.66,7.36,7.61,7.61,242300,134,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-11-16,7.95,8.05,7.61,7.68,7.68,258100,135,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-11-15,7.74,8.37,7.71,8.01,8.01,586200,136,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-11-14,7.52,7.59,7.21,7.25,7.25,264400,137,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-11-11,7.19,7.69,7.13,7.56,7.56,388700,140,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-11-10,6.69,7.45,6.69,7.12,7.12,519200,141,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-11-09,6.78,7.06,6.67,6.73,6.73,403400,142,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-11-08,7.06,7.24,6.7,6.85,6.85,326200,143,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-11-07,7.02,7.25,6.84,7.03,7.03,347200,144,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-11-04,7.09,7.09,6.71,7.0,7.0,381400,147,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-11-03,6.76,7.12,6.65,7.01,7.01,267300,148,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-11-02,7.1,7.33,6.86,6.93,6.93,252900,149,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-11-01,7.29,7.42,7.02,7.09,7.09,192600,150,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-10-31,7.19,7.44,7.16,7.18,7.18,247400,151,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-10-28,7.01,7.3,6.81,7.27,7.27,159200,154,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-10-27,7.34,7.45,6.98,7.01,7.01,224400,155,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-10-26,6.93,7.45,6.83,7.26,7.26,359700,156,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-10-25,6.94,7.18,6.9,6.93,6.93,273800,157,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-10-24,6.94,6.94,6.64,6.88,6.88,307000,158,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-10-21,6.79,6.92,6.57,6.89,6.89,313100,161,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-10-20,6.48,7.01,6.48,6.77,6.77,304500,162,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-10-19,6.91,6.91,6.49,6.52,6.52,426300,163,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-10-18,7.35,7.45,6.97,7.04,7.04,319200,164,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-10-17,6.94,7.11,6.89,7.09,7.09,424100,165,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-10-14,7.16,7.25,6.71,6.77,6.77,269200,168,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-10-13,7.04,7.22,6.71,7.11,7.11,385000,169,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-10-12,7.28,7.29,6.87,6.96,6.96,294300,170,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-10-11,7.06,7.41,6.89,7.26,7.26,340400,171,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-10-10,7.5,7.5,7.02,7.02,7.02,245200,172,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-10-07,7.72,7.81,7.41,7.45,7.45,375600,175,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-10-06,7.91,8.15,7.74,7.87,7.87,250700,176,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-10-05,7.85,8.07,7.52,7.99,7.99,271900,177,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-10-04,7.77,8.06,7.67,8.05,8.05,392999,178,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-10-03,7.91,7.91,7.34,7.6,7.6,396034,179,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-09-30,7.67,8.0,7.54,7.74,7.74,461900,182,USD,-1.47,-1.77,0.3,16.9492,52288300
2022-09-29,7.81,8.02,7.31,7.6,7.6,590400,183,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-09-28,7.82,8.45,7.82,8.04,8.04,773800,184,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-09-27,7.74,7.89,7.46,7.61,7.61,772100,185,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-09-26,7.88,8.26,7.5,7.57,7.57,665800,186,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-09-23,8.43,8.43,7.91,7.98,7.98,397500,189,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-09-22,8.71,8.71,8.17,8.53,8.53,424900,190,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-09-21,9.33,9.42,8.81,8.83,8.83,439000,191,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-09-20,9.15,9.45,9.02,9.3,9.3,442700,192,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-09-19,9.04,9.28,8.66,9.26,9.26,535600,193,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-09-16,9.28,9.28,8.82,9.11,9.11,715500,196,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-09-15,9.26,9.6,9.26,9.47,9.47,417900,197,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-09-14,9.38,9.38,9.09,9.23,9.23,370100,198,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-09-13,9.8,9.89,9.27,9.35,9.35,309000,199,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-09-12,10.23,10.23,9.82,10.11,10.11,367600,200,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-09-09,9.96,10.39,9.82,10.24,10.24,366500,203,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-09-08,9.38,10.01,9.32,9.87,9.87,594600,204,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-09-07,9.29,9.59,9.27,9.53,9.53,382600,205,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-09-06,10.13,10.18,9.3,9.4,9.4,744800,206,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-09-02,10.79,10.79,10.03,10.15,10.15,468300,210,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-09-01,9.94,10.76,9.78,10.59,10.59,637300,211,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-08-31,10.59,11.01,10.01,10.01,10.01,470600,212,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-08-30,10.91,11.11,10.37,10.5,10.5,357900,213,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-08-29,10.95,11.16,10.6,10.84,10.84,319000,214,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-08-26,11.23,11.34,11.01,11.15,11.15,341500,217,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-08-25,11.36,11.56,11.19,11.28,11.28,248700,218,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-08-24,10.56,11.39,10.38,11.27,11.27,502000,219,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-08-23,10.35,10.71,10.24,10.63,10.63,287900,220,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-08-22,10.31,10.52,10.05,10.32,10.32,429800,221,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-08-19,11.23,11.37,10.43,10.46,10.46,526100,224,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-08-18,11.57,11.57,11.09,11.39,11.39,369900,225,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-08-17,11.53,11.87,11.41,11.59,11.59,497500,226,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-08-16,11.98,12.05,11.41,11.81,11.81,648300,227,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-08-15,12.05,12.38,11.71,12.05,12.05,755700,228,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-08-12,11.92,12.52,11.86,12.2,12.2,650800,231,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-08-11,12.57,12.8,11.3,11.77,11.77,1043300,232,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-08-10,10.91,12.52,10.76,12.5,12.5,1464700,233,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-08-09,10.9,11.81,10.61,10.92,10.92,1681400,234,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-08-08,11.48,11.79,10.02,11.11,11.11,4073900,235,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-08-05,9.0,9.78,8.9,9.74,9.74,963000,238,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-08-04,8.82,9.3,8.59,9.16,9.16,736400,239,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-08-03,8.55,9.27,8.5,8.62,8.62,722000,240,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-08-02,8.57,8.92,7.89,8.31,8.31,1599100,241,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-08-01,9.87,9.97,9.46,9.55,9.55,1213200,242,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-07-29,9.86,10.0,9.44,9.95,9.95,535600,245,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-07-28,9.71,9.93,9.15,9.89,9.89,564200,246,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-07-27,9.42,10.07,9.31,9.79,9.79,824000,247,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-07-26,9.17,9.88,9.05,9.4,9.4,504600,248,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-07-25,9.54,9.56,9.19,9.24,9.24,439800,249,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-07-22,9.77,9.98,9.25,9.54,9.54,538700,252,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-07-21,9.93,10.04,9.59,9.9,9.9,586200,253,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-07-20,9.78,10.13,9.65,9.94,9.94,478100,254,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-07-19,9.26,10.19,9.25,9.74,9.74,844200,255,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-07-18,9.29,9.47,8.95,9.13,9.13,554100,256,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-07-15,9.21,9.25,8.72,9.1,9.1,455900,259,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-07-14,9.11,9.27,8.95,9.1,9.1,471700,260,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-07-13,8.94,9.78,8.94,9.14,9.14,806900,261,USD,-1.74,-1.76,0.02,1.1364,52218800
2022-07-12,8.73,9.42,8.3,9.28,9.28,900200,262,USD,-1.74,-1.76,0.02,1.1364,52218800
